SWRCB_name,AGENCYUNIQ,Hydrologic Region
Orchard Dale Water District,1804,South Coast
Otay Water District,1821,South Coast
Oxnard  City of,1827,South Coast
Padre Dam Municipal Water District,1838,South Coast
Palmdale Water District,1849,South Lahontan
Palo Alto  City of,1851,San Francisco Bay
Paradise Irrigation District,1859,Sacramento River
Paramount  City of,1866,South Coast
Park Water Company,1869,South Coast
Pasadena  City of,1873,South Coast
Paso Robles  City of,1875,Central Coast
Patterson  City of,1877,San Joaquin River
"Perris, City of",1888,South Coast
Petaluma  City of,1894,San Francisco Bay
Phelan Pinon Hills Community Services District,1896,South Lahontan
Pico Rivera  City of,1899,South Coast
Pico Water District,1900,South Coast
Pinedale County Water District,1914,Tulare Lake
Pismo Beach  City of,1923,Central Coast
Pittsburg  City of,1925,San Francisco Bay
Placer County Water Agency,1927,Sacramento River
Pleasanton  City of,1940,San Francisco Bay
Pomona  City of,1945,South Coast
Port Hueneme  City of,1953,South Coast
Porterville  City of,1956,Tulare Lake
Poway  City of,1964,South Coast
Quartz Hill Water District,1983,South Lahontan
Rainbow Municipal Water District,1990,South Coast
Ramona Municipal Water District,1996,South Coast
Rancho California Water District,2000,South Coast
Red Bluff  City of,2031,Sacramento River
Redding  City of,2033,Sacramento River
Redlands  City of,2035,South Coast
Redwood City  City of,2037,San Francisco Bay
Reedley  City of,2042,Tulare Lake
Rialto  City of,2049,South Coast
Rincon Del Diablo Municipal Water District,2057,South Coast
Rio Linda - Elverta Community Water District,2061,Sacramento River
"Rio Vista, city of",2063,Sacramento River
Ripon  City of,2065,San Joaquin River
Riverbank  City of,2074,San Joaquin River
Riverside  City of,2083,South Coast
Riverside Highland Water Company,2087,South Coast
Rohnert Park  City of,2103,North Coast
Rosamond Community Service District,2107,South Lahontan
Roseville  City of,2111,Sacramento River
Rowland Water District,2115,South Coast
Rubidoux Community Service District,2118,South Coast
Rubio Canyon Land and Water Association,2119,South Coast
Sacramento  City of,2130,Sacramento River
Sacramento County Water Agency,2132,Sacramento River
Sacramento Suburban Water District,2140,Sacramento River
San Bernardino  City of,2150,South Coast
San Bernardino County Service Area 64,2154,South Lahontan
San Bernardino County Service Area 70J,2891,South Coast
