School,Grade,Housing Status,Adult Household,EL,Special Ed.,Services,Living Status,year,GT,greater_than_four
Truman,8,> 1 family,2 parents,,,,,2010-2011,,
Truman,7,> 1 family,2 parents,,,,,2010-2011,,
Randall Pepper,2,> 1 family,2 parents,,,,,2010-2011,,
FMS,6,>1 family,1 parent,,,,,2010-2011,,
Palmetto,K,> 1 family,2 parents,,,,,2010-2011,,
Kaiser H.S.,10,friends or family,relative/another adult,,,,,2010-2011,,
Truman,8,> 1 family,relative/another adult,,,,,2010-2011,,
Porter,4,"in a car, trailer park, or campsite",2 parents,,,,,2010-2011,,
Mango,K,>1 family,1 parent & another adult,,,,,2010-2011,,
Redwood,6,friends or family,2 parents,,,,,2010-2011,,
Oleander,4,> 1 family,1 parent,,,,,2010-2011,,
Redwood,5,friends or family,2 parents,,,,,2010-2011,,
Redwood,3,friends or family,2 parents,,,,,2010-2011,,
Oleander,3,> 1 family,1 parent,,,,,2010-2011,,
Maple,3,> 1 family,1 parent & another adult,,,,,2010-2011,,
Fontana M.S.,8,other,2 parents,,yes,,,2010-2011,,
Fontana M.S.,8,> 1 family,2 parents,,,,,2010-2011,,
Alder,7,> 1 family,1 parent,,,,,2010-2011,,
Ruble,7,>1 family,1 parent,,,,,2010-2011,,
Porter,3,> 1 family,1 parent,,,,,2010-2011,,
Jurupa,9,friends or family,2 parents,,,,,2010-2011,,
Citrus,1,friends or family,legal tutor,,,,,2010-2011,,
Southridge,7,friends or family,1 parent,,,,,2010-2011,,
Chaparral,5,friends or family,1 parent,,,,,2010-2011,,
Randall Pepper,1,> 1 family,1 parent,,,,,2010-2011,,
Kaiser H.S.,10,friends or family,1 parent,,,,,2010-2011,,
Tokay,1,> 1 family,1 parent,,,,,2010-2011,,
Alder,7,> 1 family,1 parent,,,,,2010-2011,,
Tokay,5,> 1 family,1 parent & another adult,,,,,2010-2011,,
Date,1,> 1 family,1 parent & another adult,,,,,2010-2011,,
Alder,6,Other,relative/another adult,,,,,2010-2011,,
Alder,8,> 1 family,2 parents,,,,,2010-2011,,
Alder,7,> 1 family,2 parents,,,,,2010-2011,,
Truman,8,> 1 family,2 parents,,,,,2010-2011,,
West Randall,3,> 1 family,2 parents,,,,,2010-2011,,
West Randall,K,> 1 family,2 parents,,,,,2010-2011,,
Redwood,K,other,1 parent,,,,,2010-2011,,
Ruble,7,> 1 family,2 parents,,,,,2010-2011,,
Kaiser H.S.,11,>1 family,2 parents,,,,,2010-2011,,
Jurupa,10,> 1 family,1 parent & another adult,,,,,2010-2011,,
Tokay,8,> 1 family,1 parent & another adult,,,,,2010-2011,,
Date,4,friends or family,1 parent,,,,,2010-2011,,
Date,2,friends or family,1 parent,,,,,2010-2011,,
Date,K,friends or family,1 parent,,,,,2010-2011,,
S. Tamarind,K,> 1 family,1 parent & another adult,,,,,2010-2011,,
Fohi,11,friends or family,1 parent,,,,,2010-2011,,
Fontana M.S.,8,friends or family,1 parent,,,,,2010-2011,,
S. Tamarind,3,friends or family,1 parent,,,,,2010-2011,,
