School,Grade,Housing Status,Adult Household,EL,Special Ed.,Services,Living Status,year,GT,greater_than_four
Oak Park,1,> 1 fam.,"relative, friend, or another",,,,,2015-2016,,
FMS,7,> 1 fam.,2 parents,,,,,2015-2016,,
Porter,TK,temp. w/friends or fam.,1 parent & another adult,,,,,2015-2016,,
Truman,6,in a group home,"relative, friend, or another",,,,,2015-2016,,
R. Pepper,K,> 1 fam.,2 parents,,,,,2015-2016,,
S. Tamarind,3,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
FMS,7,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
C. Crest,2,temp. w/friends or fam.,1 parent & another adult,,,,,2015-2016,,
Alder,6,> 1 fam.,1 parent,,x,,,2015-2016,,
Fohi,11,in a foster care,2 parents,,,,,2015-2016,,
Kaiser,12,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
Fohi,11,in a shelter or transitional H.P.,2 parents,,,,,2015-2016,,
Kaiser,12,other,"relative, friend, or another",,,,,2015-2016,,
N. Tamarind,K,> 1 fam.,2 parents,,x,,,2015-2016,,
FMS,7,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Primrose,4,> 1 fam.,2 parents,,,,,2015-2016,,
S. Tamarind,2,in a foster care,unknown,,,,,2015-2016,,
Juniper,1,> 1 fam.,1 parent,,,,,2015-2016,,
Juniper,4,> 1 fam.,1 parent,,,,,2015-2016,,
Hemlock,TK,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Kaiser,10,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Maple,1,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
C. Crest,K,> 1 fam.,1 parent,,,,,2015-2016,,
Kaiser,9,> 1 fam.,1 parent,,,,,2015-2016,,
Oleander,K,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Tokay,4,in a foster care,2 parents,,,,,2015-2016,,
Grant,4,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Jurupa,11,in a group home,"relative, friend, or another",,,,,2015-2016,,
Ruble,7,> 1 fam.,1 parent,,,,,2015-2016,,
Juniper,2,> 1 fam.,1 parent,,,,,2015-2016,,
FUSD,12,in a group home,"relative, friend, or another",,?,,,2015-2016,,
Porter,3,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
FMS,7,temp. w/friends or fam.,1 parent,,x,,,2015-2016,,
Oleander,5,temp. w/friends or fam.,unknown,,,,,2015-2016,,
Tokay,PK,temp. w/friends or fam.,unknown,,,,,2015-2016,,Yes
Sierra Lakes,K,other,"relative, friend, or another",,,,,2015-2016,,
Sierra Lakes,1,other,"relative, friend, or another",,,,,2015-2016,,
Jurupa,11,> 1 fam.,1 parent,,,,,2015-2016,,
Sierra Lakes,5,> 1 fam.,1 parent,,,,,2015-2016,,
Citrus,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Citrus,2,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Summit,12,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Oak Park,K,> 1 fam.,2 parents,,,,,2015-2016,,
Truman,8,> 1 fam.,1 parent,,,,,2015-2016,,
Tokay,TK,> 1 fam.,1 parent,,,,,2015-2016,,
Kaiser,10,> 1 fam.,"relative, friend, or another",,,,,2015-2016,,
Kaiser,9,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
Miller,9,in a foster care,2 parents,,,,,2015-2016,,
S. Tamarind,K,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
R. Pepper,4,> 1 fam.,1 parent,,,,,2015-2016,,
Oleander,4,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Palmetto,5,temp. w/friends or fam.,"relative, friend, or another",,x,,,2015-2016,,
Mango,PK,temp. w/friends or fam.,unknown,,,,,2015-2016,,Yes
Fohi,10,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
R. Pepper,5,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
Palmetto,PK,temp. w/friends or fam.,unknown,,,,,2015-2016,,Yes
Jurupa ,9,> 1 fam.,1 parent,,,,,2015-2016,,
Truman,6,> 1 fam.,1 parent,,,,,2015-2016,,
FMS,8,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Summit,9,> 1 fam.,2 parents,,,,,2015-2016,,
N. Tamarind,4,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
N. Tamarind,2,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
N. Tamarind,3,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
S. Tamarind,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Mango,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Maple,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Miller,12,in a group home,unknown,,,,,2015-2016,,
FMS,8,temp. w/friends or fam.,2 parents,,x,,,2015-2016,,
Oak Park,K,> 1 fam.,2 parents,,,,,2015-2016,,
Chaparral,K,> 1 fam.,1 parent,,,,,2015-2016,,
Hemlock,1,> 1 fam.,1 parent,,,,,2015-2016,,
Hemlock,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Citrus,K,> 1 fam.,1 parent,,,,,2015-2016,,
Binks,K,> 1 fam.,2 parents,,,,,2015-2016,,
Almond,3,> 1 fam.,2 parents,,,,,2015-2016,,
Poplar,K,> 1 fam.,2 parents,,,,,2015-2016,,
Fohi,12,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
W. Randall,1,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Shadow H.,K,> 1 fam.,2 parents,,,,,2015-2016,,
Shadow H.,3,> 1 fam.,2 parents,,,,,2015-2016,,
Palmetto,K,> 1 fam.,2 parents,,,,,2015-2016,,
Summit,11,in a foster care,2 parents,,,,,2015-2016,,
Jurupa,9,> 1 fam.,"relative, friend, or another",,,,,2015-2016,,
Sierra Lakes,5,temp. w/friends or fam.,1 parent & another adult,,,,,2015-2016,,
Jurupa ,9,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Chaparral,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Date,1,temp. w/friends or fam.,1 parent & another adult,,,,,2015-2016,,
Almond,K,> 1 fam.,2 parents,,,,,2015-2016,,
Shadow H.,1,> 1 fam.,2 parents,,,,,2015-2016,,
Primrose,K,temp. w/friends or fam.,1 parent & another adult,,,,,2015-2016,,
Porter,PK,temp. w/friends or fam.,unknown,,,,,2015-2016,,Yes
N. Tamarind,K,temp. w/friends or fam.,"relative, friend, or another",,x,,,2015-2016,,
Tokay,K,> 1 fam.,2 parents,,,,,2015-2016,,
Kaiser,10,> 1 fam.,1 parent & another adult,,,,,2015-2016,,
Jurupa,10,> 1 fam.,2 parents,,,,,2015-2016,,
Maple,5,> 1 fam.,1 parent & another adult,,,,,2015-2016,,
Date,K,> 1 fam.,2 parents,,,,,2015-2016,,
Shadow H.,5,> 1 fam.,2 parents,,,,,2015-2016,,
Summit,10,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
R. Pepper,EC,in a foster care,unknown,,,,,2015-2016,,Yes
Beech Ave.,4,other,1 parent,,,,,2015-2016,,
Jurupa ,9,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Chaparral,4,> 1 fam.,1 parent & another adult,,,,,2015-2016,,
Ruble,6,temp. w/friends or fam.,1 parent & another adult,,,,,2015-2016,,
Live Oak,2,in a foster care,1 parent & another adult,,,,,2015-2016,,
Maple,4,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Mango,K,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Kaiser,10,temp. w/friends or fam.,1 parent & another adult,,,,,2015-2016,,
Binks,K,> 1 fam.,1 parent,,,,,2015-2016,,
Binks,2,> 1 fam.,"relative, friend, or another",,,,,2015-2016,,
Grant,K,> 1 fam.,2 parents,,,,,2015-2016,,
Shadow H.,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Oleander,1,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Chaparral,TK,> 1 fam.,1 parent,,,,,2015-2016,,
Oleander,K,> 1 fam.,2 parents,,,,,2015-2016,,
Palmetto,K,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Jurupa ,9,> 1 fam.,1 parent,,,,,2015-2016,,
Porter,1,> 1 fam.,2 parents,,,,,2015-2016,,
Porter,4,> 1 fam.,2 parents,,,,,2015-2016,,
N. Tamarind,K,> 1 fam.,1 parent,,,,,2015-2016,,
C. Crest,K,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Jurupa ,9,> 1 fam.,1 parent,,,,,2015-2016,,
Truman,6,> 1 fam.,1 parent,,,,,2015-2016,,
Palmetto,4,> 1 fam.,1 parent,,,,,2015-2016,,
Alder,7,> 1 fam.,2 parents,,,,,2015-2016,,
Cypress,1,> 1 fam.,1 parent,,,,,2015-2016,,
Cypress,2,> 1 fam.,1 parent,,,,,2015-2016,,
Cypress,5,> 1 fam.,1 parent,,,,,2015-2016,,
Date,K,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Sequoia,8,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
Citrus,3,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Citrus,6,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
Citrus,6,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
Miller,12,in a foster care,2 parents,,,,,2015-2016,,
Hemlock,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Primrose,2,in a foster care,"relative, friend, or another",,,,,2015-2016,,
Alder,6,in a foster care,"relative, friend, or another",,,,,2015-2016,,
Maple,PK,in a foster care,unknown,,,,,2015-2016,,Yes
Citrus,K,> 1 fam.,2 parents,,,,,2015-2016,,
Tokay,4,> 1 fam.,1 parent,,,,,2015-2016,,
S. Tamarind,3,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Juniper,4,temp. w/friends or fam.,1 parent & another adult,,,,,2015-2016,,
FMS,8,> 1 fam.,1 parent,,,,,2015-2016,,
FMS,7,> 1 fam.,1 parent,,,,,2015-2016,,
FMS,7,> 1 fam.,1 parent & another adult,,x,,,2015-2016,,
Beech Ave.,5,> 1 fam.,1 parent,,,,,2015-2016,,
Maple,4,in a foster care,"relative, friend, or another",,,,,2015-2016,,
Sequoia,7,> 1 fam.,unknown,,x,,,2015-2016,,
Maple,2,in a foster care,"relative, friend, or another",,,,,2015-2016,,
Redwood,5,> 1 fam.,1 parent,,,,,2015-2016,,
W. Randall,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Summit,12,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
Oleander,3,> 1 fam.,2 parents,,,,,2015-2016,,
Sequoia,8,> 1 fam.,1 parent,,x,,,2015-2016,,
Sequoia,7,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Oak Park,4,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
Fohi,9,> 1 fam.,2 parents,,,,,2015-2016,,
Truman,8,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Truman,8,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Hemlock,K,> 1 fam.,1 parent,,,,,2015-2016,,
FMS,7,> 1 fam.,2 parents,,,,,2015-2016,,
Binks,K,> 1 fam.,2 parents,,,,,2015-2016,,
Grant,3,temp. w/friends or fam.,1 parent & another adult,,,,,2015-2016,,
Summit,9,temp. w/friends or fam.,1 parent & another adult,,,,,2015-2016,,
Jurupa ,9,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Ruble,8,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Mango,3,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Jurupa ,10,> 1 fam.,2 parents,,,,,2015-2016,,
Citrus H.S.,12,in a group home,unknown,,,,,2015-2016,,
Locust,2,> 1 fam.,1 parent,,,,,2015-2016,,
Shadow H.,4,> 1 fam.,2 parents,,,,,2015-2016,,
Jurupa ,10,> 1 fam.,1 parent,,,,,2015-2016,,
Oak Park,3,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Redwood,PK,> 1 fam.,2 parents,,,,,2015-2016,,Yes
Oak Park,TK,in a foster care,1 parent,,,,,2015-2016,,
Oak Park,K,in a foster care,1 parent,,,,,2015-2016,,
Binks,K,> 1 fam.,1 parent,,,,,2015-2016,,
Chaparral,K,> 1 fam.,2 parents,,,,,2015-2016,,
Chaparral,3,> 1 fam.,2 parents,,,,,2015-2016,,
Redwood,4,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Tokay,1,in a foster care,2 parents,,,,,2015-2016,,
Birch,12,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
Date,K,> 1 fam.,1 parent,,,,,2015-2016,,
Citrus,K,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Fohi,9,> 1 fam.,1 parent,,,,,2015-2016,,
Shadow H.,3,in a foster care,2 parents,,x,,,2015-2016,,
SRMS,6,in a group home,2 parents,,,,,2015-2016,,
Live Oak,PK,temp. w/friends or fam.,unknown,,,,,2015-2016,,Yes
Sequoia,8,> 1 fam.,2 parents,,,,,2015-2016,,
Shadow H.,5,> 1 fam.,2 parents,,,,,2015-2016,,
N. Tamarind,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Jurupa,11,> 1 fam.,2 parents,,,,,2015-2016,,
Oak Park,K,in a foster care,1 parent & another adult,,,,,2015-2016,,
R. Pepper,K,> 1 fam.,1 parent,,,,,2015-2016,,
Shadow H.,4,> 1 fam.,2 parents,,,,,2015-2016,,
Jurupa,11,> 1 fam.,2 parents,,,,,2015-2016,,
Juniper,1,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Summit,9,> 1 fam.,2 parents,,x,,,2015-2016,,
Jurupa ,9,> 1 fam.,2 parents,,,,,2015-2016,,
Jurupa,12,> 1 fam.,2 parents,,,,,2015-2016,,
Shadow H.,K,> 1 fam.,1 parent,,,,,2015-2016,,
Sierra Lakes,1,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Juniper,TK,in a foster care,2 parents,,,,,2015-2016,,
Oak Park,K,> 1 fam.,1 parent,,,,,2015-2016,,
Shadow H.,4,> 1 fam.,1 parent,,,,,2015-2016,,
Redwood,K,> 1 fam.,2 parents,,,,,2015-2016,,
Redwood,1,> 1 fam.,2 parents,,,,,2015-2016,,
Miller,12,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
Locust,K,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Citrus,1,> 1 fam.,1 parent,,,,,2015-2016,,
Maple,1,> 1 fam.,2 parents,,,,,2015-2016,,
Live Oak,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
W. Randall,K,> 1 fam.,2 parents,,,,,2015-2016,,
Porter,K,> 1 fam.,2 parents,,x,,,2015-2016,,
Citrus,6,> 1 fam.,2 parents,,,,,2015-2016,,
Jurupa ,10,> 1 fam.,2 parents,,,,,2015-2016,,
Miller,11,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Alder,8,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Birch,11,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Oak Park,K,> 1 fam.,"relative, friend, or another",,,,,2015-2016,,
Adult Ed. (601),PK,in a foster care,unknown,,,,,2015-2016,,Yes
Kaiser,9,> 1 fam.,1 parent,,,,,2015-2016,,
Juniper,5,in a motel or hotel,1 parent & another adult,,,,,2015-2016,,
Jurupa,11,> 1 fam.,1 parent,,x,,,2015-2016,,
Poplar,1,temp. w/friends or fam.,unknown,,,,,2015-2016,,
Jurupa,10,> 1 fam.,1 parent,,,,,2015-2016,,
SRMS,7,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Juniper,4,> 1 fam.,2 parents,,,,,2015-2016,,
Juniper,3,> 1 fam.,2 parents,,,,,2015-2016,,
Miller,10,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Kaiser,9,> 1 fam.,1 parent,,,,,2015-2016,,
Kaiser,12,in a group home,"relative, friend, or another",,,,,2015-2016,,
SRMS,6,> 1 fam.,1 parent,,,,,2015-2016,,
Poplar,3,in a shelter ,1 parent,,,,,2015-2016,,
Shadow H.,EC,> 1 fam.,unknown,,,,,2015-2016,,Yes
Miller,9,> 1 fam.,1 parent & another adult,,,,,2015-2016,,
Date,3,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Miller,11,> 1 fam.,1 parent,,,,,2015-2016,,
Redwood,1,> 1 fam.,1 parent,,,,,2015-2016,,
N. Tamarind,1,in a foster care,unknown,,,,,2015-2016,,
Fohi,10,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Ruble,7,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Jurupa,11,> 1 fam.,1 parent,,,,,2015-2016,,
Jurupa,10,> 1 fam.,2 parents,,,,,2015-2016,,
Porter,PK,temp. w/friends or fam.,unknown,,,,,2015-2016,,Yes
Shadow H.,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
FMS,7,> 1 fam.,2 parents,,,,,2015-2016,,
Jurupa,10,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Alder,8,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
C. Crest,5,> 1 fam.,1 parent,,,,,2015-2016,,
C. Crest,5,> 1 fam.,1 parent,,,,,2015-2016,,
Almeria,6,> 1 fam.,1 parent & another adult,,x,,,2015-2016,,
Almond,3,> 1 fam.,1 parent & another adult,,x,,,2015-2016,,
Alder,6,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Sierra Lakes,1,> 1 fam.,unknown,,,,,2015-2016,,
Summit,9,> 1 fam.,1 parent,,,,,2015-2016,,
FMS,8,in a foster care,1 parent,,,,,2015-2016,,
Porter,1,> 1 fam.,2 parents,,,,,2015-2016,,
Oak Park,PK,temp. w/friends or fam.,unknown,,,,,2015-2016,,Yes
N. Tamarind,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Jurupa ,9,> 1 fam.,1 parent,,,,,2015-2016,,
Miller,12,> 1 fam.,1 parent & another adult,,,,,2015-2016,,
S. Tamarind,1,in a shelter ,1 parent,,,,,2015-2016,,
Poplar,3,> 1 fam.,1 parent,,x,,,2015-2016,,
Jurupa,10,> 1 fam.,2 parents,,,,,2015-2016,,
Live Oak,K,> 1 fam.,2 parents,,,,,2015-2016,,
Porter,5,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Alder,7,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Alder,7,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Redwood,K,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Hemlock,PK,temp. w/friends or fam.,unknown,,,,,2015-2016,,Yes
Miller,9,> 1 fam.,1 parent,,,,,2015-2016,,
Jurupa ,9,> 1 fam.,2 parents,,,,,2015-2016,,
Hemlock,K,> 1 fam.,1 parent,,,,,2015-2016,,
Porter,TK,in a foster care,1 parent,,,,,2015-2016,,
Live Oak,TK,> 1 fam.,2 parents,,,,,2015-2016,,
Palmetto,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Almond,TK,> 1 fam.,2 parents,,,,,2015-2016,,
Tokay,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Tokay,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Sierra Lakes,K,> 1 fam.,2 parents,,,,,2015-2016,,
Hemlock,EC,in a foster care,unknown,,,,,2015-2016,,Yes
Oak Park,PK,in a foster care,unknown,,,,,2015-2016,,Yes
Miller,10,> 1 fam.,1 parent,,,,,2015-2016,,
Miller,11,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Maple,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Juniper,K,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Shadow H.,EC,> 1 fam.,unknown,,,,,2015-2016,,Yes
Birch,10,> 1 fam.,1 parent,,,,,2015-2016,,
Binks,3,in a foster care,"relative, friend, or another",,,,,2015-2016,,
Jurupa ,10,> 1 fam.,1 parent,,,,,2015-2016,,
FMS,7,> 1 fam.,2 parents,,,,,2015-2016,,
Juniper,K,in a foster care,"relative, friend, or another",,,,,2015-2016,,
Miller,11,> 1 fam.,2 parents,,,,,2015-2016,,
Mango,K,> 1 fam.,1 parent,,,,,2015-2016,,
Birch ,11,> 1 fam.,1 parent,,,,,2015-2016,,
FMS,7,> 1 fam.,1 parent,,,,,2015-2016,,
FMS,8,> 1 fam.,1 parent,,,,,2015-2016,,
Fohi,9,> 1 fam.,1 parent,,,,,2015-2016,,
FMS,8,> 1 fam.,1 parent,,,,,2015-2016,,
Tokay,K,> 1 fam.,1 parent,,,,,2015-2016,,
Almeria,7,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Grant,5,> 1 fam.,2 parents,,,,,2015-2016,,
Maple,3,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Maple,5,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Maple,1,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Kaiser,12,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Kaiser,9,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Grant,1,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Tokay,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Locust,K,temp. w/friends or fam.,1 parent & another adult,,,,,2015-2016,,
R. Pepper,K,> 1 fam.,2 parents,,,,,2015-2016,,
S. Tamarind,K,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Almond,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Live Oak,K,> 1 fam.,2 parents,,,,,2015-2016,,
Kaiser,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Citrus,3,> 1 fam.,1 parent,,,,,2015-2016,,
R. Pepper,3,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
R. Pepper,5,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
FMS,7,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
R. Pepper,PK,temp. w/friends or fam.,unknown,,,,,2015-2016,,Yes
Citrus,K,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Miller,9,in a group home,"relative, friend, or another",,,,,2015-2016,,
Oleander,PK,> 1 fam.,2 parents,,,,,2015-2016,,Yes
Citrus,1,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Mango,K,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Shadow H.,1,> 1 fam.,1 parent & another adult,,,,,2015-2016,,
W. Randall,4,> 1 fam.,1 parent,,x,,,2015-2016,,
W. Randall,4,> 1 fam.,1 parent,,x,,,2015-2016,,
Cypress,4,temp. w/friends or fam.,unknown,,,,,2015-2016,,
Cypress,2,temp. w/friends or fam.,unknown,,,,,2015-2016,,
Date,5,> 1 fam.,2 parents,,,,,2015-2016,,
Date,3,> 1 fam.,2 parents,,,,,2015-2016,,
Jurupa,12,> 1 fam.,2 parents,,,,,2015-2016,,
Citrus,11,> 1 fam.,1 parent & another adult,,,,,2015-2016,,
Almond,3,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Grant,PK,in a foster care,2 parents,,,,,2015-2016,,Yes
Poplar,K,> 1 fam.,2 parents,,,,,2015-2016,,
Grant,4,> 1 fam.,1 parent,,,,,2015-2016,,
Almeria,8,> 1 fam.,1 parent,,,,,2015-2016,,
Miller,10,temp. w/friends or fam.,"relative, friend, or another",,,,,2015-2016,,
S. Tamarind,3,in a motel or hotel,2 parents,,,,,2015-2016,,
FMS,6,in a motel or hotel,2 parents,,,,,2015-2016,,
N. Tamarind,K,in a motel or hotel,2 parents,,,,,2015-2016,,
S. Tamarind,4,in a motel or hotel,2 parents,,,,,2015-2016,,
Locust,4,in a motel or hotel,2 parents,,,,,2015-2016,,
Jurupa,10,> 1 fam.,2 parents,,,,,2015-2016,,
Poplar,2,> 1 fam.,1 parent,,,,,2015-2016,,
Truman,7,> 1 fam.,2 parents,,,,,2015-2016,,
Jurupa,10,in a group home,unknown,,,,,2015-2016,,
Jurupa,9,> 1 fam.,1 parent & another adult,,,,,2015-2016,,
Birch,11,in a motel or hotel,2 parents,,,,,2015-2016,,
Birch,12,> 1 fam.,1 parent & another adult,,,,,2015-2016,,
Jurupa,11,in a foster care,"relative, friend, or another",,,,,2015-2016,,
Kaiser,12,> 1 fam.,1 parent,,,,,2015-2016,,
Truman,7,in a group home,"relative, friend, or another",,,,,2015-2016,,
Primrose,5,temp. w/friends or fam.,1 parent & another adult,,,,,2015-2016,,
Primrose,2,temp. w/friends or fam.,1 parent & another adult,,,,,2015-2016,,
Miller,9,temp. w/friends or fam.,in a foster care placement,,,,,2015-2016,,
Sierra Lakes,1,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Binks,PK,> 1 fam.,unknown,,,,,2015-2016,,Yes
Jurupa ,11,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Sierra Lakes,K,> 1 fam.,2 parents,,,,,2015-2016,,
Mango,TK,> 1 fam.,2 parents,,,,,2015-2016,,
Juniper,K,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Jurupa ,12,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Jurupa ,10,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
Chaparral,PK,temp. w/friends or fam.,unknown,,,,,2015-2016,,Yes
Sierra Lakes,1,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Ruble,6,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Ruble,7,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Summit,11,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
Truman,7,in a foster care,2 parents,,,,,2015-2016,,
C. Crest,K,> 1 fam.,2 parents,,,,,2015-2016,,
Hemlock,3,in a foster care,2 parents,,,,,2015-2016,,
Almeria,7,in a foster care,2 parents,,,,,2015-2016,,
Jurupa ,10,> 1 fam.,1 parent,,,,,2015-2016,,
FMS,6,in a foster care,"relative, friend, or another",,,,,2015-2016,,
Birch,11,in a foster care,"relative, friend, or another",,,,,2015-2016,,
Almeria,8,> 1 fam.,2 parents,,,,,2015-2016,,
Oak Park,5,> 1 fam.,"relative, friend, or another",,,,,2015-2016,,
R. Pepper,K,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
R. Pepper,2,temp. w/friends or fam.,1 parent,,,,,2015-2016,,
FUSD,PK,> 1 fam.,2 parents,,?,,,2015-2016,,Yes
R. Pepper,4,> 1 fam.,2 parents,,,,,2015-2016,,
Binks,2,temp. w/friends or fam.,1 parent & another adult,,,,,2015-2016,,
Locust,K,temp. w/friends or fam.,1 parent & another adult,,,,,2015-2016,,
Oak Park,2,temp. w/friends or fam.,1 parent,,x,,,2015-2016,,
N. Tamarind,K,> 1 fam.,1 parent & another adult,,,,,2015-2016,,
Jurupa ,9,temp. w/friends or fam.,1 parent & another adult,,,,,2015-2016,,
Miller,11,in a group home,unknown,,,,,2015-2016,,
Alder,7,> 1 fam.,2 parents,,,,,2015-2016,,
N. Tamarind,2,> 1 fam.,2 parents,,,,,2015-2016,,
N. Tamarind,4,> 1 fam.,2 parents,,,,,2015-2016,,
Miller,11,in a foster care,1 parent & another adult,,,,,2015-2016,,
Porter,1,> 1 fam.,1 parent & another adult,,,,,2015-2016,,
Maple,2,> 1 fam.,1 parent & another adult,,,,,2015-2016,,
Oleander,1,> 1 fam.,1 parent,,,,,2015-2016,,
Almeria,6,> 1 fam.,1 parent,,,,,2015-2016,,
Miller,10,in a foster care,1 parent,,,,,2015-2016,,
FUSD,6,temp. w/friends or fam.,1 parent & another adult,,,,,2015-2016,,
Maple,K,temp. w/friends or fam.,2 parents,,,,,2015-2016,,
