id,furn_type,address,permit_issued,installed,lat,lon
763,Shelter ,234 Figueroa St EB 2nd St FS Figueroa St,Yes,,34.0551485,-118.2535273
764,Shelter ,Swcor of San Pedro St @ FS 12th St,Yes,,34.0337046,-118.2533229
765,Shelter ,1188 San Pedro & 12th St,Yes,,34.0337046,-118.2533229
766,Shelter ,560 S. Los Angeles  NB Los Angeles St. FS 6th St.,Yes,,34.0444836,-118.248138
767,Shelter ,1060 S. Main St @ 11th St,Yes,,34.0390159,-118.2598777
768,Shelter ,EB Olympic Bl NS Figueroa St,Yes,,34.0450064,-118.2639868
769,Shelter ,310 W. 1St St.  SB Broadway FS 1 St St,Yes,,34.0537086,-118.2456773
770,Shelter ,200 San Pedro St.  NB San Pedro St. NS 2nd St.,Yes,,34.048772,-118.241657
771,Shelter ,660 Fig  NB Fig FS 7th St,Yes,,34.0493807,-118.2594055
772,Shelter ,515 Flower St. NB Fig NS 5th,Yes,,34.0515427,-118.2569367
773,Shelter ,1900 Figueroa EB Washington  & Figueroa,Yes,,34.0335868,-118.2718876
774,Shelter ,NB Main St. FS Temple,Yes,,34.0540806,-118.2416528
775,Shelter ,SB Spring St. NS 1st St,Yes,,34.0529364,-118.2444611
776,Shelter ,SB Flower St. NS Olympic Bl,Yes ,Yes,34.0443763,-118.2627578
777,Shelter ,950 S. Flower WB Olympic Bl NS Flower St.,Yes,,34.0446711,-118.26211
778,Shelter ,1001 Hope St.EB Olympic Bl NS Hope St.,Yes,,34.0436107,-118.2621718
779,Shelter ,NB Olive St. NS Pico Bl (Located Island),Yes,,34.0381005,-118.2629604
780,Shelter ,SB Grand Ave FS 9th St,Yes,,34.0444059,-118.2593096
781,Shelter ,400 9th St  EB 9th St. NS Olive,Yes ,Yes,34.0438289,-118.2589606
782,Shelter ,1249 Grand Ave NS Pico Blvd,Yes ,Yes,34.039275,-118.26446
783,Shelter ,124 W. Pico NB Broadway NS Pico,Yes ,Yes,34.0366969,-118.261111
784,Shelter ,EB Aliso St. NS Los Angeles,Yes ,Yes,34.0548227,-118.2395054
