LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ARNOLD W MEDNICK,ANDREW COOPER
CITY OF BRADBURY,N,599,TOTAL,133,12,90
CITY OF BURBANK,N,60155,POLLING PLACE,4654,609,2912
CITY OF BURBANK,N,0,VBM PORTION,4858,477,3020
CITY OF BURBANK,N,60155,TOTAL,9510,1086,5932
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,183,813
CITY OF CALABASAS,N,0,VBM PORTION,1873,209,1083
CITY OF CALABASAS,N,14914,TOTAL,3327,392,1896
CITY OF CARSON,N,52903,POLLING PLACE,5087,686,3127
CITY OF CARSON,N,0,VBM PORTION,4089,509,2612
CITY OF CARSON,N,52903,TOTAL,9175,1195,5739
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,348,1683
CITY OF CERRITOS,N,0,VBM PORTION,3286,327,1905
CITY OF CERRITOS,N,31594,TOTAL,6062,675,3588
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,350,1819
CITY OF CLAREMONT,N,0,VBM PORTION,2652,260,1595
CITY OF CLAREMONT,N,22235,TOTAL,5533,610,3414
CITY OF COMMERCE,N,6256,POLLING PLACE,444,80,260
CITY OF COMMERCE,N,0,VBM PORTION,247,36,165
CITY OF COMMERCE,N,6256,TOTAL,686,116,425
CITY OF COMPTON,N,43063,POLLING PLACE,3022,451,1746
CITY OF COMPTON,N,0,VBM PORTION,1873,291,1123
CITY OF COMPTON,N,43063,TOTAL,4894,742,2869
CITY OF COVINA,N,26090,POLLING PLACE,2040,281,1343
CITY OF COVINA,N,0,VBM PORTION,1877,223,1196
CITY OF COVINA,N,26090,TOTAL,3913,504,2539
CITY OF CUDAHY,N,6697,POLLING PLACE,376,69,229
CITY OF CUDAHY,N,0,VBM PORTION,164,22,113
CITY OF CUDAHY,N,6697,TOTAL,539,91,342
CITY OF CULVER CITY,N,26286,POLLING PLACE,3601,587,1780
CITY OF CULVER CITY,N,0,VBM PORTION,3120,449,1656
CITY OF CULVER CITY,N,26286,TOTAL,6708,1036,3436
CITY OF DIAMOND BAR,N,31476,POLLING PLACE,2646,279,1690
CITY OF DIAMOND BAR,N,0,VBM PORTION,3067,274,1919
CITY OF DIAMOND BAR,N,31476,TOTAL,5711,553,3609
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,753,3676
CITY OF DOWNEY,N,0,VBM PORTION,3452,358,2252
CITY OF DOWNEY,N,54713,TOTAL,9292,1111,5928
CITY OF DUARTE,N,11742,POLLING PLACE,960,132,605
CITY OF DUARTE,N,0,VBM PORTION,1099,136,721
CITY OF DUARTE,N,11742,TOTAL,2059,268,1326
CITY OF EL MONTE,N,36036,POLLING PLACE,2322,376,1441
CITY OF EL MONTE,N,0,VBM PORTION,1885,290,1185
CITY OF EL MONTE,N,36036,TOTAL,4201,666,2626
CITY OF EL SEGUNDO,N,11286,POLLING PLACE,1471,166,901
CITY OF EL SEGUNDO,N,0,VBM PORTION,1380,116,833
CITY OF EL SEGUNDO,N,11286,TOTAL,2848,282,1734
CITY OF GARDENA,N,30000,POLLING PLACE,2779,351,1732
CITY OF GARDENA,N,0,VBM PORTION,2597,343,1550
CITY OF GARDENA,N,30000,TOTAL,5358,694,3282
CITY OF GLENDALE,N,97282,POLLING PLACE,9406,1066,4964
CITY OF GLENDALE,N,0,VBM PORTION,12284,1032,5477
CITY OF GLENDALE,N,97282,TOTAL,21689,2098,10441
CITY OF GLENDORA,N,31341,POLLING PLACE,2864,286,1950
CITY OF GLENDORA,N,0,VBM PORTION,2920,276,1927
CITY OF GLENDORA,N,31341,TOTAL,5784,562,3877
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,56,169
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,56,185
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,112,354
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,344,1532
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,257,1356
CITY OF HAWTHORNE,N,36483,TOTAL,4464,601,2888
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,220,975
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,166,933
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,386,1908
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,16,87
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,13,80
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,29,167
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,185,607
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,85,386
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,270,993
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,1,18
CITY OF INDUSTRY,N,103,TOTAL,32,1,18
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,660,2866
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,408,2080
CITY OF INGLEWOOD,N,55170,TOTAL,8342,1068,4946
CITY OF IRWINDALE,N,939,POLLING PLACE,75,12,38
CITY OF IRWINDALE,N,0,VBM PORTION,61,4,44
CITY OF IRWINDALE,N,939,TOTAL,135,16,82
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,168,1024
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,217,1390
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,385,2414
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,40,286
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,49,354
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,89,640
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,277,1604
CITY OF LA MIRADA,N,0,VBM PORTION,2428,235,1582
CITY OF LA MIRADA,N,27147,TOTAL,4843,512,3186
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,140,620
CITY OF LA PUENTE,N,0,VBM PORTION,740,129,478
CITY OF LA PUENTE,N,15802,TOTAL,1699,269,1098
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,247,1684
CITY OF LA VERNE,N,0,VBM PORTION,2109,187,1369
CITY OF LA VERNE,N,20532,TOTAL,4568,434,3053
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,521,3005
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,473,2705
CITY OF LAKEWOOD,N,48358,TOTAL,8638,994,5710
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,688,3606
CITY OF LANCASTER,N,0,VBM PORTION,6128,622,4272
CITY OF LANCASTER,N,73718,TOTAL,11514,1310,7878
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,152,546
CITY OF LAWNDALE,N,0,VBM PORTION,697,95,461
CITY OF LAWNDALE,N,13398,TOTAL,1522,247,1007
CITY OF LOMITA,N,11237,POLLING PLACE,1073,129,740
CITY OF LOMITA,N,0,VBM PORTION,1050,122,719
CITY OF LOMITA,N,11237,TOTAL,2122,251,1459
CITY OF LONG BEACH,N,254779,POLLING PLACE,26922,3818,15250
CITY OF LONG BEACH,N,0,VBM PORTION,25748,2964,15704
CITY OF LONG BEACH,N,254779,TOTAL,52664,6782,30954
CITY OF LOS ANGELES,N,1792976,POLLING PLACE,152611,23477,87301
CITY OF LOS ANGELES,N,0,VBM PORTION,138617,17935,80123
CITY OF LOS ANGELES,N,1792976,TOTAL,291153,41412,167424
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,179,588
CITY OF LYNWOOD,N,0,VBM PORTION,754,105,489
CITY OF LYNWOOD,N,24503,TOTAL,1711,284,1077
CITY OF MALIBU,N,9097,POLLING PLACE,1202,197,592
CITY OF MALIBU,N,0,VBM PORTION,1236,166,613
CITY OF MALIBU,N,9097,TOTAL,2437,363,1205
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,421,1948
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,303,1947
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,724,3895
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,80,271
CITY OF MAYWOOD,N,0,VBM PORTION,258,32,154
CITY OF MAYWOOD,N,8324,TOTAL,708,112,425
CITY OF MONROVIA,N,20047,POLLING PLACE,1846,192,1218
CITY OF MONROVIA,N,0,VBM PORTION,1919,225,1093
CITY OF MONROVIA,N,20047,TOTAL,3752,417,2311
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,356,1346
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,237,1099
CITY OF MONTEBELLO,N,28939,TOTAL,3924,593,2445
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,313,1295
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,301,1459
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,614,2754
CITY OF NORWALK,N,47546,POLLING PLACE,2626,445,1682
CITY OF NORWALK,N,0,VBM PORTION,2657,304,1716
CITY OF NORWALK,N,47546,TOTAL,5277,749,3398
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,655,3396
CITY OF PALMDALE,N,0,VBM PORTION,5361,634,3538
CITY OF PALMDALE,N,69762,TOTAL,10378,1289,6934
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,121,867
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,127,1090
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,248,1957
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,167,606
CITY OF PARAMOUNT,N,0,VBM PORTION,648,88,397
CITY OF PARAMOUNT,N,19999,TOTAL,1576,255,1003
CITY OF PASADENA,N,78446,POLLING PLACE,7034,1123,4132
CITY OF PASADENA,N,0,VBM PORTION,8408,962,4983
CITY OF PASADENA,N,78446,TOTAL,15431,2085,9115
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,336,1335
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,218,1113
CITY OF PICO RIVERA,N,32447,TOTAL,3746,554,2448
CITY OF POMONA,N,57598,POLLING PLACE,3541,569,2233
CITY OF POMONA,N,0,VBM PORTION,3368,458,2205
CITY OF POMONA,N,57598,TOTAL,6909,1027,4438
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,429,2409
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4663,406,2953
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8478,835,5362
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,588,2729
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,552,3054
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,1140,5783
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,28,171
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,31,153
CITY OF ROLLING HILLS,N,1510,TOTAL,537,59,324
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,60,558
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,80,568
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,140,1126
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,190,706
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,148,806
CITY OF ROSEMEAD,N,20579,TOTAL,2488,338,1512
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,216,1402
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,172,1270
CITY OF SAN DIMAS,N,21257,TOTAL,3989,388,2672
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,98,383
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,61,329
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,159,712
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,183,770
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,144,785
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,327,1555
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,92,497
CITY OF SAN MARINO,N,0,VBM PORTION,1161,109,673
CITY OF SAN MARINO,N,8559,TOTAL,1956,201,1170
CITY OF SANTA CLARITA,N,111849,POLLING PLACE,9825,966,6469
CITY OF SANTA CLARITA,N,0,VBM PORTION,12712,1005,8513
CITY OF SANTA CLARITA,N,111849,TOTAL,22530,1971,14982
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,86,454
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,75,377
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,161,831
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,1621,4398
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,1031,3468
CITY OF SANTA MONICA,N,62632,TOTAL,16552,2652,7866
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,137,719
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,96,698
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,233,1417
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,105,496
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,80,427
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,185,923
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,65,265
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,44,235
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,109,500
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,304,1196
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,155,805
CITY OF SOUTH GATE,N,35773,TOTAL,3018,459,2001
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,288,1161
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,201,1055
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,489,2216
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,171,960
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,147,932
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,318,1892
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,1341,7383
CITY OF TORRANCE,N,0,VBM PORTION,11369,1095,6779
CITY OF TORRANCE,N,83037,TOTAL,23394,2436,14162
CITY OF VERNON,N,60,POLLING PLACE,0,0,0
CITY OF VERNON,N,0,VBM PORTION,18,1,7
CITY OF VERNON,N,60,TOTAL,16,1,7
CITY OF WALNUT,N,18002,POLLING PLACE,1247,137,760
CITY OF WALNUT,N,0,VBM PORTION,1658,155,985
CITY OF WALNUT,N,18002,TOTAL,2905,292,1745
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,440,2467
CITY OF WEST COVINA,N,0,VBM PORTION,3945,473,2580
CITY OF WEST COVINA,N,53486,TOTAL,7643,913,5047
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,403,1215
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,356,1155
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,759,2370
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,70,458
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,87,429
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,157,887
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,592,2803
CITY OF WHITTIER,N,0,VBM PORTION,3748,385,2390
CITY OF WHITTIER,N,46005,TOTAL,8056,977,5193
UNINCORPORATED,N,520339,POLLING PLACE,43458,6138,27008
UNINCORPORATED,N,0,VBM PORTION,39390,4581,24916
UNINCORPORATED,N,520339,TOTAL,82731,10719,51924
