LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JOAN M CHROSTEK,EMMA CASTRO
CITY OF LAKEWOOD,N,48358,TOTAL,8638,4285,2419
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,2839,1463
CITY OF LANCASTER,N,0,VBM PORTION,6128,3317,1469
CITY OF LANCASTER,N,73718,TOTAL,11514,6156,2932
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,366,329
CITY OF LAWNDALE,N,0,VBM PORTION,697,291,259
CITY OF LAWNDALE,N,13398,TOTAL,1522,657,588
CITY OF LOMITA,N,11237,POLLING PLACE,1073,552,325
CITY OF LOMITA,N,0,VBM PORTION,1050,518,314
CITY OF LOMITA,N,11237,TOTAL,2122,1070,639
CITY OF LONG BEACH,N,254779,POLLING PLACE,26922,9526,9849
CITY OF LONG BEACH,N,0,VBM PORTION,25748,9932,8896
CITY OF LONG BEACH,N,254779,TOTAL,52664,19458,18745
CITY OF LOS ANGELES,N,1792976,POLLING PLACE,152611,51521,63024
CITY OF LOS ANGELES,N,0,VBM PORTION,138617,48045,51849
CITY OF LOS ANGELES,N,1792976,TOTAL,291153,99566,114873
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,331,451
CITY OF LYNWOOD,N,0,VBM PORTION,754,291,316
CITY OF LYNWOOD,N,24503,TOTAL,1711,622,767
CITY OF MALIBU,N,9097,POLLING PLACE,1202,351,446
CITY OF MALIBU,N,0,VBM PORTION,1236,399,401
CITY OF MALIBU,N,9097,TOTAL,2437,750,847
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,1179,1200
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,1305,1011
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,2484,2211
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,123,246
CITY OF MAYWOOD,N,0,VBM PORTION,258,78,133
CITY OF MAYWOOD,N,8324,TOTAL,708,201,379
CITY OF MONROVIA,N,20047,POLLING PLACE,1846,831,605
CITY OF MONROVIA,N,0,VBM PORTION,1919,789,611
CITY OF MONROVIA,N,20047,TOTAL,3752,1620,1216
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,651,1096
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,534,699
CITY OF MONTEBELLO,N,28939,TOTAL,3924,1185,1795
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,730,912
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,837,949
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,1567,1861
CITY OF NORWALK,N,47546,POLLING PLACE,2626,1111,1026
CITY OF NORWALK,N,0,VBM PORTION,2657,1174,918
CITY OF NORWALK,N,47546,TOTAL,5277,2285,1944
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,2491,1558
CITY OF PALMDALE,N,0,VBM PORTION,5361,2811,1472
CITY OF PALMDALE,N,69762,TOTAL,10378,5302,3030
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,627,389
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,762,471
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,1389,860
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,364,414
CITY OF PARAMOUNT,N,0,VBM PORTION,648,237,245
CITY OF PARAMOUNT,N,19999,TOTAL,1576,601,659
CITY OF PASADENA,N,78446,POLLING PLACE,7034,2296,3070
CITY OF PASADENA,N,0,VBM PORTION,8408,2942,3177
CITY OF PASADENA,N,78446,TOTAL,15431,5238,6247
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,670,1040
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,536,838
CITY OF PICO RIVERA,N,32447,TOTAL,3746,1206,1878
CITY OF POMONA,N,57598,POLLING PLACE,3541,1369,1510
CITY OF POMONA,N,0,VBM PORTION,3368,1431,1244
CITY OF POMONA,N,57598,TOTAL,6909,2800,2754
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,1701,1123
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4663,2115,1260
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8478,3816,2383
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,1843,1498
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,2172,1498
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,4015,2996
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,130,59
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,105,81
CITY OF ROLLING HILLS,N,1510,TOTAL,537,235,140
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,389,224
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,430,232
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,819,456
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,440,456
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,464,480
CITY OF ROSEMEAD,N,20579,TOTAL,2488,904,936
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,1039,590
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,911,570
CITY OF SAN DIMAS,N,21257,TOTAL,3989,1950,1160
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,216,288
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,180,221
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,396,509
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,513,468
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,510,438
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,1023,906
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,316,272
CITY OF SAN MARINO,N,0,VBM PORTION,1161,469,325
CITY OF SAN MARINO,N,8559,TOTAL,1956,785,597
CITY OF SANTA CLARITA,N,111849,POLLING PLACE,9825,4978,2556
CITY OF SANTA CLARITA,N,0,VBM PORTION,12712,6530,3050
CITY OF SANTA CLARITA,N,111849,TOTAL,22530,11508,5606
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,292,252
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,229,222
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,521,474
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,2187,4124
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,1836,2832
CITY OF SANTA MONICA,N,62632,TOTAL,16552,4023,6956
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,469,412
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,457,354
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,926,766
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,357,250
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,292,223
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,649,473
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,118,210
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,119,166
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,237,376
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,632,899
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,460,510
CITY OF SOUTH GATE,N,35773,TOTAL,3018,1092,1409
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,627,877
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,602,691
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,1229,1568
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,659,478
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,649,428
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,1308,906
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,5253,3522
CITY OF TORRANCE,N,0,VBM PORTION,11369,4990,2969
CITY OF TORRANCE,N,83037,TOTAL,23394,10243,6491
CITY OF VERNON,N,60,POLLING PLACE,0,0,0
CITY OF VERNON,N,0,VBM PORTION,18,4,4
CITY OF VERNON,N,60,TOTAL,16,4,4
CITY OF WALNUT,N,18002,POLLING PLACE,1247,516,395
CITY OF WALNUT,N,0,VBM PORTION,1658,690,474
CITY OF WALNUT,N,18002,TOTAL,2905,1206,869
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,1612,1317
CITY OF WEST COVINA,N,0,VBM PORTION,3945,1625,1363
CITY OF WEST COVINA,N,53486,TOTAL,7643,3237,2680
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,566,1162
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,548,1043
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,1114,2205
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,297,226
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,322,207
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,619,433
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,1904,1495
CITY OF WHITTIER,N,0,VBM PORTION,3748,1667,1086
CITY OF WHITTIER,N,46005,TOTAL,8056,3571,2581
UNINCORPORATED,N,520339,POLLING PLACE,43458,18014,15963
UNINCORPORATED,N,0,VBM PORTION,39390,16774,13018
UNINCORPORATED,N,520339,TOTAL,82731,34788,28981
