LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TERESA P MAGNO,SONGHAI ARMSTEAD
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,749,868
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,1383,1423
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,208,116
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,229,180
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,437,296
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,1214,662
CITY OF LA MIRADA,N,0,VBM PORTION,2428,1043,772
CITY OF LA MIRADA,N,27147,TOTAL,4843,2257,1434
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,475,281
CITY OF LA PUENTE,N,0,VBM PORTION,740,397,210
CITY OF LA PUENTE,N,15802,TOTAL,1699,872,491
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,1183,760
CITY OF LA VERNE,N,0,VBM PORTION,2109,811,748
CITY OF LA VERNE,N,20532,TOTAL,4568,1994,1508
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,2291,1239
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,1907,1282
CITY OF LAKEWOOD,N,48358,TOTAL,8638,4198,2521
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,2718,1571
CITY OF LANCASTER,N,0,VBM PORTION,6128,2552,2171
CITY OF LANCASTER,N,73718,TOTAL,11514,5270,3742
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,400,301
CITY OF LAWNDALE,N,0,VBM PORTION,697,289,257
CITY OF LAWNDALE,N,13398,TOTAL,1522,689,558
CITY OF LOMITA,N,11237,POLLING PLACE,1073,571,314
CITY OF LOMITA,N,0,VBM PORTION,1050,483,354
CITY OF LOMITA,N,11237,TOTAL,2122,1054,668
CITY OF LONG BEACH,N,254779,POLLING PLACE,26922,11171,8158
CITY OF LONG BEACH,N,0,VBM PORTION,25748,9927,8906
CITY OF LONG BEACH,N,254779,TOTAL,52664,21098,17064
CITY OF LOS ANGELES,N,1792976,POLLING PLACE,152611,56750,56887
CITY OF LOS ANGELES,N,0,VBM PORTION,138617,47994,51568
CITY OF LOS ANGELES,N,1792976,TOTAL,291153,104744,108455
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,491,288
CITY OF LYNWOOD,N,0,VBM PORTION,754,357,246
CITY OF LYNWOOD,N,24503,TOTAL,1711,848,534
CITY OF MALIBU,N,9097,POLLING PLACE,1202,360,421
CITY OF MALIBU,N,0,VBM PORTION,1236,312,458
CITY OF MALIBU,N,9097,TOTAL,2437,672,879
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,1054,1311
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,1024,1253
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,2078,2564
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,240,125
CITY OF MAYWOOD,N,0,VBM PORTION,258,116,93
CITY OF MAYWOOD,N,8324,TOTAL,708,356,218
CITY OF MONROVIA,N,20047,POLLING PLACE,1846,812,610
CITY OF MONROVIA,N,0,VBM PORTION,1919,699,680
CITY OF MONROVIA,N,20047,TOTAL,3752,1511,1290
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,1078,633
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,695,512
CITY OF MONTEBELLO,N,28939,TOTAL,3924,1773,1145
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,849,749
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,853,946
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,1702,1695
CITY OF NORWALK,N,47546,POLLING PLACE,2626,1384,746
CITY OF NORWALK,N,0,VBM PORTION,2657,1284,792
CITY OF NORWALK,N,47546,TOTAL,5277,2668,1538
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,2432,1588
CITY OF PALMDALE,N,0,VBM PORTION,5361,2351,1887
CITY OF PALMDALE,N,69762,TOTAL,10378,4783,3475
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,464,548
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,464,748
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,928,1296
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,497,277
CITY OF PARAMOUNT,N,0,VBM PORTION,648,254,231
CITY OF PARAMOUNT,N,19999,TOTAL,1576,751,508
CITY OF PASADENA,N,78446,POLLING PLACE,7034,2458,2847
CITY OF PASADENA,N,0,VBM PORTION,8408,2558,3465
CITY OF PASADENA,N,78446,TOTAL,15431,5016,6312
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,1086,586
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,885,470
CITY OF PICO RIVERA,N,32447,TOTAL,3746,1971,1056
CITY OF POMONA,N,57598,POLLING PLACE,3541,1818,1005
CITY OF POMONA,N,0,VBM PORTION,3368,1575,1099
CITY OF POMONA,N,57598,TOTAL,6909,3393,2104
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,1358,1455
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4663,1406,1979
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8478,2764,3434
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,1745,1572
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,1790,1842
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,3535,3414
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,102,84
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,90,91
CITY OF ROLLING HILLS,N,1510,TOTAL,537,192,175
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,311,306
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,271,381
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,582,687
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,565,322
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,492,450
CITY OF ROSEMEAD,N,20579,TOTAL,2488,1057,772
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,1013,612
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,776,697
CITY OF SAN DIMAS,N,21257,TOTAL,3989,1789,1309
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,302,172
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,232,159
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,534,331
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,545,425
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,463,481
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,1008,906
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,307,280
CITY OF SAN MARINO,N,0,VBM PORTION,1161,362,423
CITY OF SAN MARINO,N,8559,TOTAL,1956,669,703
CITY OF SANTA CLARITA,N,111849,POLLING PLACE,9825,4365,3100
CITY OF SANTA CLARITA,N,0,VBM PORTION,12712,4972,4497
CITY OF SANTA CLARITA,N,111849,TOTAL,22530,9337,7597
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,358,188
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,293,166
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,651,354
