LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ELLEN H BROWN,GREG CONLON,JOHN CHIANG
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,66,97,509
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,143,245,1216
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,93,201,800
CITY OF SOUTH GATE,N,35773,TOTAL,3018,236,446,2016
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,90,457,1304
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,91,472,1131
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,181,929,2435
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,66,541,733
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,47,469,873
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,113,1010,1606
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,489,4917,5290
CITY OF TORRANCE,N,0,VBM PORTION,11369,450,4300,5353
CITY OF TORRANCE,N,83037,TOTAL,23394,939,9217,10643
CITY OF VERNON,N,60,POLLING PLACE,0,0,0,0
CITY OF VERNON,N,0,VBM PORTION,18,2,3,9
CITY OF VERNON,N,60,TOTAL,16,2,3,9
CITY OF WALNUT,N,18002,POLLING PLACE,1247,54,425,645
CITY OF WALNUT,N,0,VBM PORTION,1658,62,521,940
CITY OF WALNUT,N,18002,TOTAL,2905,116,946,1585
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,211,1198,1893
CITY OF WEST COVINA,N,0,VBM PORTION,3945,212,1179,2217
CITY OF WEST COVINA,N,53486,TOTAL,7643,423,2377,4110
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,186,201,1721
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,149,290,1583
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,335,491,3304
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,12,336,304
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,31,377,273
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,43,713,577
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,233,1624,2043
CITY OF WHITTIER,N,0,VBM PORTION,3748,176,1545,1661
CITY OF WHITTIER,N,46005,TOTAL,8056,409,3169,3704
UNINCORPORATED,N,520339,POLLING PLACE,43458,2536,12340,23882
UNINCORPORATED,N,0,VBM PORTION,39390,1897,12830,20967
UNINCORPORATED,N,520339,TOTAL,82731,4433,25170,44849
