LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,CHRIS J FRISCO
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,2920
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,2042
CITY OF INGLEWOOD,N,55170,TOTAL,8342,4962
CITY OF IRWINDALE,N,939,POLLING PLACE,75,39
CITY OF IRWINDALE,N,0,VBM PORTION,61,43
CITY OF IRWINDALE,N,939,TOTAL,135,82
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,901
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,1201
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,2102
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,253
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,323
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,576
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,1574
CITY OF LA MIRADA,N,0,VBM PORTION,2428,1503
CITY OF LA MIRADA,N,27147,TOTAL,4843,3077
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,658
CITY OF LA PUENTE,N,0,VBM PORTION,740,520
CITY OF LA PUENTE,N,15802,TOTAL,1699,1178
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,1598
CITY OF LA VERNE,N,0,VBM PORTION,2109,1237
CITY OF LA VERNE,N,20532,TOTAL,4568,2835
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,2987
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,2659
CITY OF LAKEWOOD,N,48358,TOTAL,8638,5646
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,3666
CITY OF LANCASTER,N,0,VBM PORTION,6128,4173
CITY OF LANCASTER,N,73718,TOTAL,11514,7839
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,570
CITY OF LAWNDALE,N,0,VBM PORTION,697,475
CITY OF LAWNDALE,N,13398,TOTAL,1522,1045
CITY OF LOMITA,N,11237,POLLING PLACE,1073,721
CITY OF LOMITA,N,0,VBM PORTION,1050,712
CITY OF LOMITA,N,11237,TOTAL,2122,1433
CITY OF LONG BEACH,N,254779,POLLING PLACE,26922,16394
CITY OF LONG BEACH,N,0,VBM PORTION,25748,15962
CITY OF LONG BEACH,N,254779,TOTAL,52664,32356
CITY OF LOS ANGELES,N,1792976,POLLING PLACE,152611,90816
CITY OF LOS ANGELES,N,0,VBM PORTION,138617,80496
CITY OF LOS ANGELES,N,1792976,TOTAL,291153,171312
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,673
CITY OF LYNWOOD,N,0,VBM PORTION,754,545
CITY OF LYNWOOD,N,24503,TOTAL,1711,1218
CITY OF MALIBU,N,9097,POLLING PLACE,1202,596
CITY OF MALIBU,N,0,VBM PORTION,1236,569
CITY OF MALIBU,N,9097,TOTAL,2437,1165
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,1807
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,1674
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,3481
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,309
CITY OF MAYWOOD,N,0,VBM PORTION,258,188
CITY OF MAYWOOD,N,8324,TOTAL,708,497
CITY OF MONROVIA,N,20047,POLLING PLACE,1846,1136
CITY OF MONROVIA,N,0,VBM PORTION,1919,1069
CITY OF MONROVIA,N,20047,TOTAL,3752,2205
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,1468
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,1127
CITY OF MONTEBELLO,N,28939,TOTAL,3924,2595
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,1329
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,1464
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,2793
CITY OF NORWALK,N,47546,POLLING PLACE,2626,1809
CITY OF NORWALK,N,0,VBM PORTION,2657,1821
CITY OF NORWALK,N,47546,TOTAL,5277,3630
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,3483
CITY OF PALMDALE,N,0,VBM PORTION,5361,3649
CITY OF PALMDALE,N,69762,TOTAL,10378,7132
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,723
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,910
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,1633
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,646
CITY OF PARAMOUNT,N,0,VBM PORTION,648,417
CITY OF PARAMOUNT,N,19999,TOTAL,1576,1063
CITY OF PASADENA,N,78446,POLLING PLACE,7034,4201
CITY OF PASADENA,N,0,VBM PORTION,8408,4458
CITY OF PASADENA,N,78446,TOTAL,15431,8659
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,1479
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,1216
CITY OF PICO RIVERA,N,32447,TOTAL,3746,2695
CITY OF POMONA,N,57598,POLLING PLACE,3541,2408
CITY OF POMONA,N,0,VBM PORTION,3368,2261
CITY OF POMONA,N,57598,TOTAL,6909,4669
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,2203
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4663,2512
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8478,4715
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,2699
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,2888
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,5587
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,131
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,96
CITY OF ROLLING HILLS,N,1510,TOTAL,537,227
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,439
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,480
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,919
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,736
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,817
CITY OF ROSEMEAD,N,20579,TOTAL,2488,1553
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,1336
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,1186
CITY OF SAN DIMAS,N,21257,TOTAL,3989,2522
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,407
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,345
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,752
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,779
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,770
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,1549
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,435
CITY OF SAN MARINO,N,0,VBM PORTION,1161,562
CITY OF SAN MARINO,N,8559,TOTAL,1956,997
CITY OF SANTA CLARITA,N,111849,POLLING PLACE,9825,6355
CITY OF SANTA CLARITA,N,0,VBM PORTION,12712,8060
CITY OF SANTA CLARITA,N,111849,TOTAL,22530,14415
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,453
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,413
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,866
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,4838
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,3485
CITY OF SANTA MONICA,N,62632,TOTAL,16552,8323
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,652
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,590
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,1242
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,511
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,430
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,941
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,272
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,266
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,538
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,1336
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,853
CITY OF SOUTH GATE,N,35773,TOTAL,3018,2189
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,1198
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,956
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,2154
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,910
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,869
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,1779
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,7264
CITY OF TORRANCE,N,0,VBM PORTION,11369,6546
CITY OF TORRANCE,N,83037,TOTAL,23394,13810
CITY OF VERNON,N,60,POLLING PLACE,0,0
CITY OF VERNON,N,0,VBM PORTION,18,9
CITY OF VERNON,N,60,TOTAL,16,9
CITY OF WALNUT,N,18002,POLLING PLACE,1247,749
CITY OF WALNUT,N,0,VBM PORTION,1658,997
CITY OF WALNUT,N,18002,TOTAL,2905,1746
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,2391
CITY OF WEST COVINA,N,0,VBM PORTION,3945,2507
CITY OF WEST COVINA,N,53486,TOTAL,7643,4898
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,1361
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,1237
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,2598
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,404
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,411
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,815
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,2804
CITY OF WHITTIER,N,0,VBM PORTION,3748,2292
CITY OF WHITTIER,N,46005,TOTAL,8056,5096
UNINCORPORATED,N,520339,POLLING PLACE,43458,27829
UNINCORPORATED,N,0,VBM PORTION,39390,24514
UNINCORPORATED,N,520339,TOTAL,82731,52343
