LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,NATHALIE HRIZI,DAVE JONES,TED GAINES
CITY OF DUARTE,N,11742,POLLING PLACE,960,46,389,322
CITY OF DUARTE,N,0,VBM PORTION,1099,50,503,360
CITY OF DUARTE,N,11742,TOTAL,2059,96,892,682
CITY OF EL MONTE,N,36036,POLLING PLACE,2322,211,1146,420
CITY OF EL MONTE,N,0,VBM PORTION,1885,142,970,405
CITY OF EL MONTE,N,36036,TOTAL,4201,353,2116,825
CITY OF EL SEGUNDO,N,11286,POLLING PLACE,1471,71,528,626
CITY OF EL SEGUNDO,N,0,VBM PORTION,1380,40,506,597
CITY OF EL SEGUNDO,N,11286,TOTAL,2848,111,1034,1223
CITY OF GARDENA,N,30000,POLLING PLACE,2779,136,1352,479
CITY OF GARDENA,N,0,VBM PORTION,2597,130,1411,466
CITY OF GARDENA,N,30000,TOTAL,5358,266,2763,945
CITY OF GLENDALE,N,97282,POLLING PLACE,9406,428,3645,2466
CITY OF GLENDALE,N,0,VBM PORTION,12284,572,4162,2744
CITY OF GLENDALE,N,97282,TOTAL,21689,1000,7807,5210
CITY OF GLENDORA,N,31341,POLLING PLACE,2864,90,760,1464
CITY OF GLENDORA,N,0,VBM PORTION,2920,97,866,1421
CITY OF GLENDORA,N,31341,TOTAL,5784,187,1626,2885
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,24,130,63
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,17,142,79
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,41,272,142
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,115,1169,440
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,100,954,481
CITY OF HAWTHORNE,N,36483,TOTAL,4464,215,2123,921
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,91,778,537
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,68,737,586
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,159,1515,1123
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,3,51,60
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,4,37,53
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,7,88,113
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,96,552,111
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,48,358,83
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,144,910,194
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,0,6,17
CITY OF INDUSTRY,N,103,TOTAL,32,0,6,17
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,168,2564,262
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,93,1989,219
CITY OF INGLEWOOD,N,55170,TOTAL,8342,261,4553,481
CITY OF IRWINDALE,N,939,POLLING PLACE,75,5,35,11
CITY OF IRWINDALE,N,0,VBM PORTION,61,3,38,10
CITY OF IRWINDALE,N,939,TOTAL,135,8,73,21
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,33,608,669
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,48,799,988
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,81,1407,1657
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,18,100,241
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,7,124,323
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,25,224,564
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,94,746,1096
CITY OF LA MIRADA,N,0,VBM PORTION,2428,85,841,1017
CITY OF LA MIRADA,N,27147,TOTAL,4843,179,1587,2113
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,89,464,159
CITY OF LA PUENTE,N,0,VBM PORTION,740,38,410,151
CITY OF LA PUENTE,N,15802,TOTAL,1699,127,874,310
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,60,760,1134
CITY OF LA VERNE,N,0,VBM PORTION,2109,59,716,912
CITY OF LA VERNE,N,20532,TOTAL,4568,119,1476,2046
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,210,1603,1788
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,184,1577,1623
CITY OF LAKEWOOD,N,48358,TOTAL,8638,394,3180,3411
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,272,1672,2615
CITY OF LANCASTER,N,0,VBM PORTION,6128,288,2079,2919
CITY OF LANCASTER,N,73718,TOTAL,11514,560,3751,5534
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,54,394,209
CITY OF LAWNDALE,N,0,VBM PORTION,697,30,347,183
CITY OF LAWNDALE,N,13398,TOTAL,1522,84,741,392
CITY OF LOMITA,N,11237,POLLING PLACE,1073,46,404,438
CITY OF LOMITA,N,0,VBM PORTION,1050,47,422,369
CITY OF LOMITA,N,11237,TOTAL,2122,93,826,807
CITY OF LONG BEACH,N,254779,POLLING PLACE,26922,1859,12881,6292
CITY OF LONG BEACH,N,0,VBM PORTION,25748,1313,12303,7294
CITY OF LONG BEACH,N,254779,TOTAL,52664,3172,25184,13586
CITY OF LOS ANGELES,N,1792976,POLLING PLACE,152611,8824,80572,25687
CITY OF LOS ANGELES,N,0,VBM PORTION,138617,6620,74855,27650
CITY OF LOS ANGELES,N,1792976,TOTAL,291153,15444,155427,53337
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,80,556,84
CITY OF LYNWOOD,N,0,VBM PORTION,754,57,495,64
CITY OF LYNWOOD,N,24503,TOTAL,1711,137,1051,148
CITY OF MALIBU,N,9097,POLLING PLACE,1202,79,575,301
CITY OF MALIBU,N,0,VBM PORTION,1236,44,550,400
CITY OF MALIBU,N,9097,TOTAL,2437,123,1125,701
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,116,1528,1205
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,115,1443,1316
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,231,2971,2521
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,50,224,45
CITY OF MAYWOOD,N,0,VBM PORTION,258,31,156,18
CITY OF MAYWOOD,N,8324,TOTAL,708,81,380,63
CITY OF MONROVIA,N,20047,POLLING PLACE,1846,80,703,676
CITY OF MONROVIA,N,0,VBM PORTION,1919,75,789,638
CITY OF MONROVIA,N,20047,TOTAL,3752,155,1492,1314
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,170,1198,370
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,109,967,317
CITY OF MONTEBELLO,N,28939,TOTAL,3924,279,2165,687
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,123,1101,468
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,117,1349,562
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,240,2450,1030
CITY OF NORWALK,N,47546,POLLING PLACE,2626,212,1215,609
CITY OF NORWALK,N,0,VBM PORTION,2657,177,1320,723
CITY OF NORWALK,N,47546,TOTAL,5277,389,2535,1332
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,303,1966,1988
CITY OF PALMDALE,N,0,VBM PORTION,5361,303,2079,2313
CITY OF PALMDALE,N,69762,TOTAL,10378,606,4045,4301
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,26,453,629
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,35,548,856
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,61,1001,1485
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,58,504,144
CITY OF PARAMOUNT,N,0,VBM PORTION,648,35,328,123
CITY OF PARAMOUNT,N,19999,TOTAL,1576,93,832,267
CITY OF PASADENA,N,78446,POLLING PLACE,7034,264,3741,1554
CITY OF PASADENA,N,0,VBM PORTION,8408,242,4070,2236
CITY OF PASADENA,N,78446,TOTAL,15431,506,7811,3790
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,153,1208,297
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,102,1025,239
CITY OF PICO RIVERA,N,32447,TOTAL,3746,255,2233,536
CITY OF POMONA,N,57598,POLLING PLACE,3541,247,1884,729
CITY OF POMONA,N,0,VBM PORTION,3368,195,1784,843
CITY OF POMONA,N,57598,TOTAL,6909,442,3668,1572
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,145,1409,1598
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4663,104,1693,1986
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8478,249,3102,3584
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,252,2049,1574
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,217,2298,1767
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,469,4347,3341
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,5,53,168
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,1,58,150
CITY OF ROLLING HILLS,N,1510,TOTAL,537,6,111,318
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,23,262,404
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,22,341,426
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,45,603,830
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,99,574,227
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,90,650,261
CITY OF ROSEMEAD,N,20579,TOTAL,2488,189,1224,488
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,52,644,900
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,62,661,846
CITY OF SAN DIMAS,N,21257,TOTAL,3989,114,1305,1746
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,56,312,117
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,29,281,95
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,85,593,212
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,69,553,376
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,60,598,330
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,129,1151,706
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,12,247,363
CITY OF SAN MARINO,N,0,VBM PORTION,1161,25,345,526
CITY OF SAN MARINO,N,8559,TOTAL,1956,37,592,889
CITY OF SANTA CLARITA,N,111849,POLLING PLACE,9825,307,3165,4861
CITY OF SANTA CLARITA,N,0,VBM PORTION,12712,403,4556,5910
CITY OF SANTA CLARITA,N,111849,TOTAL,22530,710,7721,10771
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,52,283,169
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,42,297,158
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,94,580,327
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,601,5796,1229
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,361,4250,1300
CITY OF SANTA MONICA,N,62632,TOTAL,16552,962,10046,2529
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,37,496,406
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,18,474,388
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,55,970,794
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,54,404,194
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,35,354,187
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,89,758,381
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,27,224,53
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,21,207,52
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,48,431,105
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,164,971,262
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,100,648,207
CITY OF SOUTH GATE,N,35773,TOTAL,3018,264,1619,469
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,87,1070,430
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,65,909,478
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,152,1979,908
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,68,579,543
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,71,654,496
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,139,1233,1039
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,504,4405,4761
CITY OF TORRANCE,N,0,VBM PORTION,11369,434,4488,4214
CITY OF TORRANCE,N,83037,TOTAL,23394,938,8893,8975
CITY OF VERNON,N,60,POLLING PLACE,0,0,0,0
CITY OF VERNON,N,0,VBM PORTION,18,2,5,4
CITY OF VERNON,N,60,TOTAL,16,2,5,4
CITY OF WALNUT,N,18002,POLLING PLACE,1247,47,545,411
CITY OF WALNUT,N,0,VBM PORTION,1658,67,695,539
CITY OF WALNUT,N,18002,TOTAL,2905,114,1240,950
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,232,1526,1171
CITY OF WEST COVINA,N,0,VBM PORTION,3945,191,1819,1167
CITY OF WEST COVINA,N,53486,TOTAL,7643,423,3345,2338
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,131,1545,188
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,84,1482,241
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,215,3027,429
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,18,250,275
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,18,248,313
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,36,498,588
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,220,1642,1596
CITY OF WHITTIER,N,0,VBM PORTION,3748,155,1404,1518
CITY OF WHITTIER,N,46005,TOTAL,8056,375,3046,3114
UNINCORPORATED,N,520339,POLLING PLACE,43458,2270,19395,11940
UNINCORPORATED,N,0,VBM PORTION,39390,1731,17309,12792
UNINCORPORATED,N,520339,TOTAL,82731,4001,36704,24732
