LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,835,378
CITY OF CALABASAS,N,0,VBM PORTION,1873,974,532
CITY OF CALABASAS,N,14914,TOTAL,3327,1809,910
CITY OF CARSON,N,52903,POLLING PLACE,5087,3331,1113
CITY OF CARSON,N,0,VBM PORTION,4089,2409,992
CITY OF CARSON,N,52903,TOTAL,9175,5740,2105
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,1546,848
CITY OF CERRITOS,N,0,VBM PORTION,3286,1608,1047
CITY OF CERRITOS,N,31594,TOTAL,6062,3154,1895
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,1777,846
CITY OF CLAREMONT,N,0,VBM PORTION,2652,1377,918
CITY OF CLAREMONT,N,22235,TOTAL,5533,3154,1764
CITY OF COMMERCE,N,6256,POLLING PLACE,444,246,125
CITY OF COMMERCE,N,0,VBM PORTION,247,108,81
CITY OF COMMERCE,N,6256,TOTAL,686,354,206
CITY OF COMPTON,N,43063,POLLING PLACE,3022,2065,541
CITY OF COMPTON,N,0,VBM PORTION,1873,1059,457
CITY OF COMPTON,N,43063,TOTAL,4894,3124,998
CITY OF COVINA,N,26090,POLLING PLACE,2040,1108,732
CITY OF COVINA,N,0,VBM PORTION,1877,924,613
CITY OF COVINA,N,26090,TOTAL,3913,2032,1345
CITY OF CUDAHY,N,6697,POLLING PLACE,376,214,86
CITY OF CUDAHY,N,0,VBM PORTION,164,93,50
CITY OF CUDAHY,N,6697,TOTAL,539,307,136
CITY OF CULVER CITY,N,26286,POLLING PLACE,3601,2098,840
CITY OF CULVER CITY,N,0,VBM PORTION,3120,1647,712
CITY OF CULVER CITY,N,26286,TOTAL,6708,3745,1552
CITY OF DIAMOND BAR,N,31476,POLLING PLACE,2646,1441,881
CITY OF DIAMOND BAR,N,0,VBM PORTION,3067,1504,1037
CITY OF DIAMOND BAR,N,31476,TOTAL,5711,2945,1918
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,2893,1976
CITY OF DOWNEY,N,0,VBM PORTION,3452,1587,1169
CITY OF DOWNEY,N,54713,TOTAL,9292,4480,3145
CITY OF DUARTE,N,11742,POLLING PLACE,960,557,295
CITY OF DUARTE,N,0,VBM PORTION,1099,579,358
CITY OF DUARTE,N,11742,TOTAL,2059,1136,653
CITY OF EL MONTE,N,36036,POLLING PLACE,2322,1344,655
CITY OF EL MONTE,N,0,VBM PORTION,1885,990,582
CITY OF EL MONTE,N,36036,TOTAL,4201,2334,1237
CITY OF EL SEGUNDO,N,11286,POLLING PLACE,1471,827,473
CITY OF EL SEGUNDO,N,0,VBM PORTION,1380,679,503
CITY OF EL SEGUNDO,N,11286,TOTAL,2848,1506,976
CITY OF GARDENA,N,30000,POLLING PLACE,2779,1713,613
CITY OF GARDENA,N,0,VBM PORTION,2597,1392,709
CITY OF GARDENA,N,30000,TOTAL,5358,3105,1322
CITY OF GLENDALE,N,97282,POLLING PLACE,9406,4775,2367
CITY OF GLENDALE,N,0,VBM PORTION,12284,4854,2518
CITY OF GLENDALE,N,97282,TOTAL,21689,9629,4885
CITY OF GLENDORA,N,31341,POLLING PLACE,2864,1457,1119
CITY OF GLENDORA,N,0,VBM PORTION,2920,1390,1066
CITY OF GLENDORA,N,31341,TOTAL,5784,2847,2185
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,158,85
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,165,82
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,323,167
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,1562,564
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,1118,604
CITY OF HAWTHORNE,N,36483,TOTAL,4464,2680,1168
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,1025,483
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,898,518
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,1923,1001
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,91,38
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,55,41
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,146,79
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,595,274
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,298,186
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,893,460
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,5,20
CITY OF INDUSTRY,N,103,TOTAL,32,5,20
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,3439,802
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,2072,743
CITY OF INGLEWOOD,N,55170,TOTAL,8342,5511,1545
CITY OF IRWINDALE,N,939,POLLING PLACE,75,29,32
CITY OF IRWINDALE,N,0,VBM PORTION,61,22,23
CITY OF IRWINDALE,N,939,TOTAL,135,51,55
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,948,533
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,1181,763
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,2129,1296
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,221,174
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,259,216
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,480,390
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,1367,811
CITY OF LA MIRADA,N,0,VBM PORTION,2428,1192,832
CITY OF LA MIRADA,N,27147,TOTAL,4843,2559,1643
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,568,251
CITY OF LA PUENTE,N,0,VBM PORTION,740,397,217
CITY OF LA PUENTE,N,15802,TOTAL,1699,965,468
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,1337,883
CITY OF LA VERNE,N,0,VBM PORTION,2109,1036,796
CITY OF LA VERNE,N,20532,TOTAL,4568,2373,1679
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,2418,1577
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,2154,1429
CITY OF LAKEWOOD,N,48358,TOTAL,8638,4572,3006
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,3020,1858
CITY OF LANCASTER,N,0,VBM PORTION,6128,3055,2145
CITY OF LANCASTER,N,73718,TOTAL,11514,6075,4003
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,551,214
CITY OF LAWNDALE,N,0,VBM PORTION,697,395,191
CITY OF LAWNDALE,N,13398,TOTAL,1522,946,405
CITY OF LOMITA,N,11237,POLLING PLACE,1073,641,346
CITY OF LOMITA,N,0,VBM PORTION,1050,558,329
CITY OF LOMITA,N,11237,TOTAL,2122,1199,675
CITY OF LONG BEACH,N,254779,POLLING PLACE,26922,15563,7754
CITY OF LONG BEACH,N,0,VBM PORTION,25748,13793,8148
CITY OF LONG BEACH,N,254779,TOTAL,52664,29356,15902
CITY OF LOS ANGELES,N,1792976,POLLING PLACE,152611,96657,35442
CITY OF LOS ANGELES,N,0,VBM PORTION,138617,77818,34505
CITY OF LOS ANGELES,N,1792976,TOTAL,291153,174475,69947
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,565,257
CITY OF LYNWOOD,N,0,VBM PORTION,754,402,229
CITY OF LYNWOOD,N,24503,TOTAL,1711,967,486
CITY OF MALIBU,N,9097,POLLING PLACE,1202,739,285
CITY OF MALIBU,N,0,VBM PORTION,1236,645,287
CITY OF MALIBU,N,9097,TOTAL,2437,1384,572
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,2052,946
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,1845,1103
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,3897,2049
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,278,103
CITY OF MAYWOOD,N,0,VBM PORTION,258,124,84
CITY OF MAYWOOD,N,8324,TOTAL,708,402,187
CITY OF MONROVIA,N,20047,POLLING PLACE,1846,1078,583
CITY OF MONROVIA,N,0,VBM PORTION,1919,961,627
CITY OF MONROVIA,N,20047,TOTAL,3752,2039,1210
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,1271,631
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,876,504
CITY OF MONTEBELLO,N,28939,TOTAL,3924,2147,1135
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,1172,690
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,1262,731
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,2434,1421
CITY OF NORWALK,N,47546,POLLING PLACE,2626,1573,768
CITY OF NORWALK,N,0,VBM PORTION,2657,1367,823
CITY OF NORWALK,N,47546,TOTAL,5277,2940,1591
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,2819,1732
CITY OF PALMDALE,N,0,VBM PORTION,5361,2731,1833
CITY OF PALMDALE,N,69762,TOTAL,10378,5550,3565
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,766,394
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,960,522
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,1726,916
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,561,258
CITY OF PARAMOUNT,N,0,VBM PORTION,648,348,189
CITY OF PARAMOUNT,N,19999,TOTAL,1576,909,447
CITY OF PASADENA,N,78446,POLLING PLACE,7034,4600,1714
CITY OF PASADENA,N,0,VBM PORTION,8408,4793,2317
CITY OF PASADENA,N,78446,TOTAL,15431,9393,4031
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,1247,587
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,939,463
CITY OF PICO RIVERA,N,32447,TOTAL,3746,2186,1050
CITY OF POMONA,N,57598,POLLING PLACE,3541,1995,1114
CITY OF POMONA,N,0,VBM PORTION,3368,1771,1070
CITY OF POMONA,N,57598,TOTAL,6909,3766,2184
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,2170,1181
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4663,2403,1507
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8478,4573,2688
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,2701,1359
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,2788,1565
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,5489,2924
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,136,95
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,141,81
CITY OF ROLLING HILLS,N,1510,TOTAL,537,277,176
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,524,205
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,500,281
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,1024,486
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,675,323
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,625,350
CITY OF ROSEMEAD,N,20579,TOTAL,2488,1300,673
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,1106,731
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,1025,683
CITY OF SAN DIMAS,N,21257,TOTAL,3989,2131,1414
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,358,177
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,266,144
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,624,321
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,687,433
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,655,382
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,1342,815
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,435,271
CITY OF SAN MARINO,N,0,VBM PORTION,1161,574,378
CITY OF SAN MARINO,N,8559,TOTAL,1956,1009,649
CITY OF SANTA CLARITA,N,111849,POLLING PLACE,9825,5267,3535
CITY OF SANTA CLARITA,N,0,VBM PORTION,12712,6345,4299
CITY OF SANTA CLARITA,N,111849,TOTAL,22530,11612,7834
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,372,226
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,307,170
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,679,396
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,5919,1955
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,4225,1613
CITY OF SANTA MONICA,N,62632,TOTAL,16552,10144,3568
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,655,411
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,588,374
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,1243,785
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,458,224
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,349,265
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,807,489
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,247,111
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,193,96
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,440,207
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,1039,556
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,631,380
CITY OF SOUTH GATE,N,35773,TOTAL,3018,1670,936
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,1283,511
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,1000,575
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,2283,1086
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,803,515
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,802,477
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,1605,992
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,6376,3793
CITY OF TORRANCE,N,0,VBM PORTION,11369,5424,3608
CITY OF TORRANCE,N,83037,TOTAL,23394,11800,7401
CITY OF VERNON,N,60,POLLING PLACE,0,0,0
CITY OF VERNON,N,0,VBM PORTION,18,7,7
CITY OF VERNON,N,60,TOTAL,16,7,7
CITY OF WALNUT,N,18002,POLLING PLACE,1247,647,436
CITY OF WALNUT,N,0,VBM PORTION,1658,795,577
CITY OF WALNUT,N,18002,TOTAL,2905,1442,1013
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,2093,1198
CITY OF WEST COVINA,N,0,VBM PORTION,3945,1976,1271
CITY OF WEST COVINA,N,53486,TOTAL,7643,4069,2469
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,1630,416
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,1347,459
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,2977,875
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,445,189
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,373,249
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,818,438
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,2414,1370
CITY OF WHITTIER,N,0,VBM PORTION,3748,1740,1229
CITY OF WHITTIER,N,46005,TOTAL,8056,4154,2599
UNINCORPORATED,N,520339,POLLING PLACE,43458,26189,12059
UNINCORPORATED,N,0,VBM PORTION,39390,21180,11686
UNINCORPORATED,N,520339,TOTAL,82731,47369,23745
