LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,PHIL WYMAN,DAVID KING,ORLY TAITZ,KAMALA D HARRIS,JOHN HAGGERTY,JONATHAN JAECH,RONALD GOLD
CITY OF COMMERCE,N,6256,POLLING PLACE,444,12,24,11,259,14,8,25
CITY OF COMMERCE,N,0,VBM PORTION,247,10,9,16,160,9,3,11
CITY OF COMMERCE,N,6256,TOTAL,686,22,33,27,419,23,11,36
CITY OF COMPTON,N,43063,POLLING PLACE,3022,35,67,52,2294,37,24,63
CITY OF COMPTON,N,0,VBM PORTION,1873,22,29,22,1536,29,11,31
CITY OF COMPTON,N,43063,TOTAL,4894,57,96,74,3830,66,35,94
CITY OF COVINA,N,26090,POLLING PLACE,2040,197,190,50,817,124,47,368
CITY OF COVINA,N,0,VBM PORTION,1877,113,237,45,796,101,24,330
CITY OF COVINA,N,26090,TOTAL,3913,310,427,95,1613,225,71,698
CITY OF CUDAHY,N,6697,POLLING PLACE,376,14,21,18,225,6,6,19
CITY OF CUDAHY,N,0,VBM PORTION,164,3,5,4,109,4,5,14
CITY OF CUDAHY,N,6697,TOTAL,539,17,26,22,334,10,11,33
CITY OF CULVER CITY,N,26286,POLLING PLACE,3601,105,115,70,2363,141,75,237
CITY OF CULVER CITY,N,0,VBM PORTION,3120,89,153,61,2047,111,46,226
CITY OF CULVER CITY,N,26286,TOTAL,6708,194,268,131,4410,252,121,463
CITY OF DIAMOND BAR,N,31476,POLLING PLACE,2646,349,206,64,1067,194,27,392
CITY OF DIAMOND BAR,N,0,VBM PORTION,3067,294,339,84,1147,218,38,492
CITY OF DIAMOND BAR,N,31476,TOTAL,5711,643,545,148,2214,412,65,884
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,503,571,185,2571,373,102,663
CITY OF DOWNEY,N,0,VBM PORTION,3452,331,349,85,1469,231,58,418
CITY OF DOWNEY,N,54713,TOTAL,9292,834,920,270,4040,604,160,1081
CITY OF DUARTE,N,11742,POLLING PLACE,960,77,62,23,445,67,20,140
CITY OF DUARTE,N,0,VBM PORTION,1099,51,116,44,543,52,19,166
CITY OF DUARTE,N,11742,TOTAL,2059,128,178,67,988,119,39,306
CITY OF EL MONTE,N,36036,POLLING PLACE,2322,111,134,93,1295,76,60,228
CITY OF EL MONTE,N,0,VBM PORTION,1885,76,137,79,1030,71,29,211
CITY OF EL MONTE,N,36036,TOTAL,4201,187,271,172,2325,147,89,439
CITY OF EL SEGUNDO,N,11286,POLLING PLACE,1471,199,98,28,576,109,45,235
CITY OF EL SEGUNDO,N,0,VBM PORTION,1380,172,136,20,515,97,38,196
CITY OF EL SEGUNDO,N,11286,TOTAL,2848,371,234,48,1091,206,83,431
CITY OF GARDENA,N,30000,POLLING PLACE,2779,111,138,47,1710,147,43,177
CITY OF GARDENA,N,0,VBM PORTION,2597,94,134,63,1601,100,34,219
CITY OF GARDENA,N,30000,TOTAL,5358,205,272,110,3311,247,77,396
CITY OF GLENDALE,N,97282,POLLING PLACE,9406,699,689,216,4020,510,160,1052
CITY OF GLENDALE,N,0,VBM PORTION,12284,499,1076,310,4557,518,195,1023
CITY OF GLENDALE,N,97282,TOTAL,21689,1198,1765,526,8577,1028,355,2075
CITY OF GLENDORA,N,31341,POLLING PLACE,2864,311,310,48,847,200,54,742
CITY OF GLENDORA,N,0,VBM PORTION,2920,272,512,62,918,171,59,539
CITY OF GLENDORA,N,31341,TOTAL,5784,583,822,110,1765,371,113,1281
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,22,10,9,152,15,4,37
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,21,22,14,154,15,5,29
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,43,32,23,306,30,9,66
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,155,87,56,1466,88,45,191
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,139,111,61,1149,87,39,225
CITY OF HAWTHORNE,N,36483,TOTAL,4464,294,198,117,2615,175,84,416
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,163,128,37,860,132,38,136
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,185,125,46,790,106,38,148
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,348,253,83,1650,238,76,284
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,11,6,2,60,22,3,15
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,23,13,1,45,12,5,13
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,34,19,3,105,34,8,28
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,23,46,34,553,52,36,64
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,19,17,24,350,36,15,35
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,42,63,58,903,88,51,99
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0,0,0,0,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,7,4,0,5,4,0,8
CITY OF INDUSTRY,N,103,TOTAL,32,7,4,0,5,4,0,8
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,59,82,61,3810,52,54,117
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,72,63,62,2705,34,38,72
CITY OF INGLEWOOD,N,55170,TOTAL,8342,131,145,123,6515,86,92,189
CITY OF IRWINDALE,N,939,POLLING PLACE,75,5,1,6,39,2,2,8
CITY OF IRWINDALE,N,0,VBM PORTION,61,0,1,0,40,7,0,3
CITY OF IRWINDALE,N,939,TOTAL,135,5,2,6,79,9,2,11
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,210,221,35,663,81,17,233
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,266,395,25,889,116,31,283
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,476,616,60,1552,197,48,516
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,76,54,7,119,47,5,75
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,92,101,12,132,41,8,94
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,168,155,19,251,88,13,169
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,368,231,60,863,218,27,370
CITY OF LA MIRADA,N,0,VBM PORTION,2428,278,314,75,880,152,49,342
CITY OF LA MIRADA,N,27147,TOTAL,4843,646,545,135,1743,370,76,712
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,50,49,18,558,46,24,67
CITY OF LA PUENTE,N,0,VBM PORTION,740,43,37,29,439,39,9,67
CITY OF LA PUENTE,N,15802,TOTAL,1699,93,86,47,997,85,33,134
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,236,293,32,845,183,47,569
CITY OF LA VERNE,N,0,VBM PORTION,2109,166,283,64,781,116,41,411
CITY OF LA VERNE,N,20532,TOTAL,4568,402,576,96,1626,299,88,980
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,530,310,128,1776,312,64,826
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,336,470,107,1754,234,73,650
CITY OF LAKEWOOD,N,48358,TOTAL,8638,866,780,235,3530,546,137,1476
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,1265,566,127,1778,350,77,664
CITY OF LANCASTER,N,0,VBM PORTION,6128,1205,704,171,2104,375,98,856
CITY OF LANCASTER,N,73718,TOTAL,11514,2470,1270,298,3882,725,175,1520
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,61,39,26,451,40,31,99
CITY OF LAWNDALE,N,0,VBM PORTION,697,56,34,22,364,31,25,82
CITY OF LAWNDALE,N,13398,TOTAL,1522,117,73,48,815,71,56,181
CITY OF LOMITA,N,11237,POLLING PLACE,1073,91,102,26,444,172,24,111
CITY OF LOMITA,N,0,VBM PORTION,1050,100,105,22,456,111,26,108
CITY OF LOMITA,N,11237,TOTAL,2122,191,207,48,900,283,50,219
CITY OF LONG BEACH,N,254779,POLLING PLACE,26922,2094,1452,781,14439,1131,505,2744
CITY OF LONG BEACH,N,0,VBM PORTION,25748,2002,1908,717,13458,1134,471,2706
CITY OF LONG BEACH,N,254779,TOTAL,52664,4096,3360,1498,27897,2265,976,5450
CITY OF LOS ANGELES,N,1792976,POLLING PLACE,152611,8637,5918,3497,94809,6621,2957,10302
CITY OF LOS ANGELES,N,0,VBM PORTION,138617,7924,7802,3285,83525,5724,2389,10013
CITY OF LOS ANGELES,N,1792976,TOTAL,291153,16561,13720,6782,178334,12345,5346,20315
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,25,43,36,636,27,12,38
CITY OF LYNWOOD,N,0,VBM PORTION,754,17,14,29,545,12,5,47
CITY OF LYNWOOD,N,24503,TOTAL,1711,42,57,65,1181,39,17,85
CITY OF MALIBU,N,9097,POLLING PLACE,1202,133,63,34,646,51,28,78
CITY OF MALIBU,N,0,VBM PORTION,1236,176,110,25,580,42,25,85
CITY OF MALIBU,N,9097,TOTAL,2437,309,173,59,1226,93,53,163
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,327,265,53,1690,317,68,316
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,345,321,57,1572,307,64,388
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,672,586,110,3262,624,132,704
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,10,26,17,271,13,9,20
CITY OF MAYWOOD,N,0,VBM PORTION,258,9,6,12,185,0,4,14
CITY OF MAYWOOD,N,8324,TOTAL,708,19,32,29,456,13,13,34
CITY OF MONROVIA,N,20047,POLLING PLACE,1846,159,168,52,797,97,42,323
CITY OF MONROVIA,N,0,VBM PORTION,1919,145,187,43,877,110,37,284
CITY OF MONROVIA,N,20047,TOTAL,3752,304,355,95,1674,207,79,607
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,90,93,50,1326,104,43,188
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,77,110,56,1068,57,19,146
CITY OF MONTEBELLO,N,28939,TOTAL,3924,167,203,106,2394,161,62,334
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,117,133,75,1204,91,25,275
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,96,206,53,1402,102,23,325
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,213,339,128,2606,193,48,600
CITY OF NORWALK,N,47546,POLLING PLACE,2626,206,156,92,1399,160,47,233
CITY OF NORWALK,N,0,VBM PORTION,2657,167,210,83,1406,161,43,277
CITY OF NORWALK,N,47546,TOTAL,5277,373,366,175,2805,321,90,510
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,991,443,148,2083,271,92,489
CITY OF PALMDALE,N,0,VBM PORTION,5361,959,510,158,2135,301,114,672
CITY OF PALMDALE,N,69762,TOTAL,10378,1950,953,306,4218,572,206,1161
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,183,146,20,483,174,18,136
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,227,273,42,570,190,15,199
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,410,419,62,1053,364,33,335
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,35,45,26,571,22,19,76
CITY OF PARAMOUNT,N,0,VBM PORTION,648,18,53,23,369,21,9,53
CITY OF PARAMOUNT,N,19999,TOTAL,1576,53,98,49,940,43,28,129
CITY OF PASADENA,N,78446,POLLING PLACE,7034,404,393,139,4332,221,128,664
CITY OF PASADENA,N,0,VBM PORTION,8408,464,882,157,4604,300,162,814
CITY OF PASADENA,N,78446,TOTAL,15431,868,1275,296,8936,521,290,1478
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,84,99,54,1265,86,31,147
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,62,57,41,1085,88,25,114
CITY OF PICO RIVERA,N,32447,TOTAL,3746,146,156,95,2350,174,56,261
CITY OF POMONA,N,57598,POLLING PLACE,3541,193,155,93,1977,271,76,337
CITY OF POMONA,N,0,VBM PORTION,3368,193,229,98,1826,202,62,394
CITY OF POMONA,N,57598,TOTAL,6909,386,384,191,3803,473,138,731
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,525,374,84,1507,413,62,402
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4663,595,535,88,1729,423,80,600
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8478,1120,909,172,3236,836,142,1002
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,444,333,123,2234,372,112,493
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,447,468,142,2392,413,120,499
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,891,801,265,4626,785,232,992
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,43,44,6,54,44,5,36
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,34,63,4,63,38,3,29
CITY OF ROLLING HILLS,N,1510,TOTAL,537,77,107,10,117,82,8,65
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,92,87,11,264,153,21,99
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,120,123,21,324,108,18,108
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,212,210,32,588,261,39,207
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,55,69,36,633,59,20,132
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,56,83,47,717,42,17,145
CITY OF ROSEMEAD,N,20579,TOTAL,2488,111,152,83,1350,101,37,277
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,204,237,47,683,148,44,431
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,158,264,49,714,139,35,368
CITY OF SAN DIMAS,N,21257,TOTAL,3989,362,501,96,1397,287,79,799
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,28,32,19,347,32,9,67
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,16,30,17,290,25,5,34
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,44,62,36,637,57,14,101
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,87,115,33,597,61,20,206
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,70,136,34,612,69,11,138
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,157,251,67,1209,130,31,344
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,68,89,10,287,75,4,148
CITY OF SAN MARINO,N,0,VBM PORTION,1161,93,158,12,373,133,5,174
CITY OF SAN MARINO,N,8559,TOTAL,1956,161,247,22,660,208,9,322
CITY OF SANTA CLARITA,N,111849,POLLING PLACE,9825,1533,1047,208,3111,1166,203,1583
CITY OF SANTA CLARITA,N,0,VBM PORTION,12712,1632,1696,289,4319,1238,242,1983
CITY OF SANTA CLARITA,N,111849,TOTAL,22530,3165,2743,497,7430,2404,445,3566
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,45,42,18,340,59,10,61
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,33,41,23,302,31,5,61
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,78,83,41,642,90,15,122
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,488,269,235,6465,169,156,392
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,391,393,187,4587,180,131,373
CITY OF SANTA MONICA,N,62632,TOTAL,16552,879,662,422,11052,349,287,765
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,109,109,30,565,56,22,170
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,75,142,22,502,40,17,162
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,184,251,52,1067,96,39,332
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,47,50,34,431,31,15,84
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,30,48,19,403,35,15,79
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,77,98,53,834,66,30,163
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,13,15,9,257,18,7,34
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,9,9,9,230,19,5,19
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,22,24,18,487,37,12,53
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,90,88,71,1095,47,30,137
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,34,75,42,738,44,19,93
CITY OF SOUTH GATE,N,35773,TOTAL,3018,124,163,113,1833,91,49,230
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,103,100,26,1247,63,43,213
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,105,206,31,1032,58,34,147
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,208,306,57,2279,121,77,360
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,104,136,45,646,89,23,249
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,89,185,55,658,98,17,210
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,193,321,100,1304,187,40,459
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,1127,985,237,4660,1585,221,1468
CITY OF TORRANCE,N,0,VBM PORTION,11369,967,1141,267,4778,1166,187,1220
CITY OF TORRANCE,N,83037,TOTAL,23394,2094,2126,504,9438,2751,408,2688
CITY OF VERNON,N,60,POLLING PLACE,0,0,0,0,0,0,0,0
CITY OF VERNON,N,0,VBM PORTION,18,0,1,1,9,1,0,2
CITY OF VERNON,N,60,TOTAL,16,0,1,1,9,1,0,2
CITY OF WALNUT,N,18002,POLLING PLACE,1247,150,93,24,552,103,19,154
CITY OF WALNUT,N,0,VBM PORTION,1658,142,138,41,711,115,24,242
CITY OF WALNUT,N,18002,TOTAL,2905,292,231,65,1263,218,43,396
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,324,230,105,1728,227,69,572
CITY OF WEST COVINA,N,0,VBM PORTION,3945,262,299,123,1963,215,66,543
CITY OF WEST COVINA,N,53486,TOTAL,7643,586,529,228,3691,442,135,1115
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,85,48,29,1827,21,43,80
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,80,69,38,1631,35,40,87
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,165,117,67,3458,56,83,167
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,99,79,14,288,34,9,124
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,76,113,19,253,47,12,136
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,175,192,33,541,81,21,260
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,473,331,100,1928,337,65,599
CITY OF WHITTIER,N,0,VBM PORTION,3748,405,453,93,1532,231,49,505
CITY OF WHITTIER,N,46005,TOTAL,8056,878,784,193,3460,568,114,1104
UNINCORPORATED,N,520339,POLLING PLACE,43458,4126,2777,1080,22649,2284,823,4379
UNINCORPORATED,N,0,VBM PORTION,39390,3701,3587,1106,19051,2138,681,4541
UNINCORPORATED,N,520339,TOTAL,82731,7827,6364,2186,41700,4422,1504,8920
