LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,6018,4648
CITY OF TORRANCE,N,0,VBM PORTION,11369,5825,3835
CITY OF TORRANCE,N,83037,TOTAL,23394,11843,8483
CITY OF VERNON,N,60,POLLING PLACE,0,0,0
CITY OF VERNON,N,0,VBM PORTION,18,13,3
CITY OF VERNON,N,60,TOTAL,16,13,3
CITY OF WALNUT,N,18002,POLLING PLACE,1247,665,459
CITY OF WALNUT,N,0,VBM PORTION,1658,775,624
CITY OF WALNUT,N,18002,TOTAL,2905,1440,1083
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,2272,1121
CITY OF WEST COVINA,N,0,VBM PORTION,3945,2252,1115
CITY OF WEST COVINA,N,53486,TOTAL,7643,4524,2236
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,1865,289
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,1570,336
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,3435,625
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,425,246
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,400,244
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,825,490
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,2522,1459
CITY OF WHITTIER,N,0,VBM PORTION,3748,2089,1146
CITY OF WHITTIER,N,46005,TOTAL,8056,4611,2605
UNINCORPORATED,N,520339,POLLING PLACE,43458,28123,11645
UNINCORPORATED,N,0,VBM PORTION,39390,23217,10925
UNINCORPORATED,N,520339,TOTAL,82731,51340,22570
