LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,SHANNON L KNIGHT,DEBRA L LOSNICK
CITY OF DOWNEY,N,0,VBM PORTION,3452,1804,880
CITY OF DOWNEY,N,54713,TOTAL,9292,4898,2338
CITY OF DUARTE,N,11742,POLLING PLACE,960,491,252
CITY OF DUARTE,N,0,VBM PORTION,1099,540,322
CITY OF DUARTE,N,11742,TOTAL,2059,1031,574
CITY OF EL MONTE,N,36036,POLLING PLACE,2322,1121,727
CITY OF EL MONTE,N,0,VBM PORTION,1885,774,723
CITY OF EL MONTE,N,36036,TOTAL,4201,1895,1450
CITY OF EL SEGUNDO,N,11286,POLLING PLACE,1471,749,365
CITY OF EL SEGUNDO,N,0,VBM PORTION,1380,673,302
CITY OF EL SEGUNDO,N,11286,TOTAL,2848,1422,667
CITY OF GARDENA,N,30000,POLLING PLACE,2779,1543,652
CITY OF GARDENA,N,0,VBM PORTION,2597,1193,688
CITY OF GARDENA,N,30000,TOTAL,5358,2736,1340
CITY OF GLENDALE,N,97282,POLLING PLACE,9406,3771,2436
CITY OF GLENDALE,N,0,VBM PORTION,12284,4003,2786
CITY OF GLENDALE,N,97282,TOTAL,21689,7774,5222
CITY OF GLENDORA,N,31341,POLLING PLACE,2864,1622,622
CITY OF GLENDORA,N,0,VBM PORTION,2920,1480,738
CITY OF GLENDORA,N,31341,TOTAL,5784,3102,1360
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,134,90
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,175,77
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,309,167
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,1345,640
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,1074,581
CITY OF HAWTHORNE,N,36483,TOTAL,4464,2419,1221
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,724,521
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,691,468
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,1415,989
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,68,41
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,62,31
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,130,72
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,442,368
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,304,172
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,746,540
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,20,1
CITY OF INDUSTRY,N,103,TOTAL,32,20,1
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,2965,975
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,1871,830
CITY OF INGLEWOOD,N,55170,TOTAL,8342,4836,1805
CITY OF IRWINDALE,N,939,POLLING PLACE,75,32,16
CITY OF IRWINDALE,N,0,VBM PORTION,61,24,25
CITY OF IRWINDALE,N,939,TOTAL,135,56,41
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,714,509
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,969,704
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,1683,1213
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,230,109
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,291,134
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,521,243
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,1377,546
CITY OF LA MIRADA,N,0,VBM PORTION,2428,1213,650
CITY OF LA MIRADA,N,27147,TOTAL,4843,2590,1196
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,460,321
CITY OF LA PUENTE,N,0,VBM PORTION,740,337,272
CITY OF LA PUENTE,N,15802,TOTAL,1699,797,593
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,1401,565
CITY OF LA VERNE,N,0,VBM PORTION,2109,953,606
CITY OF LA VERNE,N,20532,TOTAL,4568,2354,1171
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,2638,997
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,2211,1031
CITY OF LAKEWOOD,N,48358,TOTAL,8638,4849,2028
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,3320,1116
CITY OF LANCASTER,N,0,VBM PORTION,6128,3496,1489
CITY OF LANCASTER,N,73718,TOTAL,11514,6816,2605
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,491,225
CITY OF LAWNDALE,N,0,VBM PORTION,697,342,224
CITY OF LAWNDALE,N,13398,TOTAL,1522,833,449
CITY OF LOMITA,N,11237,POLLING PLACE,1073,620,290
CITY OF LOMITA,N,0,VBM PORTION,1050,574,278
CITY OF LOMITA,N,11237,TOTAL,2122,1194,568
CITY OF LONG BEACH,N,254779,POLLING PLACE,26922,12696,7491
CITY OF LONG BEACH,N,0,VBM PORTION,25748,11909,7537
CITY OF LONG BEACH,N,254779,TOTAL,52664,24605,15028
CITY OF LOS ANGELES,N,1792976,POLLING PLACE,152611,67451,50497
CITY OF LOS ANGELES,N,0,VBM PORTION,138617,58064,45579
CITY OF LOS ANGELES,N,1792976,TOTAL,291153,125515,96076
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,482,303
CITY OF LYNWOOD,N,0,VBM PORTION,754,405,211
CITY OF LYNWOOD,N,24503,TOTAL,1711,887,514
CITY OF MALIBU,N,9097,POLLING PLACE,1202,459,373
CITY OF MALIBU,N,0,VBM PORTION,1236,457,361
CITY OF MALIBU,N,9097,TOTAL,2437,916,734
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,1375,1108
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,1353,941
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,2728,2049
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,214,149
CITY OF MAYWOOD,N,0,VBM PORTION,258,136,71
CITY OF MAYWOOD,N,8324,TOTAL,708,350,220
CITY OF MONROVIA,N,20047,POLLING PLACE,1846,921,518
CITY OF MONROVIA,N,0,VBM PORTION,1919,802,575
CITY OF MONROVIA,N,20047,TOTAL,3752,1723,1093
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,1065,679
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,756,607
CITY OF MONTEBELLO,N,28939,TOTAL,3924,1821,1286
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,957,695
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,910,934
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,1867,1629
CITY OF NORWALK,N,47546,POLLING PLACE,2626,1428,738
CITY OF NORWALK,N,0,VBM PORTION,2657,1367,765
CITY OF NORWALK,N,47546,TOTAL,5277,2795,1503
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,3091,1089
CITY OF PALMDALE,N,0,VBM PORTION,5361,3071,1292
CITY OF PALMDALE,N,69762,TOTAL,10378,6162,2381
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,662,377
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,783,469
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,1445,846
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,484,294
CITY OF PARAMOUNT,N,0,VBM PORTION,648,288,204
CITY OF PARAMOUNT,N,19999,TOTAL,1576,772,498
CITY OF PASADENA,N,78446,POLLING PLACE,7034,2814,2677
CITY OF PASADENA,N,0,VBM PORTION,8408,3139,2821
CITY OF PASADENA,N,78446,TOTAL,15431,5953,5498
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,1096,616
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,850,530
CITY OF PICO RIVERA,N,32447,TOTAL,3746,1946,1146
CITY OF POMONA,N,57598,POLLING PLACE,3541,1848,1024
CITY OF POMONA,N,0,VBM PORTION,3368,1680,1031
CITY OF POMONA,N,57598,TOTAL,6909,3528,2055
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,1857,1044
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4663,2111,1318
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8478,3968,2362
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,2160,1261
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,2398,1283
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,4558,2544
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,134,56
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,121,56
CITY OF ROLLING HILLS,N,1510,TOTAL,537,255,112
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,440,195
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,413,245
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,853,440
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,560,341
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,527,424
CITY OF ROSEMEAD,N,20579,TOTAL,2488,1087,765
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,1170,484
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,945,528
CITY OF SAN DIMAS,N,21257,TOTAL,3989,2115,1012
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,292,195
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,244,158
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,536,353
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,628,366
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,536,443
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,1164,809
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,349,262
CITY OF SAN MARINO,N,0,VBM PORTION,1161,466,322
CITY OF SAN MARINO,N,8559,TOTAL,1956,815,584
CITY OF SANTA CLARITA,N,111849,POLLING PLACE,9825,5719,1970
CITY OF SANTA CLARITA,N,0,VBM PORTION,12712,7043,2848
CITY OF SANTA CLARITA,N,111849,TOTAL,22530,12762,4818
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,369,188
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,290,178
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,659,366
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,2990,3505
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,2189,2552
CITY OF SANTA MONICA,N,62632,TOTAL,16552,5179,6057
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,522,374
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,451,366
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,973,740
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,411,218
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,344,191
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,755,409
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,204,127
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,163,123
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,367,250
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,871,636
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,627,338
CITY OF SOUTH GATE,N,35773,TOTAL,3018,1498,974
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,767,782
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,666,644
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,1433,1426
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,735,422
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,629,479
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,1364,901
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,5971,2982
CITY OF TORRANCE,N,0,VBM PORTION,11369,5284,2909
CITY OF TORRANCE,N,83037,TOTAL,23394,11255,5891
CITY OF VERNON,N,60,POLLING PLACE,0,0,0
CITY OF VERNON,N,0,VBM PORTION,18,4,5
CITY OF VERNON,N,60,TOTAL,16,4,5
CITY OF WALNUT,N,18002,POLLING PLACE,1247,630,290
CITY OF WALNUT,N,0,VBM PORTION,1658,767,428
CITY OF WALNUT,N,18002,TOTAL,2905,1397,718
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,1993,990
CITY OF WEST COVINA,N,0,VBM PORTION,3945,1872,1245
CITY OF WEST COVINA,N,53486,TOTAL,7643,3865,2235
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,758,1017
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,653,983
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,1411,2000
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,342,201
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,329,214
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,671,415
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,2355,1119
CITY OF WHITTIER,N,0,VBM PORTION,3748,1898,973
CITY OF WHITTIER,N,46005,TOTAL,8056,4253,2092
UNINCORPORATED,N,520339,POLLING PLACE,43458,22742,11888
UNINCORPORATED,N,0,VBM PORTION,39390,19199,11236
UNINCORPORATED,N,520339,TOTAL,82731,41941,23124
