year,month,month_year,line,early,ontime,earlyorontime_rail,late,total,pctlate
2012,3,3/1/12,92,309,7034,,1878,9221,20.37
2012,3,3/1/12,94,246,7935,,2232,10413,21.43
2012,3,3/1/12,96,24,5457,,1070,6551,16.33
2012,3,3/1/12,102,328,2546,,871,3745,23.26
2012,3,3/1/12,105,742,13234,,3472,17448,19.90
2012,3,3/1/12,108,440,13657,,3856,17953,21.48
2012,3,3/1/12,110,771,13369,,2422,16562,14.62
2012,3,3/1/12,111,592,19226,,6067,25885,23.44
2012,3,3/1/12,115,470,19543,,3938,23951,16.44
2012,3,3/1/12,117,339,9920,,3679,13938,26.40
2012,3,3/1/12,120,202,7553,,1998,9753,20.49
2012,3,3/1/12,125,75,6556,,5018,11649,43.08
2012,3,3/1/12,126,11,158,,39,208,18.75
2012,3,3/1/12,127,38,1362,,136,1536,8.85
2012,3,3/1/12,128,9,1403,,487,1899,25.65
2012,3,3/1/12,130,21,4153,,2677,6851,39.07
2012,3,3/1/12,150,486,15595,,5445,21526,25.29
2012,3,3/1/12,152,314,12729,,4206,17249,24.38
2012,3,3/1/12,154,64,2477,,457,2998,15.24
2012,3,3/1/12,155,28,1330,,620,1978,31.34
2012,3,3/1/12,156,246,3986,,694,4926,14.09
2012,3,3/1/12,158,123,4345,,1105,5573,19.83
2012,3,3/1/12,161,49,1514,,213,1776,11.99
2012,3,3/1/12,163,309,10925,,2489,13723,18.14
2012,3,3/1/12,164,306,8983,,1802,11091,16.25
2012,3,3/1/12,165,430,8323,,2426,11179,21.70
2012,3,3/1/12,166,238,10800,,4007,15045,26.63
2012,3,3/1/12,167,90,5752,,2077,7919,26.23
2012,3,3/1/12,169,171,3348,,1216,4735,25.68
2012,3,3/1/12,175,20,577,,55,652,8.44
2012,3,3/1/12,177,2,375,,74,451,16.41
2012,3,3/1/12,180,316,9386,,2342,12044,19.45
2012,3,3/1/12,183,148,3478,,1084,4710,23.01
2012,3,3/1/12,190,173,5821,,1350,7344,18.38
2012,3,3/1/12,200,440,9434,,2089,11963,17.46
2012,3,3/1/12,201,46,888,,136,1070,12.71
2012,3,3/1/12,202,10,568,,87,665,13.08
2012,3,3/1/12,204,704,13887,,3092,17683,17.49
