LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,SAL GENOVESE,ADAM B SCHIFF,STEVE STOKES
GLENDALE,2550062A,928,46,N,0,VBM PORTION,130,4,86,6
GLENDALE,2550062A,928,46,N,1163,TOTAL,193,9,118,15
GLENDALE,2550065A,929,46,N,1068,POLLING PLACE,148,3,98,26
GLENDALE,2550065A,929,46,N,0,VBM PORTION,135,6,86,28
GLENDALE,2550065A,929,46,N,1068,TOTAL,283,9,184,54
GLENDALE,2550066B,930,46,N,1107,POLLING PLACE,67,3,30,9
GLENDALE,2550066B,930,46,N,0,VBM PORTION,143,7,75,9
GLENDALE,2550066B,930,46,N,1107,TOTAL,210,10,105,18
GLENDALE,2550067A,931,46,N,1343,POLLING PLACE,141,7,96,19
GLENDALE,2550067A,931,46,N,0,VBM PORTION,168,8,115,28
GLENDALE,2550067A,931,46,N,1343,TOTAL,309,15,211,47
GLENDALE,2550069A,932,46,N,1244,POLLING PLACE,102,8,56,16
GLENDALE,2550069A,932,46,N,0,VBM PORTION,129,5,90,11
GLENDALE,2550069A,932,46,N,1244,TOTAL,231,13,146,27
GLENDALE,2550071A,933,46,N,1180,POLLING PLACE,66,4,44,6
GLENDALE,2550071A,933,46,N,0,VBM PORTION,124,5,89,6
GLENDALE,2550071A,933,46,N,1180,TOTAL,190,9,133,12
GLENDALE,2550072A,934,46,N,1125,POLLING PLACE,47,3,27,5
GLENDALE,2550072A,934,46,N,0,VBM PORTION,143,5,87,19
GLENDALE,2550072A,934,46,N,1125,TOTAL,190,8,114,24
GLENDALE,2550073A,935,46,N,1039,POLLING PLACE,70,2,48,11
GLENDALE,2550073A,935,46,N,0,VBM PORTION,122,7,79,15
GLENDALE,2550073A,935,46,N,1039,TOTAL,192,9,127,26
GLENDALE,2550074A,936,46,N,1331,POLLING PLACE,97,4,55,10
GLENDALE,2550074A,936,46,N,0,VBM PORTION,167,4,104,12
GLENDALE,2550074A,936,46,N,1331,TOTAL,264,8,159,22
GLENDALE,2550079A,937,46,N,894,POLLING PLACE,56,4,40,8
GLENDALE,2550079A,937,46,N,0,VBM PORTION,72,5,52,6
