LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,KAREN BASS,R ADAM KING,MERVIN EVANS
VIEW PARK,7510008A,2756,116,N,0,VBM PORTION,136,115,2,7
VIEW PARK,7510008A,2756,116,N,1052,TOTAL,309,253,6,15
VIEW PARK,7510009B,2757,116,N,1269,POLLING PLACE,209,175,6,13
VIEW PARK,7510009B,2757,116,N,0,VBM PORTION,133,118,4,3
VIEW PARK,7510009B,2757,116,N,1269,TOTAL,342,293,10,16
VIEW PARK,7510010A,2758,116,N,974,POLLING PLACE,130,112,3,2
VIEW PARK,7510010A,2758,116,N,0,VBM PORTION,166,149,7,3
VIEW PARK,7510010A,2758,116,N,974,TOTAL,296,261,10,5
VIEW PARK,7510012A,2759,116,N,1034,POLLING PLACE,210,183,5,4
VIEW PARK,7510012A,2759,116,N,0,VBM PORTION,164,137,10,1
VIEW PARK,7510012A,2759,116,N,1034,TOTAL,374,320,15,5
LOS ANGELES,9000002A,2973,116,N,839,POLLING PLACE,110,80,19,3
LOS ANGELES,9000002A,2973,116,N,0,VBM PORTION,102,60,27,6
LOS ANGELES,9000002A,2973,116,N,839,TOTAL,212,140,46,9
LOS ANGELES,9000006A,2976,86,N,1290,POLLING PLACE,127,92,20,5
LOS ANGELES,9000006A,2976,86,N,0,VBM PORTION,172,114,32,6
LOS ANGELES,9000006A,2976,86,N,1290,TOTAL,299,206,52,11
LOS ANGELES,9000269B,3137,114,N,1317,POLLING PLACE,138,91,36,6
LOS ANGELES,9000269B,3137,114,N,0,VBM PORTION,138,76,33,14
LOS ANGELES,9000269B,3137,114,N,1317,TOTAL,276,167,69,20
LOS ANGELES,9000282A,3144,159,N,1129,POLLING PLACE,46,36,2,4
LOS ANGELES,9000282A,3144,159,N,0,VBM PORTION,68,53,3,5
LOS ANGELES,9000282A,3144,159,N,1129,TOTAL,114,89,5,9
LOS ANGELES,9000283A,3145,159,N,1030,POLLING PLACE,102,78,5,4
LOS ANGELES,9000283A,3145,159,N,0,VBM PORTION,79,64,3,2
LOS ANGELES,9000283A,3145,159,N,1030,TOTAL,181,142,8,6
LOS ANGELES,9000284C,3146,148,N,950,POLLING PLACE,143,115,5,1
LOS ANGELES,9000284C,3146,148,N,0,VBM PORTION,69,56,1,3
LOS ANGELES,9000284C,3146,148,N,950,TOTAL,212,171,6,4
LOS ANGELES,9000285A,3147,148,N,1226,POLLING PLACE,133,101,2,7
LOS ANGELES,9000285A,3147,148,N,0,VBM PORTION,111,95,4,5
LOS ANGELES,9000285A,3147,148,N,1226,TOTAL,244,196,6,12
