LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,SUSAN SHELLEY,MATT DABABNEH
LOS ANGELES,9000257B,3128,56,N,0,VBM PORTION,95,32,52
LOS ANGELES,9000257B,3128,56,N,1198,TOTAL,180,61,100
LOS ANGELES,9000259A,3129,56,N,1273,POLLING PLACE,86,26,51
LOS ANGELES,9000259A,3129,56,N,0,VBM PORTION,130,39,68
LOS ANGELES,9000259A,3129,56,N,1273,TOTAL,216,65,119
LOS ANGELES,9000270A,3138,57,N,1298,POLLING PLACE,105,55,44
LOS ANGELES,9000270A,3138,57,N,0,VBM PORTION,106,38,53
LOS ANGELES,9000270A,3138,57,N,1298,TOTAL,211,93,97
LOS ANGELES,9000318B,3170,56,N,987,POLLING PLACE,88,45,38
LOS ANGELES,9000318B,3170,56,N,0,VBM PORTION,82,37,41
LOS ANGELES,9000318B,3170,56,N,987,TOTAL,170,82,79
LOS ANGELES,9000359B,3195,56,N,1213,POLLING PLACE,49,23,23
LOS ANGELES,9000359B,3195,56,N,0,VBM PORTION,89,41,43
LOS ANGELES,9000359B,3195,56,N,1213,TOTAL,138,64,66
LOS ANGELES,9000393A,3217,57,N,1369,POLLING PLACE,70,29,32
LOS ANGELES,9000393A,3217,57,N,0,VBM PORTION,90,31,52
LOS ANGELES,9000393A,3217,57,N,1369,TOTAL,160,60,84
LOS ANGELES,9000401A,3223,57,N,793,POLLING PLACE,81,43,34
LOS ANGELES,9000401A,3223,57,N,0,VBM PORTION,101,52,42
LOS ANGELES,9000401A,3223,57,N,793,TOTAL,182,95,76
LOS ANGELES,9000414A,3233,56,N,1454,POLLING PLACE,75,31,40
LOS ANGELES,9000414A,3233,56,N,0,VBM PORTION,96,31,58
LOS ANGELES,9000414A,3233,56,N,1454,TOTAL,171,62,98
LOS ANGELES,9000414B,3234,56,N,1267,POLLING PLACE,98,52,40
LOS ANGELES,9000414B,3234,56,N,0,VBM PORTION,99,36,55
LOS ANGELES,9000414B,3234,56,N,1267,TOTAL,197,88,95
LOS ANGELES,9000419A,3238,54,N,1458,POLLING PLACE,79,34,39
LOS ANGELES,9000419A,3238,54,N,0,VBM PORTION,82,41,30
LOS ANGELES,9000419A,3238,54,N,1458,TOTAL,161,75,69
LOS ANGELES,9000423B,3240,56,N,1250,POLLING PLACE,110,50,53
LOS ANGELES,9000423B,3240,56,N,0,VBM PORTION,103,37,55
LOS ANGELES,9000423B,3240,56,N,1250,TOTAL,213,87,108
LOS ANGELES,9000525A,3299,56,N,1208,POLLING PLACE,84,28,46
LOS ANGELES,9000525A,3299,56,N,0,VBM PORTION,71,26,43
LOS ANGELES,9000525A,3299,56,N,1208,TOTAL,155,54,89
LOS ANGELES,9000548B,3310,56,N,1527,POLLING PLACE,77,28,46
LOS ANGELES,9000548B,3310,56,N,0,VBM PORTION,75,20,46
LOS ANGELES,9000548B,3310,56,N,1527,TOTAL,152,48,92
LOS ANGELES,9000557A,3318,56,N,1216,POLLING PLACE,68,33,29
LOS ANGELES,9000557A,3318,56,N,0,VBM PORTION,97,23,64
