LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,CHRIS HOLDEN
CLAREMONT,1300013A,489,31,N,709,POLLING PLACE,6,4
CLAREMONT,1300013A,489,31,N,0,VBM PORTION,11,10
CLAREMONT,1300013A,489,31,N,709,TOTAL,17,14
CLAREMONT,1300014A,490,31,N,930,POLLING PLACE,126,85
CLAREMONT,1300014A,490,31,N,0,VBM PORTION,103,70
CLAREMONT,1300014A,490,31,N,930,TOTAL,229,155
CLAREMONT,1300015A,491,31,N,839,POLLING PLACE,142,97
CLAREMONT,1300015A,491,31,N,0,VBM PORTION,86,57
CLAREMONT,1300015A,491,31,N,839,TOTAL,228,154
CLAREMONT,1300018A,492,31,N,928,POLLING PLACE,126,77
CLAREMONT,1300018A,492,31,N,0,VBM PORTION,113,61
CLAREMONT,1300018A,492,31,N,928,TOTAL,239,138
CLAREMONT,1300019A,493,31,N,932,POLLING PLACE,143,83
CLAREMONT,1300019A,493,31,N,0,VBM PORTION,129,75
CLAREMONT,1300019A,493,31,N,932,TOTAL,272,158
CLAREMONT,1300020A,494,31,N,882,POLLING PLACE,107,62
CLAREMONT,1300020A,494,31,N,0,VBM PORTION,106,63
CLAREMONT,1300020A,494,31,N,882,TOTAL,213,125
CLAREMONT,1300021A,495,31,N,886,POLLING PLACE,144,103
CLAREMONT,1300021A,495,31,N,0,VBM PORTION,99,63
CLAREMONT,1300021A,495,31,N,886,TOTAL,243,166
CLAREMONT,1300023B,496,31,N,612,POLLING PLACE,66,46
CLAREMONT,1300023B,496,31,N,0,VBM PORTION,37,19
CLAREMONT,1300023B,496,31,N,612,TOTAL,103,65
CLAREMONT,1300025A,497,31,N,866,POLLING PLACE,131,100
CLAREMONT,1300025A,497,31,N,0,VBM PORTION,125,88
CLAREMONT,1300025A,497,31,N,866,TOTAL,256,188
CLAREMONT,1300026A,498,31,N,809,POLLING PLACE,110,67
CLAREMONT,1300026A,498,31,N,0,VBM PORTION,105,55
CLAREMONT,1300026A,498,31,N,809,TOTAL,215,122
CLAREMONT,1300029A,499,31,N,536,POLLING PLACE,49,27
CLAREMONT,1300029A,499,31,N,0,VBM PORTION,92,47
CLAREMONT,1300029A,499,31,N,536,TOTAL,141,74
CLAREMONT,1300037A,500,31,N,1195,POLLING PLACE,132,66
CLAREMONT,1300037A,500,31,N,0,VBM PORTION,115,44
CLAREMONT,1300037A,500,31,N,1195,TOTAL,247,110
CLAREMONT,1300039A,501,31,N,1218,POLLING PLACE,154,97
CLAREMONT,1300039A,501,31,N,0,VBM PORTION,171,106
CLAREMONT,1300039A,501,31,N,1218,TOTAL,325,203
CLAREMONT,1300042A,502,31,N,962,POLLING PLACE,104,65
CLAREMONT,1300042A,502,31,N,0,VBM PORTION,112,58
CLAREMONT,1300042A,502,31,N,962,TOTAL,216,123
CLAREMONT,1300062A,503,31,N,705,POLLING PLACE,92,51
CLAREMONT,1300062A,503,31,N,0,VBM PORTION,91,57
CLAREMONT,1300062A,503,31,N,705,TOTAL,183,108
CLAREMONT,1300063A,504,31,N,1074,POLLING PLACE,180,116
CLAREMONT,1300063A,504,31,N,0,VBM PORTION,128,75
CLAREMONT,1300063A,504,31,N,1074,TOTAL,308,191
EAST PASADENA,2020001A,774,32,N,734,POLLING PLACE,54,25
EAST PASADENA,2020001A,774,32,N,0,VBM PORTION,66,39
EAST PASADENA,2020001A,774,32,N,734,TOTAL,120,64
EAST PASADENA,2020003A,775,32,N,439,POLLING PLACE,43,16
EAST PASADENA,2020003A,775,32,N,0,VBM PORTION,71,30
EAST PASADENA,2020003A,775,32,N,439,TOTAL,114,46
EAST PASADENA,2020004A,776,32,N,447,POLLING PLACE,30,18
EAST PASADENA,2020004A,776,32,N,0,VBM PORTION,61,23
EAST PASADENA,2020004A,776,32,N,447,TOTAL,91,41
EAST PASADENA,2020006A,777,33,N,720,POLLING PLACE,102,55
EAST PASADENA,2020006A,777,33,N,0,VBM PORTION,92,63
EAST PASADENA,2020006A,777,33,N,720,TOTAL,194,118
EAST PASADENA,2020007A,778,32,N,1138,POLLING PLACE,88,53
EAST PASADENA,2020007A,778,32,N,0,VBM PORTION,97,51
EAST PASADENA,2020007A,778,32,N,1138,TOTAL,185,104
EAST PASADENA,2020012A,779,32,N,620,POLLING PLACE,46,33
EAST PASADENA,2020012A,779,32,N,0,VBM PORTION,44,25
EAST PASADENA,2020012A,779,32,N,620,TOTAL,90,58
EAST PASADENA,2020016A,780,33,N,574,POLLING PLACE,73,49
EAST PASADENA,2020016A,780,33,N,0,VBM PORTION,52,33
EAST PASADENA,2020016A,780,33,N,574,TOTAL,125,82
FOOTHILL,2350002A,6047,31,Y,4,POLLING PLACE,0,0
FOOTHILL,2350002A,6047,31,Y,0,VBM PORTION,0,0
FOOTHILL,2350002A,6047,31,Y,4,TOTAL,0,0
FOOTHILL,2350020A,6048,29,Y,94,POLLING PLACE,0,0
FOOTHILL,2350020A,6048,29,Y,0,VBM PORTION,23,7
FOOTHILL,2350020A,6048,29,Y,94,TOTAL,23,7
FOOTHILL,2350021A,6049,31,Y,125,POLLING PLACE,0,0
FOOTHILL,2350021A,6049,31,Y,0,VBM PORTION,39,23
FOOTHILL,2350021A,6049,31,Y,125,TOTAL,39,23
FOOTHILL,2350023A,6050,33,Y,0,POLLING PLACE,0,0
FOOTHILL,2350023A,6050,33,Y,0,VBM PORTION,0,0
FOOTHILL,2350023A,6050,33,Y,0,TOTAL,0,0
FOOTHILL,2350024A,864,35,N,820,POLLING PLACE,81,46
FOOTHILL,2350024A,864,35,N,0,VBM PORTION,79,41
FOOTHILL,2350024A,864,35,N,820,TOTAL,160,87
FOOTHILL,2350025A,6051,35,Y,44,POLLING PLACE,0,0
FOOTHILL,2350025A,6051,35,Y,0,VBM PORTION,3,3
FOOTHILL,2350025A,6051,35,Y,44,TOTAL,3,3
FOOTHILL,2350026A,865,33,N,435,POLLING PLACE,56,32
FOOTHILL,2350026A,865,33,N,0,VBM PORTION,45,28
FOOTHILL,2350026A,865,33,N,435,TOTAL,101,60
FOOTHILL,2350030A,6054,31,Y,245,POLLING PLACE,0,0
FOOTHILL,2350030A,6054,31,Y,0,VBM PORTION,57,35
FOOTHILL,2350030A,6054,31,Y,245,TOTAL,57,35
KINNELOA MESA,3080002A,1167,33,N,923,POLLING PLACE,94,57
KINNELOA MESA,3080002A,1167,33,N,0,VBM PORTION,171,77
KINNELOA MESA,3080002A,1167,33,N,923,TOTAL,265,134
LA VERNE,3400001A,1236,35,N,925,POLLING PLACE,110,64
LA VERNE,3400001A,1236,35,N,0,VBM PORTION,99,50
LA VERNE,3400001A,1236,35,N,925,TOTAL,209,114
LA VERNE,3400002A,1237,35,N,1037,POLLING PLACE,60,33
LA VERNE,3400002A,1237,35,N,0,VBM PORTION,57,37
LA VERNE,3400002A,1237,35,N,1037,TOTAL,117,70
LA VERNE,3400003A,1238,35,N,901,POLLING PLACE,88,56
LA VERNE,3400003A,1238,35,N,0,VBM PORTION,74,49
LA VERNE,3400003A,1238,35,N,901,TOTAL,162,105
LA VERNE,3400005A,1239,35,N,933,POLLING PLACE,114,62
LA VERNE,3400005A,1239,35,N,0,VBM PORTION,64,45
LA VERNE,3400005A,1239,35,N,933,TOTAL,178,107
LA VERNE,3400006A,1240,35,N,826,POLLING PLACE,72,50
LA VERNE,3400006A,1240,35,N,0,VBM PORTION,57,40
LA VERNE,3400006A,1240,35,N,826,TOTAL,129,90
LA VERNE,3400008A,1241,35,N,933,POLLING PLACE,123,49
LA VERNE,3400008A,1241,35,N,0,VBM PORTION,119,55
LA VERNE,3400008A,1241,35,N,933,TOTAL,242,104
LA VERNE,3400009A,1242,35,N,928,POLLING PLACE,104,57
LA VERNE,3400009A,1242,35,N,0,VBM PORTION,69,42
LA VERNE,3400009A,1242,35,N,928,TOTAL,173,99
LA VERNE,3400010A,1243,35,N,702,POLLING PLACE,75,33
LA VERNE,3400010A,1243,35,N,0,VBM PORTION,75,30
LA VERNE,3400010A,1243,35,N,702,TOTAL,150,63
LA VERNE,3400011A,1244,35,N,993,POLLING PLACE,94,49
LA VERNE,3400011A,1244,35,N,0,VBM PORTION,49,28
LA VERNE,3400011A,1244,35,N,993,TOTAL,143,77
LA VERNE,3400012A,1245,35,N,758,POLLING PLACE,68,43
LA VERNE,3400012A,1245,35,N,0,VBM PORTION,50,36
LA VERNE,3400012A,1245,35,N,758,TOTAL,118,79
LA VERNE,3400013A,6076,30,Y,0,POLLING PLACE,0,0
LA VERNE,3400013A,6076,30,Y,0,VBM PORTION,0,0
