LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,GEORGE MCKENNA,HATTIE B MCFRAZIER,O O MANIGAULT,G HUDLEY-HAYES,RACHEL C JOHNSON,ALEX JOHNSON,SHERLETT H NEWBILL
WEST ATHENS,7670017A,2797,163,N,1021,TOTAL,104,45,2,4,0,10,23,5
WEST ATHENS,7670018A,2798,163,N,884,POLLING PLACE,97,58,1,3,2,4,15,5
WEST ATHENS,7670018A,2798,163,N,0,VBM PORTION,54,21,2,0,0,5,12,2
WEST ATHENS,7670018A,2798,163,N,884,TOTAL,151,79,3,3,2,9,27,7
WEST ATHENS,7670019A,2799,163,N,781,POLLING PLACE,83,45,1,4,2,2,13,7
WEST ATHENS,7670019A,2799,163,N,0,VBM PORTION,30,15,1,3,2,2,6,1
WEST ATHENS,7670019A,2799,163,N,781,TOTAL,113,60,2,7,4,4,19,8
WEST ATHENS,7670020A,2800,163,N,967,POLLING PLACE,155,76,5,4,5,11,35,7
WEST ATHENS,7670020A,2800,163,N,0,VBM PORTION,82,27,5,1,5,5,27,1
WEST ATHENS,7670020A,2800,163,N,967,TOTAL,237,103,10,5,10,16,62,8
WEST ATHENS,7670021A,2801,163,N,837,POLLING PLACE,119,59,19,1,1,13,18,3
WEST ATHENS,7670021A,2801,163,N,0,VBM PORTION,69,21,9,6,1,3,10,1
WEST ATHENS,7670021A,2801,163,N,837,TOTAL,188,80,28,7,2,16,28,4
WEST ATHENS,7670022A,2802,161,N,1029,POLLING PLACE,54,25,2,4,3,3,10,5
WEST ATHENS,7670022A,2802,161,N,0,VBM PORTION,41,17,1,2,1,0,11,2
WEST ATHENS,7670022A,2802,161,N,1029,TOTAL,95,42,3,6,4,3,21,7
WEST ATHENS,7670023A,2803,161,N,935,POLLING PLACE,97,47,2,2,3,2,21,10
WEST ATHENS,7670023A,2803,161,N,0,VBM PORTION,51,20,3,4,3,1,8,2
WEST ATHENS,7670023A,2803,161,N,935,TOTAL,148,67,5,6,6,3,29,12
WEST ATHENS,7670024A,2804,161,N,817,POLLING PLACE,79,37,5,1,4,1,16,8
WEST ATHENS,7670024A,2804,161,N,0,VBM PORTION,47,21,2,0,4,4,7,1
