LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ARNOLD W MEDNICK,ANDREW COOPER
ALHAMBRA,0150014A,33,76,N,1129,POLLING PLACE,86,9,58
ALHAMBRA,0150014A,33,76,N,0,VBM PORTION,64,10,35
ALHAMBRA,0150014A,33,76,N,1129,TOTAL,150,19,93
ALHAMBRA,0150015A,34,76,N,950,POLLING PLACE,116,11,77
ALHAMBRA,0150015A,34,76,N,0,VBM PORTION,78,10,57
ALHAMBRA,0150015A,34,76,N,950,TOTAL,194,21,134
ALHAMBRA,0150016F,35,76,N,866,POLLING PLACE,94,11,50
ALHAMBRA,0150016F,35,76,N,0,VBM PORTION,79,4,48
ALHAMBRA,0150016F,35,76,N,866,TOTAL,173,15,98
ALHAMBRA,0150018A,36,76,N,872,POLLING PLACE,83,13,54
ALHAMBRA,0150018A,36,76,N,0,VBM PORTION,63,9,39
ALHAMBRA,0150018A,36,76,N,872,TOTAL,146,22,93
ALHAMBRA,0150021A,37,76,N,1028,POLLING PLACE,68,12,42
ALHAMBRA,0150021A,37,76,N,0,VBM PORTION,120,9,77
ALHAMBRA,0150021A,37,76,N,1028,TOTAL,188,21,119
ALHAMBRA,0150022A,38,76,N,898,POLLING PLACE,94,12,56
ALHAMBRA,0150022A,38,76,N,0,VBM PORTION,62,7,36
ALHAMBRA,0150022A,38,76,N,898,TOTAL,156,19,92
ALHAMBRA,0150023A,39,76,N,1152,POLLING PLACE,72,14,37
ALHAMBRA,0150023A,39,76,N,0,VBM PORTION,78,4,49
ALHAMBRA,0150023A,39,76,N,1152,TOTAL,150,18,86
ALHAMBRA,0150024A,40,76,N,718,POLLING PLACE,33,5,21
ALHAMBRA,0150024A,40,76,N,0,VBM PORTION,34,3,22
ALHAMBRA,0150024A,40,76,N,718,TOTAL,67,8,43
ALHAMBRA,0150025A,41,76,N,943,POLLING PLACE,51,9,32
ALHAMBRA,0150025A,41,76,N,0,VBM PORTION,62,9,40
ALHAMBRA,0150025A,41,76,N,943,TOTAL,113,18,72
ALHAMBRA,0150030A,42,76,N,1260,POLLING PLACE,85,15,50
ALHAMBRA,0150030A,42,76,N,0,VBM PORTION,79,13,40
ALHAMBRA,0150030A,42,76,N,1260,TOTAL,164,28,90
ALHAMBRA,0150032A,43,76,N,1229,POLLING PLACE,83,13,48
ALHAMBRA,0150032A,43,76,N,0,VBM PORTION,77,12,43
ALHAMBRA,0150032A,43,76,N,1229,TOTAL,160,25,91
ALHAMBRA,0150033A,44,76,N,827,POLLING PLACE,51,11,28
ALHAMBRA,0150033A,44,76,N,0,VBM PORTION,36,4,22
ALHAMBRA,0150033A,44,76,N,827,TOTAL,87,15,50
ALHAMBRA,0150037A,45,76,N,1067,POLLING PLACE,92,10,61
ALHAMBRA,0150037A,45,76,N,0,VBM PORTION,75,8,41
ALHAMBRA,0150037A,45,76,N,1067,TOTAL,167,18,102
ALHAMBRA,0150039A,46,76,N,1313,POLLING PLACE,47,6,33
ALHAMBRA,0150039A,46,76,N,0,VBM PORTION,79,8,44
ALHAMBRA,0150039A,46,76,N,1313,TOTAL,126,14,77
