LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,PROPHET L WALKER,MICAH ALI,STEVE NEAL,MIKE GIPSON
CARSON,1030067B,398,178,N,708,POLLING PLACE,144,19,12,20,86
CARSON,1030067B,398,178,N,0,VBM PORTION,52,8,3,5,33
CARSON,1030067B,398,178,N,708,TOTAL,196,27,15,25,119
CARSON,1030081A,399,178,N,841,POLLING PLACE,74,11,20,8,25
CARSON,1030081A,399,178,N,0,VBM PORTION,90,9,17,10,40
CARSON,1030081A,399,178,N,841,TOTAL,164,20,37,18,65
CARSON,1030100A,400,178,N,509,POLLING PLACE,71,7,7,3,52
CARSON,1030100A,400,178,N,0,VBM PORTION,35,2,4,2,24
CARSON,1030100A,400,178,N,509,TOTAL,106,9,11,5,76
CARSON,1030101A,401,178,N,867,POLLING PLACE,129,12,11,13,84
CARSON,1030101A,401,178,N,0,VBM PORTION,90,9,6,11,58
CARSON,1030101A,401,178,N,867,TOTAL,219,21,17,24,142
CARSON,1030102A,402,178,N,968,POLLING PLACE,156,16,11,19,101
CARSON,1030102A,402,178,N,0,VBM PORTION,77,10,7,14,40
CARSON,1030102A,402,178,N,968,TOTAL,233,26,18,33,141
CARSON,1030103A,403,178,N,1078,POLLING PLACE,185,26,16,35,99
CARSON,1030103A,403,178,N,0,VBM PORTION,101,19,11,6,58
CARSON,1030103A,403,178,N,1078,TOTAL,286,45,27,41,157
CARSON,1030105A,404,178,N,1090,POLLING PLACE,194,20,9,37,118
CARSON,1030105A,404,178,N,0,VBM PORTION,129,28,7,25,62
CARSON,1030105A,404,178,N,1090,TOTAL,323,48,16,62,180
CARSON,1030106A,405,178,N,924,POLLING PLACE,121,11,14,16,74
CARSON,1030106A,405,178,N,0,VBM PORTION,85,14,8,6,53
CARSON,1030106A,405,178,N,924,TOTAL,206,25,22,22,127
CARSON,1030107A,406,178,N,977,POLLING PLACE,144,20,13,7,97
CARSON,1030107A,406,178,N,0,VBM PORTION,94,18,5,11,56
CARSON,1030107A,406,178,N,977,TOTAL,238,38,18,18,153
CARSON,1030108B,407,178,N,1000,POLLING PLACE,89,19,10,12,40
CARSON,1030108B,407,178,N,0,VBM PORTION,64,9,3,8,33
CARSON,1030108B,407,178,N,1000,TOTAL,153,28,13,20,73
CARSON,1030109A,408,178,N,927,POLLING PLACE,70,5,14,8,42
CARSON,1030109A,408,178,N,0,VBM PORTION,76,14,18,8,27
CARSON,1030109A,408,178,N,927,TOTAL,146,19,32,16,69
CARSON,1030110A,409,178,N,759,POLLING PLACE,53,8,4,5,25
CARSON,1030110A,409,178,N,0,VBM PORTION,47,6,3,7,27
CARSON,1030110A,409,178,N,759,TOTAL,100,14,7,12,52
CARSON,1030111A,410,178,N,1044,POLLING PLACE,169,13,23,26,102
CARSON,1030111A,410,178,N,0,VBM PORTION,102,15,10,7,67
CARSON,1030111A,410,178,N,1044,TOTAL,271,28,33,33,169
CARSON,1030112A,411,178,N,906,POLLING PLACE,71,12,8,10,36
CARSON,1030112A,411,178,N,0,VBM PORTION,47,4,5,7,15
CARSON,1030112A,411,178,N,906,TOTAL,118,16,13,17,51
CARSON,1030113A,412,178,N,873,POLLING PLACE,58,8,5,8,29
CARSON,1030113A,412,178,N,0,VBM PORTION,41,3,4,8,22
CARSON,1030113A,412,178,N,873,TOTAL,99,11,9,16,51
CARSON,1030114A,413,178,N,877,POLLING PLACE,53,11,3,3,21
CARSON,1030114A,413,178,N,0,VBM PORTION,42,9,0,3,23
CARSON,1030114A,413,178,N,877,TOTAL,95,20,3,6,44
CARSON,1030115A,414,178,N,871,POLLING PLACE,49,5,4,5,20
CARSON,1030115A,414,178,N,0,VBM PORTION,56,5,5,9,29
CARSON,1030115A,414,178,N,871,TOTAL,105,10,9,14,49
CARSON,1030116A,415,178,N,493,POLLING PLACE,65,11,14,6,28
CARSON,1030116A,415,178,N,0,VBM PORTION,122,12,29,16,51
CARSON,1030116A,415,178,N,493,TOTAL,187,23,43,22,79
CARSON,1030119A,416,178,N,988,POLLING PLACE,124,15,9,19,76
CARSON,1030119A,416,178,N,0,VBM PORTION,102,12,6,10,66
CARSON,1030119A,416,178,N,988,TOTAL,226,27,15,29,142
CARSON,1030120A,417,178,N,877,POLLING PLACE,59,10,4,10,26
CARSON,1030120A,417,178,N,0,VBM PORTION,38,3,3,3,21
CARSON,1030120A,417,178,N,877,TOTAL,97,13,7,13,47
COMPTON,1450002A,512,178,N,1212,POLLING PLACE,66,28,12,10,16
COMPTON,1450002A,512,178,N,0,VBM PORTION,36,2,9,1,19
COMPTON,1450002A,512,178,N,1212,TOTAL,102,30,21,11,35
COMPTON,1450004A,513,178,N,958,POLLING PLACE,58,8,16,7,23
COMPTON,1450004A,513,178,N,0,VBM PORTION,40,5,10,5,15
COMPTON,1450004A,513,178,N,958,TOTAL,98,13,26,12,38
COMPTON,1450005A,514,178,N,738,POLLING PLACE,77,19,14,7,30
COMPTON,1450005A,514,178,N,0,VBM PORTION,25,6,5,1,11
COMPTON,1450005A,514,178,N,738,TOTAL,102,25,19,8,41
COMPTON,1450006A,515,178,N,851,POLLING PLACE,41,17,5,6,12
COMPTON,1450006A,515,178,N,0,VBM PORTION,23,7,0,11,3
COMPTON,1450006A,515,178,N,851,TOTAL,64,24,5,17,15
COMPTON,1450007B,516,178,N,1160,POLLING PLACE,81,21,13,9,30
COMPTON,1450007B,516,178,N,0,VBM PORTION,33,11,5,3,6
COMPTON,1450007B,516,178,N,1160,TOTAL,114,32,18,12,36
COMPTON,1450008A,517,178,N,1089,POLLING PLACE,61,14,12,8,21
COMPTON,1450008A,517,178,N,0,VBM PORTION,45,15,4,7,11
COMPTON,1450008A,517,178,N,1089,TOTAL,106,29,16,15,32
COMPTON,1450010C,518,178,N,721,POLLING PLACE,64,7,11,3,39
COMPTON,1450010C,518,178,N,0,VBM PORTION,42,3,8,1,26
COMPTON,1450010C,518,178,N,721,TOTAL,106,10,19,4,65
COMPTON,1450018A,519,178,N,769,POLLING PLACE,37,2,3,7,23
COMPTON,1450018A,519,178,N,0,VBM PORTION,26,9,2,5,5
COMPTON,1450018A,519,178,N,769,TOTAL,63,11,5,12,28
COMPTON,1450020A,520,178,N,1002,POLLING PLACE,70,15,13,6,35
COMPTON,1450020A,520,178,N,0,VBM PORTION,45,10,8,7,16
COMPTON,1450020A,520,178,N,1002,TOTAL,115,25,21,13,51
COMPTON,1450022B,521,178,N,1054,POLLING PLACE,80,17,17,11,29
COMPTON,1450022B,521,178,N,0,VBM PORTION,43,9,8,4,19
COMPTON,1450022B,521,178,N,1054,TOTAL,123,26,25,15,48
COMPTON,1450024A,522,178,N,1072,POLLING PLACE,136,22,15,14,71
COMPTON,1450024A,522,178,N,0,VBM PORTION,86,31,6,8,32
COMPTON,1450024A,522,178,N,1072,TOTAL,222,53,21,22,103
COMPTON,1450027A,523,178,N,1090,POLLING PLACE,80,18,17,9,34
COMPTON,1450027A,523,178,N,0,VBM PORTION,42,10,7,10,12
COMPTON,1450027A,523,178,N,1090,TOTAL,122,28,24,19,46
COMPTON,1450028C,524,178,N,1156,POLLING PLACE,66,10,19,8,26
COMPTON,1450028C,524,178,N,0,VBM PORTION,45,12,4,7,16
COMPTON,1450028C,524,178,N,1156,TOTAL,111,22,23,15,42
COMPTON,1450030A,525,178,N,734,POLLING PLACE,60,13,6,11,25
COMPTON,1450030A,525,178,N,0,VBM PORTION,32,6,3,8,9
COMPTON,1450030A,525,178,N,734,TOTAL,92,19,9,19,34
COMPTON,1450033A,526,178,N,1086,POLLING PLACE,85,13,20,13,32
COMPTON,1450033A,526,178,N,0,VBM PORTION,25,7,2,3,12
COMPTON,1450033A,526,178,N,1086,TOTAL,110,20,22,16,44
COMPTON,1450034A,527,178,N,771,POLLING PLACE,65,13,10,2,38
COMPTON,1450034A,527,178,N,0,VBM PORTION,35,8,8,3,13
COMPTON,1450034A,527,178,N,771,TOTAL,100,21,18,5,51
COMPTON,1450036A,528,178,N,1143,POLLING PLACE,69,14,15,5,28
COMPTON,1450036A,528,178,N,0,VBM PORTION,33,7,6,4,14
COMPTON,1450036A,528,178,N,1143,TOTAL,102,21,21,9,42
COMPTON,1450040C,529,178,N,1061,POLLING PLACE,69,13,17,8,30
