LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,NATHALIE HRIZI,DAVE JONES,TED GAINES
ALHAMBRA,0150008A,30,76,N,0,VBM PORTION,55,5,32,7
ALHAMBRA,0150008A,30,76,N,1214,TOTAL,134,14,66,21
ALHAMBRA,0150011A,31,76,N,1288,POLLING PLACE,126,13,69,19
ALHAMBRA,0150011A,31,76,N,0,VBM PORTION,111,3,65,21
ALHAMBRA,0150011A,31,76,N,1288,TOTAL,237,16,134,40
ALHAMBRA,0150012A,32,76,N,1108,POLLING PLACE,76,8,48,5
ALHAMBRA,0150012A,32,76,N,0,VBM PORTION,68,8,26,19
ALHAMBRA,0150012A,32,76,N,1108,TOTAL,144,16,74,24
ALHAMBRA,0150014A,33,76,N,1129,POLLING PLACE,86,9,29,25
ALHAMBRA,0150014A,33,76,N,0,VBM PORTION,64,3,31,17
ALHAMBRA,0150014A,33,76,N,1129,TOTAL,150,12,60,42
ALHAMBRA,0150015A,34,76,N,950,POLLING PLACE,116,10,54,38
ALHAMBRA,0150015A,34,76,N,0,VBM PORTION,78,3,42,17
ALHAMBRA,0150015A,34,76,N,950,TOTAL,194,13,96,55
ALHAMBRA,0150016F,35,76,N,866,POLLING PLACE,94,7,43,25
ALHAMBRA,0150016F,35,76,N,0,VBM PORTION,79,4,20,41
ALHAMBRA,0150016F,35,76,N,866,TOTAL,173,11,63,66
ALHAMBRA,0150018A,36,76,N,872,POLLING PLACE,83,6,44,17
ALHAMBRA,0150018A,36,76,N,0,VBM PORTION,63,2,46,7
ALHAMBRA,0150018A,36,76,N,872,TOTAL,146,8,90,24
ALHAMBRA,0150021A,37,76,N,1028,POLLING PLACE,68,4,32,18
ALHAMBRA,0150021A,37,76,N,0,VBM PORTION,120,2,64,28
ALHAMBRA,0150021A,37,76,N,1028,TOTAL,188,6,96,46
ALHAMBRA,0150022A,38,76,N,898,POLLING PLACE,94,7,57,15
ALHAMBRA,0150022A,38,76,N,0,VBM PORTION,62,5,32,14
ALHAMBRA,0150022A,38,76,N,898,TOTAL,156,12,89,29
ALHAMBRA,0150023A,39,76,N,1152,POLLING PLACE,72,4,52,8
ALHAMBRA,0150023A,39,76,N,0,VBM PORTION,78,4,36,15
ALHAMBRA,0150023A,39,76,N,1152,TOTAL,150,8,88,23
ALHAMBRA,0150024A,40,76,N,718,POLLING PLACE,33,4,21,5
ALHAMBRA,0150024A,40,76,N,0,VBM PORTION,34,3,15,9
ALHAMBRA,0150024A,40,76,N,718,TOTAL,67,7,36,14
ALHAMBRA,0150025A,41,76,N,943,POLLING PLACE,51,8,30,3
ALHAMBRA,0150025A,41,76,N,0,VBM PORTION,62,8,35,8
ALHAMBRA,0150025A,41,76,N,943,TOTAL,113,16,65,11
ALHAMBRA,0150030A,42,76,N,1260,POLLING PLACE,85,7,45,12
ALHAMBRA,0150030A,42,76,N,0,VBM PORTION,79,2,50,15
ALHAMBRA,0150030A,42,76,N,1260,TOTAL,164,9,95,27
ALHAMBRA,0150032A,43,76,N,1229,POLLING PLACE,83,7,35,26
ALHAMBRA,0150032A,43,76,N,0,VBM PORTION,77,3,40,15
ALHAMBRA,0150032A,43,76,N,1229,TOTAL,160,10,75,41
ALHAMBRA,0150033A,44,76,N,827,POLLING PLACE,51,3,21,10
ALHAMBRA,0150033A,44,76,N,0,VBM PORTION,36,2,12,13
ALHAMBRA,0150033A,44,76,N,827,TOTAL,87,5,33,23
ALHAMBRA,0150037A,45,76,N,1067,POLLING PLACE,92,8,55,17
ALHAMBRA,0150037A,45,76,N,0,VBM PORTION,75,3,34,19
ALHAMBRA,0150037A,45,76,N,1067,TOTAL,167,11,89,36
ALHAMBRA,0150039A,46,76,N,1313,POLLING PLACE,47,5,22,8
ALHAMBRA,0150039A,46,76,N,0,VBM PORTION,79,6,37,15
ALHAMBRA,0150039A,46,76,N,1313,TOTAL,126,11,59,23
ALHAMBRA,0150041A,47,76,N,1303,POLLING PLACE,97,6,51,20
ALHAMBRA,0150041A,47,76,N,0,VBM PORTION,94,5,47,22
ALHAMBRA,0150041A,47,76,N,1303,TOTAL,191,11,98,42
ALHAMBRA,0150042A,48,76,N,815,POLLING PLACE,45,4,19,10
ALHAMBRA,0150042A,48,76,N,0,VBM PORTION,65,10,29,18
ALHAMBRA,0150042A,48,76,N,815,TOTAL,110,14,48,28
ALHAMBRA,0150044A,49,76,N,973,POLLING PLACE,51,4,24,12
ALHAMBRA,0150044A,49,76,N,0,VBM PORTION,47,4,18,19
ALHAMBRA,0150044A,49,76,N,973,TOTAL,98,8,42,31
ALHAMBRA,0150045A,50,76,N,749,POLLING PLACE,43,0,15,16
ALHAMBRA,0150045A,50,76,N,0,VBM PORTION,56,5,39,10
ALHAMBRA,0150045A,50,76,N,749,TOTAL,99,5,54,26
ALHAMBRA,0150049A,51,76,N,961,POLLING PLACE,58,2,28,16
ALHAMBRA,0150049A,51,76,N,0,VBM PORTION,83,2,41,16
ALHAMBRA,0150049A,51,76,N,961,TOTAL,141,4,69,32
ALHAMBRA,0150051A,52,76,N,1223,POLLING PLACE,85,4,44,20
ALHAMBRA,0150051A,52,76,N,0,VBM PORTION,68,4,31,14
ALHAMBRA,0150051A,52,76,N,1223,TOTAL,153,8,75,34
ALHAMBRA,0150055A,53,76,N,924,POLLING PLACE,88,11,40,13
ALHAMBRA,0150055A,53,76,N,0,VBM PORTION,63,7,29,22
ALHAMBRA,0150055A,53,76,N,924,TOTAL,151,18,69,35
ALHAMBRA,0150056A,54,76,N,1172,POLLING PLACE,76,4,31,18
ALHAMBRA,0150056A,54,76,N,0,VBM PORTION,51,1,27,14
ALHAMBRA,0150056A,54,76,N,1172,TOTAL,127,5,58,32
ALHAMBRA,0150059B,55,76,N,1047,POLLING PLACE,72,7,45,12
ALHAMBRA,0150059B,55,76,N,0,VBM PORTION,55,4,26,13
