LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ALAN REYNOLDS,GEORGE YANG,ERIC KOREVAAR,DAVID FENNELL,AMOS JOHNSON,GAVIN NEWSOM,RON NEHRING,JENA F GOODMAN
ALHAMBRA,0150008A,30,76,N,1214,TOTAL,134,0,14,6,6,1,76,13,4
ALHAMBRA,0150011A,31,76,N,1288,POLLING PLACE,126,2,10,6,4,0,76,15,2
ALHAMBRA,0150011A,31,76,N,0,VBM PORTION,111,3,6,3,5,0,67,13,5
ALHAMBRA,0150011A,31,76,N,1288,TOTAL,237,5,16,9,9,0,143,28,7
ALHAMBRA,0150012A,32,76,N,1108,POLLING PLACE,76,0,3,7,0,0,53,4,3
ALHAMBRA,0150012A,32,76,N,0,VBM PORTION,68,1,8,5,2,1,32,12,2
ALHAMBRA,0150012A,32,76,N,1108,TOTAL,144,1,11,12,2,1,85,16,5
ALHAMBRA,0150014A,33,76,N,1129,POLLING PLACE,86,1,11,4,2,1,30,18,3
ALHAMBRA,0150014A,33,76,N,0,VBM PORTION,64,2,9,1,2,1,29,12,1
ALHAMBRA,0150014A,33,76,N,1129,TOTAL,150,3,20,5,4,2,59,30,4
ALHAMBRA,0150015A,34,76,N,950,POLLING PLACE,116,2,8,8,7,3,60,21,1
ALHAMBRA,0150015A,34,76,N,0,VBM PORTION,78,0,11,4,1,0,39,13,0
ALHAMBRA,0150015A,34,76,N,950,TOTAL,194,2,19,12,8,3,99,34,1
ALHAMBRA,0150016F,35,76,N,866,POLLING PLACE,94,2,7,6,6,1,42,16,2
ALHAMBRA,0150016F,35,76,N,0,VBM PORTION,79,0,7,5,11,3,19,26,2
ALHAMBRA,0150016F,35,76,N,866,TOTAL,173,2,14,11,17,4,61,42,4
ALHAMBRA,0150018A,36,76,N,872,POLLING PLACE,83,1,9,2,4,0,50,10,2
ALHAMBRA,0150018A,36,76,N,0,VBM PORTION,63,0,7,3,0,1,45,3,0
ALHAMBRA,0150018A,36,76,N,872,TOTAL,146,1,16,5,4,1,95,13,2
ALHAMBRA,0150021A,37,76,N,1028,POLLING PLACE,68,2,8,6,6,1,28,10,1
ALHAMBRA,0150021A,37,76,N,0,VBM PORTION,120,3,15,4,3,1,61,18,0
ALHAMBRA,0150021A,37,76,N,1028,TOTAL,188,5,23,10,9,2,89,28,1
ALHAMBRA,0150022A,38,76,N,898,POLLING PLACE,94,0,8,4,5,3,54,8,2
ALHAMBRA,0150022A,38,76,N,0,VBM PORTION,62,0,2,7,5,1,33,13,1
ALHAMBRA,0150022A,38,76,N,898,TOTAL,156,0,10,11,10,4,87,21,3
ALHAMBRA,0150023A,39,76,N,1152,POLLING PLACE,72,0,5,3,3,1,50,4,1
ALHAMBRA,0150023A,39,76,N,0,VBM PORTION,78,0,11,7,0,0,38,5,2
ALHAMBRA,0150023A,39,76,N,1152,TOTAL,150,0,16,10,3,1,88,9,3
ALHAMBRA,0150024A,40,76,N,718,POLLING PLACE,33,0,6,5,0,1,16,2,2
ALHAMBRA,0150024A,40,76,N,0,VBM PORTION,34,0,3,4,1,0,16,6,0
ALHAMBRA,0150024A,40,76,N,718,TOTAL,67,0,9,9,1,1,32,8,2
ALHAMBRA,0150025A,41,76,N,943,POLLING PLACE,51,2,4,7,2,0,29,3,1
ALHAMBRA,0150025A,41,76,N,0,VBM PORTION,62,4,10,4,2,0,33,8,0
ALHAMBRA,0150025A,41,76,N,943,TOTAL,113,6,14,11,4,0,62,11,1
ALHAMBRA,0150030A,42,76,N,1260,POLLING PLACE,85,3,8,4,2,0,49,5,2
ALHAMBRA,0150030A,42,76,N,0,VBM PORTION,79,2,11,7,2,0,43,3,1
ALHAMBRA,0150030A,42,76,N,1260,TOTAL,164,5,19,11,4,0,92,8,3
ALHAMBRA,0150032A,43,76,N,1229,POLLING PLACE,83,1,14,6,4,0,37,12,5
ALHAMBRA,0150032A,43,76,N,0,VBM PORTION,77,4,6,4,1,1,43,9,1
ALHAMBRA,0150032A,43,76,N,1229,TOTAL,160,5,20,10,5,1,80,21,6
ALHAMBRA,0150033A,44,76,N,827,POLLING PLACE,51,1,4,5,6,1,22,6,0
ALHAMBRA,0150033A,44,76,N,0,VBM PORTION,36,0,8,3,2,0,12,6,0
ALHAMBRA,0150033A,44,76,N,827,TOTAL,87,1,12,8,8,1,34,12,0
ALHAMBRA,0150037A,45,76,N,1067,POLLING PLACE,92,4,2,4,2,2,55,13,6
ALHAMBRA,0150037A,45,76,N,0,VBM PORTION,75,2,4,4,2,1,42,11,0
ALHAMBRA,0150037A,45,76,N,1067,TOTAL,167,6,6,8,4,3,97,24,6
ALHAMBRA,0150039A,46,76,N,1313,POLLING PLACE,47,0,5,7,2,1,17,6,3
