LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,REBECCA POIRIER,JAY SCHARFMAN,GINA SEMANA
TORRANCE,7150149A,2724,185,N,0,VBM PORTION,116,54,14,17
TORRANCE,7150149A,2724,185,N,1238,TOTAL,276,104,34,49
TORRANCE,7150161A,2725,180,N,1004,POLLING PLACE,96,49,10,13
TORRANCE,7150161A,2725,180,N,0,VBM PORTION,119,54,5,21
TORRANCE,7150161A,2725,180,N,1004,TOTAL,215,103,15,34
TORRANCE,7150182A,2726,180,N,964,POLLING PLACE,123,61,8,20
TORRANCE,7150182A,2726,180,N,0,VBM PORTION,180,81,16,16
TORRANCE,7150182A,2726,180,N,964,TOTAL,303,142,24,36
TORRANCE,7150201A,2727,185,N,1014,POLLING PLACE,122,53,11,21
TORRANCE,7150201A,2727,185,N,0,VBM PORTION,147,70,7,21
TORRANCE,7150201A,2727,185,N,1014,TOTAL,269,123,18,42
TORRANCE,7150300A,2728,180,N,854,POLLING PLACE,200,83,24,37
TORRANCE,7150300A,2728,180,N,0,VBM PORTION,101,45,13,13
TORRANCE,7150300A,2728,180,N,854,TOTAL,301,128,37,50
TORRANCE,7150301A,2729,180,N,1147,POLLING PLACE,226,106,30,36
TORRANCE,7150301A,2729,180,N,0,VBM PORTION,163,77,18,15
TORRANCE,7150301A,2729,180,N,1147,TOTAL,389,183,48,51
BALLOT GROUP 180,9990180A,8180,180,N,0,POLLING PLACE,0,0,0,0
BALLOT GROUP 180,9990180A,8180,180,N,0,VBM PORTION,2,0,0,0
BALLOT GROUP 180,9990180A,8180,180,N,0,TOTAL,1,0,0,0
BALLOT GROUP 182,9990182A,8182,182,N,0,POLLING PLACE,0,0,0,0
BALLOT GROUP 182,9990182A,8182,182,N,0,VBM PORTION,2,0,0,0
BALLOT GROUP 182,9990182A,8182,182,N,0,TOTAL,1,0,0,0
BALLOT GROUP 185,9990185A,8185,185,N,0,POLLING PLACE,0,0,0,0
BALLOT GROUP 185,9990185A,8185,185,N,0,VBM PORTION,0,0,0,0
BALLOT GROUP 185,9990185A,8185,185,N,0,TOTAL,0,0,0,0
