LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TODD ROYAL,MIKE GATTO
BURBANK,0950186A,340,36,N,872,POLLING PLACE,57,18,38
BURBANK,0950186A,340,36,N,0,VBM PORTION,80,34,41
BURBANK,0950186A,340,36,N,872,TOTAL,137,52,79
BURBANK,0950187A,341,36,N,1083,POLLING PLACE,80,30,47
BURBANK,0950187A,341,36,N,0,VBM PORTION,83,22,55
BURBANK,0950187A,341,36,N,1083,TOTAL,163,52,102
BURBANK,0950189A,342,37,N,937,POLLING PLACE,85,20,58
BURBANK,0950189A,342,37,N,0,VBM PORTION,81,25,52
BURBANK,0950189A,342,37,N,937,TOTAL,166,45,110
BURBANK,0950191A,343,37,N,956,POLLING PLACE,62,21,41
BURBANK,0950191A,343,37,N,0,VBM PORTION,75,27,41
BURBANK,0950191A,343,37,N,956,TOTAL,137,48,82
BURBANK,0950193A,344,37,N,1015,POLLING PLACE,80,32,42
BURBANK,0950193A,344,37,N,0,VBM PORTION,80,28,41
BURBANK,0950193A,344,37,N,1015,TOTAL,160,60,83
BURBANK,0950194A,345,37,N,930,POLLING PLACE,91,31,57
BURBANK,0950194A,345,37,N,0,VBM PORTION,79,33,40
BURBANK,0950194A,345,37,N,930,TOTAL,170,64,97
BURBANK,0950198A,346,47,N,1210,POLLING PLACE,96,33,61
BURBANK,0950198A,346,47,N,0,VBM PORTION,103,38,61
BURBANK,0950198A,346,47,N,1210,TOTAL,199,71,122
GLENDALE,2550002A,893,46,N,1341,POLLING PLACE,216,90,114
GLENDALE,2550002A,893,46,N,0,VBM PORTION,177,65,81
GLENDALE,2550002A,893,46,N,1341,TOTAL,393,155,195
GLENDALE,2550004A,894,46,N,892,POLLING PLACE,84,28,45
GLENDALE,2550004A,894,46,N,0,VBM PORTION,77,32,37
GLENDALE,2550004A,894,46,N,892,TOTAL,161,60,82
GLENDALE,2550006A,895,46,N,1405,POLLING PLACE,178,65,98
GLENDALE,2550006A,895,46,N,0,VBM PORTION,234,96,98
GLENDALE,2550006A,895,46,N,1405,TOTAL,412,161,196
GLENDALE,2550008A,896,46,N,1188,POLLING PLACE,165,71,83
GLENDALE,2550008A,896,46,N,0,VBM PORTION,138,51,75
GLENDALE,2550008A,896,46,N,1188,TOTAL,303,122,158
GLENDALE,2550009A,897,46,N,962,POLLING PLACE,118,55,52
GLENDALE,2550009A,897,46,N,0,VBM PORTION,98,27,48
GLENDALE,2550009A,897,46,N,962,TOTAL,216,82,100
GLENDALE,2550010A,898,46,N,822,POLLING PLACE,139,70,68
GLENDALE,2550010A,898,46,N,0,VBM PORTION,125,52,56
GLENDALE,2550010A,898,46,N,822,TOTAL,264,122,124
GLENDALE,2550011A,899,46,N,1283,POLLING PLACE,123,43,73
GLENDALE,2550011A,899,46,N,0,VBM PORTION,129,45,52
GLENDALE,2550011A,899,46,N,1283,TOTAL,252,88,125
GLENDALE,2550015A,900,46,N,1295,POLLING PLACE,161,68,77
GLENDALE,2550015A,900,46,N,0,VBM PORTION,138,65,61
GLENDALE,2550015A,900,46,N,1295,TOTAL,299,133,138
GLENDALE,2550017A,901,46,N,1356,POLLING PLACE,108,35,59
GLENDALE,2550017A,901,46,N,0,VBM PORTION,104,20,57
GLENDALE,2550017A,901,46,N,1356,TOTAL,212,55,116
GLENDALE,2550018A,902,46,N,1000,POLLING PLACE,106,34,58
GLENDALE,2550018A,902,46,N,0,VBM PORTION,91,38,44
GLENDALE,2550018A,902,46,N,1000,TOTAL,197,72,102
GLENDALE,2550020A,903,46,N,1399,POLLING PLACE,188,68,99
GLENDALE,2550020A,903,46,N,0,VBM PORTION,189,61,100
GLENDALE,2550020A,903,46,N,1399,TOTAL,377,129,199
GLENDALE,2550023A,904,46,N,1326,POLLING PLACE,156,63,87
GLENDALE,2550023A,904,46,N,0,VBM PORTION,176,62,96
GLENDALE,2550023A,904,46,N,1326,TOTAL,332,125,183
GLENDALE,2550024A,905,46,N,938,POLLING PLACE,154,74,68
GLENDALE,2550024A,905,46,N,0,VBM PORTION,155,59,81
GLENDALE,2550024A,905,46,N,938,TOTAL,309,133,149
GLENDALE,2550025A,906,46,N,1207,POLLING PLACE,182,78,95
GLENDALE,2550025A,906,46,N,0,VBM PORTION,185,79,89
GLENDALE,2550025A,906,46,N,1207,TOTAL,367,157,184
GLENDALE,2550027A,907,46,N,881,POLLING PLACE,93,34,49
GLENDALE,2550027A,907,46,N,0,VBM PORTION,94,33,48
GLENDALE,2550027A,907,46,N,881,TOTAL,187,67,97
GLENDALE,2550028A,908,46,N,914,POLLING PLACE,106,39,54
GLENDALE,2550028A,908,46,N,0,VBM PORTION,123,50,50
GLENDALE,2550028A,908,46,N,914,TOTAL,229,89,104
GLENDALE,2550029A,909,46,N,897,POLLING PLACE,146,53,78
GLENDALE,2550029A,909,46,N,0,VBM PORTION,81,23,51
GLENDALE,2550029A,909,46,N,897,TOTAL,227,76,129
GLENDALE,2550032A,910,46,N,872,POLLING PLACE,90,30,47
GLENDALE,2550032A,910,46,N,0,VBM PORTION,103,43,42
GLENDALE,2550032A,910,46,N,872,TOTAL,193,73,89
GLENDALE,2550035A,911,46,N,840,POLLING PLACE,158,47,102
GLENDALE,2550035A,911,46,N,0,VBM PORTION,121,44,62
GLENDALE,2550035A,911,46,N,840,TOTAL,279,91,164
GLENDALE,2550036A,912,46,N,890,POLLING PLACE,152,57,75
GLENDALE,2550036A,912,46,N,0,VBM PORTION,100,38,41
GLENDALE,2550036A,912,46,N,890,TOTAL,252,95,116
GLENDALE,2550037A,913,46,N,868,POLLING PLACE,84,20,52
GLENDALE,2550037A,913,46,N,0,VBM PORTION,85,24,48
GLENDALE,2550037A,913,46,N,868,TOTAL,169,44,100
GLENDALE,2550039A,914,46,N,907,POLLING PLACE,113,37,54
GLENDALE,2550039A,914,46,N,0,VBM PORTION,139,54,57
GLENDALE,2550039A,914,46,N,907,TOTAL,252,91,111
GLENDALE,2550040A,915,46,N,1263,POLLING PLACE,195,70,110
GLENDALE,2550040A,915,46,N,0,VBM PORTION,209,64,134
GLENDALE,2550040A,915,46,N,1263,TOTAL,404,134,244
GLENDALE,2550041A,916,46,N,913,POLLING PLACE,101,19,65
GLENDALE,2550041A,916,46,N,0,VBM PORTION,124,29,77
GLENDALE,2550041A,916,46,N,913,TOTAL,225,48,142
GLENDALE,2550044A,917,46,N,906,POLLING PLACE,113,55,49
GLENDALE,2550044A,917,46,N,0,VBM PORTION,140,52,76
GLENDALE,2550044A,917,46,N,906,TOTAL,253,107,125
GLENDALE,2550047A,918,46,N,1351,POLLING PLACE,152,56,78
GLENDALE,2550047A,918,46,N,0,VBM PORTION,150,36,85
GLENDALE,2550047A,918,46,N,1351,TOTAL,302,92,163
GLENDALE,2550048A,919,46,N,1429,POLLING PLACE,92,21,43
GLENDALE,2550048A,919,46,N,0,VBM PORTION,186,21,102
GLENDALE,2550048A,919,46,N,1429,TOTAL,278,42,145
GLENDALE,2550050A,920,46,N,911,POLLING PLACE,121,48,60
GLENDALE,2550050A,920,46,N,0,VBM PORTION,173,69,77
GLENDALE,2550050A,920,46,N,911,TOTAL,294,117,137
GLENDALE,2550051A,921,46,N,1485,POLLING PLACE,71,13,43
GLENDALE,2550051A,921,46,N,0,VBM PORTION,210,21,98
GLENDALE,2550051A,921,46,N,1485,TOTAL,281,34,141
GLENDALE,2550052A,922,46,N,1031,POLLING PLACE,196,76,103
GLENDALE,2550052A,922,46,N,0,VBM PORTION,141,64,69
GLENDALE,2550052A,922,46,N,1031,TOTAL,337,140,172
GLENDALE,2550053A,923,46,N,975,POLLING PLACE,136,48,74
GLENDALE,2550053A,923,46,N,0,VBM PORTION,152,47,82
GLENDALE,2550053A,923,46,N,975,TOTAL,288,95,156
GLENDALE,2550054A,924,46,N,1071,POLLING PLACE,171,66,94
GLENDALE,2550054A,924,46,N,0,VBM PORTION,164,56,78
GLENDALE,2550054A,924,46,N,1071,TOTAL,335,122,172
GLENDALE,2550058A,925,46,N,1223,POLLING PLACE,114,35,59
GLENDALE,2550058A,925,46,N,0,VBM PORTION,159,53,71
GLENDALE,2550058A,925,46,N,1223,TOTAL,273,88,130
GLENDALE,2550060A,926,46,N,1409,POLLING PLACE,167,56,88
GLENDALE,2550060A,926,46,N,0,VBM PORTION,210,66,100
GLENDALE,2550060A,926,46,N,1409,TOTAL,377,122,188
GLENDALE,2550061A,927,46,N,1193,POLLING PLACE,101,20,43
GLENDALE,2550061A,927,46,N,0,VBM PORTION,187,20,82
GLENDALE,2550061A,927,46,N,1193,TOTAL,288,40,125
GLENDALE,2550062A,928,46,N,1163,POLLING PLACE,63,15,29
GLENDALE,2550062A,928,46,N,0,VBM PORTION,130,13,70
GLENDALE,2550062A,928,46,N,1163,TOTAL,193,28,99
GLENDALE,2550065A,929,46,N,1068,POLLING PLACE,148,56,82
GLENDALE,2550065A,929,46,N,0,VBM PORTION,135,53,67
GLENDALE,2550065A,929,46,N,1068,TOTAL,283,109,149
GLENDALE,2550066B,930,46,N,1107,POLLING PLACE,67,9,33
GLENDALE,2550066B,930,46,N,0,VBM PORTION,143,20,62
GLENDALE,2550066B,930,46,N,1107,TOTAL,210,29,95
GLENDALE,2550067A,931,46,N,1343,POLLING PLACE,141,34,88
GLENDALE,2550067A,931,46,N,0,VBM PORTION,168,56,88
GLENDALE,2550067A,931,46,N,1343,TOTAL,309,90,176
GLENDALE,2550069A,932,46,N,1244,POLLING PLACE,102,24,62
GLENDALE,2550069A,932,46,N,0,VBM PORTION,129,17,80
GLENDALE,2550069A,932,46,N,1244,TOTAL,231,41,142
GLENDALE,2550071A,933,46,N,1180,POLLING PLACE,66,9,49
GLENDALE,2550071A,933,46,N,0,VBM PORTION,124,18,71
GLENDALE,2550071A,933,46,N,1180,TOTAL,190,27,120
GLENDALE,2550072A,934,46,N,1125,POLLING PLACE,47,9,27
GLENDALE,2550072A,934,46,N,0,VBM PORTION,143,26,81
GLENDALE,2550072A,934,46,N,1125,TOTAL,190,35,108
GLENDALE,2550073A,935,46,N,1039,POLLING PLACE,70,23,37
GLENDALE,2550073A,935,46,N,0,VBM PORTION,122,27,70
GLENDALE,2550073A,935,46,N,1039,TOTAL,192,50,107
GLENDALE,2550074A,936,46,N,1331,POLLING PLACE,97,12,51
GLENDALE,2550074A,936,46,N,0,VBM PORTION,167,22,73
GLENDALE,2550074A,936,46,N,1331,TOTAL,264,34,124
GLENDALE,2550079A,937,46,N,894,POLLING PLACE,56,11,40
GLENDALE,2550079A,937,46,N,0,VBM PORTION,72,17,43
GLENDALE,2550079A,937,46,N,894,TOTAL,128,28,83
GLENDALE,2550080A,938,46,N,1149,POLLING PLACE,72,19,50
GLENDALE,2550080A,938,46,N,0,VBM PORTION,80,15,58
GLENDALE,2550080A,938,46,N,1149,TOTAL,152,34,108
GLENDALE,2550081A,939,46,N,1349,POLLING PLACE,72,11,44
GLENDALE,2550081A,939,46,N,0,VBM PORTION,164,34,77
GLENDALE,2550081A,939,46,N,1349,TOTAL,236,45,121
GLENDALE,2550082A,940,46,N,1038,POLLING PLACE,53,8,30
GLENDALE,2550082A,940,46,N,0,VBM PORTION,151,14,51
GLENDALE,2550082A,940,46,N,1038,TOTAL,204,22,81
GLENDALE,2550085A,941,46,N,1238,POLLING PLACE,128,36,73
GLENDALE,2550085A,941,46,N,0,VBM PORTION,172,32,105
GLENDALE,2550085A,941,46,N,1238,TOTAL,300,68,178
GLENDALE,2550086A,942,46,N,1144,POLLING PLACE,81,22,54
GLENDALE,2550086A,942,46,N,0,VBM PORTION,150,34,86
GLENDALE,2550086A,942,46,N,1144,TOTAL,231,56,140
GLENDALE,2550087A,943,46,N,1314,POLLING PLACE,67,9,46
GLENDALE,2550087A,943,46,N,0,VBM PORTION,136,19,79
GLENDALE,2550087A,943,46,N,1314,TOTAL,203,28,125
GLENDALE,2550088C,944,46,N,1266,POLLING PLACE,81,14,50
GLENDALE,2550088C,944,46,N,0,VBM PORTION,155,21,89
GLENDALE,2550088C,944,46,N,1266,TOTAL,236,35,139
GLENDALE,2550089A,945,46,N,1226,POLLING PLACE,60,12,41
GLENDALE,2550089A,945,46,N,0,VBM PORTION,163,31,92
GLENDALE,2550089A,945,46,N,1226,TOTAL,223,43,133
GLENDALE,2550090A,946,46,N,1021,POLLING PLACE,83,15,51
GLENDALE,2550090A,946,46,N,0,VBM PORTION,91,19,42
GLENDALE,2550090A,946,46,N,1021,TOTAL,174,34,93
GLENDALE,2550091A,947,46,N,1300,POLLING PLACE,56,16,32
GLENDALE,2550091A,947,46,N,0,VBM PORTION,141,22,71
GLENDALE,2550091A,947,46,N,1300,TOTAL,197,38,103
GLENDALE,2550095A,948,46,N,1420,POLLING PLACE,94,18,62
GLENDALE,2550095A,948,46,N,0,VBM PORTION,159,19,89
GLENDALE,2550095A,948,46,N,1420,TOTAL,253,37,151
GLENDALE,2550097A,949,46,N,1121,POLLING PLACE,90,24,51
GLENDALE,2550097A,949,46,N,0,VBM PORTION,128,27,68
GLENDALE,2550097A,949,46,N,1121,TOTAL,218,51,119
GLENDALE,2550098A,950,46,N,907,POLLING PLACE,98,29,58
GLENDALE,2550098A,950,46,N,0,VBM PORTION,116,30,72
GLENDALE,2550098A,950,46,N,907,TOTAL,214,59,130
GLENDALE,2550100A,951,46,N,1346,POLLING PLACE,81,17,43
GLENDALE,2550100A,951,46,N,0,VBM PORTION,148,22,78
GLENDALE,2550100A,951,46,N,1346,TOTAL,229,39,121
GLENDALE,2550102A,952,46,N,1223,POLLING PLACE,96,22,62
GLENDALE,2550102A,952,46,N,0,VBM PORTION,131,28,79
GLENDALE,2550102A,952,46,N,1223,TOTAL,227,50,141
GLENDALE,2550105A,953,46,N,1130,POLLING PLACE,84,19,37
GLENDALE,2550105A,953,46,N,0,VBM PORTION,117,14,68
GLENDALE,2550105A,953,46,N,1130,TOTAL,201,33,105
GLENDALE,2550108A,954,46,N,1308,POLLING PLACE,74,13,52
GLENDALE,2550108A,954,46,N,0,VBM PORTION,184,21,110
GLENDALE,2550108A,954,46,N,1308,TOTAL,258,34,162
GLENDALE,2550111A,955,46,N,1268,POLLING PLACE,78,15,48
GLENDALE,2550111A,955,46,N,0,VBM PORTION,155,21,92
GLENDALE,2550111A,955,46,N,1268,TOTAL,233,36,140
GLENDALE,2550113A,956,46,N,1115,POLLING PLACE,112,36,64
GLENDALE,2550113A,956,46,N,0,VBM PORTION,151,35,79
GLENDALE,2550113A,956,46,N,1115,TOTAL,263,71,143
GLENDALE,2550116A,957,46,N,1225,POLLING PLACE,146,28,102
GLENDALE,2550116A,957,46,N,0,VBM PORTION,160,40,100
GLENDALE,2550116A,957,46,N,1225,TOTAL,306,68,202
GLENDALE,2550117A,958,46,N,1303,POLLING PLACE,85,11,32
GLENDALE,2550117A,958,46,N,0,VBM PORTION,169,17,83
GLENDALE,2550117A,958,46,N,1303,TOTAL,254,28,115
GLENDALE,2550118A,959,46,N,1221,POLLING PLACE,81,11,46
GLENDALE,2550118A,959,46,N,0,VBM PORTION,131,23,54
GLENDALE,2550118A,959,46,N,1221,TOTAL,212,34,100
GLENDALE,2550119A,960,46,N,1380,POLLING PLACE,92,20,43
GLENDALE,2550119A,960,46,N,0,VBM PORTION,180,24,100
GLENDALE,2550119A,960,46,N,1380,TOTAL,272,44,143
GLENDALE,2550120A,961,46,N,1326,POLLING PLACE,61,19,35
GLENDALE,2550120A,961,46,N,0,VBM PORTION,156,30,87
GLENDALE,2550120A,961,46,N,1326,TOTAL,217,49,122
GLENDALE,2550120B,962,46,N,1274,POLLING PLACE,86,14,59
GLENDALE,2550120B,962,46,N,0,VBM PORTION,83,15,45
GLENDALE,2550120B,962,46,N,1274,TOTAL,169,29,104
GLENDALE,2550121A,963,46,N,1251,POLLING PLACE,84,12,40
GLENDALE,2550121A,963,46,N,0,VBM PORTION,159,21,67
GLENDALE,2550121A,963,46,N,1251,TOTAL,243,33,107
GLENDALE,2550123A,964,46,N,1212,POLLING PLACE,99,21,53
GLENDALE,2550123A,964,46,N,0,VBM PORTION,163,21,99
GLENDALE,2550123A,964,46,N,1212,TOTAL,262,42,152
GLENDALE,2550125A,965,46,N,1376,POLLING PLACE,88,20,51
GLENDALE,2550125A,965,46,N,0,VBM PORTION,315,21,90
GLENDALE,2550125A,965,46,N,1376,TOTAL,403,41,141
GLENDALE,2550131A,966,46,N,1181,POLLING PLACE,72,17,35
GLENDALE,2550131A,966,46,N,0,VBM PORTION,121,12,59
GLENDALE,2550131A,966,46,N,1181,TOTAL,193,29,94
GLENDALE,2550135A,967,46,N,1315,POLLING PLACE,122,26,77
GLENDALE,2550135A,967,46,N,0,VBM PORTION,190,36,111
GLENDALE,2550135A,967,46,N,1315,TOTAL,312,62,188
GLENDALE,2550140A,968,46,N,1241,POLLING PLACE,85,18,45
GLENDALE,2550140A,968,46,N,0,VBM PORTION,157,19,105
GLENDALE,2550140A,968,46,N,1241,TOTAL,242,37,150
GLENDALE,2550142A,969,46,N,883,POLLING PLACE,69,17,39
GLENDALE,2550142A,969,46,N,0,VBM PORTION,143,33,57
GLENDALE,2550142A,969,46,N,883,TOTAL,212,50,96
GLENDALE,2550143A,970,46,N,916,POLLING PLACE,116,33,72
GLENDALE,2550143A,970,46,N,0,VBM PORTION,99,33,52
GLENDALE,2550143A,970,46,N,916,TOTAL,215,66,124
GLENDALE,2550147A,971,46,N,673,POLLING PLACE,132,44,73
GLENDALE,2550147A,971,46,N,0,VBM PORTION,69,20,42
GLENDALE,2550147A,971,46,N,673,TOTAL,201,64,115
GLENDALE,2550149A,972,46,N,772,POLLING PLACE,139,72,55
