LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,STEVE FOX,KERMIT F FRANKLIN,TOM LACKEY,SUZETTE M MARTINEZ,JD KENNEDY
LANCASTER,3550080A,1354,2,N,1075,POLLING PLACE,87,33,4,24,9,15
LANCASTER,3550080A,1354,2,N,0,VBM PORTION,96,31,5,36,9,9
LANCASTER,3550080A,1354,2,N,1075,TOTAL,183,64,9,60,18,24
LANCASTER,3550083A,1355,3,N,1436,POLLING PLACE,74,30,3,26,8,5
LANCASTER,3550083A,1355,3,N,0,VBM PORTION,90,33,8,28,5,8
LANCASTER,3550083A,1355,3,N,1436,TOTAL,164,63,11,54,13,13
LANCASTER,3550085A,6082,3,Y,0,POLLING PLACE,0,0,0,0,0,0
LANCASTER,3550085A,6082,3,Y,0,VBM PORTION,0,0,0,0,0,0
LANCASTER,3550085A,6082,3,Y,0,TOTAL,0,0,0,0,0,0
LANCASTER,3550086B,1356,2,N,1194,POLLING PLACE,71,25,4,18,6,13
LANCASTER,3550086B,1356,2,N,0,VBM PORTION,92,34,2,30,3,13
LANCASTER,3550086B,1356,2,N,1194,TOTAL,163,59,6,48,9,26
LANCASTER,3550087A,1357,3,N,1238,POLLING PLACE,42,21,5,5,3,4
LANCASTER,3550087A,1357,3,N,0,VBM PORTION,33,16,4,8,2,0
LANCASTER,3550087A,1357,3,N,1238,TOTAL,75,37,9,13,5,4
LANCASTER,3550088A,1358,3,N,1266,POLLING PLACE,88,32,3,31,7,11
LANCASTER,3550088A,1358,3,N,0,VBM PORTION,128,43,17,40,20,5
LANCASTER,3550088A,1358,3,N,1266,TOTAL,216,75,20,71,27,16
LANCASTER,3550089B,1359,3,N,1405,POLLING PLACE,102,46,1,34,5,13
LANCASTER,3550089B,1359,3,N,0,VBM PORTION,116,35,7,45,9,14
LANCASTER,3550089B,1359,3,N,1405,TOTAL,218,81,8,79,14,27
LANCASTER,3550093B,1360,3,N,930,POLLING PLACE,52,20,5,16,5,5
LANCASTER,3550093B,1360,3,N,0,VBM PORTION,53,16,3,24,3,4
LANCASTER,3550093B,1360,3,N,930,TOTAL,105,36,8,40,8,9
LANCASTER,3550094A,1361,2,N,1526,POLLING PLACE,126,29,3,56,7,28
LANCASTER,3550094A,1361,2,N,0,VBM PORTION,175,60,5,65,13,18
LANCASTER,3550094A,1361,2,N,1526,TOTAL,301,89,8,121,20,46
