LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TOM TORLAKSON,MARSHALL TUCK,LYDIA A GUTIERREZ
ALTADENA,0200012A,71,33,N,819,POLLING PLACE,94,37,34,22
ALTADENA,0200012A,71,33,N,0,VBM PORTION,100,35,30,14
ALTADENA,0200012A,71,33,N,819,TOTAL,194,72,64,36
ALTADENA,0200013A,72,33,N,931,POLLING PLACE,63,19,18,12
ALTADENA,0200013A,72,33,N,0,VBM PORTION,46,17,15,7
ALTADENA,0200013A,72,33,N,931,TOTAL,109,36,33,19
ALTADENA,0200015A,73,33,N,1366,POLLING PLACE,103,46,28,19
ALTADENA,0200015A,73,33,N,0,VBM PORTION,106,43,34,14
ALTADENA,0200015A,73,33,N,1366,TOTAL,209,89,62,33
ALTADENA,0200017A,74,33,N,1002,POLLING PLACE,55,21,14,16
ALTADENA,0200017A,74,33,N,0,VBM PORTION,59,23,14,13
ALTADENA,0200017A,74,33,N,1002,TOTAL,114,44,28,29
ALTADENA,0200018A,75,33,N,852,POLLING PLACE,54,25,11,14
ALTADENA,0200018A,75,33,N,0,VBM PORTION,39,18,9,9
ALTADENA,0200018A,75,33,N,852,TOTAL,93,43,20,23
ALTADENA,0200019B,76,33,N,872,POLLING PLACE,57,24,12,16
ALTADENA,0200019B,76,33,N,0,VBM PORTION,24,9,8,5
ALTADENA,0200019B,76,33,N,872,TOTAL,81,33,20,21
ALTADENA,0200022A,77,33,N,866,POLLING PLACE,122,47,45,17
ALTADENA,0200022A,77,33,N,0,VBM PORTION,121,54,31,14
ALTADENA,0200022A,77,33,N,866,TOTAL,243,101,76,31
ALTADENA,0200025B,78,33,N,915,POLLING PLACE,84,29,40,12
ALTADENA,0200025B,78,33,N,0,VBM PORTION,52,23,7,9
ALTADENA,0200025B,78,33,N,915,TOTAL,136,52,47,21
ALTADENA,0200028A,79,33,N,1306,POLLING PLACE,207,100,53,30
ALTADENA,0200028A,79,33,N,0,VBM PORTION,206,66,81,33
ALTADENA,0200028A,79,33,N,1306,TOTAL,413,166,134,63
ALTADENA,0200030A,80,33,N,889,POLLING PLACE,118,34,46,23
ALTADENA,0200030A,80,33,N,0,VBM PORTION,143,42,46,27
ALTADENA,0200030A,80,33,N,889,TOTAL,261,76,92,50
ALTADENA,0200031A,6012,44,Y,3,POLLING PLACE,0,0,0,0
ALTADENA,0200031A,6012,44,Y,0,VBM PORTION,0,0,0,0
ALTADENA,0200031A,6012,44,Y,3,TOTAL,0,0,0,0
ALTADENA,0200032A,81,33,N,1378,POLLING PLACE,196,72,63,41
ALTADENA,0200032A,81,33,N,0,VBM PORTION,153,60,47,20
ALTADENA,0200032A,81,33,N,1378,TOTAL,349,132,110,61
ALTADENA,0200038B,82,33,N,1195,POLLING PLACE,180,72,69,21
ALTADENA,0200038B,82,33,N,0,VBM PORTION,134,47,53,12
ALTADENA,0200038B,82,33,N,1195,TOTAL,314,119,122,33
ALTADENA,0200039A,83,33,N,1132,POLLING PLACE,145,46,47,36
ALTADENA,0200039A,83,33,N,0,VBM PORTION,117,47,30,23
ALTADENA,0200039A,83,33,N,1132,TOTAL,262,93,77,59
ALTADENA,0200044A,84,33,N,985,POLLING PLACE,77,32,21,16
ALTADENA,0200044A,84,33,N,0,VBM PORTION,59,27,11,7
ALTADENA,0200044A,84,33,N,985,TOTAL,136,59,32,23
ALTADENA,0200051A,85,33,N,1218,POLLING PLACE,131,48,44,16
ALTADENA,0200051A,85,33,N,0,VBM PORTION,151,60,38,23
ALTADENA,0200051A,85,33,N,1218,TOTAL,282,108,82,39
ALTADENA,0200086A,86,33,N,1189,POLLING PLACE,153,53,58,24
ALTADENA,0200086A,86,33,N,0,VBM PORTION,152,69,32,25
ALTADENA,0200086A,86,33,N,1189,TOTAL,305,122,90,49
ALTADENA,0200086B,6013,33,Y,22,POLLING PLACE,0,0,0,0
ALTADENA,0200086B,6013,33,Y,0,VBM PORTION,8,2,2,0
ALTADENA,0200086B,6013,33,Y,22,TOTAL,8,2,2,0
ALTADENA,0200087A,87,33,N,703,POLLING PLACE,92,37,18,24
ALTADENA,0200087A,87,33,N,0,VBM PORTION,61,36,8,12
ALTADENA,0200087A,87,33,N,703,TOTAL,153,73,26,36
ALTADENA,0200088B,88,33,N,1376,POLLING PLACE,144,53,44,25
ALTADENA,0200088B,88,33,N,0,VBM PORTION,145,59,28,32
ALTADENA,0200088B,88,33,N,1376,TOTAL,289,112,72,57
ALTADENA,0200090A,89,33,N,1130,POLLING PLACE,137,55,34,35
ALTADENA,0200090A,89,33,N,0,VBM PORTION,111,45,34,18
ALTADENA,0200090A,89,33,N,1130,TOTAL,248,100,68,53
ALTADENA,0200091A,90,33,N,1298,POLLING PLACE,166,87,33,29
ALTADENA,0200091A,90,33,N,0,VBM PORTION,116,53,34,15
ALTADENA,0200091A,90,33,N,1298,TOTAL,282,140,67,44
ANTELOPE,0300002A,91,3,N,834,POLLING PLACE,126,28,48,31
ANTELOPE,0300002A,91,3,N,0,VBM PORTION,117,23,38,44
ANTELOPE,0300002A,91,3,N,834,TOTAL,243,51,86,75
ANTELOPE,0300003A,6014,3,Y,66,POLLING PLACE,0,0,0,0
ANTELOPE,0300003A,6014,3,Y,0,VBM PORTION,15,0,10,2
ANTELOPE,0300003A,6014,3,Y,66,TOTAL,15,0,10,2
ARCADIA,0350001A,92,76,N,998,POLLING PLACE,124,28,53,20
