LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,AUTUMN BURKE,PAUL KOURI,SIMONA A FARRISE,ADAM M PLIMPTON,TED J GROSE,GLORIA GRAY,EMIDIO SOLTYSIK,MIKE STEVENS
HAWTHORNE,2700004A,1046,162,N,1137,POLLING PLACE,63,32,0,7,3,6,8,1,4
HAWTHORNE,2700004A,1046,162,N,0,VBM PORTION,63,35,2,8,0,4,9,0,1
HAWTHORNE,2700004A,1046,162,N,1137,TOTAL,126,67,2,15,3,10,17,1,5
HAWTHORNE,2700007A,1047,162,N,749,POLLING PLACE,69,23,2,4,1,30,7,0,0
HAWTHORNE,2700007A,1047,162,N,0,VBM PORTION,79,13,5,5,0,36,4,3,2
HAWTHORNE,2700007A,1047,162,N,749,TOTAL,148,36,7,9,1,66,11,3,2
HAWTHORNE,2700009A,1048,162,N,940,POLLING PLACE,49,23,1,8,0,8,6,1,0
HAWTHORNE,2700009A,1048,162,N,0,VBM PORTION,47,15,1,6,1,9,9,3,0
HAWTHORNE,2700009A,1048,162,N,940,TOTAL,96,38,2,14,1,17,15,4,0
HAWTHORNE,2700010A,1049,162,N,1022,POLLING PLACE,74,28,4,5,1,22,8,2,0
HAWTHORNE,2700010A,1049,162,N,0,VBM PORTION,74,16,2,11,1,23,14,1,0
HAWTHORNE,2700010A,1049,162,N,1022,TOTAL,148,44,6,16,2,45,22,3,0
HAWTHORNE,2700011A,6061,162,Y,286,POLLING PLACE,0,0,0,0,0,0,0,0,0
HAWTHORNE,2700011A,6061,162,Y,0,VBM PORTION,78,17,4,5,1,28,11,1,2
HAWTHORNE,2700011A,6061,162,Y,286,TOTAL,78,17,4,5,1,28,11,1,2
HAWTHORNE,2700013A,1050,162,N,1101,POLLING PLACE,55,38,0,3,2,4,4,1,1
HAWTHORNE,2700013A,1050,162,N,0,VBM PORTION,62,30,1,4,2,12,7,1,0
HAWTHORNE,2700013A,1050,162,N,1101,TOTAL,117,68,1,7,4,16,11,2,1
HAWTHORNE,2700014A,1051,162,N,1239,POLLING PLACE,61,30,1,11,0,1,11,3,2
HAWTHORNE,2700014A,1051,162,N,0,VBM PORTION,43,16,1,5,0,11,5,2,0
HAWTHORNE,2700014A,1051,162,N,1239,TOTAL,104,46,2,16,0,12,16,5,2
HAWTHORNE,2700015A,1052,162,N,961,POLLING PLACE,48,22,1,8,0,1,11,0,1
HAWTHORNE,2700015A,1052,162,N,0,VBM PORTION,36,11,0,3,0,4,12,1,1
HAWTHORNE,2700015A,1052,162,N,961,TOTAL,84,33,1,11,0,5,23,1,2
