LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
WHITTIER,7800149A,2945,131,N,985,POLLING PLACE,51,36,12
WHITTIER,7800149A,2945,131,N,0,VBM PORTION,94,43,38
WHITTIER,7800149A,2945,131,N,985,TOTAL,145,79,50
WHITTIER,7800165D,2946,131,N,1169,POLLING PLACE,80,37,36
WHITTIER,7800165D,2946,131,N,0,VBM PORTION,68,37,24
WHITTIER,7800165D,2946,131,N,1169,TOTAL,148,74,60
WHITTIER,7800167B,2947,131,N,1264,POLLING PLACE,67,49,13
WHITTIER,7800167B,2947,131,N,0,VBM PORTION,53,29,15
WHITTIER,7800167B,2947,131,N,1264,TOTAL,120,78,28
WHITTIER,7800170B,2948,131,N,1034,POLLING PLACE,44,28,12
WHITTIER,7800170B,2948,131,N,0,VBM PORTION,28,14,10
WHITTIER,7800170B,2948,131,N,1034,TOTAL,72,42,22
WHITTIER,7800171B,2949,131,N,1204,POLLING PLACE,85,51,27
WHITTIER,7800171B,2949,131,N,0,VBM PORTION,63,26,28
WHITTIER,7800171B,2949,131,N,1204,TOTAL,148,77,55
WHITTIER,7800172A,2950,131,N,695,POLLING PLACE,50,35,6
WHITTIER,7800172A,2950,131,N,0,VBM PORTION,29,14,7
WHITTIER,7800172A,2950,131,N,695,TOTAL,79,49,13
WHITTIER,7800176A,2951,131,N,1209,POLLING PLACE,46,32,12
WHITTIER,7800176A,2951,131,N,0,VBM PORTION,30,16,10
WHITTIER,7800176A,2951,131,N,1209,TOTAL,76,48,22
WHITTIER,7800185A,2952,131,N,1320,POLLING PLACE,186,85,96
WHITTIER,7800185A,2952,131,N,0,VBM PORTION,172,59,95
WHITTIER,7800185A,2952,131,N,1320,TOTAL,358,144,191
BALLOT GROUP 127,9990127A,8127,127,N,0,POLLING PLACE,0,0,0
BALLOT GROUP 127,9990127A,8127,127,N,0,VBM PORTION,0,0,0
BALLOT GROUP 127,9990127A,8127,127,N,0,TOTAL,0,0,0
BALLOT GROUP 131,9990131A,8131,131,N,0,POLLING PLACE,0,0,0
BALLOT GROUP 131,9990131A,8131,131,N,0,VBM PORTION,6,1,0
BALLOT GROUP 131,9990131A,8131,131,N,0,TOTAL,3,1,0
