LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,WILLIAM MORRISON,PETER CHOI,KEVIN DE LEON
LOS ANGELES,9000048A,2997,100,N,748,TOTAL,96,14,22,48
LOS ANGELES,9000049A,2998,103,N,1060,POLLING PLACE,73,5,14,47
LOS ANGELES,9000049A,2998,103,N,0,VBM PORTION,91,15,34,24
LOS ANGELES,9000049A,2998,103,N,1060,TOTAL,164,20,48,71
LOS ANGELES,9000051A,2999,42,N,657,POLLING PLACE,44,4,4,33
LOS ANGELES,9000051A,2999,42,N,0,VBM PORTION,33,6,5,18
LOS ANGELES,9000051A,2999,42,N,657,TOTAL,77,10,9,51
LOS ANGELES,9000052A,3000,103,N,891,POLLING PLACE,75,6,10,49
LOS ANGELES,9000052A,3000,103,N,0,VBM PORTION,51,9,21,18
LOS ANGELES,9000052A,3000,103,N,891,TOTAL,126,15,31,67
LOS ANGELES,9000053A,3001,103,N,991,POLLING PLACE,89,9,7,52
LOS ANGELES,9000053A,3001,103,N,0,VBM PORTION,37,3,5,22
LOS ANGELES,9000053A,3001,103,N,991,TOTAL,126,12,12,74
LOS ANGELES,9000055A,3002,90,N,765,POLLING PLACE,90,18,12,48
LOS ANGELES,9000055A,3002,90,N,0,VBM PORTION,67,16,13,29
LOS ANGELES,9000055A,3002,90,N,765,TOTAL,157,34,25,77
LOS ANGELES,9000077A,3018,89,N,1262,POLLING PLACE,84,7,10,61
LOS ANGELES,9000077A,3018,89,N,0,VBM PORTION,90,9,10,60
LOS ANGELES,9000077A,3018,89,N,1262,TOTAL,174,16,20,121
LOS ANGELES,9000077D,3019,89,N,552,POLLING PLACE,37,1,4,24
LOS ANGELES,9000077D,3019,89,N,0,VBM PORTION,24,9,0,12
LOS ANGELES,9000077D,3019,89,N,552,TOTAL,61,10,4,36
LOS ANGELES,9000243A,3118,90,N,1260,POLLING PLACE,107,17,7,77
LOS ANGELES,9000243A,3118,90,N,0,VBM PORTION,77,9,11,46
LOS ANGELES,9000243A,3118,90,N,1260,TOTAL,184,26,18,123
LOS ANGELES,9000244A,3119,90,N,1096,POLLING PLACE,51,11,4,33
LOS ANGELES,9000244A,3119,90,N,0,VBM PORTION,12,2,3,7
LOS ANGELES,9000244A,3119,90,N,1096,TOTAL,63,13,7,40
