LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TOM GRIEGO,STEVEN P SCHREINER,ANDREW M STEIN
ALHAMBRA,0150015A,34,76,N,950,TOTAL,194,60,42,46
ALHAMBRA,0150016F,35,76,N,866,POLLING PLACE,94,26,21,18
ALHAMBRA,0150016F,35,76,N,0,VBM PORTION,79,21,24,9
ALHAMBRA,0150016F,35,76,N,866,TOTAL,173,47,45,27
ALHAMBRA,0150018A,36,76,N,872,POLLING PLACE,83,19,22,24
ALHAMBRA,0150018A,36,76,N,0,VBM PORTION,63,21,12,17
ALHAMBRA,0150018A,36,76,N,872,TOTAL,146,40,34,41
ALHAMBRA,0150021A,37,76,N,1028,POLLING PLACE,68,22,18,10
ALHAMBRA,0150021A,37,76,N,0,VBM PORTION,120,32,27,28
ALHAMBRA,0150021A,37,76,N,1028,TOTAL,188,54,45,38
ALHAMBRA,0150022A,38,76,N,898,POLLING PLACE,94,29,15,30
ALHAMBRA,0150022A,38,76,N,0,VBM PORTION,62,17,20,7
ALHAMBRA,0150022A,38,76,N,898,TOTAL,156,46,35,37
ALHAMBRA,0150023A,39,76,N,1152,POLLING PLACE,72,20,10,26
ALHAMBRA,0150023A,39,76,N,0,VBM PORTION,78,28,24,7
ALHAMBRA,0150023A,39,76,N,1152,TOTAL,150,48,34,33
ALHAMBRA,0150024A,40,76,N,718,POLLING PLACE,33,9,7,8
ALHAMBRA,0150024A,40,76,N,0,VBM PORTION,34,6,8,11
ALHAMBRA,0150024A,40,76,N,718,TOTAL,67,15,15,19
ALHAMBRA,0150025A,41,76,N,943,POLLING PLACE,51,17,10,16
ALHAMBRA,0150025A,41,76,N,0,VBM PORTION,62,22,18,11
ALHAMBRA,0150025A,41,76,N,943,TOTAL,113,39,28,27
ALHAMBRA,0150030A,42,76,N,1260,POLLING PLACE,85,37,14,13
ALHAMBRA,0150030A,42,76,N,0,VBM PORTION,79,25,12,17
ALHAMBRA,0150030A,42,76,N,1260,TOTAL,164,62,26,30
ALHAMBRA,0150032A,43,76,N,1229,POLLING PLACE,83,26,15,24
ALHAMBRA,0150032A,43,76,N,0,VBM PORTION,77,23,14,18
ALHAMBRA,0150032A,43,76,N,1229,TOTAL,160,49,29,42
ALHAMBRA,0150033A,44,76,N,827,POLLING PLACE,51,20,13,3
ALHAMBRA,0150033A,44,76,N,0,VBM PORTION,36,9,10,7
ALHAMBRA,0150033A,44,76,N,827,TOTAL,87,29,23,10
ALHAMBRA,0150037A,45,76,N,1067,POLLING PLACE,92,39,15,24
ALHAMBRA,0150037A,45,76,N,0,VBM PORTION,75,25,13,12
ALHAMBRA,0150037A,45,76,N,1067,TOTAL,167,64,28,36
ALHAMBRA,0150039A,46,76,N,1313,POLLING PLACE,47,16,15,6
ALHAMBRA,0150039A,46,76,N,0,VBM PORTION,79,21,21,12
ALHAMBRA,0150039A,46,76,N,1313,TOTAL,126,37,36,18
ALHAMBRA,0150041A,47,76,N,1303,POLLING PLACE,97,26,27,17
ALHAMBRA,0150041A,47,76,N,0,VBM PORTION,94,32,21,18
ALHAMBRA,0150041A,47,76,N,1303,TOTAL,191,58,48,35
ALHAMBRA,0150042A,48,76,N,815,POLLING PLACE,45,14,11,10
ALHAMBRA,0150042A,48,76,N,0,VBM PORTION,65,30,16,8
ALHAMBRA,0150042A,48,76,N,815,TOTAL,110,44,27,18
ALHAMBRA,0150044A,49,76,N,973,POLLING PLACE,51,15,11,13
ALHAMBRA,0150044A,49,76,N,0,VBM PORTION,47,14,10,10
ALHAMBRA,0150044A,49,76,N,973,TOTAL,98,29,21,23
ALHAMBRA,0150045A,50,76,N,749,POLLING PLACE,43,13,10,12
ALHAMBRA,0150045A,50,76,N,0,VBM PORTION,56,26,9,8
ALHAMBRA,0150045A,50,76,N,749,TOTAL,99,39,19,20
ALHAMBRA,0150049A,51,76,N,961,POLLING PLACE,58,16,10,14
ALHAMBRA,0150049A,51,76,N,0,VBM PORTION,83,26,20,14
ALHAMBRA,0150049A,51,76,N,961,TOTAL,141,42,30,28
ALHAMBRA,0150051A,52,76,N,1223,POLLING PLACE,85,30,22,15
ALHAMBRA,0150051A,52,76,N,0,VBM PORTION,68,23,15,9
ALHAMBRA,0150051A,52,76,N,1223,TOTAL,153,53,37,24
ALHAMBRA,0150055A,53,76,N,924,POLLING PLACE,88,30,22,20
ALHAMBRA,0150055A,53,76,N,0,VBM PORTION,63,17,24,17
ALHAMBRA,0150055A,53,76,N,924,TOTAL,151,47,46,37
ALHAMBRA,0150056A,54,76,N,1172,POLLING PLACE,76,22,16,21
ALHAMBRA,0150056A,54,76,N,0,VBM PORTION,51,14,12,7
ALHAMBRA,0150056A,54,76,N,1172,TOTAL,127,36,28,28
ALHAMBRA,0150059B,55,76,N,1047,POLLING PLACE,72,22,20,10
ALHAMBRA,0150059B,55,76,N,0,VBM PORTION,55,15,10,16
ALHAMBRA,0150059B,55,76,N,1047,TOTAL,127,37,30,26
ALHAMBRA,0150063A,56,76,N,597,POLLING PLACE,25,6,8,7
ALHAMBRA,0150063A,56,76,N,0,VBM PORTION,41,15,8,6
ALHAMBRA,0150063A,56,76,N,597,TOTAL,66,21,16,13
ALHAMBRA,0150064A,57,76,N,1230,POLLING PLACE,110,39,16,28
ALHAMBRA,0150064A,57,76,N,0,VBM PORTION,49,15,14,9
ALHAMBRA,0150064A,57,76,N,1230,TOTAL,159,54,30,37
ALHAMBRA,0150067A,58,76,N,968,POLLING PLACE,88,24,15,19
ALHAMBRA,0150067A,58,76,N,0,VBM PORTION,90,28,24,22
ALHAMBRA,0150067A,58,76,N,968,TOTAL,178,52,39,41
ALHAMBRA,0150075A,59,76,N,1134,POLLING PLACE,116,34,23,36
ALHAMBRA,0150075A,59,76,N,0,VBM PORTION,80,28,14,19
ALHAMBRA,0150075A,59,76,N,1134,TOTAL,196,62,37,55
ALHAMBRA,0150079A,60,76,N,984,POLLING PLACE,64,13,14,19
ALHAMBRA,0150079A,60,76,N,0,VBM PORTION,154,30,49,24
ALHAMBRA,0150079A,60,76,N,984,TOTAL,218,43,63,43
ALHAMBRA,0150080A,61,76,N,851,POLLING PLACE,73,24,18,14
