LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JIMMY GOMEZ
LOS ANGELES,9001062A,3543,90,N,1190,TOTAL,84,64
LOS ANGELES,9001104A,3567,90,N,1251,POLLING PLACE,64,48
LOS ANGELES,9001104A,3567,90,N,0,VBM PORTION,59,48
LOS ANGELES,9001104A,3567,90,N,1251,TOTAL,123,96
LOS ANGELES,9001210A,3609,90,N,1117,POLLING PLACE,100,80
LOS ANGELES,9001210A,3609,90,N,0,VBM PORTION,40,35
LOS ANGELES,9001210A,3609,90,N,1117,TOTAL,140,115
LOS ANGELES,9001344B,3666,90,N,974,POLLING PLACE,77,57
LOS ANGELES,9001344B,3666,90,N,0,VBM PORTION,69,57
LOS ANGELES,9001344B,3666,90,N,974,TOTAL,146,114
LOS ANGELES,9001353A,3671,90,N,1072,POLLING PLACE,81,68
LOS ANGELES,9001353A,3671,90,N,0,VBM PORTION,50,40
LOS ANGELES,9001353A,3671,90,N,1072,TOTAL,131,108
LOS ANGELES,9001419A,3696,90,N,1270,POLLING PLACE,102,68
LOS ANGELES,9001419A,3696,90,N,0,VBM PORTION,58,36
LOS ANGELES,9001419A,3696,90,N,1270,TOTAL,160,104
LOS ANGELES,9001488B,3733,89,N,764,POLLING PLACE,59,47
LOS ANGELES,9001488B,3733,89,N,0,VBM PORTION,28,17
LOS ANGELES,9001488B,3733,89,N,764,TOTAL,87,64
LOS ANGELES,9001577A,3771,90,N,1192,POLLING PLACE,86,68
LOS ANGELES,9001577A,3771,90,N,0,VBM PORTION,71,51
LOS ANGELES,9001577A,3771,90,N,1192,TOTAL,157,119
LOS ANGELES,9001660A,3802,90,N,793,POLLING PLACE,21,13
LOS ANGELES,9001660A,3802,90,N,0,VBM PORTION,44,38
LOS ANGELES,9001660A,3802,90,N,793,TOTAL,65,51
LOS ANGELES,9001664A,3803,90,N,1249,POLLING PLACE,67,55
LOS ANGELES,9001664A,3803,90,N,0,VBM PORTION,36,30
LOS ANGELES,9001664A,3803,90,N,1249,TOTAL,103,85
LOS ANGELES,9001686A,3811,90,N,561,POLLING PLACE,32,21
LOS ANGELES,9001686A,3811,90,N,0,VBM PORTION,12,10
LOS ANGELES,9001686A,3811,90,N,561,TOTAL,44,31
LOS ANGELES,9001735B,3832,89,N,1000,POLLING PLACE,113,87
LOS ANGELES,9001735B,3832,89,N,0,VBM PORTION,91,69
LOS ANGELES,9001735B,3832,89,N,1000,TOTAL,204,156
LOS ANGELES,9001797A,3864,90,N,1261,POLLING PLACE,81,59
LOS ANGELES,9001797A,3864,90,N,0,VBM PORTION,70,46
LOS ANGELES,9001797A,3864,90,N,1261,TOTAL,151,105
LOS ANGELES,9001838A,3876,90,N,1307,POLLING PLACE,64,47
LOS ANGELES,9001838A,3876,90,N,0,VBM PORTION,95,69
LOS ANGELES,9001838A,3876,90,N,1307,TOTAL,159,116
LOS ANGELES,9001839A,3877,90,N,983,POLLING PLACE,55,44
LOS ANGELES,9001839A,3877,90,N,0,VBM PORTION,35,26
LOS ANGELES,9001839A,3877,90,N,983,TOTAL,90,70
LOS ANGELES,9001841A,3878,90,N,997,POLLING PLACE,88,70
LOS ANGELES,9001841A,3878,90,N,0,VBM PORTION,28,25
LOS ANGELES,9001841A,3878,90,N,997,TOTAL,116,95
LOS ANGELES,9002029A,3951,89,N,1169,POLLING PLACE,136,105
LOS ANGELES,9002029A,3951,89,N,0,VBM PORTION,71,52
LOS ANGELES,9002029A,3951,89,N,1169,TOTAL,207,157
LOS ANGELES,9002053B,3962,90,N,1207,POLLING PLACE,76,57
LOS ANGELES,9002053B,3962,90,N,0,VBM PORTION,70,43
LOS ANGELES,9002053B,3962,90,N,1207,TOTAL,146,100
LOS ANGELES,9002072B,6191,90,Y,11,POLLING PLACE,0,0
LOS ANGELES,9002072B,6191,90,Y,0,VBM PORTION,1,0
LOS ANGELES,9002072B,6191,90,Y,11,TOTAL,1,0
LOS ANGELES,9002072D,3970,90,N,944,POLLING PLACE,46,32
LOS ANGELES,9002072D,3970,90,N,0,VBM PORTION,43,31
LOS ANGELES,9002072D,3970,90,N,944,TOTAL,89,63
LOS ANGELES,9002098A,3985,90,N,626,POLLING PLACE,58,32
LOS ANGELES,9002098A,3985,90,N,0,VBM PORTION,21,14
LOS ANGELES,9002098A,3985,90,N,626,TOTAL,79,46
LOS ANGELES,9002098B,3986,90,N,703,POLLING PLACE,43,35
LOS ANGELES,9002098B,3986,90,N,0,VBM PORTION,32,26
LOS ANGELES,9002098B,3986,90,N,703,TOTAL,75,61
LOS ANGELES,9002169B,4026,90,N,1124,POLLING PLACE,71,54
LOS ANGELES,9002169B,4026,90,N,0,VBM PORTION,40,25
LOS ANGELES,9002169B,4026,90,N,1124,TOTAL,111,79
LOS ANGELES,9002192A,4038,90,N,1073,POLLING PLACE,100,69
LOS ANGELES,9002192A,4038,90,N,0,VBM PORTION,85,53
LOS ANGELES,9002192A,4038,90,N,1073,TOTAL,185,122
LOS ANGELES,9002210A,4043,90,N,975,POLLING PLACE,160,108
LOS ANGELES,9002210A,4043,90,N,0,VBM PORTION,84,41
LOS ANGELES,9002210A,4043,90,N,975,TOTAL,244,149
LOS ANGELES,9002248A,4056,90,N,1191,POLLING PLACE,123,91
LOS ANGELES,9002248A,4056,90,N,0,VBM PORTION,108,72
LOS ANGELES,9002248A,4056,90,N,1191,TOTAL,231,163
LOS ANGELES,9002349A,4107,90,N,1184,POLLING PLACE,73,60
LOS ANGELES,9002349A,4107,90,N,0,VBM PORTION,67,61
LOS ANGELES,9002349A,4107,90,N,1184,TOTAL,140,121
LOS ANGELES,9002353B,4108,90,N,1220,POLLING PLACE,108,86
LOS ANGELES,9002353B,4108,90,N,0,VBM PORTION,54,44
LOS ANGELES,9002353B,4108,90,N,1220,TOTAL,162,130
LOS ANGELES,9002464A,6193,92,Y,0,POLLING PLACE,0,0
LOS ANGELES,9002464A,6193,92,Y,0,VBM PORTION,0,0
LOS ANGELES,9002464A,6193,92,Y,0,TOTAL,0,0
LOS ANGELES,9002648B,4219,89,N,1172,POLLING PLACE,92,78
LOS ANGELES,9002648B,4219,89,N,0,VBM PORTION,55,37
LOS ANGELES,9002648B,4219,89,N,1172,TOTAL,147,115
LOS ANGELES,9002691A,4230,90,N,1002,POLLING PLACE,60,50
LOS ANGELES,9002691A,4230,90,N,0,VBM PORTION,34,26
LOS ANGELES,9002691A,4230,90,N,1002,TOTAL,94,76
LOS ANGELES,9002714A,4233,90,N,1122,POLLING PLACE,92,80
LOS ANGELES,9002714A,4233,90,N,0,VBM PORTION,88,64
LOS ANGELES,9002714A,4233,90,N,1122,TOTAL,180,144
LOS ANGELES,9002780A,4241,89,N,1297,POLLING PLACE,153,118
LOS ANGELES,9002780A,4241,89,N,0,VBM PORTION,101,76
LOS ANGELES,9002780A,4241,89,N,1297,TOTAL,254,194
LOS ANGELES,9002809A,4246,90,N,1023,POLLING PLACE,102,81
LOS ANGELES,9002809A,4246,90,N,0,VBM PORTION,84,56
LOS ANGELES,9002809A,4246,90,N,1023,TOTAL,186,137
LOS ANGELES,9002813C,4248,90,N,930,POLLING PLACE,54,41
LOS ANGELES,9002813C,4248,90,N,0,VBM PORTION,58,48
LOS ANGELES,9002813C,4248,90,N,930,TOTAL,112,89
LOS ANGELES,9002843A,4253,90,N,1145,POLLING PLACE,35,27
LOS ANGELES,9002843A,4253,90,N,0,VBM PORTION,53,39
LOS ANGELES,9002843A,4253,90,N,1145,TOTAL,88,66
LOS ANGELES,9003168A,4292,90,N,873,POLLING PLACE,103,77
LOS ANGELES,9003168A,4292,90,N,0,VBM PORTION,66,43
LOS ANGELES,9003168A,4292,90,N,873,TOTAL,169,120
LOS ANGELES,9003518A,4323,90,N,1097,POLLING PLACE,68,52
LOS ANGELES,9003518A,4323,90,N,0,VBM PORTION,51,34
LOS ANGELES,9003518A,4323,90,N,1097,TOTAL,119,86
LOS ANGELES,9003937B,4345,90,N,1033,POLLING PLACE,210,162
LOS ANGELES,9003937B,4345,90,N,0,VBM PORTION,117,82
LOS ANGELES,9003937B,4345,90,N,1033,TOTAL,327,244
LOS ANGELES,9003988A,4351,89,N,915,POLLING PLACE,77,62
LOS ANGELES,9003988A,4351,89,N,0,VBM PORTION,53,38
LOS ANGELES,9003988A,4351,89,N,915,TOTAL,130,100
LOS ANGELES,9004090A,4352,90,N,886,POLLING PLACE,60,49
LOS ANGELES,9004090A,4352,90,N,0,VBM PORTION,34,26
LOS ANGELES,9004090A,4352,90,N,886,TOTAL,94,75
LOS ANGELES,9005537A,4431,90,N,1209,POLLING PLACE,135,115
LOS ANGELES,9005537A,4431,90,N,0,VBM PORTION,66,51
LOS ANGELES,9005537A,4431,90,N,1209,TOTAL,201,166
LOS ANGELES,9005538A,4432,90,N,1030,POLLING PLACE,93,76
LOS ANGELES,9005538A,4432,90,N,0,VBM PORTION,30,25
LOS ANGELES,9005538A,4432,90,N,1030,TOTAL,123,101
LOS ANGELES,9005541A,4433,89,N,1224,POLLING PLACE,81,60
LOS ANGELES,9005541A,4433,89,N,0,VBM PORTION,65,39
LOS ANGELES,9005541A,4433,89,N,1224,TOTAL,146,99
LOS ANGELES,9005543C,4434,90,N,1188,POLLING PLACE,57,39
LOS ANGELES,9005543C,4434,90,N,0,VBM PORTION,85,54
LOS ANGELES,9005543C,4434,90,N,1188,TOTAL,142,93
LOS ANGELES,9006098C,4466,89,N,751,POLLING PLACE,65,52
LOS ANGELES,9006098C,4466,89,N,0,VBM PORTION,32,26
LOS ANGELES,9006098C,4466,89,N,751,TOTAL,97,78
LOS ANGELES,9006302A,4502,89,N,893,POLLING PLACE,82,67
LOS ANGELES,9006302A,4502,89,N,0,VBM PORTION,81,60
LOS ANGELES,9006302A,4502,89,N,893,TOTAL,163,127
LOS ANGELES,9006313A,4505,90,N,1006,POLLING PLACE,108,87
LOS ANGELES,9006313A,4505,90,N,0,VBM PORTION,118,75
LOS ANGELES,9006313A,4505,90,N,1006,TOTAL,226,162
LOS ANGELES,9006315A,4506,90,N,1259,POLLING PLACE,180,140
LOS ANGELES,9006315A,4506,90,N,0,VBM PORTION,117,80
LOS ANGELES,9006315A,4506,90,N,1259,TOTAL,297,220
LOS ANGELES,9006317A,4507,90,N,1056,POLLING PLACE,77,58
LOS ANGELES,9006317A,4507,90,N,0,VBM PORTION,78,49
LOS ANGELES,9006317A,4507,90,N,1056,TOTAL,155,107
LOS ANGELES,9006319A,4508,90,N,1257,POLLING PLACE,70,51
LOS ANGELES,9006319A,4508,90,N,0,VBM PORTION,101,75
LOS ANGELES,9006319A,4508,90,N,1257,TOTAL,171,126
LOS ANGELES,9006320D,4509,90,N,1210,POLLING PLACE,92,59
LOS ANGELES,9006320D,4509,90,N,0,VBM PORTION,67,47
LOS ANGELES,9006320D,4509,90,N,1210,TOTAL,159,106
LOS ANGELES,9006321A,4510,90,N,1264,POLLING PLACE,81,63
LOS ANGELES,9006321A,4510,90,N,0,VBM PORTION,79,56
LOS ANGELES,9006321A,4510,90,N,1264,TOTAL,160,119
LOS ANGELES,9006324A,4511,90,N,1222,POLLING PLACE,84,67
LOS ANGELES,9006324A,4511,90,N,0,VBM PORTION,101,74
LOS ANGELES,9006324A,4511,90,N,1222,TOTAL,185,141
LOS ANGELES,9006334A,4512,90,N,1030,POLLING PLACE,152,116
LOS ANGELES,9006334A,4512,90,N,0,VBM PORTION,86,65
LOS ANGELES,9006334A,4512,90,N,1030,TOTAL,238,181
LOS ANGELES,9006335A,4513,90,N,976,POLLING PLACE,166,118
LOS ANGELES,9006335A,4513,90,N,0,VBM PORTION,84,52
LOS ANGELES,9006335A,4513,90,N,976,TOTAL,250,170
LOS ANGELES,9006337A,4514,90,N,932,POLLING PLACE,155,113
LOS ANGELES,9006337A,4514,90,N,0,VBM PORTION,107,48
LOS ANGELES,9006337A,4514,90,N,932,TOTAL,262,161
LOS ANGELES,9007434A,4605,89,N,1095,POLLING PLACE,101,76
LOS ANGELES,9007434A,4605,89,N,0,VBM PORTION,40,29
LOS ANGELES,9007434A,4605,89,N,1095,TOTAL,141,105
BALLOT GROUP 89,9990089A,8089,89,N,0,POLLING PLACE,0,0
BALLOT GROUP 89,9990089A,8089,89,N,0,VBM PORTION,0,0
BALLOT GROUP 89,9990089A,8089,89,N,0,TOTAL,0,0
BALLOT GROUP 90,9990090A,8090,90,N,0,POLLING PLACE,0,0
BALLOT GROUP 90,9990090A,8090,90,N,0,VBM PORTION,4,1
BALLOT GROUP 90,9990090A,8090,90,N,0,TOTAL,2,1
BALLOT GROUP 91,9990091A,8091,91,N,0,POLLING PLACE,0,0
BALLOT GROUP 91,9990091A,8091,91,N,0,VBM PORTION,0,0
BALLOT GROUP 91,9990091A,8091,91,N,0,TOTAL,0,0
BALLOT GROUP 92,9990092A,8092,92,N,0,POLLING PLACE,0,0
BALLOT GROUP 92,9990092A,8092,92,N,0,VBM PORTION,0,0
BALLOT GROUP 92,9990092A,8092,92,N,0,TOTAL,0,0
