LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JIMMY GOMEZ
EAST LOS ANGELES,2000028B,757,91,N,0,VBM PORTION,27,23
EAST LOS ANGELES,2000028B,757,91,N,1082,TOTAL,106,90
EAST LOS ANGELES,2000030A,758,91,N,790,POLLING PLACE,57,40
EAST LOS ANGELES,2000030A,758,91,N,0,VBM PORTION,47,45
EAST LOS ANGELES,2000030A,758,91,N,790,TOTAL,104,85
EAST LOS ANGELES,2000032A,759,91,N,1014,POLLING PLACE,79,65
EAST LOS ANGELES,2000032A,759,91,N,0,VBM PORTION,24,20
EAST LOS ANGELES,2000032A,759,91,N,1014,TOTAL,103,85
EAST LOS ANGELES,2000034B,760,91,N,771,POLLING PLACE,51,46
EAST LOS ANGELES,2000034B,760,91,N,0,VBM PORTION,26,21
EAST LOS ANGELES,2000034B,760,91,N,771,TOTAL,77,67
EAST LOS ANGELES,2000038B,761,91,N,930,POLLING PLACE,56,50
EAST LOS ANGELES,2000038B,761,91,N,0,VBM PORTION,15,12
EAST LOS ANGELES,2000038B,761,91,N,930,TOTAL,71,62
EAST LOS ANGELES,2000040A,762,91,N,1006,POLLING PLACE,68,55
EAST LOS ANGELES,2000040A,762,91,N,0,VBM PORTION,24,22
EAST LOS ANGELES,2000040A,762,91,N,1006,TOTAL,92,77
EAST LOS ANGELES,2000045A,763,91,N,943,POLLING PLACE,79,64
EAST LOS ANGELES,2000045A,763,91,N,0,VBM PORTION,34,31
EAST LOS ANGELES,2000045A,763,91,N,943,TOTAL,113,95
EAST LOS ANGELES,2000045B,764,91,N,1133,POLLING PLACE,93,71
EAST LOS ANGELES,2000045B,764,91,N,0,VBM PORTION,30,28
EAST LOS ANGELES,2000045B,764,91,N,1133,TOTAL,123,99
EAST LOS ANGELES,2000053A,765,91,N,1138,POLLING PLACE,85,61
EAST LOS ANGELES,2000053A,765,91,N,0,VBM PORTION,29,23
EAST LOS ANGELES,2000053A,765,91,N,1138,TOTAL,114,84
EAST LOS ANGELES,2000062A,766,91,N,760,POLLING PLACE,81,58
EAST LOS ANGELES,2000062A,766,91,N,0,VBM PORTION,54,41
EAST LOS ANGELES,2000062A,766,91,N,760,TOTAL,135,99
EAST LOS ANGELES,2000065A,767,91,N,855,POLLING PLACE,72,59
EAST LOS ANGELES,2000065A,767,91,N,0,VBM PORTION,46,36
EAST LOS ANGELES,2000065A,767,91,N,855,TOTAL,118,95
EAST LOS ANGELES,2000081A,768,91,N,1044,POLLING PLACE,66,51
EAST LOS ANGELES,2000081A,768,91,N,0,VBM PORTION,61,46
EAST LOS ANGELES,2000081A,768,91,N,1044,TOTAL,127,97
EAST LOS ANGELES,2000082A,769,91,N,1020,POLLING PLACE,68,54
EAST LOS ANGELES,2000082A,769,91,N,0,VBM PORTION,42,35
EAST LOS ANGELES,2000082A,769,91,N,1020,TOTAL,110,89
EAST LOS ANGELES,2000083A,770,91,N,1123,POLLING PLACE,85,69
EAST LOS ANGELES,2000083A,770,91,N,0,VBM PORTION,23,19
