LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,AL MURATSUCHI,DAVID HADLEY
GARDENA,2500023A,881,186,N,0,VBM PORTION,137,97,28
GARDENA,2500023A,881,186,N,1501,TOTAL,215,145,48
GARDENA,2500026A,882,186,N,987,POLLING PLACE,70,47,19
GARDENA,2500026A,882,186,N,0,VBM PORTION,80,45,26
GARDENA,2500026A,882,186,N,987,TOTAL,150,92,45
GARDENA,2500028A,883,186,N,965,POLLING PLACE,84,43,30
GARDENA,2500028A,883,186,N,0,VBM PORTION,84,44,37
GARDENA,2500028A,883,186,N,965,TOTAL,168,87,67
GARDENA,2500030A,884,186,N,1312,POLLING PLACE,120,78,19
GARDENA,2500030A,884,186,N,0,VBM PORTION,178,112,33
GARDENA,2500030A,884,186,N,1312,TOTAL,298,190,52
GARDENA,2500031A,885,186,N,831,POLLING PLACE,66,39,17
GARDENA,2500031A,885,186,N,0,VBM PORTION,91,61,22
GARDENA,2500031A,885,186,N,831,TOTAL,157,100,39
GARDENA,2500033A,886,186,N,1137,POLLING PLACE,96,69,18
GARDENA,2500033A,886,186,N,0,VBM PORTION,131,85,38
GARDENA,2500033A,886,186,N,1137,TOTAL,227,154,56
GARDENA,2500035A,887,186,N,1388,POLLING PLACE,129,81,35
GARDENA,2500035A,887,186,N,0,VBM PORTION,172,123,34
GARDENA,2500035A,887,186,N,1388,TOTAL,301,204,69
GARDENA,2500036B,888,186,N,1309,POLLING PLACE,100,58,31
GARDENA,2500036B,888,186,N,0,VBM PORTION,131,86,37
GARDENA,2500036B,888,186,N,1309,TOTAL,231,144,68
GARDENA,2500063A,891,186,N,969,POLLING PLACE,98,48,44
GARDENA,2500063A,891,186,N,0,VBM PORTION,99,65,27
GARDENA,2500063A,891,186,N,969,TOTAL,197,113,71
GARDENA,2500064A,892,186,N,1162,POLLING PLACE,107,59,39
GARDENA,2500064A,892,186,N,0,VBM PORTION,93,60,27
GARDENA,2500064A,892,186,N,1162,TOTAL,200,119,66
HERMOSA BEACH,2750001A,1077,181,N,1151,POLLING PLACE,146,74,50
HERMOSA BEACH,2750001A,1077,181,N,0,VBM PORTION,160,70,76
HERMOSA BEACH,2750001A,1077,181,N,1151,TOTAL,306,144,126
HERMOSA BEACH,2750003A,1078,181,N,975,POLLING PLACE,178,98,55
HERMOSA BEACH,2750003A,1078,181,N,0,VBM PORTION,116,52,54
HERMOSA BEACH,2750003A,1078,181,N,975,TOTAL,294,150,109
HERMOSA BEACH,2750003B,1079,181,N,1081,POLLING PLACE,178,86,74
HERMOSA BEACH,2750003B,1079,181,N,0,VBM PORTION,139,66,62
HERMOSA BEACH,2750003B,1079,181,N,1081,TOTAL,317,152,136
HERMOSA BEACH,2750004A,1080,181,N,1038,POLLING PLACE,90,50,31
HERMOSA BEACH,2750004A,1080,181,N,0,VBM PORTION,82,37,35
HERMOSA BEACH,2750004A,1080,181,N,1038,TOTAL,172,87,66
HERMOSA BEACH,2750008A,1081,181,N,987,POLLING PLACE,129,62,46
HERMOSA BEACH,2750008A,1081,181,N,0,VBM PORTION,96,23,58
HERMOSA BEACH,2750008A,1081,181,N,987,TOTAL,225,85,104
HERMOSA BEACH,2750011A,1082,181,N,1147,POLLING PLACE,121,61,46
HERMOSA BEACH,2750011A,1082,181,N,0,VBM PORTION,110,54,46
HERMOSA BEACH,2750011A,1082,181,N,1147,TOTAL,231,115,92
HERMOSA BEACH,2750012A,1083,181,N,1391,POLLING PLACE,147,72,55
HERMOSA BEACH,2750012A,1083,181,N,0,VBM PORTION,225,103,98
HERMOSA BEACH,2750012A,1083,181,N,1391,TOTAL,372,175,153
HERMOSA BEACH,2750015A,1084,181,N,1044,POLLING PLACE,115,58,47
HERMOSA BEACH,2750015A,1084,181,N,0,VBM PORTION,155,96,43
HERMOSA BEACH,2750015A,1084,181,N,1044,TOTAL,270,154,90
HERMOSA BEACH,2750016A,1085,181,N,907,POLLING PLACE,137,70,52
HERMOSA BEACH,2750016A,1085,181,N,0,VBM PORTION,119,66,46
HERMOSA BEACH,2750016A,1085,181,N,907,TOTAL,256,136,98
HERMOSA BEACH,2750017A,1086,181,N,1350,POLLING PLACE,203,114,71
HERMOSA BEACH,2750017A,1086,181,N,0,VBM PORTION,185,77,91
HERMOSA BEACH,2750017A,1086,181,N,1350,TOTAL,388,191,162
HERMOSA BEACH,2750019A,1087,181,N,1330,POLLING PLACE,171,94,59
HERMOSA BEACH,2750019A,1087,181,N,0,VBM PORTION,165,89,62
HERMOSA BEACH,2750019A,1087,181,N,1330,TOTAL,336,183,121
HERMOSA BEACH,2750023A,1088,181,N,1049,POLLING PLACE,91,50,26
HERMOSA BEACH,2750023A,1088,181,N,0,VBM PORTION,100,54,34
HERMOSA BEACH,2750023A,1088,181,N,1049,TOTAL,191,104,60
LOMITA,3800001A,1398,183,N,929,POLLING PLACE,104,50,51
LOMITA,3800001A,1398,183,N,0,VBM PORTION,92,50,37
LOMITA,3800001A,1398,183,N,929,TOTAL,196,100,88
LOMITA,3800002A,1399,183,N,993,POLLING PLACE,69,31,34
LOMITA,3800002A,1399,183,N,0,VBM PORTION,90,36,48
LOMITA,3800002A,1399,183,N,993,TOTAL,159,67,82
LOMITA,3800003A,1400,183,N,999,POLLING PLACE,114,49,55
LOMITA,3800003A,1400,183,N,0,VBM PORTION,66,32,25
LOMITA,3800003A,1400,183,N,999,TOTAL,180,81,80
LOMITA,3800004A,1401,183,N,1280,POLLING PLACE,95,41,44
LOMITA,3800004A,1401,183,N,0,VBM PORTION,117,61,53
LOMITA,3800004A,1401,183,N,1280,TOTAL,212,102,97
LOMITA,3800006A,1402,183,N,1172,POLLING PLACE,101,45,54
LOMITA,3800006A,1402,183,N,0,VBM PORTION,99,43,39
LOMITA,3800006A,1402,183,N,1172,TOTAL,200,88,93
LOMITA,3800007A,1403,183,N,1288,POLLING PLACE,111,41,63
LOMITA,3800007A,1403,183,N,0,VBM PORTION,153,81,62
LOMITA,3800007A,1403,183,N,1288,TOTAL,264,122,125
LOMITA,3800010A,1404,183,N,953,POLLING PLACE,122,50,67
LOMITA,3800010A,1404,183,N,0,VBM PORTION,98,46,43
LOMITA,3800010A,1404,183,N,953,TOTAL,220,96,110
LOMITA,3800012A,1405,183,N,988,POLLING PLACE,101,45,49
LOMITA,3800012A,1405,183,N,0,VBM PORTION,84,42,34
LOMITA,3800012A,1405,183,N,988,TOTAL,185,87,83
LOMITA,3800013A,1406,183,N,1357,POLLING PLACE,120,48,65
LOMITA,3800013A,1406,183,N,0,VBM PORTION,130,51,62
LOMITA,3800013A,1406,183,N,1357,TOTAL,250,99,127
LOMITA,3800017A,1407,183,N,1278,POLLING PLACE,136,50,79
LOMITA,3800017A,1407,183,N,0,VBM PORTION,119,54,60
LOMITA,3800017A,1407,183,N,1278,TOTAL,255,104,139
MANHATTAN BEACH,4100001F,1714,181,N,1108,POLLING PLACE,124,47,59
MANHATTAN BEACH,4100001F,1714,181,N,0,VBM PORTION,121,34,71
MANHATTAN BEACH,4100001F,1714,181,N,1108,TOTAL,245,81,130
MANHATTAN BEACH,4100002A,1715,181,N,916,POLLING PLACE,126,36,68
MANHATTAN BEACH,4100002A,1715,181,N,0,VBM PORTION,113,50,52
MANHATTAN BEACH,4100002A,1715,181,N,916,TOTAL,239,86,120
MANHATTAN BEACH,4100005A,1716,181,N,1075,POLLING PLACE,115,54,48
MANHATTAN BEACH,4100005A,1716,181,N,0,VBM PORTION,147,53,74
MANHATTAN BEACH,4100005A,1716,181,N,1075,TOTAL,262,107,122
MANHATTAN BEACH,4100007B,1717,181,N,1170,POLLING PLACE,129,52,53
MANHATTAN BEACH,4100007B,1717,181,N,0,VBM PORTION,160,60,81
MANHATTAN BEACH,4100007B,1717,181,N,1170,TOTAL,289,112,134
MANHATTAN BEACH,4100012A,1718,181,N,993,POLLING PLACE,178,76,77
MANHATTAN BEACH,4100012A,1718,181,N,0,VBM PORTION,136,44,77
MANHATTAN BEACH,4100012A,1718,181,N,993,TOTAL,314,120,154
MANHATTAN BEACH,4100012B,1719,181,N,1032,POLLING PLACE,168,67,74
MANHATTAN BEACH,4100012B,1719,181,N,0,VBM PORTION,185,68,100
MANHATTAN BEACH,4100012B,1719,181,N,1032,TOTAL,353,135,174
MANHATTAN BEACH,4100014C,1720,181,N,947,POLLING PLACE,158,55,86
MANHATTAN BEACH,4100014C,1720,181,N,0,VBM PORTION,141,49,77
MANHATTAN BEACH,4100014C,1720,181,N,947,TOTAL,299,104,163
MANHATTAN BEACH,4100017A,1721,181,N,1136,POLLING PLACE,146,56,62
MANHATTAN BEACH,4100017A,1721,181,N,0,VBM PORTION,175,72,94
MANHATTAN BEACH,4100017A,1721,181,N,1136,TOTAL,321,128,156
MANHATTAN BEACH,4100019A,1722,181,N,1159,POLLING PLACE,171,70,90
MANHATTAN BEACH,4100019A,1722,181,N,0,VBM PORTION,185,71,85
MANHATTAN BEACH,4100019A,1722,181,N,1159,TOTAL,356,141,175
MANHATTAN BEACH,4100021A,1723,181,N,970,POLLING PLACE,137,72,49
MANHATTAN BEACH,4100021A,1723,181,N,0,VBM PORTION,158,80,67
MANHATTAN BEACH,4100021A,1723,181,N,970,TOTAL,295,152,116
MANHATTAN BEACH,4100025B,1724,181,N,1018,POLLING PLACE,212,81,112
MANHATTAN BEACH,4100025B,1724,181,N,0,VBM PORTION,135,55,67
MANHATTAN BEACH,4100025B,1724,181,N,1018,TOTAL,347,136,179
MANHATTAN BEACH,4100025D,1725,181,N,1083,POLLING PLACE,202,79,100
MANHATTAN BEACH,4100025D,1725,181,N,0,VBM PORTION,167,72,80
MANHATTAN BEACH,4100025D,1725,181,N,1083,TOTAL,369,151,180
MANHATTAN BEACH,4100026A,1726,181,N,1081,POLLING PLACE,146,74,55
MANHATTAN BEACH,4100026A,1726,181,N,0,VBM PORTION,165,78,75
MANHATTAN BEACH,4100026A,1726,181,N,1081,TOTAL,311,152,130
MANHATTAN BEACH,4100028A,1727,181,N,1146,POLLING PLACE,169,75,80
MANHATTAN BEACH,4100028A,1727,181,N,0,VBM PORTION,184,80,87
MANHATTAN BEACH,4100028A,1727,181,N,1146,TOTAL,353,155,167
MANHATTAN BEACH,4100031A,1728,181,N,1122,POLLING PLACE,143,76,51
MANHATTAN BEACH,4100031A,1728,181,N,0,VBM PORTION,164,77,65
MANHATTAN BEACH,4100031A,1728,181,N,1122,TOTAL,307,153,116
MANHATTAN BEACH,4100033A,1729,181,N,1287,POLLING PLACE,214,101,88
MANHATTAN BEACH,4100033A,1729,181,N,0,VBM PORTION,181,88,78
MANHATTAN BEACH,4100033A,1729,181,N,1287,TOTAL,395,189,166
MANHATTAN BEACH,4100034A,1730,181,N,1284,POLLING PLACE,190,85,86
MANHATTAN BEACH,4100034A,1730,181,N,0,VBM PORTION,200,87,89
MANHATTAN BEACH,4100034A,1730,181,N,1284,TOTAL,390,172,175
MANHATTAN BEACH,4100035A,1731,181,N,454,POLLING PLACE,59,21,33
MANHATTAN BEACH,4100035A,1731,181,N,0,VBM PORTION,58,30,26
MANHATTAN BEACH,4100035A,1731,181,N,454,TOTAL,117,51,59
MANHATTAN BEACH,4100036A,1732,181,N,1197,POLLING PLACE,178,83,75
MANHATTAN BEACH,4100036A,1732,181,N,0,VBM PORTION,170,79,73
MANHATTAN BEACH,4100036A,1732,181,N,1197,TOTAL,348,162,148
MANHATTAN BEACH,4100044A,1733,181,N,967,POLLING PLACE,160,77,62
MANHATTAN BEACH,4100044A,1733,181,N,0,VBM PORTION,151,61,74
MANHATTAN BEACH,4100044A,1733,181,N,967,TOTAL,311,138,136
MANHATTAN BEACH,4100047A,1734,181,N,1415,POLLING PLACE,198,87,88
MANHATTAN BEACH,4100047A,1734,181,N,0,VBM PORTION,267,103,130
MANHATTAN BEACH,4100047A,1734,181,N,1415,TOTAL,465,190,218
MANHATTAN BEACH,4100048A,1735,181,N,1022,POLLING PLACE,165,83,69
MANHATTAN BEACH,4100048A,1735,181,N,0,VBM PORTION,122,54,51
MANHATTAN BEACH,4100048A,1735,181,N,1022,TOTAL,287,137,120
MANHATTAN BEACH,4100050A,1736,181,N,1004,POLLING PLACE,79,26,41
MANHATTAN BEACH,4100050A,1736,181,N,0,VBM PORTION,95,39,36
MANHATTAN BEACH,4100050A,1736,181,N,1004,TOTAL,174,65,77
OCEAN VIEW,4850002A,1884,181,N,759,POLLING PLACE,92,48,34
OCEAN VIEW,4850002A,1884,181,N,0,VBM PORTION,135,58,62
OCEAN VIEW,4850002A,1884,181,N,759,TOTAL,227,106,96
OCEAN VIEW,4850005A,1885,181,N,603,POLLING PLACE,96,26,62
OCEAN VIEW,4850005A,1885,181,N,0,VBM PORTION,87,27,52
OCEAN VIEW,4850005A,1885,181,N,603,TOTAL,183,53,114
PALOS VERDES ESTATES,5050001A,1953,181,N,1237,POLLING PLACE,188,64,105
PALOS VERDES ESTATES,5050001A,1953,181,N,0,VBM PORTION,216,55,137
PALOS VERDES ESTATES,5050001A,1953,181,N,1237,TOTAL,404,119,242
PALOS VERDES ESTATES,5050003A,1954,181,N,1103,POLLING PLACE,152,50,87
PALOS VERDES ESTATES,5050003A,1954,181,N,0,VBM PORTION,183,62,91
PALOS VERDES ESTATES,5050003A,1954,181,N,1103,TOTAL,335,112,178
PALOS VERDES ESTATES,5050003D,1955,181,N,1170,POLLING PLACE,158,51,99
PALOS VERDES ESTATES,5050003D,1955,181,N,0,VBM PORTION,178,50,116
PALOS VERDES ESTATES,5050003D,1955,181,N,1170,TOTAL,336,101,215
PALOS VERDES ESTATES,5050005A,1956,181,N,947,POLLING PLACE,118,35,69
PALOS VERDES ESTATES,5050005A,1956,181,N,0,VBM PORTION,185,64,104
PALOS VERDES ESTATES,5050005A,1956,181,N,947,TOTAL,303,99,173
PALOS VERDES ESTATES,5050007A,1957,181,N,1387,POLLING PLACE,150,43,90
PALOS VERDES ESTATES,5050007A,1957,181,N,0,VBM PORTION,277,92,159
PALOS VERDES ESTATES,5050007A,1957,181,N,1387,TOTAL,427,135,249
PALOS VERDES ESTATES,5050008B,1958,181,N,531,POLLING PLACE,74,16,46
PALOS VERDES ESTATES,5050008B,1958,181,N,0,VBM PORTION,95,37,56
PALOS VERDES ESTATES,5050008B,1958,181,N,531,TOTAL,169,53,102
PALOS VERDES ESTATES,5050010A,1959,181,N,1042,POLLING PLACE,116,54,45
PALOS VERDES ESTATES,5050010A,1959,181,N,0,VBM PORTION,176,47,100
PALOS VERDES ESTATES,5050010A,1959,181,N,1042,TOTAL,292,101,145
PALOS VERDES ESTATES,5050012A,1960,181,N,1298,POLLING PLACE,176,63,92
PALOS VERDES ESTATES,5050012A,1960,181,N,0,VBM PORTION,197,66,109
PALOS VERDES ESTATES,5050012A,1960,181,N,1298,TOTAL,373,129,201
PALOS VERDES ESTATES,5050014A,1961,181,N,1364,POLLING PLACE,186,69,95
PALOS VERDES ESTATES,5050014A,1961,181,N,0,VBM PORTION,255,78,155
PALOS VERDES ESTATES,5050014A,1961,181,N,1364,TOTAL,441,147,250
RANCHO PALOS VERDES,5530002A,2165,181,N,1351,POLLING PLACE,249,81,130
RANCHO PALOS VERDES,5530002A,2165,181,N,0,VBM PORTION,223,95,111
RANCHO PALOS VERDES,5530002A,2165,181,N,1351,TOTAL,472,176,241
RANCHO PALOS VERDES,5530006A,2166,181,N,748,POLLING PLACE,103,37,53
RANCHO PALOS VERDES,5530006A,2166,181,N,0,VBM PORTION,158,56,79
RANCHO PALOS VERDES,5530006A,2166,181,N,748,TOTAL,261,93,132
RANCHO PALOS VERDES,5530007A,2167,181,N,1079,POLLING PLACE,198,56,105
RANCHO PALOS VERDES,5530007A,2167,181,N,0,VBM PORTION,161,55,92
RANCHO PALOS VERDES,5530007A,2167,181,N,1079,TOTAL,359,111,197
RANCHO PALOS VERDES,5530013A,2168,181,N,1026,POLLING PLACE,165,70,79
RANCHO PALOS VERDES,5530013A,2168,181,N,0,VBM PORTION,172,65,82
RANCHO PALOS VERDES,5530013A,2168,181,N,1026,TOTAL,337,135,161
RANCHO PALOS VERDES,5530015A,2169,181,N,1163,POLLING PLACE,148,67,56
RANCHO PALOS VERDES,5530015A,2169,181,N,0,VBM PORTION,193,94,80
RANCHO PALOS VERDES,5530015A,2169,181,N,1163,TOTAL,341,161,136
RANCHO PALOS VERDES,5530016A,2170,181,N,1201,POLLING PLACE,159,62,87
RANCHO PALOS VERDES,5530016A,2170,181,N,0,VBM PORTION,232,94,118
RANCHO PALOS VERDES,5530016A,2170,181,N,1201,TOTAL,391,156,205
RANCHO PALOS VERDES,5530018B,2171,181,N,1208,POLLING PLACE,155,56,70
RANCHO PALOS VERDES,5530018B,2171,181,N,0,VBM PORTION,184,74,92
RANCHO PALOS VERDES,5530018B,2171,181,N,1208,TOTAL,339,130,162
RANCHO PALOS VERDES,5530021A,2172,181,N,1231,POLLING PLACE,182,63,100
RANCHO PALOS VERDES,5530021A,2172,181,N,0,VBM PORTION,187,66,101
RANCHO PALOS VERDES,5530021A,2172,181,N,1231,TOTAL,369,129,201
RANCHO PALOS VERDES,5530026A,2173,181,N,1606,POLLING PLACE,258,88,140
RANCHO PALOS VERDES,5530026A,2173,181,N,0,VBM PORTION,320,109,192
RANCHO PALOS VERDES,5530026A,2173,181,N,1606,TOTAL,578,197,332
RANCHO PALOS VERDES,5530027A,2174,181,N,1374,POLLING PLACE,161,53,85
RANCHO PALOS VERDES,5530027A,2174,181,N,0,VBM PORTION,276,92,149
RANCHO PALOS VERDES,5530027A,2174,181,N,1374,TOTAL,437,145,234
RANCHO PALOS VERDES,5530031A,2175,181,N,1272,POLLING PLACE,157,66,70
RANCHO PALOS VERDES,5530031A,2175,181,N,0,VBM PORTION,198,78,94
RANCHO PALOS VERDES,5530031A,2175,181,N,1272,TOTAL,355,144,164
RANCHO PALOS VERDES,5530032A,2176,181,N,1065,POLLING PLACE,110,37,64
RANCHO PALOS VERDES,5530032A,2176,181,N,0,VBM PORTION,161,48,94
RANCHO PALOS VERDES,5530032A,2176,181,N,1065,TOTAL,271,85,158
RANCHO PALOS VERDES,5530033A,2177,181,N,1205,POLLING PLACE,167,66,78
RANCHO PALOS VERDES,5530033A,2177,181,N,0,VBM PORTION,184,65,94
RANCHO PALOS VERDES,5530033A,2177,181,N,1205,TOTAL,351,131,172
RANCHO PALOS VERDES,5530036A,2178,181,N,1340,POLLING PLACE,172,45,104
RANCHO PALOS VERDES,5530036A,2178,181,N,0,VBM PORTION,237,65,148
RANCHO PALOS VERDES,5530036A,2178,181,N,1340,TOTAL,409,110,252
RANCHO PALOS VERDES,5530040A,2179,181,N,792,POLLING PLACE,134,49,70
RANCHO PALOS VERDES,5530040A,2179,181,N,0,VBM PORTION,130,57,56
RANCHO PALOS VERDES,5530040A,2179,181,N,792,TOTAL,264,106,126
RANCHO PALOS VERDES,5530041A,2180,181,N,1307,POLLING PLACE,146,52,81
RANCHO PALOS VERDES,5530041A,2180,181,N,0,VBM PORTION,287,83,177
RANCHO PALOS VERDES,5530041A,2180,181,N,1307,TOTAL,433,135,258
RANCHO PALOS VERDES,5530042A,2181,181,N,1236,POLLING PLACE,188,55,114
RANCHO PALOS VERDES,5530042A,2181,181,N,0,VBM PORTION,188,62,101
RANCHO PALOS VERDES,5530042A,2181,181,N,1236,TOTAL,376,117,215
RANCHO PALOS VERDES,5530048A,2182,181,N,1411,POLLING PLACE,213,81,114
RANCHO PALOS VERDES,5530048A,2182,181,N,0,VBM PORTION,294,100,167
RANCHO PALOS VERDES,5530048A,2182,181,N,1411,TOTAL,507,181,281
RANCHO PALOS VERDES,5530055A,2183,181,N,841,POLLING PLACE,128,53,48
RANCHO PALOS VERDES,5530055A,2183,181,N,0,VBM PORTION,110,31,56
RANCHO PALOS VERDES,5530055A,2183,181,N,841,TOTAL,238,84,104
RANCHO PALOS VERDES,5530059A,2184,181,N,1173,POLLING PLACE,122,45,62
RANCHO PALOS VERDES,5530059A,2184,181,N,0,VBM PORTION,164,61,81
RANCHO PALOS VERDES,5530059A,2184,181,N,1173,TOTAL,286,106,143
RANCHO PALOS VERDES,5530080A,2185,181,N,736,POLLING PLACE,84,26,46
RANCHO PALOS VERDES,5530080A,2185,181,N,0,VBM PORTION,133,54,69
RANCHO PALOS VERDES,5530080A,2185,181,N,736,TOTAL,217,80,115
RANCHO PALOS VERDES,5530081B,2186,181,N,1048,POLLING PLACE,138,49,68
RANCHO PALOS VERDES,5530081B,2186,181,N,0,VBM PORTION,148,51,80
RANCHO PALOS VERDES,5530081B,2186,181,N,1048,TOTAL,286,100,148
RANCHO PALOS VERDES,5530082A,2187,181,N,831,POLLING PLACE,89,45,40
RANCHO PALOS VERDES,5530082A,2187,181,N,0,VBM PORTION,110,49,54
RANCHO PALOS VERDES,5530082A,2187,181,N,831,TOTAL,199,94,94
RANCHO PALOS VERDES,5530085A,2188,181,N,908,POLLING PLACE,102,47,48
RANCHO PALOS VERDES,5530085A,2188,181,N,0,VBM PORTION,107,42,55
RANCHO PALOS VERDES,5530085A,2188,181,N,908,TOTAL,209,89,103
RANCHO PALOS VERDES,5530086A,2189,181,N,848,POLLING PLACE,95,57,30
RANCHO PALOS VERDES,5530086A,2189,181,N,0,VBM PORTION,90,45,37
RANCHO PALOS VERDES,5530086A,2189,181,N,848,TOTAL,185,102,67
REDONDO BEACH,5550001A,2190,181,N,1063,POLLING PLACE,74,39,26
REDONDO BEACH,5550001A,2190,181,N,0,VBM PORTION,112,53,48
REDONDO BEACH,5550001A,2190,181,N,1063,TOTAL,186,92,74
REDONDO BEACH,5550004A,2191,181,N,881,POLLING PLACE,83,36,33
REDONDO BEACH,5550004A,2191,181,N,0,VBM PORTION,129,66,50
REDONDO BEACH,5550004A,2191,181,N,881,TOTAL,212,102,83
REDONDO BEACH,5550005A,2192,181,N,956,POLLING PLACE,118,60,51
REDONDO BEACH,5550005A,2192,181,N,0,VBM PORTION,106,51,47
REDONDO BEACH,5550005A,2192,181,N,956,TOTAL,224,111,98
REDONDO BEACH,5550006A,2193,181,N,1070,POLLING PLACE,100,38,50
REDONDO BEACH,5550006A,2193,181,N,0,VBM PORTION,101,47,44
REDONDO BEACH,5550006A,2193,181,N,1070,TOTAL,201,85,94
REDONDO BEACH,5550010A,2194,181,N,856,POLLING PLACE,97,34,52
REDONDO BEACH,5550010A,2194,181,N,0,VBM PORTION,114,43,63
REDONDO BEACH,5550010A,2194,181,N,856,TOTAL,211,77,115
REDONDO BEACH,5550012A,2195,181,N,1058,POLLING PLACE,107,56,44
REDONDO BEACH,5550012A,2195,181,N,0,VBM PORTION,148,84,59
REDONDO BEACH,5550012A,2195,181,N,1058,TOTAL,255,140,103
REDONDO BEACH,5550013A,2196,181,N,956,POLLING PLACE,146,79,43
REDONDO BEACH,5550013A,2196,181,N,0,VBM PORTION,127,66,46
REDONDO BEACH,5550013A,2196,181,N,956,TOTAL,273,145,89
REDONDO BEACH,5550014A,2197,181,N,1324,POLLING PLACE,138,69,54
REDONDO BEACH,5550014A,2197,181,N,0,VBM PORTION,201,100,79
REDONDO BEACH,5550014A,2197,181,N,1324,TOTAL,339,169,133
REDONDO BEACH,5550015A,2198,181,N,965,POLLING PLACE,105,47,46
REDONDO BEACH,5550015A,2198,181,N,0,VBM PORTION,98,40,48
REDONDO BEACH,5550015A,2198,181,N,965,TOTAL,203,87,94
REDONDO BEACH,5550016A,2199,181,N,1286,POLLING PLACE,143,73,56
REDONDO BEACH,5550016A,2199,181,N,0,VBM PORTION,165,72,71
REDONDO BEACH,5550016A,2199,181,N,1286,TOTAL,308,145,127
REDONDO BEACH,5550017A,2200,181,N,1345,POLLING PLACE,143,55,66
REDONDO BEACH,5550017A,2200,181,N,0,VBM PORTION,133,61,61
REDONDO BEACH,5550017A,2200,181,N,1345,TOTAL,276,116,127
REDONDO BEACH,5550019A,2201,181,N,1501,POLLING PLACE,144,54,68
REDONDO BEACH,5550019A,2201,181,N,0,VBM PORTION,209,84,101
REDONDO BEACH,5550019A,2201,181,N,1501,TOTAL,353,138,169
REDONDO BEACH,5550024A,2202,181,N,1402,POLLING PLACE,135,65,54
REDONDO BEACH,5550024A,2202,181,N,0,VBM PORTION,117,56,48
REDONDO BEACH,5550024A,2202,181,N,1402,TOTAL,252,121,102
REDONDO BEACH,5550029A,2203,181,N,963,POLLING PLACE,122,62,48
REDONDO BEACH,5550029A,2203,181,N,0,VBM PORTION,94,41,45
REDONDO BEACH,5550029A,2203,181,N,963,TOTAL,216,103,93
REDONDO BEACH,5550030A,2204,181,N,1033,POLLING PLACE,176,83,71
REDONDO BEACH,5550030A,2204,181,N,0,VBM PORTION,153,72,73
REDONDO BEACH,5550030A,2204,181,N,1033,TOTAL,329,155,144
REDONDO BEACH,5550032A,2205,181,N,1167,POLLING PLACE,105,48,42
REDONDO BEACH,5550032A,2205,181,N,0,VBM PORTION,120,55,49
