LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,LEE ROGERS,DAVID KOSTER BRUCE,MICHAEL MUSSACK,TROY CASTAGNA,STEVE KNIGHT,EVAN THOMAS,TONY STRICKLAND,NAVRAJ SINGH
AGUA DULCE,0090004C,25,10,N,507,TOTAL,133,20,4,0,9,34,5,51,1
AGUA DULCE,0090005B,6007,3,Y,135,POLLING PLACE,0,0,0,0,0,0,0,0,0
AGUA DULCE,0090005B,6007,3,Y,0,VBM PORTION,26,9,0,0,2,7,1,7,0
AGUA DULCE,0090005B,6007,3,Y,135,TOTAL,26,9,0,0,2,7,1,7,0
AGUA DULCE,0090006A,6008,10,Y,68,POLLING PLACE,0,0,0,0,0,0,0,0,0
AGUA DULCE,0090006A,6008,10,Y,0,VBM PORTION,12,0,1,1,1,0,1,6,0
AGUA DULCE,0090006A,6008,10,Y,68,TOTAL,12,0,1,1,1,0,1,6,0
AGUA DULCE,0090009A,6009,21,Y,0,POLLING PLACE,0,0,0,0,0,0,0,0,0
AGUA DULCE,0090009A,6009,21,Y,0,VBM PORTION,0,0,0,0,0,0,0,0,0
AGUA DULCE,0090009A,6009,21,Y,0,TOTAL,0,0,0,0,0,0,0,0,0
AGUA DULCE,0090012A,6010,21,Y,5,POLLING PLACE,0,0,0,0,0,0,0,0,0
AGUA DULCE,0090012A,6010,21,Y,0,VBM PORTION,4,0,0,0,0,0,0,4,0
AGUA DULCE,0090012A,6010,21,Y,5,TOTAL,4,0,0,0,0,0,0,4,0
ANTELOPE,0300002A,91,3,N,834,POLLING PLACE,126,9,3,2,2,55,4,43,1
ANTELOPE,0300002A,91,3,N,0,VBM PORTION,117,12,1,4,1,56,5,30,0
ANTELOPE,0300002A,91,3,N,834,TOTAL,243,21,4,6,3,111,9,73,1
ANTELOPE,0300003A,6014,3,Y,66,POLLING PLACE,0,0,0,0,0,0,0,0,0
ANTELOPE,0300003A,6014,3,Y,0,VBM PORTION,15,0,0,0,1,11,0,3,0
ANTELOPE,0300003A,6014,3,Y,66,TOTAL,15,0,0,0,1,11,0,3,0
CANYON COUNTRY,1020005A,6020,10,Y,5,POLLING PLACE,0,0,0,0,0,0,0,0,0
CANYON COUNTRY,1020005A,6020,10,Y,0,VBM PORTION,0,0,0,0,0,0,0,0,0
CANYON COUNTRY,1020005A,6020,10,Y,5,TOTAL,0,0,0,0,0,0,0,0,0
CANYON COUNTRY,1020007A,6021,3,Y,56,POLLING PLACE,0,0,0,0,0,0,0,0,0
CANYON COUNTRY,1020007A,6021,3,Y,0,VBM PORTION,14,0,0,0,0,6,0,6,0
CANYON COUNTRY,1020007A,6021,3,Y,56,TOTAL,14,0,0,0,0,6,0,6,0
CANYON COUNTRY,1020014A,361,10,N,598,POLLING PLACE,42,11,2,3,2,5,3,14,0
CANYON COUNTRY,1020014A,361,10,N,0,VBM PORTION,70,12,3,3,4,18,5,18,3
CANYON COUNTRY,1020014A,361,10,N,598,TOTAL,112,23,5,6,6,23,8,32,3
CANYON COUNTRY,1020017B,6022,10,Y,220,POLLING PLACE,0,0,0,0,0,0,0,0,0
CANYON COUNTRY,1020017B,6022,10,Y,0,VBM PORTION,66,9,1,2,9,22,2,21,0
CANYON COUNTRY,1020017B,6022,10,Y,220,TOTAL,66,9,1,2,9,22,2,21,0
CANYON COUNTRY,1020244A,362,3,N,592,POLLING PLACE,67,13,1,0,8,20,7,16,0
CANYON COUNTRY,1020244A,362,3,N,0,VBM PORTION,45,6,0,1,4,10,5,15,1
CANYON COUNTRY,1020244A,362,3,N,592,TOTAL,112,19,1,1,12,30,12,31,1
CASTAIC,1040001A,418,10,N,1153,POLLING PLACE,116,28,4,3,10,22,11,32,1
CASTAIC,1040001A,418,10,N,0,VBM PORTION,103,18,5,5,8,17,5,38,2
CASTAIC,1040001A,418,10,N,1153,TOTAL,219,46,9,8,18,39,16,70,3
CASTAIC,1040001F,419,10,N,557,POLLING PLACE,43,9,0,1,3,8,6,11,0
CASTAIC,1040001F,419,10,N,0,VBM PORTION,48,12,0,1,2,8,9,13,1
CASTAIC,1040001F,419,10,N,557,TOTAL,91,21,0,2,5,16,15,24,1
CASTAIC,1040002A,420,10,N,1107,POLLING PLACE,63,11,3,0,3,15,12,14,0
CASTAIC,1040002A,420,10,N,0,VBM PORTION,55,8,2,4,1,4,8,18,3
CASTAIC,1040002A,420,10,N,1107,TOTAL,118,19,5,4,4,19,20,32,3
CASTAIC,1040003A,421,10,N,1164,POLLING PLACE,103,17,2,0,4,23,12,42,1
CASTAIC,1040003A,421,10,N,0,VBM PORTION,114,24,0,2,5,28,9,36,0
CASTAIC,1040003A,421,10,N,1164,TOTAL,217,41,2,2,9,51,21,78,1
CASTAIC,1040004C,422,10,N,763,POLLING PLACE,51,14,1,0,0,4,7,22,0
CASTAIC,1040004C,422,10,N,0,VBM PORTION,75,12,0,2,5,15,6,29,0
CASTAIC,1040004C,422,10,N,763,TOTAL,126,26,1,2,5,19,13,51,0
CASTAIC,1040014A,423,10,N,1134,POLLING PLACE,80,12,1,0,5,19,5,36,0
CASTAIC,1040014A,423,10,N,0,VBM PORTION,114,25,2,1,3,16,16,41,0
CASTAIC,1040014A,423,10,N,1134,TOTAL,194,37,3,1,8,35,21,77,0
CASTAIC,1040015A,424,10,N,1243,POLLING PLACE,108,9,4,1,10,39,10,32,1
CASTAIC,1040015A,424,10,N,0,VBM PORTION,118,19,2,3,12,20,9,43,3
CASTAIC,1040015A,424,10,N,1243,TOTAL,226,28,6,4,22,59,19,75,4
CASTAIC,1040016A,425,10,N,1084,POLLING PLACE,95,18,4,0,5,23,8,34,0
CASTAIC,1040016A,425,10,N,0,VBM PORTION,100,18,5,0,6,25,14,23,1
CASTAIC,1040016A,425,10,N,1084,TOTAL,195,36,9,0,11,48,22,57,1
CASTAIC,1040017A,426,10,N,899,POLLING PLACE,76,11,1,0,5,21,7,27,1
CASTAIC,1040017A,426,10,N,0,VBM PORTION,86,12,6,3,3,14,14,31,0
CASTAIC,1040017A,426,10,N,899,TOTAL,162,23,7,3,8,35,21,58,1
CASTAIC,1040028A,427,10,N,1330,POLLING PLACE,115,26,4,2,10,20,7,41,0
CASTAIC,1040028A,427,10,N,0,VBM PORTION,124,15,2,1,5,29,7,55,1
CASTAIC,1040028A,427,10,N,1330,TOTAL,239,41,6,3,15,49,14,96,1
CASTAIC,1040052A,6025,10,Y,100,POLLING PLACE,0,0,0,0,0,0,0,0,0
CASTAIC,1040052A,6025,10,Y,0,VBM PORTION,29,6,2,1,1,4,0,13,1
CASTAIC,1040052A,6025,10,Y,100,TOTAL,29,6,2,1,1,4,0,13,1
CASTAIC,1040072A,428,10,N,753,POLLING PLACE,83,14,0,2,3,18,6,36,0
CASTAIC,1040072A,428,10,N,0,VBM PORTION,74,12,7,1,4,11,2,28,0
CASTAIC,1040072A,428,10,N,753,TOTAL,157,26,7,3,7,29,8,64,0
CASTAIC,1040226A,429,10,N,769,POLLING PLACE,49,4,1,2,3,14,1,23,1
CASTAIC,1040226A,429,10,N,0,VBM PORTION,127,11,1,1,18,27,7,52,3
CASTAIC,1040226A,429,10,N,769,TOTAL,176,15,2,3,21,41,8,75,4
CASTAIC,1040251A,430,10,N,739,POLLING PLACE,70,11,0,2,5,23,6,20,0
CASTAIC,1040251A,430,10,N,0,VBM PORTION,71,16,1,2,5,19,4,15,3
CASTAIC,1040251A,430,10,N,739,TOTAL,141,27,1,4,10,42,10,35,3
CHATSWORTH,1150001A,477,10,N,807,POLLING PLACE,34,5,4,2,2,6,4,8,1
CHATSWORTH,1150001A,477,10,N,0,VBM PORTION,58,19,0,2,1,5,5,21,3
CHATSWORTH,1150001A,477,10,N,807,TOTAL,92,24,4,4,3,11,9,29,4
CHATSWORTH,1150004A,6028,55,Y,2,POLLING PLACE,0,0,0,0,0,0,0,0,0
CHATSWORTH,1150004A,6028,55,Y,0,VBM PORTION,2,0,0,0,0,1,0,1,0
CHATSWORTH,1150004A,6028,55,Y,2,TOTAL,2,0,0,0,0,1,0,1,0
DEL SUR,1750001A,620,3,N,1021,POLLING PLACE,128,21,2,5,7,48,10,31,1
DEL SUR,1750001A,620,3,N,0,VBM PORTION,104,9,3,1,9,37,14,25,0
DEL SUR,1750001A,620,3,N,1021,TOTAL,232,30,5,6,16,85,24,56,1
DEL SUR,1750054A,621,3,N,705,POLLING PLACE,99,21,1,0,3,23,7,36,1
DEL SUR,1750054A,621,3,N,0,VBM PORTION,91,10,7,1,2,25,5,34,1
DEL SUR,1750054A,621,3,N,705,TOTAL,190,31,8,1,5,48,12,70,2
DESERT,1770001A,623,3,N,1173,POLLING PLACE,122,28,1,2,1,54,10,22,2
DESERT,1770001A,623,3,N,0,VBM PORTION,59,6,2,0,4,26,5,11,0
DESERT,1770001A,623,3,N,1173,TOTAL,181,34,3,2,5,80,15,33,2
DESERT,1770004A,624,3,N,1193,POLLING PLACE,144,11,2,0,7,73,9,36,0
DESERT,1770004A,624,3,N,0,VBM PORTION,173,21,2,3,9,86,7,33,0
DESERT,1770004A,624,3,N,1193,TOTAL,317,32,4,3,16,159,16,69,0
DESERT,1770015A,625,3,N,977,POLLING PLACE,87,23,1,2,3,28,2,23,1
DESERT,1770015A,625,3,N,0,VBM PORTION,150,11,5,0,6,69,7,37,0
DESERT,1770015A,625,3,N,977,TOTAL,237,34,6,2,9,97,9,60,1
DESERT,1770016A,626,3,N,419,POLLING PLACE,42,6,1,1,0,15,7,9,1
DESERT,1770016A,626,3,N,0,VBM PORTION,51,6,0,0,1,23,4,9,2
DESERT,1770016A,626,3,N,419,TOTAL,93,12,1,1,1,38,11,18,3
DESERT,1770063A,6043,3,Y,2,POLLING PLACE,0,0,0,0,0,0,0,0,0
DESERT,1770063A,6043,3,Y,0,VBM PORTION,0,0,0,0,0,0,0,0,0
DESERT,1770063A,6043,3,Y,2,TOTAL,0,0,0,0,0,0,0,0,0
GORMAN,2610001A,6058,3,Y,56,POLLING PLACE,0,0,0,0,0,0,0,0,0
GORMAN,2610001A,6058,3,Y,0,VBM PORTION,22,1,0,0,4,3,0,10,0
GORMAN,2610001A,6058,3,Y,56,TOTAL,22,1,0,0,4,3,0,10,0
GREEN VALLEY,2620001A,1010,3,N,623,POLLING PLACE,86,11,0,0,9,25,1,36,0
GREEN VALLEY,2620001A,1010,3,N,0,VBM PORTION,76,16,0,1,5,29,4,15,0
GREEN VALLEY,2620001A,1010,3,N,623,TOTAL,162,27,0,1,14,54,5,51,0
LANCASTER,3550007A,1314,3,N,1240,POLLING PLACE,69,17,0,2,4,19,6,18,2
LANCASTER,3550007A,1314,3,N,0,VBM PORTION,106,27,2,3,2,30,13,22,0
LANCASTER,3550007A,1314,3,N,1240,TOTAL,175,44,2,5,6,49,19,40,2
LANCASTER,3550008A,1315,3,N,1363,POLLING PLACE,78,19,2,2,2,26,12,8,0
LANCASTER,3550008A,1315,3,N,0,VBM PORTION,90,21,1,2,1,27,15,14,0
LANCASTER,3550008A,1315,3,N,1363,TOTAL,168,40,3,4,3,53,27,22,0
LANCASTER,3550009A,1316,3,N,1336,POLLING PLACE,59,17,0,1,2,18,6,12,2
LANCASTER,3550009A,1316,3,N,0,VBM PORTION,70,15,3,0,0,22,18,7,0
LANCASTER,3550009A,1316,3,N,1336,TOTAL,129,32,3,1,2,40,24,19,2
LANCASTER,3550011B,1317,3,N,1314,POLLING PLACE,91,20,1,3,4,27,7,19,3
LANCASTER,3550011B,1317,3,N,0,VBM PORTION,112,28,0,1,4,41,12,19,0
LANCASTER,3550011B,1317,3,N,1314,TOTAL,203,48,1,4,8,68,19,38,3
LANCASTER,3550013A,1318,3,N,1235,POLLING PLACE,81,18,2,2,4,27,10,12,0
LANCASTER,3550013A,1318,3,N,0,VBM PORTION,71,10,0,1,3,20,11,15,2
LANCASTER,3550013A,1318,3,N,1235,TOTAL,152,28,2,3,7,47,21,27,2
LANCASTER,3550015A,1319,3,N,1519,POLLING PLACE,124,25,4,1,7,41,10,32,0
LANCASTER,3550015A,1319,3,N,0,VBM PORTION,111,28,1,0,5,30,10,29,2
LANCASTER,3550015A,1319,3,N,1519,TOTAL,235,53,5,1,12,71,20,61,2
LANCASTER,3550018A,1320,3,N,1211,POLLING PLACE,99,37,1,1,4,27,14,8,2
LANCASTER,3550018A,1320,3,N,0,VBM PORTION,87,24,0,0,1,36,13,9,1
LANCASTER,3550018A,1320,3,N,1211,TOTAL,186,61,1,1,5,63,27,17,3
LANCASTER,3550019D,1321,3,N,1152,POLLING PLACE,80,18,2,0,3,32,13,11,0
LANCASTER,3550019D,1321,3,N,0,VBM PORTION,132,23,3,1,7,66,10,19,0
LANCASTER,3550019D,1321,3,N,1152,TOTAL,212,41,5,1,10,98,23,30,0
LANCASTER,3550022A,1323,3,N,1340,POLLING PLACE,96,16,1,0,1,43,11,21,0
LANCASTER,3550022A,1323,3,N,0,VBM PORTION,103,42,3,0,6,25,12,13,0
LANCASTER,3550022A,1323,3,N,1340,TOTAL,199,58,4,0,7,68,23,34,0
LANCASTER,3550026A,1326,3,N,1136,POLLING PLACE,103,24,1,1,3,40,12,19,1
LANCASTER,3550026A,1326,3,N,0,VBM PORTION,73,7,1,0,3,28,14,16,0
LANCASTER,3550026A,1326,3,N,1136,TOTAL,176,31,2,1,6,68,26,35,1
LANCASTER,3550030B,1328,3,N,1244,POLLING PLACE,94,17,3,0,2,34,9,22,1
LANCASTER,3550030B,1328,3,N,0,VBM PORTION,95,17,3,1,3,35,13,14,0
LANCASTER,3550030B,1328,3,N,1244,TOTAL,189,34,6,1,5,69,22,36,1
LANCASTER,3550032A,1329,3,N,945,POLLING PLACE,65,5,0,0,9,34,3,11,1
LANCASTER,3550032A,1329,3,N,0,VBM PORTION,91,11,0,0,3,42,9,23,0
LANCASTER,3550032A,1329,3,N,945,TOTAL,156,16,0,0,12,76,12,34,1
LANCASTER,3550034A,1331,3,N,1007,POLLING PLACE,56,22,0,0,4,17,8,2,0
LANCASTER,3550034A,1331,3,N,0,VBM PORTION,53,14,0,0,0,17,13,6,0
LANCASTER,3550034A,1331,3,N,1007,TOTAL,109,36,0,0,4,34,21,8,0
LANCASTER,3550036A,1333,3,N,820,POLLING PLACE,58,10,3,2,4,22,5,9,0
LANCASTER,3550036A,1333,3,N,0,VBM PORTION,57,15,2,0,2,18,10,6,1
LANCASTER,3550036A,1333,3,N,820,TOTAL,115,25,5,2,6,40,15,15,1
LANCASTER,3550041A,1335,3,N,1161,POLLING PLACE,85,17,2,2,3,31,10,14,0
LANCASTER,3550041A,1335,3,N,0,VBM PORTION,103,14,0,3,3,38,7,33,2
LANCASTER,3550041A,1335,3,N,1161,TOTAL,188,31,2,5,6,69,17,47,2
LANCASTER,3550042A,1336,3,N,1325,POLLING PLACE,86,20,1,1,2,28,10,19,1
LANCASTER,3550042A,1336,3,N,0,VBM PORTION,82,22,0,0,2,27,6,18,2
LANCASTER,3550042A,1336,3,N,1325,TOTAL,168,42,1,1,4,55,16,37,3
LANCASTER,3550048A,1340,3,N,1158,POLLING PLACE,66,15,1,1,1,20,8,18,0
LANCASTER,3550048A,1340,3,N,0,VBM PORTION,87,20,2,5,2,26,13,15,0
LANCASTER,3550048A,1340,3,N,1158,TOTAL,153,35,3,6,3,46,21,33,0
LANCASTER,3550050A,1341,3,N,1275,POLLING PLACE,49,13,1,0,6,19,5,3,0
LANCASTER,3550050A,1341,3,N,0,VBM PORTION,73,18,4,0,2,21,10,10,2
LANCASTER,3550050A,1341,3,N,1275,TOTAL,122,31,5,0,8,40,15,13,2
LANCASTER,3550054A,1343,3,N,1216,POLLING PLACE,79,15,1,1,2,33,13,9,1
LANCASTER,3550054A,1343,3,N,0,VBM PORTION,77,19,4,2,1,36,5,7,0
LANCASTER,3550054A,1343,3,N,1216,TOTAL,156,34,5,3,3,69,18,16,1
LANCASTER,3550058A,1344,3,N,841,POLLING PLACE,87,9,0,1,5,38,3,25,3
LANCASTER,3550058A,1344,3,N,0,VBM PORTION,92,9,0,1,2,54,5,17,0
LANCASTER,3550058A,1344,3,N,841,TOTAL,179,18,0,2,7,92,8,42,3
LANCASTER,3550059A,1345,3,N,984,POLLING PLACE,113,15,0,0,4,47,18,23,0
LANCASTER,3550059A,1345,3,N,0,VBM PORTION,101,14,0,0,1,49,7,24,2
LANCASTER,3550059A,1345,3,N,984,TOTAL,214,29,0,0,5,96,25,47,2
LANCASTER,3550061A,1347,3,N,1420,POLLING PLACE,145,19,3,1,6,61,8,40,1
LANCASTER,3550061A,1347,3,N,0,VBM PORTION,109,13,2,2,3,58,10,18,0
LANCASTER,3550061A,1347,3,N,1420,TOTAL,254,32,5,3,9,119,18,58,1
LANCASTER,3550065A,1349,3,N,1377,POLLING PLACE,175,26,1,4,7,77,15,42,1
LANCASTER,3550065A,1349,3,N,0,VBM PORTION,235,26,7,4,5,111,13,60,2
LANCASTER,3550065A,1349,3,N,1377,TOTAL,410,52,8,8,12,188,28,102,3
LANCASTER,3550077A,1352,3,N,1260,POLLING PLACE,86,35,0,1,3,22,7,14,1
LANCASTER,3550077A,1352,3,N,0,VBM PORTION,87,17,3,1,6,31,13,12,2
LANCASTER,3550077A,1352,3,N,1260,TOTAL,173,52,3,2,9,53,20,26,3
LANCASTER,3550079A,1353,3,N,1406,POLLING PLACE,127,29,3,0,4,55,5,26,0
LANCASTER,3550079A,1353,3,N,0,VBM PORTION,170,25,0,1,5,76,20,31,1
LANCASTER,3550079A,1353,3,N,1406,TOTAL,297,54,3,1,9,131,25,57,1
LANCASTER,3550083A,1355,3,N,1436,POLLING PLACE,74,16,2,1,3,24,14,12,0
LANCASTER,3550083A,1355,3,N,0,VBM PORTION,90,19,0,1,4,33,15,14,0
LANCASTER,3550083A,1355,3,N,1436,TOTAL,164,35,2,2,7,57,29,26,0
LANCASTER,3550085A,6082,3,Y,0,POLLING PLACE,0,0,0,0,0,0,0,0,0
LANCASTER,3550085A,6082,3,Y,0,VBM PORTION,0,0,0,0,0,0,0,0,0
LANCASTER,3550085A,6082,3,Y,0,TOTAL,0,0,0,0,0,0,0,0,0
LANCASTER,3550087A,1357,3,N,1238,POLLING PLACE,42,13,0,1,1,7,10,5,1
LANCASTER,3550087A,1357,3,N,0,VBM PORTION,33,9,1,0,0,6,10,1,0
LANCASTER,3550087A,1357,3,N,1238,TOTAL,75,22,1,1,1,13,20,6,1
LANCASTER,3550088A,1358,3,N,1266,POLLING PLACE,88,11,2,1,4,36,13,17,2
LANCASTER,3550088A,1358,3,N,0,VBM PORTION,128,32,1,1,6,36,18,26,0
LANCASTER,3550088A,1358,3,N,1266,TOTAL,216,43,3,2,10,72,31,43,2
LANCASTER,3550089B,1359,3,N,1405,POLLING PLACE,102,21,0,2,3,33,18,15,4
LANCASTER,3550089B,1359,3,N,0,VBM PORTION,116,21,1,0,8,52,10,21,0
LANCASTER,3550089B,1359,3,N,1405,TOTAL,218,42,1,2,11,85,28,36,4
LANCASTER,3550093B,1360,3,N,930,POLLING PLACE,52,16,3,1,2,11,8,5,2
LANCASTER,3550093B,1360,3,N,0,VBM PORTION,53,9,0,0,3,13,7,16,0
LANCASTER,3550093B,1360,3,N,930,TOTAL,105,25,3,1,5,24,15,21,2
LANCASTER,3550095A,1362,3,N,1504,POLLING PLACE,93,18,2,1,5,33,15,14,1
LANCASTER,3550095A,1362,3,N,0,VBM PORTION,113,28,0,1,6,38,15,17,0
LANCASTER,3550095A,1362,3,N,1504,TOTAL,206,46,2,2,11,71,30,31,1
LANCASTER,3550096A,1363,3,N,1396,POLLING PLACE,77,31,0,0,4,20,10,9,1
LANCASTER,3550096A,1363,3,N,0,VBM PORTION,73,13,0,2,3,31,10,12,0
LANCASTER,3550096A,1363,3,N,1396,TOTAL,150,44,0,2,7,51,20,21,1
LANCASTER,3550098A,1365,3,N,1439,POLLING PLACE,82,15,0,1,3,36,4,17,0
LANCASTER,3550098A,1365,3,N,0,VBM PORTION,95,33,1,0,4,26,13,13,0
LANCASTER,3550098A,1365,3,N,1439,TOTAL,177,48,1,1,7,62,17,30,0
LANCASTER,3550099B,1366,3,N,1109,POLLING PLACE,45,11,1,0,0,20,4,9,0
LANCASTER,3550099B,1366,3,N,0,VBM PORTION,59,15,0,3,2,13,12,8,1
LANCASTER,3550099B,1366,3,N,1109,TOTAL,104,26,1,3,2,33,16,17,1
LEONA VALLEY,3680001A,1390,3,N,1077,POLLING PLACE,209,21,2,1,9,107,5,63,0
LEONA VALLEY,3680001A,1390,3,N,0,VBM PORTION,109,11,0,1,4,53,9,25,2
LEONA VALLEY,3680001A,1390,3,N,1077,TOTAL,318,32,2,2,13,160,14,88,2
LITTLEROCK,3700001A,1391,3,N,806,POLLING PLACE,96,17,0,3,7,37,9,20,0
LITTLEROCK,3700001A,1391,3,N,0,VBM PORTION,51,8,1,1,6,20,4,9,2
LITTLEROCK,3700001A,1391,3,N,806,TOTAL,147,25,1,4,13,57,13,29,2
LITTLEROCK,3700040A,1392,3,N,919,POLLING PLACE,90,18,1,1,2,30,10,26,1
LITTLEROCK,3700040A,1392,3,N,0,VBM PORTION,81,13,1,3,5,33,2,22,0
LITTLEROCK,3700040A,1392,3,N,919,TOTAL,171,31,2,4,7,63,12,48,1
LITTLEROCK,3700042B,1393,3,N,821,POLLING PLACE,67,9,4,1,4,22,6,17,0
LITTLEROCK,3700042B,1393,3,N,0,VBM PORTION,65,8,0,1,7,27,4,15,0
LITTLEROCK,3700042B,1393,3,N,821,TOTAL,132,17,4,2,11,49,10,32,0
LITTLEROCK,3700043A,1394,3,N,911,POLLING PLACE,71,32,0,2,6,21,5,5,0
LITTLEROCK,3700043A,1394,3,N,0,VBM PORTION,58,17,1,1,2,8,16,10,3
LITTLEROCK,3700043A,1394,3,N,911,TOTAL,129,49,1,3,8,29,21,15,3
LITTLEROCK,3700044A,1395,3,N,975,POLLING PLACE,62,19,1,1,0,15,8,14,1
LITTLEROCK,3700044A,1395,3,N,0,VBM PORTION,73,15,3,2,5,22,13,8,0
LITTLEROCK,3700044A,1395,3,N,975,TOTAL,135,34,4,3,5,37,21,22,1
LITTLEROCK,3700046A,1396,3,N,1085,POLLING PLACE,77,26,5,2,4,22,9,7,0
LITTLEROCK,3700046A,1396,3,N,0,VBM PORTION,75,17,2,1,5,33,7,8,0
LITTLEROCK,3700046A,1396,3,N,1085,TOTAL,152,43,7,3,9,55,16,15,0
LLANO,3750003A,6085,3,Y,107,POLLING PLACE,0,0,0,0,0,0,0,0,0
LLANO,3750003A,6085,3,Y,0,VBM PORTION,9,1,0,0,1,2,3,2,0
LLANO,3750003A,6085,3,Y,107,TOTAL,9,1,0,0,1,2,3,2,0
LLANO,3750005A,1397,3,N,622,POLLING PLACE,124,16,2,3,11,59,8,17,0
LLANO,3750005A,1397,3,N,0,VBM PORTION,114,10,3,3,6,62,9,14,2
LLANO,3750005A,1397,3,N,622,TOTAL,238,26,5,6,17,121,17,31,2
NEENACH,4650001A,1832,3,N,477,POLLING PLACE,82,7,6,1,3,28,2,29,2
NEENACH,4650001A,1832,3,N,0,VBM PORTION,92,14,0,1,8,28,4,31,1
NEENACH,4650001A,1832,3,N,477,TOTAL,174,21,6,2,11,56,6,60,3
NEWHALL,4700001A,6116,10,Y,82,POLLING PLACE,0,0,0,0,0,0,0,0,0
NEWHALL,4700001A,6116,10,Y,0,VBM PORTION,9,2,0,1,0,2,0,4,0
NEWHALL,4700001A,6116,10,Y,82,TOTAL,9,2,0,1,0,2,0,4,0
NEWHALL,4700004A,6117,21,Y,0,POLLING PLACE,0,0,0,0,0,0,0,0,0
NEWHALL,4700004A,6117,21,Y,0,VBM PORTION,0,0,0,0,0,0,0,0,0
NEWHALL,4700004A,6117,21,Y,0,TOTAL,0,0,0,0,0,0,0,0,0
NEWHALL,4700005A,6118,10,Y,72,POLLING PLACE,0,0,0,0,0,0,0,0,0
NEWHALL,4700005A,6118,10,Y,0,VBM PORTION,24,10,0,0,0,5,0,8,0
NEWHALL,4700005A,6118,10,Y,72,TOTAL,24,10,0,0,0,5,0,8,0
NEWHALL,4700011B,6120,21,Y,0,POLLING PLACE,0,0,0,0,0,0,0,0,0
NEWHALL,4700011B,6120,21,Y,0,VBM PORTION,0,0,0,0,0,0,0,0,0
NEWHALL,4700011B,6120,21,Y,0,TOTAL,0,0,0,0,0,0,0,0,0
PALMDALE,5000001A,1886,3,N,1227,POLLING PLACE,87,36,1,1,2,16,15,11,1
PALMDALE,5000001A,1886,3,N,0,VBM PORTION,72,17,3,4,2,25,7,10,1
PALMDALE,5000001A,1886,3,N,1227,TOTAL,159,53,4,5,4,41,22,21,2
PALMDALE,5000003A,1887,3,N,1078,POLLING PLACE,75,21,1,0,4,26,8,9,0
PALMDALE,5000003A,1887,3,N,0,VBM PORTION,79,17,7,1,0,32,7,8,2
