LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,S M RIDLEY THOMAS,GLEN RATCLIFF
INGLEWOOD,2950090A,1158,114,N,229,POLLING PLACE,38,29,0
INGLEWOOD,2950090A,1158,114,N,0,VBM PORTION,35,26,6
INGLEWOOD,2950090A,1158,114,N,229,TOTAL,73,55,6
LADERA HEIGHTS,3430001A,1259,114,N,767,POLLING PLACE,86,67,12
LADERA HEIGHTS,3430001A,1259,114,N,0,VBM PORTION,66,47,9
LADERA HEIGHTS,3430001A,1259,114,N,767,TOTAL,152,114,21
LADERA HEIGHTS,3430003A,1260,114,N,1163,POLLING PLACE,198,161,24
LADERA HEIGHTS,3430003A,1260,114,N,0,VBM PORTION,131,85,30
LADERA HEIGHTS,3430003A,1260,114,N,1163,TOTAL,329,246,54
LADERA HEIGHTS,3430003D,6077,115,Y,1,POLLING PLACE,0,0,0
LADERA HEIGHTS,3430003D,6077,115,Y,0,VBM PORTION,0,0,0
LADERA HEIGHTS,3430003D,6077,115,Y,1,TOTAL,0,0,0
LADERA HEIGHTS,3430004A,1261,114,N,1270,POLLING PLACE,221,183,23
LADERA HEIGHTS,3430004A,1261,114,N,0,VBM PORTION,184,139,29
LADERA HEIGHTS,3430004A,1261,114,N,1270,TOTAL,405,322,52
LADERA HEIGHTS,3430007A,1262,114,N,1368,POLLING PLACE,178,155,11
LADERA HEIGHTS,3430007A,1262,114,N,0,VBM PORTION,163,113,27
LADERA HEIGHTS,3430007A,1262,114,N,1368,TOTAL,341,268,38
LADERA HEIGHTS,3430018A,1263,114,N,543,POLLING PLACE,76,55,13
LADERA HEIGHTS,3430018A,1263,114,N,0,VBM PORTION,50,36,6
LADERA HEIGHTS,3430018A,1263,114,N,543,TOTAL,126,91,19
LADERA HEIGHTS,3430020A,1264,114,N,867,POLLING PLACE,80,65,8
LADERA HEIGHTS,3430020A,1264,114,N,0,VBM PORTION,109,85,13
LADERA HEIGHTS,3430020A,1264,114,N,867,TOTAL,189,150,21
LADERA HEIGHTS,3430100C,6078,116,Y,56,POLLING PLACE,0,0,0
LADERA HEIGHTS,3430100C,6078,116,Y,0,VBM PORTION,7,6,0
LADERA HEIGHTS,3430100C,6078,116,Y,56,TOTAL,7,6,0
VETERANS ADMIN CENTER,7470001A,6173,108,Y,174,POLLING PLACE,0,0,0
VETERANS ADMIN CENTER,7470001A,6173,108,Y,0,VBM PORTION,34,20,7
VETERANS ADMIN CENTER,7470001A,6173,108,Y,174,TOTAL,34,20,7
VIEW PARK,7510001A,2752,116,N,1240,POLLING PLACE,202,162,13
VIEW PARK,7510001A,2752,116,N,0,VBM PORTION,137,106,13
VIEW PARK,7510001A,2752,116,N,1240,TOTAL,339,268,26
VIEW PARK,7510003C,2753,116,N,1359,POLLING PLACE,183,154,10
VIEW PARK,7510003C,2753,116,N,0,VBM PORTION,157,123,18
VIEW PARK,7510003C,2753,116,N,1359,TOTAL,340,277,28
VIEW PARK,7510004A,2754,116,N,768,POLLING PLACE,103,71,20
VIEW PARK,7510004A,2754,116,N,0,VBM PORTION,66,55,7
VIEW PARK,7510004A,2754,116,N,768,TOTAL,169,126,27
VIEW PARK,7510006A,2755,116,N,1279,POLLING PLACE,167,128,17
VIEW PARK,7510006A,2755,116,N,0,VBM PORTION,100,87,9
VIEW PARK,7510006A,2755,116,N,1279,TOTAL,267,215,26
VIEW PARK,7510008A,2756,116,N,1052,POLLING PLACE,173,126,18
VIEW PARK,7510008A,2756,116,N,0,VBM PORTION,136,99,12
VIEW PARK,7510008A,2756,116,N,1052,TOTAL,309,225,30
VIEW PARK,7510009B,2757,116,N,1269,POLLING PLACE,209,173,22
VIEW PARK,7510009B,2757,116,N,0,VBM PORTION,133,118,7
VIEW PARK,7510009B,2757,116,N,1269,TOTAL,342,291,29
VIEW PARK,7510010A,2758,116,N,974,POLLING PLACE,130,102,9
VIEW PARK,7510010A,2758,116,N,0,VBM PORTION,166,135,14
VIEW PARK,7510010A,2758,116,N,974,TOTAL,296,237,23
VIEW PARK,7510012A,2759,116,N,1034,POLLING PLACE,210,163,23
VIEW PARK,7510012A,2759,116,N,0,VBM PORTION,164,120,21
VIEW PARK,7510012A,2759,116,N,1034,TOTAL,374,283,44
LOS ANGELES,9000002A,2973,116,N,839,POLLING PLACE,110,67,29
LOS ANGELES,9000002A,2973,116,N,0,VBM PORTION,102,45,40
LOS ANGELES,9000002A,2973,116,N,839,TOTAL,212,112,69
LOS ANGELES,9000269B,3137,114,N,1317,POLLING PLACE,138,83,46
LOS ANGELES,9000269B,3137,114,N,0,VBM PORTION,138,72,36
LOS ANGELES,9000269B,3137,114,N,1317,TOTAL,276,155,82
LOS ANGELES,9000533A,3303,116,N,1082,POLLING PLACE,57,38,5
LOS ANGELES,9000533A,3303,116,N,0,VBM PORTION,49,41,4
LOS ANGELES,9000533A,3303,116,N,1082,TOTAL,106,79,9
LOS ANGELES,9000555A,3316,108,N,1263,POLLING PLACE,18,8,4
LOS ANGELES,9000555A,3316,108,N,0,VBM PORTION,0,0,0
LOS ANGELES,9000555A,3316,108,N,1263,TOTAL,18,8,4
LOS ANGELES,9000558B,3319,109,N,1396,POLLING PLACE,85,53,20
LOS ANGELES,9000558B,3319,109,N,0,VBM PORTION,227,112,77
LOS ANGELES,9000558B,3319,109,N,1396,TOTAL,312,165,97
LOS ANGELES,9000567A,3324,109,N,1296,POLLING PLACE,214,129,54
LOS ANGELES,9000567A,3324,109,N,0,VBM PORTION,137,55,59
LOS ANGELES,9000567A,3324,109,N,1296,TOTAL,351,184,113
LOS ANGELES,9000627A,6184,114,Y,41,POLLING PLACE,0,0,0
LOS ANGELES,9000627A,6184,114,Y,0,VBM PORTION,2,1,1
LOS ANGELES,9000627A,6184,114,Y,41,TOTAL,2,1,1
LOS ANGELES,9000650C,3369,116,N,1345,POLLING PLACE,84,57,12
LOS ANGELES,9000650C,3369,116,N,0,VBM PORTION,91,54,24
LOS ANGELES,9000650C,3369,116,N,1345,TOTAL,175,111,36
LOS ANGELES,9000908A,3470,116,N,1051,POLLING PLACE,85,58,8
LOS ANGELES,9000908A,3470,116,N,0,VBM PORTION,86,68,7
LOS ANGELES,9000908A,3470,116,N,1051,TOTAL,171,126,15
LOS ANGELES,9000944A,3483,116,N,1255,POLLING PLACE,118,74,35
LOS ANGELES,9000944A,3483,116,N,0,VBM PORTION,73,53,17
LOS ANGELES,9000944A,3483,116,N,1255,TOTAL,191,127,52
LOS ANGELES,9000945B,3484,116,N,1081,POLLING PLACE,87,60,8
LOS ANGELES,9000945B,3484,116,N,0,VBM PORTION,61,52,1
LOS ANGELES,9000945B,3484,116,N,1081,TOTAL,148,112,9
LOS ANGELES,9000948A,3487,116,N,1111,POLLING PLACE,199,159,16
LOS ANGELES,9000948A,3487,116,N,0,VBM PORTION,132,106,13
LOS ANGELES,9000948A,3487,116,N,1111,TOTAL,331,265,29
LOS ANGELES,9001111A,3569,116,N,1174,POLLING PLACE,84,55,18
LOS ANGELES,9001111A,3569,116,N,0,VBM PORTION,71,53,13
LOS ANGELES,9001111A,3569,116,N,1174,TOTAL,155,108,31
LOS ANGELES,9001137C,3581,114,N,592,POLLING PLACE,53,31,10
LOS ANGELES,9001137C,3581,114,N,0,VBM PORTION,51,30,13
LOS ANGELES,9001137C,3581,114,N,592,TOTAL,104,61,23
LOS ANGELES,9001165A,3588,114,N,1000,POLLING PLACE,118,74,30
LOS ANGELES,9001165A,3588,114,N,0,VBM PORTION,109,60,34
LOS ANGELES,9001165A,3588,114,N,1000,TOTAL,227,134,64
LOS ANGELES,9001175A,3592,116,N,1323,POLLING PLACE,131,81,41
LOS ANGELES,9001175A,3592,116,N,0,VBM PORTION,163,100,46
LOS ANGELES,9001175A,3592,116,N,1323,TOTAL,294,181,87
LOS ANGELES,9001220C,3613,109,N,1060,POLLING PLACE,101,60,28
LOS ANGELES,9001220C,3613,109,N,0,VBM PORTION,128,83,25
LOS ANGELES,9001220C,3613,109,N,1060,TOTAL,229,143,53
LOS ANGELES,9001249A,3623,112,N,991,POLLING PLACE,104,64,23
LOS ANGELES,9001249A,3623,112,N,0,VBM PORTION,118,74,25
LOS ANGELES,9001249A,3623,112,N,991,TOTAL,222,138,48
LOS ANGELES,9001250A,3624,112,N,1216,POLLING PLACE,85,56,21
LOS ANGELES,9001250A,3624,112,N,0,VBM PORTION,95,52,24
LOS ANGELES,9001250A,3624,112,N,1216,TOTAL,180,108,45
LOS ANGELES,9001253A,3625,112,N,1276,POLLING PLACE,115,66,35
LOS ANGELES,9001253A,3625,112,N,0,VBM PORTION,169,110,37
LOS ANGELES,9001253A,3625,112,N,1276,TOTAL,284,176,72
LOS ANGELES,9001256A,3626,112,N,1230,POLLING PLACE,94,50,26
LOS ANGELES,9001256A,3626,112,N,0,VBM PORTION,202,88,74
LOS ANGELES,9001256A,3626,112,N,1230,TOTAL,296,138,100
LOS ANGELES,9001256B,3627,113,N,348,POLLING PLACE,47,29,11
LOS ANGELES,9001256B,3627,113,N,0,VBM PORTION,30,13,11
LOS ANGELES,9001256B,3627,113,N,348,TOTAL,77,42,22
LOS ANGELES,9001257B,3628,113,N,1164,POLLING PLACE,112,74,30
LOS ANGELES,9001257B,3628,113,N,0,VBM PORTION,136,87,36
LOS ANGELES,9001257B,3628,113,N,1164,TOTAL,248,161,66
LOS ANGELES,9001262A,3629,108,N,1237,POLLING PLACE,113,47,34
LOS ANGELES,9001262A,3629,108,N,0,VBM PORTION,159,88,50
LOS ANGELES,9001262A,3629,108,N,1237,TOTAL,272,135,84
LOS ANGELES,9001271A,3631,109,N,1313,POLLING PLACE,75,38,19
LOS ANGELES,9001271A,3631,109,N,0,VBM PORTION,98,47,32
LOS ANGELES,9001271A,3631,109,N,1313,TOTAL,173,85,51
LOS ANGELES,9001272A,3632,112,N,1388,POLLING PLACE,107,75,20
LOS ANGELES,9001272A,3632,112,N,0,VBM PORTION,141,87,33
LOS ANGELES,9001272A,3632,112,N,1388,TOTAL,248,162,53
LOS ANGELES,9001274A,3633,109,N,1434,POLLING PLACE,87,46,25
LOS ANGELES,9001274A,3633,109,N,0,VBM PORTION,107,52,30
LOS ANGELES,9001274A,3633,109,N,1434,TOTAL,194,98,55
LOS ANGELES,9001278A,3634,109,N,1091,POLLING PLACE,112,68,23
LOS ANGELES,9001278A,3634,109,N,0,VBM PORTION,146,69,47
LOS ANGELES,9001278A,3634,109,N,1091,TOTAL,258,137,70
LOS ANGELES,9001279A,3635,109,N,1259,POLLING PLACE,116,63,36
LOS ANGELES,9001279A,3635,109,N,0,VBM PORTION,162,96,45
LOS ANGELES,9001279A,3635,109,N,1259,TOTAL,278,159,81
LOS ANGELES,9001281C,3636,109,N,1333,POLLING PLACE,118,87,17
LOS ANGELES,9001281C,3636,109,N,0,VBM PORTION,104,54,30
LOS ANGELES,9001281C,3636,109,N,1333,TOTAL,222,141,47
LOS ANGELES,9001283B,3637,109,N,1456,POLLING PLACE,113,70,23
LOS ANGELES,9001283B,3637,109,N,0,VBM PORTION,157,86,42
LOS ANGELES,9001283B,3637,109,N,1456,TOTAL,270,156,65
LOS ANGELES,9001284A,3638,109,N,1388,POLLING PLACE,120,80,25
LOS ANGELES,9001284A,3638,109,N,0,VBM PORTION,104,61,25
LOS ANGELES,9001284A,3638,109,N,1388,TOTAL,224,141,50
LOS ANGELES,9001290A,3640,116,N,1237,POLLING PLACE,195,135,34
LOS ANGELES,9001290A,3640,116,N,0,VBM PORTION,184,113,45
LOS ANGELES,9001290A,3640,116,N,1237,TOTAL,379,248,79
LOS ANGELES,9001291A,3641,116,N,1309,POLLING PLACE,94,77,12
LOS ANGELES,9001291A,3641,116,N,0,VBM PORTION,62,44,14
LOS ANGELES,9001291A,3641,116,N,1309,TOTAL,156,121,26
LOS ANGELES,9001295A,6186,112,Y,0,POLLING PLACE,0,0,0
LOS ANGELES,9001295A,6186,112,Y,0,VBM PORTION,0,0,0
LOS ANGELES,9001295A,6186,112,Y,0,TOTAL,0,0,0
LOS ANGELES,9001320A,3652,114,N,380,POLLING PLACE,44,31,6
LOS ANGELES,9001320A,3652,114,N,0,VBM PORTION,51,39,7
LOS ANGELES,9001320A,3652,114,N,380,TOTAL,95,70,13
LOS ANGELES,9001329A,3656,108,N,1353,POLLING PLACE,207,110,63
LOS ANGELES,9001329A,3656,108,N,0,VBM PORTION,209,99,68
LOS ANGELES,9001329A,3656,108,N,1353,TOTAL,416,209,131
LOS ANGELES,9001330A,3657,108,N,929,POLLING PLACE,10,4,4
LOS ANGELES,9001330A,3657,108,N,0,VBM PORTION,2,2,0
LOS ANGELES,9001330A,3657,108,N,929,TOTAL,12,6,4
LOS ANGELES,9001331A,3658,108,N,943,POLLING PLACE,116,58,29
LOS ANGELES,9001331A,3658,108,N,0,VBM PORTION,113,64,32
LOS ANGELES,9001331A,3658,108,N,943,TOTAL,229,122,61
LOS ANGELES,9001332A,3659,108,N,1006,POLLING PLACE,163,76,56
LOS ANGELES,9001332A,3659,108,N,0,VBM PORTION,179,74,63
LOS ANGELES,9001332A,3659,108,N,1006,TOTAL,342,150,119
LOS ANGELES,9001334A,3660,108,N,1522,POLLING PLACE,131,60,33
LOS ANGELES,9001334A,3660,108,N,0,VBM PORTION,253,128,70
LOS ANGELES,9001334A,3660,108,N,1522,TOTAL,384,188,103
LOS ANGELES,9001336A,3661,108,N,1055,POLLING PLACE,18,10,3
LOS ANGELES,9001336A,3661,108,N,0,VBM PORTION,12,9,1
LOS ANGELES,9001336A,3661,108,N,1055,TOTAL,30,19,4
LOS ANGELES,9001338A,3662,108,N,1139,POLLING PLACE,33,24,5
LOS ANGELES,9001338A,3662,108,N,0,VBM PORTION,36,27,5
LOS ANGELES,9001338A,3662,108,N,1139,TOTAL,69,51,10
LOS ANGELES,9001341A,3663,108,N,1162,POLLING PLACE,45,25,11
LOS ANGELES,9001341A,3663,108,N,0,VBM PORTION,48,28,9
LOS ANGELES,9001341A,3663,108,N,1162,TOTAL,93,53,20
LOS ANGELES,9001346A,3667,108,N,918,POLLING PLACE,8,2,2
LOS ANGELES,9001346A,3667,108,N,0,VBM PORTION,2,2,0
LOS ANGELES,9001346A,3667,108,N,918,TOTAL,10,4,2
LOS ANGELES,9001381C,3682,117,N,691,POLLING PLACE,49,33,12
LOS ANGELES,9001381C,3682,117,N,0,VBM PORTION,49,35,9
LOS ANGELES,9001381C,3682,117,N,691,TOTAL,98,68,21
LOS ANGELES,9001417A,3694,108,N,1134,POLLING PLACE,38,26,4
LOS ANGELES,9001417A,3694,108,N,0,VBM PORTION,11,8,1
LOS ANGELES,9001417A,3694,108,N,1134,TOTAL,49,34,5
LOS ANGELES,9001452A,3714,112,N,1542,POLLING PLACE,176,106,45
LOS ANGELES,9001452A,3714,112,N,0,VBM PORTION,170,116,28
LOS ANGELES,9001452A,3714,112,N,1542,TOTAL,346,222,73
LOS ANGELES,9001454A,3716,113,N,1115,POLLING PLACE,148,95,35
LOS ANGELES,9001454A,3716,113,N,0,VBM PORTION,156,92,51
LOS ANGELES,9001454A,3716,113,N,1115,TOTAL,304,187,86
LOS ANGELES,9001455A,3717,116,N,837,POLLING PLACE,112,68,36
LOS ANGELES,9001455A,3717,116,N,0,VBM PORTION,91,56,23
LOS ANGELES,9001455A,3717,116,N,837,TOTAL,203,124,59
LOS ANGELES,9001456A,3718,116,N,1346,POLLING PLACE,208,142,47
LOS ANGELES,9001456A,3718,116,N,0,VBM PORTION,171,83,59
LOS ANGELES,9001456A,3718,116,N,1346,TOTAL,379,225,106
LOS ANGELES,9001465C,3722,116,N,1308,POLLING PLACE,130,62,48
LOS ANGELES,9001465C,3722,116,N,0,VBM PORTION,191,87,76
LOS ANGELES,9001465C,3722,116,N,1308,TOTAL,321,149,124
LOS ANGELES,9001470B,3724,116,N,889,POLLING PLACE,66,47,7
LOS ANGELES,9001470B,3724,116,N,0,VBM PORTION,53,33,10
LOS ANGELES,9001470B,3724,116,N,889,TOTAL,119,80,17
LOS ANGELES,9001471A,3725,116,N,1177,POLLING PLACE,158,108,36
LOS ANGELES,9001471A,3725,116,N,0,VBM PORTION,156,103,27
LOS ANGELES,9001471A,3725,116,N,1177,TOTAL,314,211,63
LOS ANGELES,9001472A,3726,116,N,1345,POLLING PLACE,195,108,60
LOS ANGELES,9001472A,3726,116,N,0,VBM PORTION,175,105,51
LOS ANGELES,9001472A,3726,116,N,1345,TOTAL,370,213,111
LOS ANGELES,9001474C,3728,116,N,1046,POLLING PLACE,156,83,45
LOS ANGELES,9001474C,3728,116,N,0,VBM PORTION,154,76,53
LOS ANGELES,9001474C,3728,116,N,1046,TOTAL,310,159,98
LOS ANGELES,9001485A,3732,116,N,1164,POLLING PLACE,69,45,13
LOS ANGELES,9001485A,3732,116,N,0,VBM PORTION,66,46,16
LOS ANGELES,9001485A,3732,116,N,1164,TOTAL,135,91,29
LOS ANGELES,9001490A,3735,116,N,1216,POLLING PLACE,73,56,8
LOS ANGELES,9001490A,3735,116,N,0,VBM PORTION,59,53,4
LOS ANGELES,9001490A,3735,116,N,1216,TOTAL,132,109,12
LOS ANGELES,9001492A,3736,116,N,1095,POLLING PLACE,112,75,18
LOS ANGELES,9001492A,3736,116,N,0,VBM PORTION,87,65,15
LOS ANGELES,9001492A,3736,116,N,1095,TOTAL,199,140,33
LOS ANGELES,9001502A,3738,116,N,781,POLLING PLACE,52,38,9
LOS ANGELES,9001502A,3738,116,N,0,VBM PORTION,53,36,7
LOS ANGELES,9001502A,3738,116,N,781,TOTAL,105,74,16
LOS ANGELES,9001514A,3739,114,N,1176,POLLING PLACE,142,97,34
LOS ANGELES,9001514A,3739,114,N,0,VBM PORTION,116,70,28
LOS ANGELES,9001514A,3739,114,N,1176,TOTAL,258,167,62
LOS ANGELES,9001516A,3740,114,N,1238,POLLING PLACE,170,101,53
LOS ANGELES,9001516A,3740,114,N,0,VBM PORTION,165,82,55
LOS ANGELES,9001516A,3740,114,N,1238,TOTAL,335,183,108
LOS ANGELES,9001522A,3741,116,N,1098,POLLING PLACE,106,73,24
LOS ANGELES,9001522A,3741,116,N,0,VBM PORTION,110,63,39
LOS ANGELES,9001522A,3741,116,N,1098,TOTAL,216,136,63
LOS ANGELES,9001525A,3742,116,N,1280,POLLING PLACE,119,63,37
LOS ANGELES,9001525A,3742,116,N,0,VBM PORTION,170,108,43
LOS ANGELES,9001525A,3742,116,N,1280,TOTAL,289,171,80
LOS ANGELES,9001528C,3743,114,N,1491,POLLING PLACE,154,97,31
LOS ANGELES,9001528C,3743,114,N,0,VBM PORTION,163,88,51
LOS ANGELES,9001528C,3743,114,N,1491,TOTAL,317,185,82
LOS ANGELES,9001532A,3744,116,N,1058,POLLING PLACE,69,43,18
LOS ANGELES,9001532A,3744,116,N,0,VBM PORTION,114,75,26
LOS ANGELES,9001532A,3744,116,N,1058,TOTAL,183,118,44
LOS ANGELES,9001533A,3745,116,N,748,POLLING PLACE,54,42,9
LOS ANGELES,9001533A,3745,116,N,0,VBM PORTION,62,51,3
LOS ANGELES,9001533A,3745,116,N,748,TOTAL,116,93,12
LOS ANGELES,9001535A,3746,116,N,1063,POLLING PLACE,62,45,11
LOS ANGELES,9001535A,3746,116,N,0,VBM PORTION,53,37,7
LOS ANGELES,9001535A,3746,116,N,1063,TOTAL,115,82,18
LOS ANGELES,9001557B,3757,114,N,1191,POLLING PLACE,173,99,48
LOS ANGELES,9001557B,3757,114,N,0,VBM PORTION,191,113,55
LOS ANGELES,9001557B,3757,114,N,1191,TOTAL,364,212,103
LOS ANGELES,9001560A,3760,114,N,838,POLLING PLACE,134,83,39
LOS ANGELES,9001560A,3760,114,N,0,VBM PORTION,123,68,39
LOS ANGELES,9001560A,3760,114,N,838,TOTAL,257,151,78
LOS ANGELES,9001562A,3761,114,N,1139,POLLING PLACE,206,120,68
LOS ANGELES,9001562A,3761,114,N,0,VBM PORTION,139,79,38
LOS ANGELES,9001562A,3761,114,N,1139,TOTAL,345,199,106
LOS ANGELES,9001564A,3763,114,N,1021,POLLING PLACE,172,103,52
LOS ANGELES,9001564A,3763,114,N,0,VBM PORTION,133,78,37
LOS ANGELES,9001564A,3763,114,N,1021,TOTAL,305,181,89
LOS ANGELES,9001565A,3764,114,N,1357,POLLING PLACE,152,104,40
LOS ANGELES,9001565A,3764,114,N,0,VBM PORTION,126,81,30
LOS ANGELES,9001565A,3764,114,N,1357,TOTAL,278,185,70
LOS ANGELES,9001566A,3765,114,N,1348,POLLING PLACE,173,114,45
LOS ANGELES,9001566A,3765,114,N,0,VBM PORTION,115,68,27
LOS ANGELES,9001566A,3765,114,N,1348,TOTAL,288,182,72
LOS ANGELES,9001569A,3766,114,N,835,POLLING PLACE,123,71,36
LOS ANGELES,9001569A,3766,114,N,0,VBM PORTION,80,43,22
LOS ANGELES,9001569A,3766,114,N,835,TOTAL,203,114,58
LOS ANGELES,9001570A,3767,114,N,812,POLLING PLACE,71,51,14
LOS ANGELES,9001570A,3767,114,N,0,VBM PORTION,101,52,36
LOS ANGELES,9001570A,3767,114,N,812,TOTAL,172,103,50
LOS ANGELES,9001617A,3788,116,N,839,POLLING PLACE,50,42,6
LOS ANGELES,9001617A,3788,116,N,0,VBM PORTION,41,32,2
LOS ANGELES,9001617A,3788,116,N,839,TOTAL,91,74,8
LOS ANGELES,9001716A,3822,116,N,1269,POLLING PLACE,89,76,7
LOS ANGELES,9001716A,3822,116,N,0,VBM PORTION,65,46,11
