DOY,MO,N DY,TMAX,#YRS,TMIN,#YRS,PRECIP,#YRS,SD MAX,SD MIN
179,6,27,81.2,30,63.4,30,0.001,30,6.008,3.033
180,6,28,81.4,30,63.6,30,0.001,30,6.058,3.07
181,6,29,81.6,30,63.7,30,0.001,30,6.01,3.103
182,6,30,81.8,30,63.8,30,0.001,30,5.96,3.105
183,7,1,82,30,64,30,0,30,5.862,3.116
184,7,2,82.2,30,64.1,30,0,30,5.832,3.105
185,7,3,82.3,30,64.2,30,0,30,5.825,3.132
186,7,4,82.5,30,64.3,30,0,30,5.801,3.164
187,7,5,82.6,30,64.4,30,0,30,5.758,3.183
188,7,6,82.8,30,64.5,30,0,30,5.725,3.193
189,7,7,83,30,64.7,30,0,30,5.714,3.223
190,7,8,83.1,30,64.8,30,0,30,5.709,3.252
191,7,9,83.2,30,64.9,30,0.001,30,5.664,3.263
192,7,10,83.2,30,65,30,0.001,30,5.62,3.251
193,7,11,83.2,30,65,30,0.001,30,5.48,3.227
194,7,12,83.3,30,65.1,30,0.001,30,5.394,3.211
195,7,13,83.3,30,65.2,30,0.001,30,5.382,3.223
196,7,14,83.4,30,65.2,30,0.001,30,5.354,3.254
197,7,15,83.4,30,65.3,30,0.001,30,5.288,3.25
198,7,16,83.5,30,65.3,30,0.001,30,5.185,3.224
199,7,17,83.5,30,65.3,30,0.001,30,5.105,3.197
200,7,18,83.5,30,65.4,30,0.001,30,5.013,3.162
201,7,19,83.6,30,65.4,30,0.001,30,4.979,3.143
202,7,20,83.6,30,65.4,30,0.001,30,4.976,3.125
203,7,21,83.7,30,65.4,30,0.001,30,4.953,3.125
204,7,22,83.8,30,65.5,30,0.001,30,4.964,3.117
205,7,23,83.9,30,65.5,30,0,30,5.007,3.114
206,7,24,83.9,30,65.6,30,0,30,4.972,3.114
207,7,25,84,30,65.5,30,0,30,4.932,3.107
208,7,26,84,30,65.5,30,0,30,4.931,3.117
209,7,27,84,30,65.5,30,0,30,4.902,3.136
210,7,28,84,30,65.6,30,0,30,4.924,3.141
211,7,29,84,30,65.6,30,0,30,4.966,3.16
212,7,30,84,30,65.6,30,0,30,5.027,3.192
213,7,31,84,30,65.6,30,0,30,5.067,3.231
214,8,1,84,30,65.6,30,0.001,30,5.083,3.264
215,8,2,84,30,65.6,30,0.001,30,5.101,3.304
216,8,3,84,30,65.6,30,0.001,30,5.143,3.338
217,8,4,84,30,65.7,30,0.001,30,5.17,3.347
218,8,5,84,30,65.6,30,0.002,30,5.188,3.359
219,8,6,84,30,65.6,30,0.001,30,5.18,3.354
220,8,7,84,30,65.6,30,0.001,30,5.209,3.365
221,8,8,84.1,30,65.6,30,0.001,30,5.212,3.365
222,8,9,84.1,30,65.6,30,0.001,30,5.264,3.374
223,8,10,84.1,30,65.6,30,0.001,30,5.239,3.383
224,8,11,84.2,30,65.6,30,0.001,30,5.273,3.375
225,8,12,84.3,30,65.6,30,0.001,30,5.266,3.374
226,8,13,84.5,30,65.6,30,0.001,30,5.32,3.391
227,8,14,84.6,30,65.7,30,0.001,30,5.394,3.386
228,8,15,84.7,30,65.7,30,0.002,30,5.538,3.414
229,8,16,84.7,30,65.8,30,0.002,30,5.632,3.464
230,8,17,84.8,30,65.8,30,0.002,30,5.665,3.507
231,8,18,84.9,30,65.9,30,0.002,30,5.744,3.57
232,8,19,85.1,30,66,30,0.002,30,5.876,3.637
233,8,20,85.1,30,66,30,0.002,30,5.976,3.698
234,8,21,85.2,30,66,30,0.002,30,6.017,3.752
235,8,22,85.3,30,66.1,30,0.002,30,6.142,3.811
236,8,23,85.4,30,66.1,30,0.002,30,6.194,3.861
237,8,24,85.4,30,66.2,30,0.002,30,6.229,3.871
238,8,25,85.4,30,66.1,30,0.002,30,6.314,3.872
239,8,26,85.3,30,66.1,30,0.002,30,6.371,3.889
240,8,27,85.3,30,66.1,30,0.002,30,6.388,3.906
241,8,28,85.1,30,66,30,0.002,30,6.404,3.902
242,8,29,85.1,30,65.9,30,0.002,30,6.398,3.896
243,8,30,85,30,65.9,30,0.002,30,6.387,3.879
244,8,31,84.9,30,65.8,30,0.002,30,6.411,3.857
245,9,1,84.8,30,65.7,30,0.002,30,6.434,3.853
246,9,2,84.8,30,65.7,30,0.001,30,6.448,3.867
247,9,3,84.7,30,65.6,30,0.001,30,6.487,3.897
248,9,4,84.7,30,65.6,30,0.001,30,6.554,3.928
249,9,5,84.6,30,65.6,30,0.001,30,6.596,3.967
250,9,6,84.5,30,65.5,30,0.002,30,6.635,4.005
251,9,7,84.4,30,65.4,30,0.002,30,6.665,4.03
252,9,8,84.4,30,65.3,30,0.003,30,6.764,4.043
253,9,9,84.3,30,65.3,30,0.003,30,6.853,4.099
254,9,10,84.2,30,65.2,30,0.005,30,6.979,4.139
255,9,11,84,30,65.1,30,0.006,30,7.005,4.137
256,9,12,83.9,30,65,30,0.006,30,7.079,4.174
257,9,13,83.7,30,65,30,0.006,30,7.102,4.203
258,9,14,83.6,30,64.9,30,0.006,30,7.16,4.24
259,9,15,83.5,30,64.8,30,0.006,30,7.255,4.232
260,9,16,83.4,30,64.7,30,0.008,29,7.305,4.201
261,9,17,83.1,30,64.6,30,0.009,30,7.355,4.184
262,9,18,82.9,30,64.4,30,0.01,30,7.377,4.169
263,9,19,82.7,30,64.3,30,0.01,30,7.394,4.145
264,9,20,82.4,30,64.1,30,0.01,30,7.397,4.142
265,9,21,82.2,30,63.9,30,0.01,30,7.458,4.129
266,9,22,82,30,63.8,30,0.011,30,7.487,4.099
267,9,23,81.9,30,63.7,30,0.011,30,7.479,4.067
268,9,24,81.9,30,63.5,30,0.011,30,7.511,4.022
269,9,25,81.8,30,63.4,30,0.011,30,7.581,3.994
270,9,26,81.8,30,63.4,30,0.01,30,7.638,3.999
271,9,27,81.7,30,63.3,30,0.011,30,7.656,3.984
272,9,28,81.6,30,63.1,30,0.011,30,7.671,3.999
273,9,29,81.5,30,63,30,0.013,30,7.702,3.99
274,9,30,81.4,30,62.9,30,0.015,30,7.725,3.954
275,10,1,81.3,30,62.8,30,0.015,30,7.77,3.93
276,10,2,81.1,30,62.6,30,0.015,30,7.812,3.885
277,10,3,81,30,62.5,30,0.017,30,7.81,3.857
278,10,4,80.9,30,62.4,30,0.017,30,7.825,3.823
279,10,5,80.8,30,62.3,30,0.017,30,7.899,3.815
280,10,6,80.7,30,62.2,30,0.019,30,7.943,3.781
281,10,7,80.5,30,62,30,0.019,30,7.947,3.759
282,10,8,80.3,30,61.9,30,0.02,30,7.952,3.711
283,10,9,80.2,30,61.8,30,0.018,30,7.951,3.68
284,10,10,80.1,30,61.6,30,0.017,30,7.961,3.669
285,10,11,79.9,30,61.5,30,0.017,30,7.949,3.638
286,10,12,79.8,30,61.3,30,0.019,30,7.953,3.625
287,10,13,79.6,30,61.1,30,0.02,30,7.935,3.591
288,10,14,79.4,30,60.9,30,0.019,30,7.893,3.606
289,10,15,79.1,30,60.7,30,0.018,30,7.788,3.619
290,10,16,78.8,30,60.4,30,0.019,30,7.701,3.626
291,10,17,78.6,30,60.2,30,0.021,30,7.68,3.636
292,10,18,78.5,30,60,30,0.022,30,7.663,3.635
293,10,19,78.5,30,59.8,30,0.021,30,7.67,3.616
294,10,20,78.4,30,59.7,30,0.021,30,7.7,3.645
295,10,21,78.3,30,59.5,30,0.022,30,7.716,3.696
296,10,22,78.1,30,59.3,30,0.022,30,7.719,3.74
297,10,23,77.8,30,59.1,30,0.022,30,7.664,3.778
298,10,24,77.5,30,58.9,30,0.022,30,7.602,3.79
299,10,25,77.3,30,58.7,30,0.026,30,7.564,3.751
300,10,26,77.1,30,58.5,30,0.028,30,7.592,3.74
301,10,27,76.9,30,58.3,30,0.029,30,7.695,3.737
302,10,28,76.7,30,58.1,30,0.028,30,7.743,3.784
303,10,29,76.5,30,57.9,30,0.029,30,7.76,3.858
304,10,30,76.4,30,57.7,30,0.03,30,7.741,3.917
305,10,31,76.2,30,57.4,30,0.03,30,7.698,3.957
306,11,1,76.1,30,57.2,30,0.028,30,7.723,3.98
307,11,2,75.9,30,56.9,30,0.028,30,7.717,4.007
308,11,3,75.7,30,56.7,30,0.028,30,7.66,4.01
309,11,4,75.6,30,56.5,30,0.027,30,7.672,4.055
310,11,5,75.5,30,56.3,30,0.026,30,7.688,4.105
311,11,6,75.3,30,56,30,0.026,30,7.648,4.15
312,11,7,74.9,30,55.8,30,0.027,30,7.611,4.166
313,11,8,74.7,30,55.5,30,0.027,30,7.599,4.222
314,11,9,74.4,30,55.2,30,0.027,30,7.558,4.261
315,11,10,74.2,30,55,30,0.029,30,7.517,4.248
316,11,11,73.9,30,54.8,30,0.03,30,7.455,4.257
317,11,12,73.8,30,54.5,30,0.032,30,7.43,4.259
318,11,13,73.6,30,54.3,30,0.033,30,7.419,4.266
319,11,14,73.4,30,54,30,0.033,30,7.408,4.25
320,11,15,73.2,30,53.8,30,0.032,30,7.372,4.232
321,11,16,73,30,53.5,30,0.035,30,7.317,4.242
322,11,17,72.7,30,53.3,30,0.036,30,7.233,4.222
323,11,18,72.4,30,53.1,30,0.036,30,7.197,4.214
324,11,19,72.2,30,52.9,30,0.036,30,7.166,4.192
325,11,20,72.1,30,52.7,30,0.037,30,7.166,4.203
326,11,21,72,30,52.6,30,0.038,30,7.193,4.203
327,11,22,71.8,30,52.4,30,0.04,30,7.211,4.223
328,11,23,71.7,30,52.2,30,0.042,30,7.239,4.272
329,11,24,71.6,30,52,30,0.041,30,7.22,4.318
330,11,25,71.4,30,51.8,30,0.042,30,7.068,4.303
331,11,26,71.2,30,51.7,30,0.043,30,6.988,4.276
332,11,27,71,30,51.6,30,0.044,30,6.937,4.239
333,11,28,70.8,30,51.4,30,0.044,30,6.899,4.243
334,11,29,70.6,30,51.3,30,0.044,30,6.855,4.221
335,11,30,70.3,30,51.1,30,0.045,30,6.832,4.208
336,12,1,70.1,30,50.9,30,0.049,30,6.847,4.212
337,12,2,70,30,50.7,30,0.051,30,6.913,4.227
338,12,3,69.9,30,50.6,30,0.052,30,6.94,4.218
339,12,4,69.6,30,50.5,30,0.056,30,6.911,4.221
340,12,5,69.4,30,50.3,30,0.061,30,6.908,4.222
341,12,6,69.3,30,50.2,30,0.063,30,6.891,4.249
342,12,7,69.1,30,50.1,30,0.065,30,6.91,4.24
343,12,8,68.9,30,49.9,30,0.069,30,6.892,4.271
344,12,9,68.8,30,49.8,30,0.066,30,6.882,4.347
345,12,10,68.7,30,49.6,30,0.068,30,6.949,4.373
346,12,11,68.6,30,49.5,30,0.068,30,6.976,4.389
347,12,12,68.5,30,49.4,30,0.067,30,7.009,4.44
348,12,13,68.4,30,49.3,30,0.069,30,6.977,4.493
349,12,14,68.2,30,49.2,30,0.074,30,6.954,4.501
350,12,15,68.1,30,49.2,30,0.076,30,7.003,4.494
351,12,16,68,30,49.2,30,0.077,30,7.044,4.564
352,12,17,67.9,30,49.1,30,0.079,30,7.018,4.6
353,12,18,67.8,30,49,30,0.08,30,6.991,4.646
354,12,19,67.7,30,49,30,0.084,30,7.033,4.659
355,12,20,67.6,30,48.9,30,0.085,30,7.041,4.693
356,12,21,67.6,30,48.9,30,0.09,30,7.062,4.714
357,12,22,67.5,30,48.9,30,0.088,30,7.043,4.726
358,12,23,67.4,30,48.8,30,0.091,30,7.046,4.741
359,12,24,67.4,30,48.8,30,0.094,30,7.16,4.776
360,12,25,67.4,30,48.7,30,0.094,30,7.217,4.822
361,12,26,67.5,30,48.7,30,0.098,29,7.274,4.842
362,12,27,67.6,30,48.7,30,0.104,30,7.348,4.816
363,12,28,67.7,30,48.8,30,0.106,30,7.461,4.834
364,12,29,67.8,30,48.9,30,0.108,30,7.531,4.857
365,12,30,67.9,30,48.9,30,0.107,30,7.566,4.894
366,12,31,67.9,30,48.9,30,0.105,30,7.578,4.945
