LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,BETTY T YEE,LAURA WELLS,TAMMY D BLAIR,JOHN A PEREZ,DAVID EVANS,ASHLEY SWEARENGIN
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,7472,1689,992,10250,3925,6740
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,2346,639,487,4372,2306,3770
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,2464,644,553,3137,2253,3632
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,4810,1283,1040,7509,4559,7402
49TH STATE ASSEMBLY,N,203626,POLLING PLACE,15560,3542,605,402,4026,1956,3389
49TH STATE ASSEMBLY,N,0,VBM PORTION,17066,4624,590,465,3177,2310,3878
49TH STATE ASSEMBLY,N,203626,TOTAL,32620,8166,1195,867,7203,4266,7267
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,8640,2402,1403,8707,2626,6609
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,6966,1904,1283,7244,3226,6952
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,15606,4306,2686,15951,5852,13561
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,3231,942,740,6835,947,1547
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,2395,722,574,3963,1026,1300
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,5626,1664,1314,10798,1973,2847
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,700,132,112,1230,427,507
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,649,141,197,964,530,626
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,1349,273,309,2194,957,1133
53RD STATE ASSEMBLY,N,147381,POLLING PLACE,11344,2305,547,409,4612,696,826
53RD STATE ASSEMBLY,N,0,VBM PORTION,9033,2483,455,347,2642,855,820
53RD STATE ASSEMBLY,N,147381,TOTAL,20371,4788,1002,756,7254,1551,1646
54TH STATE ASSEMBLY,N,272365,POLLING PLACE,26660,8744,1252,1028,6432,1317,3430
54TH STATE ASSEMBLY,N,0,VBM PORTION,24484,7494,1101,1226,5656,1556,3417
54TH STATE ASSEMBLY,N,272365,TOTAL,51129,16238,2353,2254,12088,2873,6847
55TH STATE ASSEMBLY,N,87062,POLLING PLACE,6296,1097,205,237,1400,1140,1495
55TH STATE ASSEMBLY,N,0,VBM PORTION,8041,1862,280,272,1285,1609,1855
55TH STATE ASSEMBLY,N,87062,TOTAL,14333,2959,485,509,2685,2749,3350
57TH STATE ASSEMBLY,N,231921,POLLING PLACE,17671,2333,635,679,5331,2873,3817
57TH STATE ASSEMBLY,N,0,VBM PORTION,16417,2592,640,796,3831,2827,3996
57TH STATE ASSEMBLY,N,231921,TOTAL,34078,4925,1275,1475,9162,5700,7813
58TH STATE ASSEMBLY,N,223386,POLLING PLACE,17159,2743,601,464,5649,2531,2925
58TH STATE ASSEMBLY,N,0,VBM PORTION,13873,2625,567,519,3649,2266,2595
58TH STATE ASSEMBLY,N,223386,TOTAL,31023,5368,1168,983,9298,4797,5520
59TH STATE ASSEMBLY,N,166403,POLLING PLACE,9751,2468,361,534,3625,414,319
59TH STATE ASSEMBLY,N,0,VBM PORTION,5862,1785,201,541,1859,253,235
59TH STATE ASSEMBLY,N,166403,TOTAL,15607,4253,562,1075,5484,667,554
62ND STATE ASSEMBLY,N,244226,POLLING PLACE,24035,5397,1389,1599,6537,1797,3274
62ND STATE ASSEMBLY,N,0,VBM PORTION,18070,3876,1131,1557,4056,1822,2903
62ND STATE ASSEMBLY,N,244226,TOTAL,42082,9273,2520,3156,10593,3619,6177
63RD STATE ASSEMBLY,N,189220,POLLING PLACE,11886,1762,533,855,3929,1450,1811
63RD STATE ASSEMBLY,N,0,VBM PORTION,9458,1504,500,873,2420,1465,1598
63RD STATE ASSEMBLY,N,189220,TOTAL,21337,3266,1033,1728,6349,2915,3409
64TH STATE ASSEMBLY,N,214026,POLLING PLACE,15392,3426,526,1046,5876,877,902
64TH STATE ASSEMBLY,N,0,VBM PORTION,10750,2609,393,1157,3461,813,854
64TH STATE ASSEMBLY,N,214026,TOTAL,26141,6035,919,2203,9337,1690,1756
66TH STATE ASSEMBLY,N,275451,POLLING PLACE,33505,5940,1315,702,5201,4222,11895
66TH STATE ASSEMBLY,N,0,VBM PORTION,35238,6399,1500,983,4903,5509,11290
66TH STATE ASSEMBLY,N,275451,TOTAL,68731,12339,2815,1685,10104,9731,23185
70TH STATE ASSEMBLY,N,263185,POLLING PLACE,29154,5447,1526,829,7809,4204,5250
70TH STATE ASSEMBLY,N,0,VBM PORTION,28904,5341,1526,987,6141,4758,6147
70TH STATE ASSEMBLY,N,263185,TOTAL,58054,10788,3052,1816,13950,8962,11397
