LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ALAN REYNOLDS,GEORGE YANG,ERIC KOREVAAR,DAVID FENNELL,AMOS JOHNSON,GAVIN NEWSOM,RON NEHRING,JENA F GOODMAN
46TH STATE ASSEMBLY,N,0,VBM PORTION,17354,156,672,690,655,141,10415,2842,334
46TH STATE ASSEMBLY,N,216288,TOTAL,35529,337,1411,1454,1345,284,21557,5572,790
48TH STATE ASSEMBLY,N,214706,POLLING PLACE,15698,316,1278,1237,1093,155,6193,3529,453
48TH STATE ASSEMBLY,N,0,VBM PORTION,14165,245,1137,966,918,123,5973,3316,297
48TH STATE ASSEMBLY,N,214706,TOTAL,29858,561,2415,2203,2011,278,12166,6845,750
49TH STATE ASSEMBLY,N,203626,POLLING PLACE,15560,292,1841,827,897,147,6771,3001,314
49TH STATE ASSEMBLY,N,0,VBM PORTION,17066,247,2241,781,953,121,7356,3301,242
49TH STATE ASSEMBLY,N,203626,TOTAL,32620,539,4082,1608,1850,268,14127,6302,556
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,203,1487,1543,1499,278,22640,3542,987
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,227,1628,1164,1649,191,19896,4244,582
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,430,3115,2707,3148,469,42536,7786,1569
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,272,470,1461,672,282,9523,1024,662
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,128,449,786,495,133,6959,941,372
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,400,919,2247,1167,415,16482,1965,1034
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,59,192,248,269,40,1758,514,105
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,30,248,195,256,37,1759,555,67
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,89,440,443,525,77,3517,1069,172
53RD STATE ASSEMBLY,N,147381,POLLING PLACE,11344,206,546,993,309,287,5934,665,443
53RD STATE ASSEMBLY,N,0,VBM PORTION,9033,132,713,654,258,167,4938,704,214
53RD STATE ASSEMBLY,N,147381,TOTAL,20371,338,1259,1647,567,454,10872,1369,657
54TH STATE ASSEMBLY,N,272365,POLLING PLACE,26660,199,696,1069,586,310,18809,1953,603
54TH STATE ASSEMBLY,N,0,VBM PORTION,24484,115,729,973,601,209,16731,2184,407
54TH STATE ASSEMBLY,N,272365,TOTAL,51129,314,1425,2042,1187,519,35540,4137,1010
55TH STATE ASSEMBLY,N,87062,POLLING PLACE,6296,64,621,357,485,51,2471,1518,101
55TH STATE ASSEMBLY,N,0,VBM PORTION,8041,99,1094,386,548,57,3170,1820,89
55TH STATE ASSEMBLY,N,87062,TOTAL,14333,163,1715,743,1033,108,5641,3338,190
57TH STATE ASSEMBLY,N,231921,POLLING PLACE,17671,370,1455,1192,1001,214,7254,4230,380
57TH STATE ASSEMBLY,N,0,VBM PORTION,16417,274,1482,893,933,144,6836,4211,250
57TH STATE ASSEMBLY,N,231921,TOTAL,34078,644,2937,2085,1934,358,14090,8441,630
58TH STATE ASSEMBLY,N,223386,POLLING PLACE,17159,331,1387,1486,968,215,7365,3098,408
58TH STATE ASSEMBLY,N,0,VBM PORTION,13873,234,1210,960,684,151,6306,2673,239
58TH STATE ASSEMBLY,N,223386,TOTAL,31023,565,2597,2446,1652,366,13671,5771,647
59TH STATE ASSEMBLY,N,166403,POLLING PLACE,9751,179,150,1073,244,255,5998,271,266
59TH STATE ASSEMBLY,N,0,VBM PORTION,5862,69,84,581,124,112,3836,191,128
59TH STATE ASSEMBLY,N,166403,TOTAL,15607,248,234,1654,368,367,9834,462,394
62ND STATE ASSEMBLY,N,244226,POLLING PLACE,24035,229,825,993,729,238,15664,2799,534
62ND STATE ASSEMBLY,N,0,VBM PORTION,18070,158,722,765,579,164,11121,2620,336
62ND STATE ASSEMBLY,N,244226,TOTAL,42082,387,1547,1758,1308,402,26785,5419,870
63RD STATE ASSEMBLY,N,189220,POLLING PLACE,11886,222,638,1384,540,181,4968,2197,399
63RD STATE ASSEMBLY,N,0,VBM PORTION,9458,150,460,875,442,123,4304,2001,231
63RD STATE ASSEMBLY,N,189220,TOTAL,21337,372,1098,2259,982,304,9272,4198,630
64TH STATE ASSEMBLY,N,214026,POLLING PLACE,15392,271,536,1248,368,232,9589,907,458
64TH STATE ASSEMBLY,N,0,VBM PORTION,10750,152,432,765,252,155,7113,733,202
64TH STATE ASSEMBLY,N,214026,TOTAL,26141,423,968,2013,620,387,16702,1640,660
66TH STATE ASSEMBLY,N,275451,POLLING PLACE,33505,334,3861,1397,2579,236,13460,7812,616
66TH STATE ASSEMBLY,N,0,VBM PORTION,35238,398,3469,1361,2632,216,14588,8512,572
66TH STATE ASSEMBLY,N,275451,TOTAL,68731,732,7330,2758,5211,452,28048,16324,1188
70TH STATE ASSEMBLY,N,263185,POLLING PLACE,29154,366,1467,1464,1596,358,15178,5038,766
70TH STATE ASSEMBLY,N,0,VBM PORTION,28904,316,1350,1293,1555,288,14946,6147,539
70TH STATE ASSEMBLY,N,263185,TOTAL,58054,682,2817,2757,3151,646,30124,11185,1305
