LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,PHIL WYMAN,DAVID KING,ORLY TAITZ,KAMALA D HARRIS,JOHN HAGGERTY,JONATHAN JAECH,RONALD GOLD
49TH STATE ASSEMBLY,N,203626,TOTAL,32620,1929,3148,955,15249,1699,417,4395
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,2515,1312,760,23460,785,569,1767
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,2506,1948,711,19892,879,507,2033
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,5021,3260,1471,43352,1664,1076,3800
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,447,567,441,10821,477,321,793
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,381,484,291,7579,351,196,648
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,828,1051,732,18400,828,517,1441
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,193,155,93,1977,271,76,337
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,198,233,102,1854,207,64,400
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,391,388,195,3831,478,140,737
53RD STATE ASSEMBLY,N,147381,POLLING PLACE,11344,274,362,335,6598,444,328,588
53RD STATE ASSEMBLY,N,0,VBM PORTION,9033,262,325,285,5340,388,188,580
53RD STATE ASSEMBLY,N,147381,TOTAL,20371,536,687,620,11938,832,516,1168
54TH STATE ASSEMBLY,N,272365,POLLING PLACE,26660,618,616,545,19379,725,409,1201
54TH STATE ASSEMBLY,N,0,VBM PORTION,24484,689,796,424,17361,719,342,1208
54TH STATE ASSEMBLY,N,272365,TOTAL,51129,1307,1412,969,36740,1444,751,2409
55TH STATE ASSEMBLY,N,87062,POLLING PLACE,6296,734,477,152,2712,464,86,885
55TH STATE ASSEMBLY,N,0,VBM PORTION,8041,710,790,233,3313,558,117,1227
55TH STATE ASSEMBLY,N,87062,TOTAL,14333,1444,1267,385,6025,1022,203,2112
57TH STATE ASSEMBLY,N,231921,POLLING PLACE,17671,1811,1303,460,8233,1300,286,2075
57TH STATE ASSEMBLY,N,0,VBM PORTION,16417,1452,1796,501,7284,963,244,2054
57TH STATE ASSEMBLY,N,231921,TOTAL,34078,3263,3099,961,15517,2263,530,4129
58TH STATE ASSEMBLY,N,223386,POLLING PLACE,17159,1195,1326,476,8508,1053,313,1848
58TH STATE ASSEMBLY,N,0,VBM PORTION,13873,966,1190,419,6890,842,219,1478
58TH STATE ASSEMBLY,N,223386,TOTAL,31023,2161,2516,895,15398,1895,532,3326
59TH STATE ASSEMBLY,N,166403,POLLING PLACE,9751,103,230,171,6835,231,183,275
59TH STATE ASSEMBLY,N,0,VBM PORTION,5862,53,92,113,4387,121,108,135
59TH STATE ASSEMBLY,N,166403,TOTAL,15607,156,322,284,11222,352,291,410
62ND STATE ASSEMBLY,N,244226,POLLING PLACE,24035,1343,779,494,15553,647,475,1561
62ND STATE ASSEMBLY,N,0,VBM PORTION,18070,1160,808,393,11322,493,382,1394
62ND STATE ASSEMBLY,N,244226,TOTAL,42082,2503,1587,887,26875,1140,857,2955
63RD STATE ASSEMBLY,N,189220,POLLING PLACE,11886,851,701,384,6156,531,189,1369
63RD STATE ASSEMBLY,N,0,VBM PORTION,9458,551,781,294,5038,414,152,1095
63RD STATE ASSEMBLY,N,189220,TOTAL,21337,1402,1482,678,11194,945,341,2464
64TH STATE ASSEMBLY,N,214026,POLLING PLACE,15392,378,541,333,10863,400,177,544
64TH STATE ASSEMBLY,N,0,VBM PORTION,10750,291,348,221,7817,310,107,495
64TH STATE ASSEMBLY,N,214026,TOTAL,26141,669,889,554,18680,710,284,1039
66TH STATE ASSEMBLY,N,275451,POLLING PLACE,33505,3271,2780,694,14368,3741,662,3630
66TH STATE ASSEMBLY,N,0,VBM PORTION,35238,3276,3522,819,15272,3197,625,3822
66TH STATE ASSEMBLY,N,275451,TOTAL,68731,6547,6302,1513,29640,6938,1287,7452
70TH STATE ASSEMBLY,N,263185,POLLING PLACE,29154,2308,1645,836,15474,1312,545,3048
70TH STATE ASSEMBLY,N,0,VBM PORTION,28904,2237,2288,796,14719,1320,516,3121
70TH STATE ASSEMBLY,N,263185,TOTAL,58054,4545,3933,1632,30193,2632,1061,6169
