LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ELLEN H BROWN,GREG CONLON,JOHN CHIANG
49TH STATE ASSEMBLY,N,203626,POLLING PLACE,15560,874,4457,8583
49TH STATE ASSEMBLY,N,0,VBM PORTION,17066,695,4904,9777
49TH STATE ASSEMBLY,N,203626,TOTAL,32620,1569,9361,18360
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,2387,6221,22361
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,1662,7417,19697
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,4049,13638,42058
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,1569,1650,11018
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,836,1596,7819
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,2405,3246,18837
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,277,871,2024
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,203,970,1969
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,480,1841,3993
53RD STATE ASSEMBLY,N,147381,POLLING PLACE,11344,970,1228,7287
53RD STATE ASSEMBLY,N,0,VBM PORTION,9033,610,1319,5875
53RD STATE ASSEMBLY,N,147381,TOTAL,20371,1580,2547,13162
54TH STATE ASSEMBLY,N,272365,POLLING PLACE,26660,1608,2720,19330
54TH STATE ASSEMBLY,N,0,VBM PORTION,24484,1182,3205,17470
54TH STATE ASSEMBLY,N,272365,TOTAL,51129,2790,5925,36800
55TH STATE ASSEMBLY,N,87062,POLLING PLACE,6296,269,2306,3061
55TH STATE ASSEMBLY,N,0,VBM PORTION,8041,321,2767,4256
55TH STATE ASSEMBLY,N,87062,TOTAL,14333,590,5073,7317
57TH STATE ASSEMBLY,N,231921,POLLING PLACE,17671,995,5918,8926
57TH STATE ASSEMBLY,N,0,VBM PORTION,16417,765,5718,8389
57TH STATE ASSEMBLY,N,231921,TOTAL,34078,1760,11636,17315
58TH STATE ASSEMBLY,N,223386,POLLING PLACE,17159,1080,4795,9244
58TH STATE ASSEMBLY,N,0,VBM PORTION,13873,756,4068,7609
58TH STATE ASSEMBLY,N,223386,TOTAL,31023,1836,8863,16853
59TH STATE ASSEMBLY,N,166403,POLLING PLACE,9751,678,572,7115
59TH STATE ASSEMBLY,N,0,VBM PORTION,5862,322,334,4483
59TH STATE ASSEMBLY,N,166403,TOTAL,15607,1000,906,11598
62ND STATE ASSEMBLY,N,244226,POLLING PLACE,24035,1357,4037,15865
62ND STATE ASSEMBLY,N,0,VBM PORTION,18070,928,3849,11502
62ND STATE ASSEMBLY,N,244226,TOTAL,42082,2285,7886,27367
63RD STATE ASSEMBLY,N,189220,POLLING PLACE,11886,818,2804,6834
63RD STATE ASSEMBLY,N,0,VBM PORTION,9458,547,2540,5521
63RD STATE ASSEMBLY,N,189220,TOTAL,21337,1365,5344,12355
64TH STATE ASSEMBLY,N,214026,POLLING PLACE,15392,1066,1477,10887
64TH STATE ASSEMBLY,N,0,VBM PORTION,10750,587,1267,7869
64TH STATE ASSEMBLY,N,214026,TOTAL,26141,1653,2744,18756
66TH STATE ASSEMBLY,N,275451,POLLING PLACE,33505,1426,12963,15449
66TH STATE ASSEMBLY,N,0,VBM PORTION,35238,1444,13383,16638
66TH STATE ASSEMBLY,N,275451,TOTAL,68731,2870,26346,32087
70TH STATE ASSEMBLY,N,263185,POLLING PLACE,29154,2168,7805,15735
70TH STATE ASSEMBLY,N,0,VBM PORTION,28904,1688,8798,15461
70TH STATE ASSEMBLY,N,263185,TOTAL,58054,3856,16603,31196
