LEAK_ID,RPT_TYPE,RPT_DATE,ADDRESS,MAIN_ST,CROSS_ST,PIPE_SIZE,PIPE_TYPE,YR_INST,PLR_INST,LEAK_TYPE,LEAK_QUANT,ANOD_INST,COAT_TYPE,COAT_COND,SOIL_TYPE,FOREMAN,WSM_NBR,REPAIR_HRS,MAN_HRS,REMARKS,LAT,LON
65046,MAIN,10-May-13,559 ALMOLOYA DRIVE,22' W/E OF ALMOLOYA DRIVE,124 N/N CHAPALA DR.,6,C.I.,1927,45412,,1,,,,,W. KELLY,126-129,11,22,"6"" C.I. MAIN REPAIR",34.03791511,-118.521813
65495,MAIN,10-May-13,559 N HELIOTROPE DR,17' E/W HELIOTROPE DR,30' SS CLINTON ST,8,C.I.,1929,48308,SPLIT,1,,,OK,C,MINGO,140-198,8,16,FOUND LEAK IN OLD PATCH (6' SPLIT),34.08087524,-118.2953627
65049,MAIN,11-May-13,1563 SUNSET PLAZA DR.,8' S/N SUNSET PLAZA DR,40' W/W FOREST KNOLLS,6,STEEL,1927,44765,RUST HOLE,1,,,,B,T.SMITH,148-171,8,32,"""FLAGMEN REQUIRED"" LOCATE LEAK, DUG OUT, PINCH DOWN REQUIRED. INSTALL CLAMP, BACKFILL, & TEMP. P/N MADE, P/N DELINEATION, JOB COMPLETE.",34.09886039,-118.3803222
65055,MAIN,11-May-13,500 MUSKINGUM PL.,17' N/S MUSKINGUM PL.,627' W/W ALMAR AVE.,6,STEEL,1960,79319,COUPLING,1,,,GOOD,CLAY,M. SPEARS,128-123,8,24,"REPAIRED 6"" STEEL VICTUALIC MAIN AT BROKEN COUPLING WITH 6"" X 12"" 360 DEGREE CLAMP.",34.0425684,-118.538645
65059,MAIN,12-May-13,6760  LEXINGTON AVE.,17' E/W MC CADDEN PL.,6' N/S LEXIINGTON AVE.,8,C.I.,1930,49752,SPLIT,1,,,,C,R. GONZALES,146-183,11,22,"FOUND LEAK ON 8"" C.I. MAIN CUT IN 7' OF 8"" D.I. WITH TWO UNIONS.",34.09252604,-118.337479
65645,MAIN,13-May-13,8701 LAVA PL,12' NCL LAVA PL,140' WCL VALLEY CIRCLE BLVD,2,GALVANIZED,1937,39290,RUPTURE,1,,,NOT APPLIED,D. GRANITE,MAO,194-090,4,8,"INSTALL 2""X 3"" REPAIR CLAMP ON 2"" MAIN IN A DIRT HILLSIDE, STOPPED LEAK, BACKFILLED, LEFT SITE SAFE. (SECOND OF 2 LEAKS)",34.22832134,-118.647235
65643,MAIN,13-May-13,8701 LAVA PL,12' NCL LAVA PL,70' WCL VALLEY CIRCLE BLVD,2,GALVANIZED,1937,39290,,1,,,NOT APPLIED,D. GRANITE,MAO,194-090,4,8,"INSTALLED 2""X 3"" REPAIR CLAMP ON 2"" MAIN IN RIGHT OF WAY, STOPPED LEAK, BACKFILLED, LEFT SITE SAFE. (FIRST OF 2 LEAKS)",34.22824897,-118.6470187
65515,MAIN,13-May-13,926 GRATTAN ST,251' SS JAMES M WOOD BLVD,21' EW GRATTAN ST,6,DCI CORP,1925,42029,,1,,,N/A,SANDY LOAM,SMITH,130-204,8,48,THE CREW REPAIRED THE DCI CORP LEAK ON THE MAIN WITH A 360 DEGREE REPAIR CLAMP. WILL RENEW SERVICE LATER.,34.04969715,-118.2727178
65063,MAIN,13-May-13,5371  8TH ST.,22' E/W 8TH ST.,104' S/S 52 ST.,4,C.I.,1923,31300,CLAMP,1,,,,CLAY,M. SPEARS,110-189,8,24,"REPAIRED 4"" C.I. MAIN LEAK WITH 4"" X 8"" 360 DEGREE CLAMP.",33.99463163,-118.3258101
65501,MAIN,14-May-13,212 S WESTLAKE AVE,20' SN VALLEY ST,20' EW WESTLAKE AVE,6,C.I.,1924,33255,SPLIT,1,,,,,HOOVER,134-204,7,21,"REPLACED 6' OF CI W/ DI. BACKFILLED, TEMP ASPHALT, CLEAN UP, LEFT SITE SAFE.",34.06441376,-118.2698796
