row_names,county,election_type,formal_date,year,registered_voters,registered_voters_change_over_previous,ballots_cast,ballots_cast_change_over_previous,turnout,turnout_change_over_previous,vote_by_mail_absentee_ballots,vote_by_mail_absentee_change_over_previous,percent_vote_by_mail_absentee_of_ballots_cast,data_source
14,Los Angeles,Presidential Primary,2004-03-04,2004,3670157,-0.0739,1379747,-0.2267,0.3759,-0.1651,330353,-0.0815,0.2394,http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-321-03022004.PDF
15,Los Angeles,Midterm General,2002-11-05,2002,3962831,-0.0434,1784320,0.6666,0.4503,0.7421,359682,0.6426,0.2016,http://rrcc.co.la.ca.us/elect/02110022/rr0022px.html-ssi
16,Los Angeles,Midterm Primary,2002-03-02,2002,4142514,0.0166,1070651,-0.6135,0.2585,-0.6198,218976,-0.5968,0.2045,http://rrcc.co.la.ca.us/elect/02031211/rr1211px.html-ssi
17,Los Angeles,Presidential General,2000-11-07,2000,4075037,0.0700,2769927,0.5085,0.6797,0.4099,543143,0.7140,0.1961,http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-83-11072000.PDF
18,Los Angeles,Presidential Primary,2000-03-07,2000,3808488,-0.0120,1836153,-0.1082,0.4821,-0.0973,316882,-0.2229,0.1726,http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-58-03072000.PDF
19,Los Angeles,Midterm General,1998-11-24,1998,3854826,0.0218,2058862,0.4198,0.5341,0.3895,407776,0.4281,0.1981,http://rrcc.co.la.ca.us/elect/98110018/rr0018px.html-ssi
20,Los Angeles,Midterm Primary,1998-06-02,1998,3772593,-0.0221,1450126,-0.4213,0.3844,-0.4082,285532,-0.2790,0.1969,http://rrcc.co.la.ca.us/elect/98061377/rr1377pz.html-ssi
21,Los Angeles,Presidential General,1996-11-05,1996,3857805,0.0655,2505790,0.8612,0.6495,0.7468,396033,0.5388,0.1580,http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-11051996.PDF
22,Los Angeles,Presidential Primary,1996-03-26,1996,3620677,-0.0123,1346358,-0.3731,0.3719,-0.3653,257359,-0.3094,0.1912,http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-03261996.PDF
23,Los Angeles,Midterm General,1994-11-08,1994,3665868,0.0324,2147678,0.9035,0.5859,0.8437,372677,0.8839,0.1735,http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-11081994.PDF
24,Los Angeles,Midterm Primary,1994-06-07,1994,3550877,-0.0516,1128308,-0.6015,0.3178,-0.5798,197824,-0.4912,0.1753,http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-06071994.PDF
25,Los Angeles,Presidential General,1992-11-03,1992,3744096,0.1214,2831077,0.7555,0.7561,0.5655,388795,0.7193,0.1373,http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-11031992.PDF
26,Los Angeles,Presidential Primary,1992-06-02,1992,3338914,-0.0425,1612673,-0.1626,0.4830,-0.1254,226130,-0.1645,0.1402,http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-06021992.PDF
27,Los Angeles,Midterm General,1990-11-06,1990,3487180,0.0249,1925811,0.5009,0.5523,0.4645,270645,0.5265,0.1405,http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-11061990.PDF
28,Los Angeles,Midterm Primary,1990-06-05,1990,3402509,-0.0968,1283079,-0.5306,0.3771,-0.4803,177295,-0.3666,0.1382,http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-06051990.PDF
29,Los Angeles,Presidential General,1988-11-08,1988,3767094,0.1027,2733229,0.7235,0.7256,0.5630,279931,0.9847,0.1024,http://apps1.lavote.net/General/ARCHIVES/OFFICIAL_ELECTION_RETURNS/PDFS/OER-000-11081988.PDF
