agency_unique,swcrb_name,supplier_name_proper,supplier_name_slug,hydrologic_region,hydrologic_region_slug,june_5_reduction_target,march_1_reduction_target,cumulative_reduction_percent,reached_reduction_target,stress_test_reduction_target
867,Fairfield City of,city of fairfield,city-of-fairfield,Sacramento River,sacramento-river,0.2,0.19,0.212,TRUE,0
890,Fillmore City of,city of fillmore,city-of-fillmore,South Coast,south-coast,0.28,0.26,0.225,FALSE,NULL
904,Folsom City of,city of folsom,city-of-folsom,Sacramento River,sacramento-river,0.32,0.28,0.257,FALSE,0
920,Fortuna City of,city of fortuna,city-of-fortuna,North Coast,north-coast,0.24,0.2,0.124,FALSE,0
924,Fountain Valley City of,city of fountain valley,city-of-fountain-valley,South Coast,south-coast,0.2,0.13,0.216,TRUE,0
934,Fresno City of,city of fresno,city-of-fresno,Tulare Lake,tulare-lake,0.28,0.25,0.258,FALSE,0
967,Fullerton City of,city of fullerton,city-of-fullerton,South Coast,south-coast,0.28,0.21,0.199,FALSE,0
972,Galt City of,city of galt,city-of-galt,Sacramento River,sacramento-river,0.32,0.29,0.319,FALSE,0
977,Garden Grove City of,city of garden grove,city-of-garden-grove,South Coast,south-coast,0.2,0.2,0.209,TRUE,0
995,Gilroy City of,city of gilroy,city-of-gilroy,Central Coast,central-coast,0.24,0.24,0.283,TRUE,0
1004,Glendale City of,city of glendale,city-of-glendale,South Coast,south-coast,0.2,0.18,0.213,TRUE,0
1005,Glendora City of,city of glendora,city-of-glendora,South Coast,south-coast,0.36,0.34,0.305,FALSE,0.2
1093,Greenfield City of,city of greenfield,city-of-greenfield,Central Coast,central-coast,0.16,0.14,0.256,TRUE,0.05
1110,Grover Beach City of,city of grover beach,city-of-grover-beach,Central Coast,central-coast,0.08,0.08,NULL,NULL,NULL
1125,Hanford City of,city of hanford,city-of-hanford,Tulare Lake,tulare-lake,0.28,0.23,0.137,FALSE,0
1142,Hawthorne City of,city of hawthorne,city-of-hawthorne,South Coast,south-coast,0.16,0.16,0.085,FALSE,0
