LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MATT DABABNEH,SUSAN SHELLEY,
LOS ANGELES,9000098A,3049,115,N,1322,TOTAL,209,142,53,
LOS ANGELES,9000099B,3050,115,N,1133,POLLING PLACE,166,106,47,
LOS ANGELES,9000099B,3050,115,N,,VBM PORTION,89,45,37,
LOS ANGELES,9000099B,3050,115,N,1133,TOTAL,255,151,84,
LOS ANGELES,9000100B,3051,115,N,1447,POLLING PLACE,204,105,88,
LOS ANGELES,9000100B,3051,115,N,,VBM PORTION,124,60,61,
LOS ANGELES,9000100B,3051,115,N,1447,TOTAL,328,165,149,
LOS ANGELES,9000115A,3058,115,N,1032,POLLING PLACE,132,71,51,
LOS ANGELES,9000115A,3058,115,N,,VBM PORTION,60,31,25,
LOS ANGELES,9000115A,3058,115,N,1032,TOTAL,192,102,76,
LOS ANGELES,9000118A,3060,110,N,1275,POLLING PLACE,227,110,102,
LOS ANGELES,9000118A,3060,110,N,,VBM PORTION,85,31,50,
LOS ANGELES,9000118A,3060,110,N,1275,TOTAL,312,141,152,
LOS ANGELES,9000128A,3066,115,N,929,POLLING PLACE,129,77,43,
LOS ANGELES,9000128A,3066,115,N,,VBM PORTION,55,33,20,
LOS ANGELES,9000128A,3066,115,N,929,TOTAL,184,110,63,
LOS ANGELES,9000129C,3067,115,N,1359,POLLING PLACE,190,114,67,
LOS ANGELES,9000129C,3067,115,N,,VBM PORTION,98,52,38,
LOS ANGELES,9000129C,3067,115,N,1359,TOTAL,288,166,105,
LOS ANGELES,9000131A,3068,113,N,1310,POLLING PLACE,227,146,67,
LOS ANGELES,9000131A,3068,113,N,,VBM PORTION,82,45,30,
LOS ANGELES,9000131A,3068,113,N,1310,TOTAL,309,191,97,
LOS ANGELES,9000132A,3069,113,N,1123,POLLING PLACE,171,105,51,
LOS ANGELES,9000132A,3069,113,N,,VBM PORTION,52,35,14,
LOS ANGELES,9000132A,3069,113,N,1123,TOTAL,223,140,65,
LOS ANGELES,9000133A,3070,113,N,697,POLLING PLACE,117,69,38,
LOS ANGELES,9000133A,3070,113,N,,VBM PORTION,37,21,13,
LOS ANGELES,9000133A,3070,113,N,697,TOTAL,154,90,51,
LOS ANGELES,9000158A,3088,116,N,1128,POLLING PLACE,196,99,87,
LOS ANGELES,9000158A,3088,116,N,,VBM PORTION,95,46,42,
LOS ANGELES,9000158A,3088,116,N,1128,TOTAL,291,145,129,
LOS ANGELES,9000174A,3094,115,N,816,POLLING PLACE,143,86,50,
LOS ANGELES,9000174A,3094,115,N,,VBM PORTION,80,51,22,
LOS ANGELES,9000174A,3094,115,N,816,TOTAL,223,137,72,
LOS ANGELES,9000175A,3095,115,N,1085,POLLING PLACE,156,83,61,
LOS ANGELES,9000175A,3095,115,N,,VBM PORTION,59,24,31,
LOS ANGELES,9000175A,3095,115,N,1085,TOTAL,215,107,92,
LOS ANGELES,9000176A,3096,116,N,1135,POLLING PLACE,235,90,127,
LOS ANGELES,9000176A,3096,116,N,,VBM PORTION,165,106,52,
LOS ANGELES,9000176A,3096,116,N,1135,TOTAL,400,196,179,
LOS ANGELES,9000180A,3099,113,N,1230,POLLING PLACE,141,79,53,
LOS ANGELES,9000180A,3099,113,N,,VBM PORTION,72,53,17,
LOS ANGELES,9000180A,3099,113,N,1230,TOTAL,213,132,70,
LOS ANGELES,9000181A,3100,113,N,1168,POLLING PLACE,139,81,49,
LOS ANGELES,9000181A,3100,113,N,,VBM PORTION,84,45,31,
LOS ANGELES,9000181A,3100,113,N,1168,TOTAL,223,126,80,
LOS ANGELES,9000182A,3101,113,N,1304,POLLING PLACE,158,93,57,
LOS ANGELES,9000182A,3101,113,N,,VBM PORTION,106,69,31,
LOS ANGELES,9000182A,3101,113,N,1304,TOTAL,264,162,88,
LOS ANGELES,9000187A,3104,115,N,1269,POLLING PLACE,203,129,54,
LOS ANGELES,9000187A,3104,115,N,,VBM PORTION,141,90,44,
LOS ANGELES,9000187A,3104,115,N,1269,TOTAL,344,219,98,
LOS ANGELES,9000189C,3105,115,N,982,POLLING PLACE,151,84,60,
LOS ANGELES,9000189C,3105,115,N,,VBM PORTION,97,62,26,
LOS ANGELES,9000189C,3105,115,N,982,TOTAL,248,146,86,
LOS ANGELES,9000191A,3106,116,N,933,POLLING PLACE,178,82,88,
LOS ANGELES,9000191A,3106,116,N,,VBM PORTION,75,28,37,
LOS ANGELES,9000191A,3106,116,N,933,TOTAL,253,110,125,
LOS ANGELES,9000203A,3111,115,N,1130,POLLING PLACE,269,147,106,
LOS ANGELES,9000203A,3111,115,N,,VBM PORTION,63,31,30,
LOS ANGELES,9000203A,3111,115,N,1130,TOTAL,332,178,136,
LOS ANGELES,9000206A,3113,115,N,1358,POLLING PLACE,191,109,65,
LOS ANGELES,9000206A,3113,115,N,,VBM PORTION,82,49,30,
LOS ANGELES,9000206A,3113,115,N,1358,TOTAL,273,158,95,
LOS ANGELES,9000207B,3114,115,N,800,POLLING PLACE,169,84,75,
LOS ANGELES,9000207B,3114,115,N,,VBM PORTION,75,37,31,
LOS ANGELES,9000207B,3114,115,N,800,TOTAL,244,121,106,
LOS ANGELES,9000212B,3115,115,N,524,POLLING PLACE,134,64,60,
LOS ANGELES,9000212B,3115,115,N,,VBM PORTION,29,12,13,
LOS ANGELES,9000212B,3115,115,N,524,TOTAL,163,76,73,
LOS ANGELES,9000213B,3116,115,N,884,POLLING PLACE,135,70,55,
LOS ANGELES,9000213B,3116,115,N,,VBM PORTION,82,42,36,
LOS ANGELES,9000213B,3116,115,N,884,TOTAL,217,112,91,
LOS ANGELES,9000225A,3123,115,N,941,POLLING PLACE,148,83,61,
LOS ANGELES,9000225A,3123,115,N,,VBM PORTION,63,39,20,
LOS ANGELES,9000225A,3123,115,N,941,TOTAL,211,122,81,
LOS ANGELES,9000228A,3124,115,N,1262,POLLING PLACE,188,118,61,
LOS ANGELES,9000228A,3124,115,N,,VBM PORTION,97,48,46,
LOS ANGELES,9000228A,3124,115,N,1262,TOTAL,285,166,107,
LOS ANGELES,9000229A,3125,115,N,1123,POLLING PLACE,277,141,107,
LOS ANGELES,9000229A,3125,115,N,,VBM PORTION,114,59,49,
LOS ANGELES,9000229A,3125,115,N,1123,TOTAL,391,200,156,
LOS ANGELES,9000230A,3126,115,N,991,POLLING PLACE,215,101,100,
LOS ANGELES,9000230A,3126,115,N,,VBM PORTION,112,52,52,
LOS ANGELES,9000230A,3126,115,N,991,TOTAL,327,153,152,
LOS ANGELES,9000234A,3129,115,N,1094,POLLING PLACE,251,125,104,
LOS ANGELES,9000234A,3129,115,N,,VBM PORTION,95,42,48,
LOS ANGELES,9000234A,3129,115,N,1094,TOTAL,346,167,152,
LOS ANGELES,9000236B,3130,115,N,1167,POLLING PLACE,174,79,82,
LOS ANGELES,9000236B,3130,115,N,,VBM PORTION,96,53,42,
LOS ANGELES,9000236B,3130,115,N,1167,TOTAL,270,132,124,
LOS ANGELES,9000246A,3135,115,N,1050,POLLING PLACE,236,107,105,
LOS ANGELES,9000246A,3135,115,N,,VBM PORTION,89,37,50,
LOS ANGELES,9000246A,3135,115,N,1050,TOTAL,325,144,155,
LOS ANGELES,9000250B,3138,115,N,1240,POLLING PLACE,157,83,62,
LOS ANGELES,9000250B,3138,115,N,,VBM PORTION,117,76,33,
LOS ANGELES,9000250B,3138,115,N,1240,TOTAL,274,159,95,
LOS ANGELES,9000254A,3141,115,N,1051,POLLING PLACE,217,132,69,
LOS ANGELES,9000254A,3141,115,N,,VBM PORTION,68,35,28,
LOS ANGELES,9000254A,3141,115,N,1051,TOTAL,285,167,97,
LOS ANGELES,9000255A,3142,115,N,1090,POLLING PLACE,147,92,44,
LOS ANGELES,9000255A,3142,115,N,,VBM PORTION,81,47,29,
LOS ANGELES,9000255A,3142,115,N,1090,TOTAL,228,139,73,
LOS ANGELES,9000257B,3143,115,N,1131,POLLING PLACE,209,139,52,
LOS ANGELES,9000257B,3143,115,N,,VBM PORTION,79,44,29,
LOS ANGELES,9000257B,3143,115,N,1131,TOTAL,288,183,81,
LOS ANGELES,9000259A,3144,115,N,1295,POLLING PLACE,192,111,69,
LOS ANGELES,9000259A,3144,115,N,,VBM PORTION,121,83,33,
LOS ANGELES,9000259A,3144,115,N,1295,TOTAL,313,194,102,
LOS ANGELES,9000265A,3149,116,N,399,POLLING PLACE,27,22,5,
LOS ANGELES,9000265A,3149,116,N,,VBM PORTION,18,10,8,
LOS ANGELES,9000265A,3149,116,N,399,TOTAL,45,32,13,
LOS ANGELES,9000270A,3153,116,N,1213,POLLING PLACE,223,109,103,
LOS ANGELES,9000270A,3153,116,N,,VBM PORTION,86,47,36,
LOS ANGELES,9000270A,3153,116,N,1213,TOTAL,309,156,139,
LOS ANGELES,9000318B,3185,115,N,1161,POLLING PLACE,220,107,98,
LOS ANGELES,9000318B,3185,115,N,,VBM PORTION,74,42,28,
LOS ANGELES,9000318B,3185,115,N,1161,TOTAL,294,149,126,
LOS ANGELES,9000359B,3211,115,N,1158,POLLING PLACE,144,73,56,
LOS ANGELES,9000359B,3211,115,N,,VBM PORTION,76,34,39,
LOS ANGELES,9000359B,3211,115,N,1158,TOTAL,220,107,95,
LOS ANGELES,9000393A,3234,116,N,1156,POLLING PLACE,154,92,56,
LOS ANGELES,9000393A,3234,116,N,,VBM PORTION,85,47,35,
LOS ANGELES,9000393A,3234,116,N,1156,TOTAL,239,139,91,
LOS ANGELES,9000401A,3240,116,N,750,POLLING PLACE,157,71,77,
LOS ANGELES,9000401A,3240,116,N,,VBM PORTION,67,25,40,
LOS ANGELES,9000401A,3240,116,N,750,TOTAL,224,96,117,
LOS ANGELES,9000414A,3251,115,N,1320,POLLING PLACE,142,89,43,
LOS ANGELES,9000414A,3251,115,N,,VBM PORTION,83,53,28,
LOS ANGELES,9000414A,3251,115,N,1320,TOTAL,225,142,71,
LOS ANGELES,9000414B,3252,115,N,1199,POLLING PLACE,161,76,77,
LOS ANGELES,9000414B,3252,115,N,,VBM PORTION,80,52,27,
LOS ANGELES,9000414B,3252,115,N,1199,TOTAL,241,128,104,
LOS ANGELES,9000419A,3256,113,N,1381,POLLING PLACE,209,135,66,
LOS ANGELES,9000419A,3256,113,N,,VBM PORTION,80,32,46,
LOS ANGELES,9000419A,3256,113,N,1381,TOTAL,289,167,112,
LOS ANGELES,9000423B,3258,115,N,1186,POLLING PLACE,201,124,70,
LOS ANGELES,9000423B,3258,115,N,,VBM PORTION,74,40,33,
LOS ANGELES,9000423B,3258,115,N,1186,TOTAL,275,164,103,
LOS ANGELES,9000525A,3320,115,N,1113,POLLING PLACE,143,83,49,
LOS ANGELES,9000525A,3320,115,N,,VBM PORTION,58,39,16,
LOS ANGELES,9000525A,3320,115,N,1113,TOTAL,201,122,65,
LOS ANGELES,9000557A,3338,115,N,1072,POLLING PLACE,119,66,47,
LOS ANGELES,9000557A,3338,115,N,,VBM PORTION,93,60,26,
LOS ANGELES,9000557A,3338,115,N,1072,TOTAL,212,126,73,
LOS ANGELES,9000559A,3340,109,N,992,POLLING PLACE,110,52,47,
LOS ANGELES,9000559A,3340,109,N,,VBM PORTION,56,24,26,
LOS ANGELES,9000559A,3340,109,N,992,TOTAL,166,76,73,
LOS ANGELES,9000624A,3377,116,N,1145,POLLING PLACE,286,128,137,
LOS ANGELES,9000624A,3377,116,N,,VBM PORTION,114,50,54,
LOS ANGELES,9000624A,3377,116,N,1145,TOTAL,400,178,191,
LOS ANGELES,9000689A,3404,115,N,1212,POLLING PLACE,192,103,76,
LOS ANGELES,9000689A,3404,115,N,,VBM PORTION,71,44,23,
LOS ANGELES,9000689A,3404,115,N,1212,TOTAL,263,147,99,
LOS ANGELES,9000711A,3414,113,N,1341,POLLING PLACE,170,105,53,
LOS ANGELES,9000711A,3414,113,N,,VBM PORTION,80,45,30,
LOS ANGELES,9000711A,3414,113,N,1341,TOTAL,250,150,83,
LOS ANGELES,9000742A,3425,115,N,1221,POLLING PLACE,262,181,60,
LOS ANGELES,9000742A,3425,115,N,,VBM PORTION,135,96,36,
LOS ANGELES,9000742A,3425,115,N,1221,TOTAL,397,277,96,
LOS ANGELES,9000755A,3431,115,N,985,POLLING PLACE,151,75,74,
LOS ANGELES,9000755A,3431,115,N,,VBM PORTION,59,30,28,
LOS ANGELES,9000755A,3431,115,N,985,TOTAL,210,105,102,
LOS ANGELES,9000780C,3439,113,N,1384,POLLING PLACE,194,122,59,
LOS ANGELES,9000780C,3439,113,N,,VBM PORTION,89,66,20,
LOS ANGELES,9000780C,3439,113,N,1384,TOTAL,283,188,79,
LOS ANGELES,9000801C,3448,115,N,442,POLLING PLACE,67,42,22,
LOS ANGELES,9000801C,3448,115,N,,VBM PORTION,38,26,11,
LOS ANGELES,9000801C,3448,115,N,442,TOTAL,105,68,33,
LOS ANGELES,9000804A,3450,115,N,1246,POLLING PLACE,179,118,50,
LOS ANGELES,9000804A,3450,115,N,,VBM PORTION,70,46,19,
LOS ANGELES,9000804A,3450,115,N,1246,TOTAL,249,164,69,
LOS ANGELES,9000831B,3460,115,N,1053,POLLING PLACE,160,57,81,
LOS ANGELES,9000831B,3460,115,N,,VBM PORTION,86,40,41,
LOS ANGELES,9000831B,3460,115,N,1053,TOTAL,246,97,122,
LOS ANGELES,9000837B,3464,109,N,1050,POLLING PLACE,132,65,56,
LOS ANGELES,9000837B,3464,109,N,,VBM PORTION,74,46,27,
LOS ANGELES,9000837B,3464,109,N,1050,TOTAL,206,111,83,
LOS ANGELES,9000912C,3491,116,N,1060,POLLING PLACE,168,99,49,
LOS ANGELES,9000912C,3491,116,N,,VBM PORTION,62,36,22,
LOS ANGELES,9000912C,3491,116,N,1060,TOTAL,230,135,71,
LOS ANGELES,9000920A,3495,109,N,1018,POLLING PLACE,216,105,96,
LOS ANGELES,9000920A,3495,109,N,,VBM PORTION,69,40,27,
LOS ANGELES,9000920A,3495,109,N,1018,TOTAL,285,145,123,
LOS ANGELES,9001019A,3537,115,N,733,POLLING PLACE,123,63,47,
LOS ANGELES,9001019A,3537,115,N,,VBM PORTION,62,35,24,
LOS ANGELES,9001019A,3537,115,N,733,TOTAL,185,98,71,
LOS ANGELES,9001019B,3538,115,N,630,POLLING PLACE,143,75,60,
LOS ANGELES,9001019B,3538,115,N,,VBM PORTION,81,49,31,
LOS ANGELES,9001019B,3538,115,N,630,TOTAL,224,124,91,
LOS ANGELES,9001021A,3539,115,N,1194,POLLING PLACE,281,148,113,
LOS ANGELES,9001021A,3539,115,N,,VBM PORTION,116,46,65,
LOS ANGELES,9001021A,3539,115,N,1194,TOTAL,397,194,178,
LOS ANGELES,9001027A,3543,115,N,552,POLLING PLACE,114,58,49,
LOS ANGELES,9001027A,3543,115,N,,VBM PORTION,75,33,39,
LOS ANGELES,9001027A,3543,115,N,552,TOTAL,189,91,88,
LOS ANGELES,9001036B,3546,115,N,950,POLLING PLACE,170,85,75,
LOS ANGELES,9001036B,3546,115,N,,VBM PORTION,131,50,70,
LOS ANGELES,9001036B,3546,115,N,950,TOTAL,301,135,145,
LOS ANGELES,9001037A,3547,115,N,738,POLLING PLACE,189,78,94,
LOS ANGELES,9001037A,3547,115,N,,VBM PORTION,80,35,37,
LOS ANGELES,9001037A,3547,115,N,738,TOTAL,269,113,131,
LOS ANGELES,9001037B,3548,115,N,869,POLLING PLACE,171,71,78,
LOS ANGELES,9001037B,3548,115,N,,VBM PORTION,95,33,57,
LOS ANGELES,9001037B,3548,115,N,869,TOTAL,266,104,135,
LOS ANGELES,9001039A,3549,115,N,1335,POLLING PLACE,343,202,114,
LOS ANGELES,9001039A,3549,115,N,,VBM PORTION,146,70,63,
LOS ANGELES,9001039A,3549,115,N,1335,TOTAL,489,272,177,
LOS ANGELES,9001041A,3550,115,N,621,POLLING PLACE,178,108,56,
LOS ANGELES,9001041A,3550,115,N,,VBM PORTION,65,44,19,
LOS ANGELES,9001041A,3550,115,N,621,TOTAL,243,152,75,
LOS ANGELES,9001044A,3552,115,N,1096,POLLING PLACE,244,118,109,
LOS ANGELES,9001044A,3552,115,N,,VBM PORTION,126,67,46,
LOS ANGELES,9001044A,3552,115,N,1096,TOTAL,370,185,155,
LOS ANGELES,9001049A,3556,115,N,861,POLLING PLACE,151,63,74,
LOS ANGELES,9001049A,3556,115,N,,VBM PORTION,95,50,42,
LOS ANGELES,9001049A,3556,115,N,861,TOTAL,246,113,116,
LOS ANGELES,9001060A,3560,115,N,841,POLLING PLACE,214,129,64,
LOS ANGELES,9001060A,3560,115,N,,VBM PORTION,83,40,38,
LOS ANGELES,9001060A,3560,115,N,841,TOTAL,297,169,102,
LOS ANGELES,9001070A,3566,115,N,799,POLLING PLACE,131,61,51,
LOS ANGELES,9001070A,3566,115,N,,VBM PORTION,107,41,53,
LOS ANGELES,9001070A,3566,115,N,799,TOTAL,238,102,104,
LOS ANGELES,9001073A,3567,115,N,507,POLLING PLACE,82,46,26,
LOS ANGELES,9001073A,3567,115,N,,VBM PORTION,83,44,33,
LOS ANGELES,9001073A,3567,115,N,507,TOTAL,165,90,59,
LOS ANGELES,9001073B,3568,115,N,1035,POLLING PLACE,202,104,63,
LOS ANGELES,9001073B,3568,115,N,,VBM PORTION,163,82,73,
LOS ANGELES,9001073B,3568,115,N,1035,TOTAL,365,186,136,
LOS ANGELES,9001074A,3569,115,N,991,POLLING PLACE,208,111,81,
LOS ANGELES,9001074A,3569,115,N,,VBM PORTION,140,74,49,
LOS ANGELES,9001074A,3569,115,N,991,TOTAL,348,185,130,
LOS ANGELES,9001090A,3577,115,N,1078,POLLING PLACE,203,118,71,
LOS ANGELES,9001090A,3577,115,N,,VBM PORTION,93,56,28,
LOS ANGELES,9001090A,3577,115,N,1078,TOTAL,296,174,99,
LOS ANGELES,9001091B,3578,115,N,1089,POLLING PLACE,234,128,77,
LOS ANGELES,9001091B,3578,115,N,,VBM PORTION,114,80,28,
LOS ANGELES,9001091B,3578,115,N,1089,TOTAL,348,208,105,
LOS ANGELES,9001690B,3829,115,N,990,POLLING PLACE,156,88,57,
LOS ANGELES,9001690B,3829,115,N,,VBM PORTION,79,40,34,
LOS ANGELES,9001690B,3829,115,N,990,TOTAL,235,128,91,
LOS ANGELES,9001695A,3831,115,N,996,POLLING PLACE,180,88,73,
LOS ANGELES,9001695A,3831,115,N,,VBM PORTION,82,43,35,
LOS ANGELES,9001695A,3831,115,N,996,TOTAL,262,131,108,
LOS ANGELES,9001758A,3860,113,N,1039,POLLING PLACE,129,59,51,
LOS ANGELES,9001758A,3860,113,N,,VBM PORTION,74,43,24,
LOS ANGELES,9001758A,3860,113,N,1039,TOTAL,203,102,75,
LOS ANGELES,9001808A,3889,115,N,1191,POLLING PLACE,221,111,103,
LOS ANGELES,9001808A,3889,115,N,,VBM PORTION,105,40,61,
LOS ANGELES,9001808A,3889,115,N,1191,TOTAL,326,151,164,
LOS ANGELES,9001825B,3893,115,N,1235,POLLING PLACE,228,132,78,
LOS ANGELES,9001825B,3893,115,N,,VBM PORTION,82,43,34,
LOS ANGELES,9001825B,3893,115,N,1235,TOTAL,310,175,112,
LOS ANGELES,9001877B,3911,115,N,1287,POLLING PLACE,164,110,39,
LOS ANGELES,9001877B,3911,115,N,,VBM PORTION,63,32,24,
LOS ANGELES,9001877B,3911,115,N,1287,TOTAL,227,142,63,
LOS ANGELES,9001892A,3916,115,N,1434,POLLING PLACE,206,126,64,
