LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,BOBBY SHRIVER,SHEILA KUEHL,
MALIBU,4050004A,1704,188,N,602,POLLING PLACE,160,71,57,
MALIBU,4050004A,1704,188,N,,VBM PORTION,83,36,34,
MALIBU,4050004A,1704,188,N,602,TOTAL,243,107,91,
MALIBU,4050014A,1705,188,N,857,POLLING PLACE,208,96,76,
MALIBU,4050014A,1705,188,N,,VBM PORTION,93,51,22,
MALIBU,4050014A,1705,188,N,857,TOTAL,301,147,98,
MALIBU,4050051A,1706,188,N,1268,POLLING PLACE,373,192,114,
MALIBU,4050051A,1706,188,N,,VBM PORTION,126,67,42,
MALIBU,4050051A,1706,188,N,1268,TOTAL,499,259,156,
MALIBU,4050057A,1707,188,N,912,POLLING PLACE,262,132,89,
MALIBU,4050057A,1707,188,N,,VBM PORTION,109,44,42,
MALIBU,4050057A,1707,188,N,912,TOTAL,371,176,131,
MALIBU,4050059B,1708,188,N,614,POLLING PLACE,143,65,43,
MALIBU,4050059B,1708,188,N,,VBM PORTION,85,38,27,
MALIBU,4050059B,1708,188,N,614,TOTAL,228,103,70,
MALIBU,4050062A,1709,188,N,944,POLLING PLACE,311,180,89,
MALIBU,4050062A,1709,188,N,,VBM PORTION,112,52,38,
MALIBU,4050062A,1709,188,N,944,TOTAL,423,232,127,
MALIBU,4050063A,1710,188,N,913,POLLING PLACE,236,113,80,
MALIBU,4050063A,1710,188,N,,VBM PORTION,113,56,28,
MALIBU,4050063A,1710,188,N,913,TOTAL,349,169,108,
MALIBU,4050064A,1711,188,N,949,POLLING PLACE,272,138,91,
MALIBU,4050064A,1711,188,N,,VBM PORTION,132,57,56,
MALIBU,4050064A,1711,188,N,949,TOTAL,404,195,147,
MALIBU HEIGHTS,4060001A,1712,192,N,324,POLLING PLACE,104,42,46,
MALIBU HEIGHTS,4060001A,1712,192,N,,VBM PORTION,29,14,11,
MALIBU HEIGHTS,4060001A,1712,192,N,324,TOTAL,133,56,57,
MALIBU HEIGHTS,4060001C,6150,195,Y,93,POLLING PLACE,,,,
MALIBU HEIGHTS,4060001C,6150,195,Y,,VBM PORTION,9,7,1,
MALIBU HEIGHTS,4060001C,6150,195,Y,93,TOTAL,9,7,1,
MALIBU HEIGHTS,4060003A,1713,195,N,542,POLLING PLACE,64,28,23,
MALIBU HEIGHTS,4060003A,1713,195,N,,VBM PORTION,12,1,9,
MALIBU HEIGHTS,4060003A,1713,195,N,542,TOTAL,76,29,32,
MALIBU HEIGHTS,4060003B,6151,192,Y,101,POLLING PLACE,,,,
MALIBU HEIGHTS,4060003B,6151,192,Y,,VBM PORTION,20,8,8,
MALIBU HEIGHTS,4060003B,6151,192,Y,101,TOTAL,20,8,8,
MALIBU HEIGHTS,4060004A,1714,192,N,383,POLLING PLACE,54,28,17,
MALIBU HEIGHTS,4060004A,1714,192,N,,VBM PORTION,37,15,18,
MALIBU HEIGHTS,4060004A,1714,192,N,383,TOTAL,91,43,35,
MALIBU HEIGHTS,4060012A,1715,194,N,519,POLLING PLACE,113,55,44,
MALIBU HEIGHTS,4060012A,1715,194,N,,VBM PORTION,73,30,35,
MALIBU HEIGHTS,4060012A,1715,194,N,519,TOTAL,186,85,79,
MALIBU HEIGHTS,4060012L,6152,195,Y,1,POLLING PLACE,,,,
MALIBU HEIGHTS,4060012L,6152,195,Y,,VBM PORTION,,,,
MALIBU HEIGHTS,4060012L,6152,195,Y,1,TOTAL,,,,
SAN FERNANDO,6050001A,2310,55,N,825,POLLING PLACE,149,73,63,
SAN FERNANDO,6050001A,2310,55,N,,VBM PORTION,30,11,17,
SAN FERNANDO,6050001A,2310,55,N,825,TOTAL,179,84,80,
SAN FERNANDO,6050002A,2311,55,N,756,POLLING PLACE,141,68,60,
SAN FERNANDO,6050002A,2311,55,N,,VBM PORTION,36,21,9,
SAN FERNANDO,6050002A,2311,55,N,756,TOTAL,177,89,69,
SAN FERNANDO,6050005A,2312,55,N,1137,POLLING PLACE,201,102,75,
SAN FERNANDO,6050005A,2312,55,N,,VBM PORTION,49,23,23,
SAN FERNANDO,6050005A,2312,55,N,1137,TOTAL,250,125,98,
SAN FERNANDO,6050007A,2313,55,N,1154,POLLING PLACE,220,113,73,
SAN FERNANDO,6050007A,2313,55,N,,VBM PORTION,68,46,19,
SAN FERNANDO,6050007A,2313,55,N,1154,TOTAL,288,159,92,
SAN FERNANDO,6050009A,2314,55,N,1095,POLLING PLACE,222,119,86,
SAN FERNANDO,6050009A,2314,55,N,,VBM PORTION,36,16,19,
SAN FERNANDO,6050009A,2314,55,N,1095,TOTAL,258,135,105,
SAN FERNANDO,6050010A,2315,55,N,688,POLLING PLACE,129,54,60,
SAN FERNANDO,6050010A,2315,55,N,,VBM PORTION,25,14,9,
SAN FERNANDO,6050010A,2315,55,N,688,TOTAL,154,68,69,
SAN FERNANDO,6050012A,2316,55,N,966,POLLING PLACE,156,62,76,
SAN FERNANDO,6050012A,2316,55,N,,VBM PORTION,39,15,20,
SAN FERNANDO,6050012A,2316,55,N,966,TOTAL,195,77,96,
SAN FERNANDO,6050013A,2317,55,N,1017,POLLING PLACE,138,57,68,
SAN FERNANDO,6050013A,2317,55,N,,VBM PORTION,38,12,21,
SAN FERNANDO,6050013A,2317,55,N,1017,TOTAL,176,69,89,
SAN FERNANDO,6050016A,2318,55,N,915,POLLING PLACE,154,68,70,
SAN FERNANDO,6050016A,2318,55,N,,VBM PORTION,37,16,16,
SAN FERNANDO,6050016A,2318,55,N,915,TOTAL,191,84,86,
SANTA MONICA,6250001A,2455,181,N,893,POLLING PLACE,294,162,111,
SANTA MONICA,6250001A,2455,181,N,,VBM PORTION,112,53,44,
SANTA MONICA,6250001A,2455,181,N,893,TOTAL,406,215,155,
SANTA MONICA,6250003C,2456,181,N,1011,POLLING PLACE,301,141,142,
SANTA MONICA,6250003C,2456,181,N,,VBM PORTION,129,72,43,
SANTA MONICA,6250003C,2456,181,N,1011,TOTAL,430,213,185,
SANTA MONICA,6250005A,2457,181,N,1184,POLLING PLACE,356,138,167,
SANTA MONICA,6250005A,2457,181,N,,VBM PORTION,89,36,41,
SANTA MONICA,6250005A,2457,181,N,1184,TOTAL,445,174,208,
SANTA MONICA,6250006A,2458,181,N,1079,POLLING PLACE,375,190,150,
SANTA MONICA,6250006A,2458,181,N,,VBM PORTION,90,38,40,
SANTA MONICA,6250006A,2458,181,N,1079,TOTAL,465,228,190,
SANTA MONICA,6250008A,2459,181,N,1132,POLLING PLACE,262,111,118,
SANTA MONICA,6250008A,2459,181,N,,VBM PORTION,161,83,57,
SANTA MONICA,6250008A,2459,181,N,1132,TOTAL,423,194,175,
SANTA MONICA,6250010E,2460,181,N,1102,POLLING PLACE,267,114,112,
SANTA MONICA,6250010E,2460,181,N,,VBM PORTION,90,28,39,
SANTA MONICA,6250010E,2460,181,N,1102,TOTAL,357,142,151,
SANTA MONICA,6250011A,2461,181,N,1103,POLLING PLACE,237,97,104,
SANTA MONICA,6250011A,2461,181,N,,VBM PORTION,110,49,46,
SANTA MONICA,6250011A,2461,181,N,1103,TOTAL,347,146,150,
SANTA MONICA,6250015B,2462,181,N,1247,POLLING PLACE,369,160,165,
SANTA MONICA,6250015B,2462,181,N,,VBM PORTION,153,71,60,
SANTA MONICA,6250015B,2462,181,N,1247,TOTAL,522,231,225,
SANTA MONICA,6250016A,2463,181,N,1328,POLLING PLACE,358,165,147,
SANTA MONICA,6250016A,2463,181,N,,VBM PORTION,109,40,44,
SANTA MONICA,6250016A,2463,181,N,1328,TOTAL,467,205,191,
SANTA MONICA,6250017A,2464,181,N,1281,POLLING PLACE,420,201,167,
SANTA MONICA,6250017A,2464,181,N,,VBM PORTION,140,76,39,
SANTA MONICA,6250017A,2464,181,N,1281,TOTAL,560,277,206,
SANTA MONICA,6250019A,2465,181,N,1365,POLLING PLACE,247,131,85,
SANTA MONICA,6250019A,2465,181,N,,VBM PORTION,108,45,41,
SANTA MONICA,6250019A,2465,181,N,1365,TOTAL,355,176,126,
SANTA MONICA,6250020A,2466,181,N,1066,POLLING PLACE,352,154,148,
SANTA MONICA,6250020A,2466,181,N,,VBM PORTION,85,24,43,
SANTA MONICA,6250020A,2466,181,N,1066,TOTAL,437,178,191,
SANTA MONICA,6250024A,2467,181,N,763,POLLING PLACE,191,68,88,
SANTA MONICA,6250024A,2467,181,N,,VBM PORTION,44,17,19,
SANTA MONICA,6250024A,2467,181,N,763,TOTAL,235,85,107,
SANTA MONICA,6250025B,2468,181,N,1093,POLLING PLACE,189,73,92,
SANTA MONICA,6250025B,2468,181,N,,VBM PORTION,52,16,27,
SANTA MONICA,6250025B,2468,181,N,1093,TOTAL,241,89,119,
SANTA MONICA,6250026A,2469,181,N,1194,POLLING PLACE,400,145,204,
SANTA MONICA,6250026A,2469,181,N,,VBM PORTION,99,39,40,
SANTA MONICA,6250026A,2469,181,N,1194,TOTAL,499,184,244,
SANTA MONICA,6250029A,2470,181,N,752,POLLING PLACE,221,101,77,
SANTA MONICA,6250029A,2470,181,N,,VBM PORTION,86,38,41,
SANTA MONICA,6250029A,2470,181,N,752,TOTAL,307,139,118,
SANTA MONICA,6250032A,2471,181,N,1123,POLLING PLACE,244,92,112,
