LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,BETTY T YEE,LAURA WELLS,TAMMY D BLAIR,JOHN A PEREZ,DAVID EVANS,ASHLEY SWEARENGIN
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4663,653,148,82,566,707,1924
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8478,1262,280,125,1065,1196,3505
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,852,245,104,792,568,1486
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,929,304,155,781,790,1463
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,1781,549,259,1573,1358,2949
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,30,5,0,13,47,142
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,20,8,2,11,47,139
CITY OF ROLLING HILLS,N,1510,TOTAL,537,50,13,2,24,94,281
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,107,18,9,108,76,422
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,122,15,12,81,161,422
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,229,33,21,189,237,844
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,321,52,40,361,116,164
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,419,44,49,327,118,192
CITY OF ROSEMEAD,N,20579,TOTAL,2488,740,96,89,688,234,356
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,240,61,41,395,444,661
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,237,86,68,335,428,579
CITY OF SAN DIMAS,N,21257,TOTAL,3989,477,147,109,730,872,1240
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,83,23,30,276,59,78
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,67,25,28,191,38,69
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,150,48,58,467,97,147
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,296,39,30,324,173,306
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,322,58,32,273,150,274
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,618,97,62,597,323,580
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,141,11,14,93,118,345
CITY OF SAN MARINO,N,0,VBM PORTION,1161,218,26,12,108,199,429
CITY OF SAN MARINO,N,8559,TOTAL,1956,359,37,26,201,317,774
CITY OF SANTA CLARITA,N,111849,POLLING PLACE,9825,937,396,302,1463,2209,3394
CITY OF SANTA CLARITA,N,0,VBM PORTION,12712,1502,633,520,1657,2697,4247
CITY OF SANTA CLARITA,N,111849,TOTAL,22530,2439,1029,822,3120,4906,7641
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,118,24,22,223,78,119
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,97,33,38,182,89,91
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,215,57,60,405,167,210
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,2577,766,377,2151,581,1451
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,1766,510,280,1528,653,1285
CITY OF SANTA MONICA,N,62632,TOTAL,16552,4343,1276,657,3679,1234,2736
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,202,50,16,246,179,371
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,185,38,21,188,159,373
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,387,88,37,434,338,744
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,170,47,25,225,112,122
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,143,38,34,168,101,144
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,313,85,59,393,213,266
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,64,20,17,192,35,25
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,63,11,22,145,37,33
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,127,31,39,337,72,58
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,286,83,111,827,127,170
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,183,62,108,451,111,123
CITY OF SOUTH GATE,N,35773,TOTAL,3018,469,145,219,1278,238,293
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,579,68,38,438,201,473
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,455,80,36,373,220,434
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,1034,148,74,811,421,907
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,286,62,34,325,248,387
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,393,62,56,256,222,364
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,679,124,90,581,470,751
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,2071,460,252,1724,1677,4309
CITY OF TORRANCE,N,0,VBM PORTION,11369,2168,455,326,1506,1875,3466
CITY OF TORRANCE,N,83037,TOTAL,23394,4239,915,578,3230,3552,7775
CITY OF VERNON,N,60,POLLING PLACE,0,0,0,0,0,0,0
CITY OF VERNON,N,0,VBM PORTION,18,7,3,0,1,2,2
CITY OF VERNON,N,60,TOTAL,16,7,3,0,1,2,2
CITY OF WALNUT,N,18002,POLLING PLACE,1247,243,36,36,293,196,297
CITY OF WALNUT,N,0,VBM PORTION,1658,403,54,41,282,324,377
CITY OF WALNUT,N,18002,TOTAL,2905,646,90,77,575,520,674
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,605,139,139,1010,554,875
CITY OF WEST COVINA,N,0,VBM PORTION,3945,831,184,165,869,628,827
CITY OF WEST COVINA,N,53486,TOTAL,7643,1436,323,304,1879,1182,1702
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,500,169,114,1016,85,218
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,409,157,148,829,138,253
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,909,326,262,1845,223,471
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,80,24,15,133,129,266
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,81,39,26,79,178,255
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,161,63,41,212,307,521
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,549,156,144,1116,717,1160
CITY OF WHITTIER,N,0,VBM PORTION,3748,472,137,140,778,717,1079
CITY OF WHITTIER,N,46005,TOTAL,8056,1021,293,284,1894,1434,2239
UNINCORPORATED,N,520339,POLLING PLACE,43458,7821,1838,1814,12049,5654,8793
UNINCORPORATED,N,0,VBM PORTION,39390,7440,1768,1951,8275,5976,9355
UNINCORPORATED,N,520339,TOTAL,82731,15261,3606,3765,20324,11630,18148
