LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,STACY WIESE,STEVEN KLAIF
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,5554,1438
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,158,34
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,145,38
CITY OF ROLLING HILLS,N,1510,TOTAL,537,303,72
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,521,91
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,563,91
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,1084,182
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,654,237
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,694,253
CITY OF ROSEMEAD,N,20579,TOTAL,2488,1348,490
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,1354,266
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,1183,277
CITY OF SAN DIMAS,N,21257,TOTAL,3989,2537,543
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,354,137
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,301,91
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,655,228
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,740,230
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,731,215
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,1471,445
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,456,124
CITY OF SAN MARINO,N,0,VBM PORTION,1161,596,197
CITY OF SAN MARINO,N,8559,TOTAL,1956,1052,321
CITY OF SANTA CLARITA,N,111849,POLLING PLACE,9825,6162,1305
CITY OF SANTA CLARITA,N,0,VBM PORTION,12712,8007,1540
CITY OF SANTA CLARITA,N,111849,TOTAL,22530,14169,2845
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,435,103
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,362,92
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,797,195
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,4263,1854
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,3369,1234
CITY OF SANTA MONICA,N,62632,TOTAL,16552,7632,3088
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,675,206
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,648,161
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,1323,367
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,476,134
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,394,129
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,870,263
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,252,72
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,208,75
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,460,147
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,1094,385
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,771,180
CITY OF SOUTH GATE,N,35773,TOTAL,3018,1865,565
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,1062,411
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,964,313
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,2026,724
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,890,248
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,840,243
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,1730,491
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,7042,1620
CITY OF TORRANCE,N,0,VBM PORTION,11369,6385,1509
CITY OF TORRANCE,N,83037,TOTAL,23394,13427,3129
CITY OF VERNON,N,60,POLLING PLACE,0,0,0
CITY OF VERNON,N,0,VBM PORTION,18,4,4
CITY OF VERNON,N,60,TOTAL,16,4,4
CITY OF WALNUT,N,18002,POLLING PLACE,1247,681,220
CITY OF WALNUT,N,0,VBM PORTION,1658,928,236
CITY OF WALNUT,N,18002,TOTAL,2905,1609,456
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,2328,588
CITY OF WEST COVINA,N,0,VBM PORTION,3945,2411,598
CITY OF WEST COVINA,N,53486,TOTAL,7643,4739,1186
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,1145,505
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,1056,420
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,2201,925
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,417,106
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,418,101
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,835,207
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,2704,668
CITY OF WHITTIER,N,0,VBM PORTION,3748,2259,476
CITY OF WHITTIER,N,46005,TOTAL,8056,4963,1144
UNINCORPORATED,N,520339,POLLING PLACE,43458,26118,7443
UNINCORPORATED,N,0,VBM PORTION,39390,23505,6142
UNINCORPORATED,N,520339,TOTAL,82731,49623,13585
