LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,DAYAN MATHAI,B OTIS FELDER,JACQUELINE H LEWIS
CITY OF PICO RIVERA,N,32447,TOTAL,3746,1530,425,1129
CITY OF POMONA,N,57598,POLLING PLACE,3541,1534,370,1002
CITY OF POMONA,N,0,VBM PORTION,3368,1348,350,1006
CITY OF POMONA,N,57598,TOTAL,6909,2882,720,2008
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,1577,312,1046
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4663,1839,361,1223
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8478,3416,673,2269
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,1780,392,1277
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,1848,452,1415
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,3628,844,2692
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,131,30,40
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,113,22,51
CITY OF ROLLING HILLS,N,1510,TOTAL,537,244,52,91
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,400,45,192
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,376,68,214
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,776,113,406
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,423,145,342
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,441,141,387
CITY OF ROSEMEAD,N,20579,TOTAL,2488,864,286,729
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,971,210,486
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,799,175,502
CITY OF SAN DIMAS,N,21257,TOTAL,3989,1770,385,988
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,224,66,203
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,205,50,142
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,429,116,345
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,500,136,358
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,460,126,389
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,960,262,747
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,316,60,230
CITY OF SAN MARINO,N,0,VBM PORTION,1161,410,89,290
CITY OF SAN MARINO,N,8559,TOTAL,1956,726,149,520
CITY OF SANTA CLARITA,N,111849,POLLING PLACE,9825,4733,992,1950
CITY OF SANTA CLARITA,N,0,VBM PORTION,12712,5728,1313,2836
CITY OF SANTA CLARITA,N,111849,TOTAL,22530,10461,2305,4786
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,312,82,154
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,222,66,172
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,534,148,326
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,2217,623,3703
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,1667,453,2654
CITY OF SANTA MONICA,N,62632,TOTAL,16552,3884,1076,6357
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,463,71,365
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,415,60,343
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,878,131,708
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,329,66,226
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,255,60,218
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,584,126,444
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,148,56,129
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,125,38,126
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,273,94,255
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,731,250,570
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,480,127,380
CITY OF SOUTH GATE,N,35773,TOTAL,3018,1211,377,950
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,670,119,759
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,559,114,626
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,1229,233,1385
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,608,177,383
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,514,158,435
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,1122,335,818
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,4979,1114,2962
CITY OF TORRANCE,N,0,VBM PORTION,11369,4104,1084,2978
CITY OF TORRANCE,N,83037,TOTAL,23394,9083,2198,5940
CITY OF VERNON,N,60,POLLING PLACE,0,0,0,0
CITY OF VERNON,N,0,VBM PORTION,18,2,2,5
CITY OF VERNON,N,60,TOTAL,16,2,2,5
CITY OF WALNUT,N,18002,POLLING PLACE,1247,487,133,313
CITY OF WALNUT,N,0,VBM PORTION,1658,569,187,437
CITY OF WALNUT,N,18002,TOTAL,2905,1056,320,750
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,1594,371,1044
CITY OF WEST COVINA,N,0,VBM PORTION,3945,1519,377,1208
CITY OF WEST COVINA,N,53486,TOTAL,7643,3113,748,2252
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,531,185,1053
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,434,205,987
