LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,SERENA R MURILLO
CITY OF INDUSTRY,N,103,TOTAL,32,14
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,2882
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,2100
CITY OF INGLEWOOD,N,55170,TOTAL,8342,4982
CITY OF IRWINDALE,N,939,POLLING PLACE,75,38
CITY OF IRWINDALE,N,0,VBM PORTION,61,41
CITY OF IRWINDALE,N,939,TOTAL,135,79
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,891
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,1238
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,2129
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,246
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,316
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,562
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,1583
CITY OF LA MIRADA,N,0,VBM PORTION,2428,1507
CITY OF LA MIRADA,N,27147,TOTAL,4843,3090
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,686
CITY OF LA PUENTE,N,0,VBM PORTION,740,530
CITY OF LA PUENTE,N,15802,TOTAL,1699,1216
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,1582
CITY OF LA VERNE,N,0,VBM PORTION,2109,1284
CITY OF LA VERNE,N,20532,TOTAL,4568,2866
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,2971
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,2714
CITY OF LAKEWOOD,N,48358,TOTAL,8638,5685
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,3778
CITY OF LANCASTER,N,0,VBM PORTION,6128,4117
CITY OF LANCASTER,N,73718,TOTAL,11514,7895
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,591
CITY OF LAWNDALE,N,0,VBM PORTION,697,478
CITY OF LAWNDALE,N,13398,TOTAL,1522,1069
CITY OF LOMITA,N,11237,POLLING PLACE,1073,715
CITY OF LOMITA,N,0,VBM PORTION,1050,698
CITY OF LOMITA,N,11237,TOTAL,2122,1413
CITY OF LONG BEACH,N,254779,POLLING PLACE,26922,16626
CITY OF LONG BEACH,N,0,VBM PORTION,25748,15963
CITY OF LONG BEACH,N,254779,TOTAL,52664,32589
CITY OF LOS ANGELES,N,1792976,POLLING PLACE,152611,92182
CITY OF LOS ANGELES,N,0,VBM PORTION,138617,80790
CITY OF LOS ANGELES,N,1792976,TOTAL,291153,172972
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,686
CITY OF LYNWOOD,N,0,VBM PORTION,754,555
CITY OF LYNWOOD,N,24503,TOTAL,1711,1241
CITY OF MALIBU,N,9097,POLLING PLACE,1202,606
CITY OF MALIBU,N,0,VBM PORTION,1236,557
CITY OF MALIBU,N,9097,TOTAL,2437,1163
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,1784
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,1697
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,3481
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,317
CITY OF MAYWOOD,N,0,VBM PORTION,258,192
CITY OF MAYWOOD,N,8324,TOTAL,708,509
CITY OF MONROVIA,N,20047,POLLING PLACE,1846,1133
CITY OF MONROVIA,N,0,VBM PORTION,1919,1098
CITY OF MONROVIA,N,20047,TOTAL,3752,2231
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,1535
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,1050
CITY OF MONTEBELLO,N,28939,TOTAL,3924,2585
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,1368
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,1509
