LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JAMES B PIERCE,CAROL NAJERA
CITY OF MONROVIA,N,20047,POLLING PLACE,1846,676,746
CITY OF MONROVIA,N,0,VBM PORTION,1919,650,711
CITY OF MONROVIA,N,20047,TOTAL,3752,1326,1457
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,645,1107
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,515,740
CITY OF MONTEBELLO,N,28939,TOTAL,3924,1160,1847
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,719,890
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,947,825
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,1666,1715
CITY OF NORWALK,N,47546,POLLING PLACE,2626,818,1329
CITY OF NORWALK,N,0,VBM PORTION,2657,908,1176
CITY OF NORWALK,N,47546,TOTAL,5277,1726,2505
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,1653,2376
CITY OF PALMDALE,N,0,VBM PORTION,5361,1807,2369
CITY OF PALMDALE,N,69762,TOTAL,10378,3460,4745
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,584,392
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,684,514
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,1268,906
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,271,492
CITY OF PARAMOUNT,N,0,VBM PORTION,648,232,245
CITY OF PARAMOUNT,N,19999,TOTAL,1576,503,737
CITY OF PASADENA,N,78446,POLLING PLACE,7034,3008,2258
CITY OF PASADENA,N,0,VBM PORTION,8408,3238,2701
CITY OF PASADENA,N,78446,TOTAL,15431,6246,4959
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,550,1170
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,462,916
CITY OF PICO RIVERA,N,32447,TOTAL,3746,1012,2086
CITY OF POMONA,N,57598,POLLING PLACE,3541,1155,1717
CITY OF POMONA,N,0,VBM PORTION,3368,1225,1425
CITY OF POMONA,N,57598,TOTAL,6909,2380,3142
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,1569,1217
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4663,1929,1358
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8478,3498,2575
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,1756,1540
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,1901,1681
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,3657,3221
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,105,83
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,94,82
CITY OF ROLLING HILLS,N,1510,TOTAL,537,199,165
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,365,235
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,387,252
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,752,487
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,389,500
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,453,474
CITY OF ROSEMEAD,N,20579,TOTAL,2488,842,974
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,703,909
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,656,789
CITY OF SAN DIMAS,N,21257,TOTAL,3989,1359,1698
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,172,323
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,131,259
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,303,582
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,464,500
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,468,458
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,932,958
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,372,213
CITY OF SAN MARINO,N,0,VBM PORTION,1161,519,276
CITY OF SAN MARINO,N,8559,TOTAL,1956,891,489
CITY OF SANTA CLARITA,N,111849,POLLING PLACE,9825,3261,4112
CITY OF SANTA CLARITA,N,0,VBM PORTION,12712,4223,5134
CITY OF SANTA CLARITA,N,111849,TOTAL,22530,7484,9246
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,203,347
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,179,274
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,382,621
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,3651,2502
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,2775,1785
CITY OF SANTA MONICA,N,62632,TOTAL,16552,6426,4287
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,501,369
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,415,369
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,916,738
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,261,344
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,248,274
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,509,618
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,102,229
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,131,155
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,233,384
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,549,986
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,357,604
CITY OF SOUTH GATE,N,35773,TOTAL,3018,906,1590
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,812,659
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,693,576
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,1505,1235
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,542,585
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,555,509
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,1097,1094
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,4718,3992
CITY OF TORRANCE,N,0,VBM PORTION,11369,4250,3550
CITY OF TORRANCE,N,83037,TOTAL,23394,8968,7542
CITY OF VERNON,N,60,POLLING PLACE,0,0,0
CITY OF VERNON,N,0,VBM PORTION,18,6,2
CITY OF VERNON,N,60,TOTAL,16,6,2
CITY OF WALNUT,N,18002,POLLING PLACE,1247,450,450
CITY OF WALNUT,N,0,VBM PORTION,1658,598,553
CITY OF WALNUT,N,18002,TOTAL,2905,1048,1003
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,1270,1658
CITY OF WEST COVINA,N,0,VBM PORTION,3945,1480,1479
CITY OF WEST COVINA,N,53486,TOTAL,7643,2750,3137
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,888,746
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,896,561
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,1784,1307
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,256,257
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,252,255
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,508,512
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,1448,1999
CITY OF WHITTIER,N,0,VBM PORTION,3748,1219,1559
CITY OF WHITTIER,N,46005,TOTAL,8056,2667,3558
UNINCORPORATED,N,520339,POLLING PLACE,43458,14660,18580
UNINCORPORATED,N,0,VBM PORTION,39390,13930,15331
UNINCORPORATED,N,520339,TOTAL,82731,28590,33911
