LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,HELEN KIM,ALISON M ESTRADA
CITY OF ROSEMEAD,N,20579,TOTAL,2488,891,1066
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,761,938
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,601,937
CITY OF SAN DIMAS,N,21257,TOTAL,3989,1362,1875
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,209,294
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,144,264
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,353,558
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,411,623
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,406,589
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,817,1212
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,218,411
CITY OF SAN MARINO,N,0,VBM PORTION,1161,276,575
CITY OF SAN MARINO,N,8559,TOTAL,1956,494,986
CITY OF SANTA CLARITA,N,111849,POLLING PLACE,9825,3877,3830
CITY OF SANTA CLARITA,N,0,VBM PORTION,12712,4552,5295
CITY OF SANTA CLARITA,N,111849,TOTAL,22530,8429,9125
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,246,315
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,189,279
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,435,594
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,2395,4116
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,1782,3122
CITY OF SANTA MONICA,N,62632,TOTAL,16552,4177,7238
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,299,596
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,243,588
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,542,1184
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,285,340
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,233,305
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,518,645
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,138,197
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,112,181
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,250,378
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,609,957
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,374,616
CITY OF SOUTH GATE,N,35773,TOTAL,3018,983,1573
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,559,1000
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,464,924
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,1023,1924
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,505,677
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,519,634
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,1024,1311
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,4368,4877
CITY OF TORRANCE,N,0,VBM PORTION,11369,3798,4728
CITY OF TORRANCE,N,83037,TOTAL,23394,8166,9605
CITY OF VERNON,N,60,POLLING PLACE,0,0,0
CITY OF VERNON,N,0,VBM PORTION,18,3,5
CITY OF VERNON,N,60,TOTAL,16,3,5
CITY OF WALNUT,N,18002,POLLING PLACE,1247,414,549
CITY OF WALNUT,N,0,VBM PORTION,1658,614,650
CITY OF WALNUT,N,18002,TOTAL,2905,1028,1199
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,1344,1687
CITY OF WEST COVINA,N,0,VBM PORTION,3945,1263,1890
CITY OF WEST COVINA,N,53486,TOTAL,7643,2607,3577
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,807,957
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,711,871
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,1518,1828
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,242,293
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,246,295
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,488,588
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,1552,1991
CITY OF WHITTIER,N,0,VBM PORTION,3748,1237,1656
CITY OF WHITTIER,N,46005,TOTAL,8056,2789,3647
UNINCORPORATED,N,520339,POLLING PLACE,43458,14954,20216
UNINCORPORATED,N,0,VBM PORTION,39390,13091,17950
UNINCORPORATED,N,520339,TOTAL,82731,28045,38166
