LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TOM GRIEGO,STEVEN P SCHREINER,ANDREW M STEIN
CITY OF CLAREMONT,N,0,VBM PORTION,2652,618,541,728
CITY OF CLAREMONT,N,22235,TOTAL,5533,1167,1136,1758
CITY OF COMMERCE,N,6256,POLLING PLACE,444,208,48,96
CITY OF COMMERCE,N,0,VBM PORTION,247,110,55,42
CITY OF COMMERCE,N,6256,TOTAL,686,318,103,138
CITY OF COMPTON,N,43063,POLLING PLACE,3022,1272,436,694
CITY OF COMPTON,N,0,VBM PORTION,1873,676,396,406
CITY OF COMPTON,N,43063,TOTAL,4894,1948,832,1100
CITY OF COVINA,N,26090,POLLING PLACE,2040,567,511,520
CITY OF COVINA,N,0,VBM PORTION,1877,615,485,330
CITY OF COVINA,N,26090,TOTAL,3913,1182,996,850
CITY OF CUDAHY,N,6697,POLLING PLACE,376,136,64,95
CITY OF CUDAHY,N,0,VBM PORTION,164,74,38,26
CITY OF CUDAHY,N,6697,TOTAL,539,210,102,121
CITY OF CULVER CITY,N,26286,POLLING PLACE,3601,610,524,1302
CITY OF CULVER CITY,N,0,VBM PORTION,3120,687,524,972
CITY OF CULVER CITY,N,26286,TOTAL,6708,1297,1048,2274
CITY OF DIAMOND BAR,N,31476,POLLING PLACE,2646,576,662,730
CITY OF DIAMOND BAR,N,0,VBM PORTION,3067,752,786,660
CITY OF DIAMOND BAR,N,31476,TOTAL,5711,1328,1448,1390
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,1622,1265,1596
CITY OF DOWNEY,N,0,VBM PORTION,3452,1000,841,794
CITY OF DOWNEY,N,54713,TOTAL,9292,2622,2106,2390
CITY OF DUARTE,N,11742,POLLING PLACE,960,233,249,246
CITY OF DUARTE,N,0,VBM PORTION,1099,332,286,228
CITY OF DUARTE,N,11742,TOTAL,2059,565,535,474
CITY OF EL MONTE,N,36036,POLLING PLACE,2322,758,475,586
CITY OF EL MONTE,N,0,VBM PORTION,1885,661,487,346
CITY OF EL MONTE,N,36036,TOTAL,4201,1419,962,932
CITY OF EL SEGUNDO,N,11286,POLLING PLACE,1471,277,357,425
CITY OF EL SEGUNDO,N,0,VBM PORTION,1380,310,320,334
CITY OF EL SEGUNDO,N,11286,TOTAL,2848,587,677,759
CITY OF GARDENA,N,30000,POLLING PLACE,2779,865,564,730
CITY OF GARDENA,N,0,VBM PORTION,2597,766,663,532
CITY OF GARDENA,N,30000,TOTAL,5358,1631,1227,1262
CITY OF GLENDALE,N,97282,POLLING PLACE,9406,1843,1955,2226
CITY OF GLENDALE,N,0,VBM PORTION,12284,2387,2269,1911
CITY OF GLENDALE,N,97282,TOTAL,21689,4230,4224,4137
CITY OF GLENDORA,N,31341,POLLING PLACE,2864,749,733,727
CITY OF GLENDORA,N,0,VBM PORTION,2920,833,779,559
CITY OF GLENDORA,N,31341,TOTAL,5784,1582,1512,1286
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,85,60,77
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,95,57,82
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,180,117,159
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,787,508,644
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,635,495,505
CITY OF HAWTHORNE,N,36483,TOTAL,4464,1422,1003,1149
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,273,353,570
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,312,364,428
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,585,717,998
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,23,31,53
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,13,32,52
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,36,63,105
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,359,184,260
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,224,123,135
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,583,307,395
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,7,7,5
CITY OF INDUSTRY,N,103,TOTAL,32,7,7,5
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,2095,643,1126
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,1221,722,717
CITY OF INGLEWOOD,N,55170,TOTAL,8342,3316,1365,1843
CITY OF IRWINDALE,N,939,POLLING PLACE,75,17,10,21
CITY OF IRWINDALE,N,0,VBM PORTION,61,23,14,8
CITY OF IRWINDALE,N,939,TOTAL,135,40,24,29
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,319,401,471
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,541,590,500
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,860,991,971
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,72,126,127
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,117,160,139
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,189,286,266
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,575,663,647
CITY OF LA MIRADA,N,0,VBM PORTION,2428,653,716,482
CITY OF LA MIRADA,N,27147,TOTAL,4843,1228,1379,1129
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,386,180,205
CITY OF LA PUENTE,N,0,VBM PORTION,740,305,164,134
CITY OF LA PUENTE,N,15802,TOTAL,1699,691,344,339
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,628,724,590
CITY OF LA VERNE,N,0,VBM PORTION,2109,644,605,333
CITY OF LA VERNE,N,20532,TOTAL,4568,1272,1329,923
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,1177,1089,1250
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,1193,1129,819
CITY OF LAKEWOOD,N,48358,TOTAL,8638,2370,2218,2069
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,1383,1529,1396
CITY OF LANCASTER,N,0,VBM PORTION,6128,1777,1734,1158
CITY OF LANCASTER,N,73718,TOTAL,11514,3160,3263,2554
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,257,212,237
CITY OF LAWNDALE,N,0,VBM PORTION,697,216,165,152
CITY OF LAWNDALE,N,13398,TOTAL,1522,473,377,389
CITY OF LOMITA,N,11237,POLLING PLACE,1073,270,337,273
CITY OF LOMITA,N,0,VBM PORTION,1050,295,338,198
CITY OF LOMITA,N,11237,TOTAL,2122,565,675,471
CITY OF LONG BEACH,N,254779,POLLING PLACE,26922,6189,5261,7901
CITY OF LONG BEACH,N,0,VBM PORTION,25748,6454,5813,6510
CITY OF LONG BEACH,N,254779,TOTAL,52664,12643,11074,14411
CITY OF LOS ANGELES,N,1792976,POLLING PLACE,152611,35934,28862,49582
CITY OF LOS ANGELES,N,0,VBM PORTION,138617,32150,28747,39074
CITY OF LOS ANGELES,N,1792976,TOTAL,291153,68084,57609,88656
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,339,147,289
CITY OF LYNWOOD,N,0,VBM PORTION,754,246,172,187
CITY OF LYNWOOD,N,24503,TOTAL,1711,585,319,476
CITY OF MALIBU,N,9097,POLLING PLACE,1202,177,250,371
CITY OF MALIBU,N,0,VBM PORTION,1236,197,241,360
CITY OF MALIBU,N,9097,TOTAL,2437,374,491,731
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,471,707,1190
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,650,734,894
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,1121,1441,2084
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,181,67,112
CITY OF MAYWOOD,N,0,VBM PORTION,258,99,58,44
CITY OF MAYWOOD,N,8324,TOTAL,708,280,125,156
CITY OF MONROVIA,N,20047,POLLING PLACE,1846,413,479,520
CITY OF MONROVIA,N,0,VBM PORTION,1919,504,508,376
CITY OF MONROVIA,N,20047,TOTAL,3752,917,987,896
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,808,390,521
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,559,299,322
CITY OF MONTEBELLO,N,28939,TOTAL,3924,1367,689,843
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,660,474,482
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,726,602,429
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,1386,1076,911
CITY OF NORWALK,N,47546,POLLING PLACE,2626,856,568,709
CITY OF NORWALK,N,0,VBM PORTION,2657,855,659,571
CITY OF NORWALK,N,47546,TOTAL,5277,1711,1227,1280
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,1323,1430,1307
CITY OF PALMDALE,N,0,VBM PORTION,5361,1627,1488,1146
CITY OF PALMDALE,N,69762,TOTAL,10378,2950,2918,2453
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,223,318,477
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,292,444,496
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,515,762,973
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,349,184,242
CITY OF PARAMOUNT,N,0,VBM PORTION,648,191,139,159
CITY OF PARAMOUNT,N,19999,TOTAL,1576,540,323,401
CITY OF PASADENA,N,78446,POLLING PLACE,7034,1494,1540,2277
CITY OF PASADENA,N,0,VBM PORTION,8408,1959,2110,1958
CITY OF PASADENA,N,78446,TOTAL,15431,3453,3650,4235
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,890,341,477
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,729,304,336
CITY OF PICO RIVERA,N,32447,TOTAL,3746,1619,645,813
CITY OF POMONA,N,57598,POLLING PLACE,3541,986,899,955
CITY OF POMONA,N,0,VBM PORTION,3368,982,925,751
CITY OF POMONA,N,57598,TOTAL,6909,1968,1824,1706
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,578,929,1294
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4663,991,1089,1289
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8478,1569,2018,2583
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,847,1092,1402
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,1073,1305,1257
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,1920,2397,2659
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,47,63,80
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,31,75,75
CITY OF ROLLING HILLS,N,1510,TOTAL,537,78,138,155
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,113,224,279
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,190,216,252
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,303,440,531
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,328,252,308
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,369,322,241
CITY OF ROSEMEAD,N,20579,TOTAL,2488,697,574,549
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,546,555,521
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,594,543,333
CITY OF SAN DIMAS,N,21257,TOTAL,3989,1140,1098,854
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,235,118,129
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,211,95,94
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,446,213,223
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,336,321,313
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,408,306,217
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,744,627,530
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,142,227,217
CITY OF SAN MARINO,N,0,VBM PORTION,1161,250,314,215
CITY OF SAN MARINO,N,8559,TOTAL,1956,392,541,432
CITY OF SANTA CLARITA,N,111849,POLLING PLACE,9825,1948,2749,2774
CITY OF SANTA CLARITA,N,0,VBM PORTION,12712,3027,3646,2815
CITY OF SANTA CLARITA,N,111849,TOTAL,22530,4975,6395,5589
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,247,154,142
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,241,110,109
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,488,264,251
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,1420,1559,3133
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,1205,1260,2127
CITY OF SANTA MONICA,N,62632,TOTAL,16552,2625,2819,5260
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,223,289,356
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,261,267,276
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,484,556,632
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,205,158,243
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,207,163,146
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,412,321,389
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,143,88,97
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,140,76,69
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,283,164,166
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,697,372,436
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,436,271,260
CITY OF SOUTH GATE,N,35773,TOTAL,3018,1133,643,696
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,434,406,651
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,446,384,456
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,880,790,1107
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,395,378,360
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,413,364,297
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,808,742,657
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,2220,3222,3324
CITY OF TORRANCE,N,0,VBM PORTION,11369,2487,2903,2533
CITY OF TORRANCE,N,83037,TOTAL,23394,4707,6125,5857
CITY OF VERNON,N,60,POLLING PLACE,0,0,0,0
CITY OF VERNON,N,0,VBM PORTION,18,3,4,0
CITY OF VERNON,N,60,TOTAL,16,3,4,0
CITY OF WALNUT,N,18002,POLLING PLACE,1247,294,302,319
CITY OF WALNUT,N,0,VBM PORTION,1658,431,402,334
CITY OF WALNUT,N,18002,TOTAL,2905,725,704,653
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,1106,893,925
CITY OF WEST COVINA,N,0,VBM PORTION,3945,1262,980,752
CITY OF WEST COVINA,N,53486,TOTAL,7643,2368,1873,1677
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,484,399,785
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,456,427,623
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,940,826,1408
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,149,121,245
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,174,129,211
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,323,250,456
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,1140,1079,1218
CITY OF WHITTIER,N,0,VBM PORTION,3748,1063,924,791
CITY OF WHITTIER,N,46005,TOTAL,8056,2203,2003,2009
UNINCORPORATED,N,520339,POLLING PLACE,43458,12477,9603,11690
UNINCORPORATED,N,0,VBM PORTION,39390,11336,9899,8361
UNINCORPORATED,N,520339,TOTAL,82731,23813,19502,20051
