LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,HOLLINGSWORTH ARMSTRONG,MARC A GIBBONS
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,617,169
CITY OF LA PUENTE,N,0,VBM PORTION,740,453,167
CITY OF LA PUENTE,N,15802,TOTAL,1699,1070,336
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,1625,359
CITY OF LA VERNE,N,0,VBM PORTION,2109,1326,280
CITY OF LA VERNE,N,20532,TOTAL,4568,2951,639
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,2800,807
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,2558,712
CITY OF LAKEWOOD,N,48358,TOTAL,8638,5358,1519
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,3436,969
CITY OF LANCASTER,N,0,VBM PORTION,6128,4034,925
CITY OF LANCASTER,N,73718,TOTAL,11514,7470,1894
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,495,216
CITY OF LAWNDALE,N,0,VBM PORTION,697,431,137
CITY OF LAWNDALE,N,13398,TOTAL,1522,926,353
CITY OF LOMITA,N,11237,POLLING PLACE,1073,711,181
CITY OF LOMITA,N,0,VBM PORTION,1050,688,157
CITY OF LOMITA,N,11237,TOTAL,2122,1399,338
CITY OF LONG BEACH,N,254779,POLLING PLACE,26922,13606,6166
CITY OF LONG BEACH,N,0,VBM PORTION,25748,14013,5255
CITY OF LONG BEACH,N,254779,TOTAL,52664,27619,11421
CITY OF LOS ANGELES,N,1792976,POLLING PLACE,152611,82333,32631
CITY OF LOS ANGELES,N,0,VBM PORTION,138617,74617,26550
CITY OF LOS ANGELES,N,1792976,TOTAL,291153,156950,59181
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,534,266
CITY OF LYNWOOD,N,0,VBM PORTION,754,446,154
CITY OF LYNWOOD,N,24503,TOTAL,1711,980,420
CITY OF MALIBU,N,9097,POLLING PLACE,1202,610,188
CITY OF MALIBU,N,0,VBM PORTION,1236,631,162
CITY OF MALIBU,N,9097,TOTAL,2437,1241,350
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,1906,462
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,1916,371
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,3822,833
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,267,101
CITY OF MAYWOOD,N,0,VBM PORTION,258,145,39
CITY OF MAYWOOD,N,8324,TOTAL,708,412,140
CITY OF MONROVIA,N,20047,POLLING PLACE,1846,1140,313
CITY OF MONROVIA,N,0,VBM PORTION,1919,1067,275
CITY OF MONROVIA,N,20047,TOTAL,3752,2207,588
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,1213,548
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,1016,361
CITY OF MONTEBELLO,N,28939,TOTAL,3924,2229,909
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,1225,446
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,1351,444
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,2576,890
CITY OF NORWALK,N,47546,POLLING PLACE,2626,1519,680
CITY OF NORWALK,N,0,VBM PORTION,2657,1495,575
CITY OF NORWALK,N,47546,TOTAL,5277,3014,1255
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,3262,911
CITY OF PALMDALE,N,0,VBM PORTION,5361,3325,897
CITY OF PALMDALE,N,69762,TOTAL,10378,6587,1808
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,825,164
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,1006,196
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,1831,360
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,556,237
CITY OF PARAMOUNT,N,0,VBM PORTION,648,381,118
CITY OF PARAMOUNT,N,19999,TOTAL,1576,937,355
CITY OF PASADENA,N,78446,POLLING PLACE,7034,3981,1463
CITY OF PASADENA,N,0,VBM PORTION,8408,4703,1448
CITY OF PASADENA,N,78446,TOTAL,15431,8684,2911
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,1194,546
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,979,393
CITY OF PICO RIVERA,N,32447,TOTAL,3746,2173,939
CITY OF POMONA,N,57598,POLLING PLACE,3541,2065,850
CITY OF POMONA,N,0,VBM PORTION,3368,2028,698
CITY OF POMONA,N,57598,TOTAL,6909,4093,1548
