LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ANN H PARK
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,377
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,827
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,4758
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,3475
CITY OF SANTA MONICA,N,62632,TOTAL,16552,8233
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,661
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,595
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,1256
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,510
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,433
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,943
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,271
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,263
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,534
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,1253
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,848
CITY OF SOUTH GATE,N,35773,TOTAL,3018,2101
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,1188
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,1024
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,2212
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,915
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,905
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,1820
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,7092
CITY OF TORRANCE,N,0,VBM PORTION,11369,6636
CITY OF TORRANCE,N,83037,TOTAL,23394,13728
CITY OF VERNON,N,60,POLLING PLACE,0,0
CITY OF VERNON,N,0,VBM PORTION,18,7
CITY OF VERNON,N,60,TOTAL,16,7
CITY OF WALNUT,N,18002,POLLING PLACE,1247,744
CITY OF WALNUT,N,0,VBM PORTION,1658,1005
CITY OF WALNUT,N,18002,TOTAL,2905,1749
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,2402
CITY OF WEST COVINA,N,0,VBM PORTION,3945,2489
CITY OF WEST COVINA,N,53486,TOTAL,7643,4891
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,1331
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,1227
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,2558
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,415
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,400
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,815
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,2737
CITY OF WHITTIER,N,0,VBM PORTION,3748,2231
CITY OF WHITTIER,N,46005,TOTAL,8056,4968
UNINCORPORATED,N,520339,POLLING PLACE,43458,27614
UNINCORPORATED,N,0,VBM PORTION,39390,24675
UNINCORPORATED,N,520339,TOTAL,82731,52289
