LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TOM TORLAKSON,MARSHALL TUCK,LYDIA A GUTIERREZ
CITY OF LA PUENTE,N,15802,TOTAL,1699,541,319,658
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,845,861,503
CITY OF LA VERNE,N,0,VBM PORTION,2109,709,691,371
CITY OF LA VERNE,N,20532,TOTAL,4568,1554,1552,874
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,1519,1223,1245
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,1423,990,1136
CITY OF LAKEWOOD,N,48358,TOTAL,8638,2942,2213,2381
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,1499,1599,1645
CITY OF LANCASTER,N,0,VBM PORTION,6128,1654,2125,1528
CITY OF LANCASTER,N,73718,TOTAL,11514,3153,3724,3173
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,290,215,275
CITY OF LAWNDALE,N,0,VBM PORTION,697,267,172,176
CITY OF LAWNDALE,N,13398,TOTAL,1522,557,387,451
CITY OF LOMITA,N,11237,POLLING PLACE,1073,330,324,306
CITY OF LOMITA,N,0,VBM PORTION,1050,314,307,294
CITY OF LOMITA,N,11237,TOTAL,2122,644,631,600
CITY OF LONG BEACH,N,254779,POLLING PLACE,26922,9768,6307,6703
CITY OF LONG BEACH,N,0,VBM PORTION,25748,9654,6340,5577
CITY OF LONG BEACH,N,254779,TOTAL,52664,19422,12647,12280
CITY OF LOS ANGELES,N,1792976,POLLING PLACE,152611,54424,41134,35737
CITY OF LOS ANGELES,N,0,VBM PORTION,138617,49922,35981,27467
CITY OF LOS ANGELES,N,1792976,TOTAL,291153,104346,77115,63204
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,271,217,370
CITY OF LYNWOOD,N,0,VBM PORTION,754,250,144,267
CITY OF LYNWOOD,N,24503,TOTAL,1711,521,361,637
CITY OF MALIBU,N,9097,POLLING PLACE,1202,323,383,217
CITY OF MALIBU,N,0,VBM PORTION,1236,365,407,174
CITY OF MALIBU,N,9097,TOTAL,2437,688,790,391
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,870,1425,496
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,890,1265,488
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,1760,2690,984
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,116,71,216
CITY OF MAYWOOD,N,0,VBM PORTION,258,60,40,116
CITY OF MAYWOOD,N,8324,TOTAL,708,176,111,332
CITY OF MONROVIA,N,20047,POLLING PLACE,1846,603,677,355
CITY OF MONROVIA,N,0,VBM PORTION,1919,591,549,389
CITY OF MONROVIA,N,20047,TOTAL,3752,1194,1226,744
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,832,377,740
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,700,300,501
CITY OF MONTEBELLO,N,28939,TOTAL,3924,1532,677,1241
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,886,489,515
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,1065,536,481
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,1951,1025,996
CITY OF NORWALK,N,47546,POLLING PLACE,2626,868,536,953
CITY OF NORWALK,N,0,VBM PORTION,2657,889,598,759
CITY OF NORWALK,N,47546,TOTAL,5277,1757,1134,1712
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,1501,1441,1536
CITY OF PALMDALE,N,0,VBM PORTION,5361,1560,1537,1425
CITY OF PALMDALE,N,69762,TOTAL,10378,3061,2978,2961
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,286,605,222
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,436,683,234
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,722,1288,456
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,255,217,376
CITY OF PARAMOUNT,N,0,VBM PORTION,648,200,152,173
CITY OF PARAMOUNT,N,19999,TOTAL,1576,455,369,549
CITY OF PASADENA,N,78446,POLLING PLACE,7034,2614,2321,1224
CITY OF PASADENA,N,0,VBM PORTION,8408,2908,2576,1360
CITY OF PASADENA,N,78446,TOTAL,15431,5522,4897,2584
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,675,337,895
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,611,233,656
CITY OF PICO RIVERA,N,32447,TOTAL,3746,1286,570,1551
CITY OF POMONA,N,57598,POLLING PLACE,3541,1193,742,1237
CITY OF POMONA,N,0,VBM PORTION,3368,1302,770,878
CITY OF POMONA,N,57598,TOTAL,6909,2495,1512,2115
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,1043,1470,707
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4663,1249,1741,735
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8478,2292,3211,1442
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,1371,1490,957
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,1532,1438,1046
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,2903,2928,2003
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,41,130,48
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,48,109,47
CITY OF ROLLING HILLS,N,1510,TOTAL,537,89,239,95
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,183,340,182
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,231,351,140
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,414,691,322
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,423,259,324
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,471,290,316
CITY OF ROSEMEAD,N,20579,TOTAL,2488,894,549,640
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,635,729,452
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,646,611,367
CITY OF SAN DIMAS,N,21257,TOTAL,3989,1281,1340,819
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,164,112,282
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,144,92,183
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,308,204,465
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,477,332,306
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,493,303,244
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,970,635,550
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,218,322,131
CITY OF SAN MARINO,N,0,VBM PORTION,1161,289,408,184
CITY OF SAN MARINO,N,8559,TOTAL,1956,507,730,315
CITY OF SANTA CLARITA,N,111849,POLLING PLACE,9825,2693,3439,2353
CITY OF SANTA CLARITA,N,0,VBM PORTION,12712,3725,4318,2624
CITY OF SANTA CLARITA,N,111849,TOTAL,22530,6418,7757,4977
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,203,145,247
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,197,139,188
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,400,284,435
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,3029,2649,1685
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,2393,1902,1091
CITY OF SANTA MONICA,N,62632,TOTAL,16552,5422,4551,2776
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,379,447,148
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,370,391,150
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,749,838,298
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,301,207,179
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,276,177,140
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,577,384,319
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,116,68,178
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,139,64,106
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,255,132,284
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,513,357,817
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,340,237,465
CITY OF SOUTH GATE,N,35773,TOTAL,3018,853,594,1282
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,766,632,329
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,673,515,289
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,1439,1147,618
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,549,437,302
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,577,396,274
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,1126,833,576
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,3704,3602,2776
CITY OF TORRANCE,N,0,VBM PORTION,11369,3584,3017,2307
CITY OF TORRANCE,N,83037,TOTAL,23394,7288,6619,5083
CITY OF VERNON,N,60,POLLING PLACE,0,0,0,0
CITY OF VERNON,N,0,VBM PORTION,18,1,2,5
CITY OF VERNON,N,60,TOTAL,16,1,2,5
CITY OF WALNUT,N,18002,POLLING PLACE,1247,451,266,338
CITY OF WALNUT,N,0,VBM PORTION,1658,621,406,319
CITY OF WALNUT,N,18002,TOTAL,2905,1072,672,657
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,1279,1000,1010
CITY OF WEST COVINA,N,0,VBM PORTION,3945,1495,935,969
CITY OF WEST COVINA,N,53486,TOTAL,7643,2774,1935,1979
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,962,516,434
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,854,459,433
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,1816,975,867
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,194,307,96
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,188,308,109
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,382,615,205
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,1496,1232,1157
CITY OF WHITTIER,N,0,VBM PORTION,3748,1409,1036,797
CITY OF WHITTIER,N,46005,TOTAL,8056,2905,2268,1954
UNINCORPORATED,N,520339,POLLING PLACE,43458,14594,11821,11683
UNINCORPORATED,N,0,VBM PORTION,39390,13339,10812,8908
UNINCORPORATED,N,520339,TOTAL,82731,27933,22633,20591
