LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,LELAND YEE,DEREK CRESSMAN,DAVID CURTIS,ALEX PADILLA,PETE PETERSON,JEFFREY H DROBMAN,ROY ALLMOND,DAN SCHNUR
CITY OF BURBANK,N,0,VBM PORTION,4858,305,263,130,1497,1395,155,198,334
CITY OF BURBANK,N,60155,TOTAL,9510,482,570,276,3174,2783,255,379,584
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,103,72,33,385,399,73,79,102
CITY OF CALABASAS,N,0,VBM PORTION,1873,149,83,26,423,528,81,101,182
CITY OF CALABASAS,N,14914,TOTAL,3327,252,155,59,808,927,154,180,284
CITY OF CARSON,N,52903,POLLING PLACE,5087,458,310,77,2796,555,143,84,81
CITY OF CARSON,N,0,VBM PORTION,4089,569,284,57,1819,533,153,99,151
CITY OF CARSON,N,52903,TOTAL,9175,1027,594,134,4615,1088,296,183,232
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,176,268,39,788,890,69,105,93
CITY OF CERRITOS,N,0,VBM PORTION,3286,433,229,47,795,855,111,139,184
CITY OF CERRITOS,N,31594,TOTAL,6062,609,497,86,1583,1745,180,244,277
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,234,329,69,845,831,47,105,123
CITY OF CLAREMONT,N,0,VBM PORTION,2652,222,258,61,677,725,62,88,222
CITY OF CLAREMONT,N,22235,TOTAL,5533,456,587,130,1522,1556,109,193,345
CITY OF COMMERCE,N,6256,POLLING PLACE,444,29,40,14,256,29,14,5,4
CITY OF COMMERCE,N,0,VBM PORTION,247,12,14,4,143,12,15,8,9
CITY OF COMMERCE,N,6256,TOTAL,686,41,54,18,399,41,29,13,13
CITY OF COMPTON,N,43063,POLLING PLACE,3022,253,202,58,1887,89,72,31,31
CITY OF COMPTON,N,0,VBM PORTION,1873,259,174,19,1022,58,72,14,17
CITY OF COMPTON,N,43063,TOTAL,4894,512,376,77,2909,147,144,45,48
CITY OF COVINA,N,26090,POLLING PLACE,2040,137,112,29,608,685,42,90,150
CITY OF COVINA,N,0,VBM PORTION,1877,169,84,27,526,541,47,89,167
CITY OF COVINA,N,26090,TOTAL,3913,306,196,56,1134,1226,89,179,317
CITY OF CUDAHY,N,6697,POLLING PLACE,376,23,29,9,222,21,10,11,10
CITY OF CUDAHY,N,0,VBM PORTION,164,17,3,3,111,10,5,1,0
CITY OF CUDAHY,N,6697,TOTAL,539,40,32,12,333,31,15,12,10
CITY OF CULVER CITY,N,26286,POLLING PLACE,3601,239,586,114,1139,561,167,115,163
CITY OF CULVER CITY,N,0,VBM PORTION,3120,262,434,83,995,448,116,126,194
CITY OF CULVER CITY,N,26286,TOTAL,6708,501,1020,197,2134,1009,283,241,357
CITY OF DIAMOND BAR,N,31476,POLLING PLACE,2646,218,138,42,667,728,71,244,209
CITY OF DIAMOND BAR,N,0,VBM PORTION,3067,353,149,33,605,864,94,249,304
CITY OF DIAMOND BAR,N,31476,TOTAL,5711,571,287,75,1272,1592,165,493,513
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,315,426,128,2043,1461,132,286,328
CITY OF DOWNEY,N,0,VBM PORTION,3452,230,213,52,1005,924,105,185,282
CITY OF DOWNEY,N,54713,TOTAL,9292,545,639,180,3048,2385,237,471,610
CITY OF DUARTE,N,11742,POLLING PLACE,960,94,57,13,307,283,17,37,61
CITY OF DUARTE,N,0,VBM PORTION,1099,113,44,36,344,285,36,52,77
CITY OF DUARTE,N,11742,TOTAL,2059,207,101,49,651,568,53,89,138
CITY OF EL MONTE,N,36036,POLLING PLACE,2322,223,148,66,1124,320,67,87,51
CITY OF EL MONTE,N,0,VBM PORTION,1885,317,88,38,719,323,80,73,76
CITY OF EL MONTE,N,36036,TOTAL,4201,540,236,104,1843,643,147,160,127
CITY OF EL SEGUNDO,N,11286,POLLING PLACE,1471,71,109,42,293,429,72,147,116
CITY OF EL SEGUNDO,N,0,VBM PORTION,1380,80,55,28,246,436,64,111,129
CITY OF EL SEGUNDO,N,11286,TOTAL,2848,151,164,70,539,865,136,258,245
CITY OF GARDENA,N,30000,POLLING PLACE,2779,260,246,57,1192,421,117,71,66
CITY OF GARDENA,N,0,VBM PORTION,2597,440,168,26,905,381,110,83,123
CITY OF GARDENA,N,30000,TOTAL,5358,700,414,83,2097,802,227,154,189
CITY OF GLENDALE,N,97282,POLLING PLACE,9406,443,455,215,2883,2535,204,340,452
CITY OF GLENDALE,N,0,VBM PORTION,12284,654,366,263,3347,2617,375,365,557
CITY OF GLENDALE,N,97282,TOTAL,21689,1097,821,478,6230,5152,579,705,1009
CITY OF GLENDORA,N,31341,POLLING PLACE,2864,139,99,50,560,1273,45,154,235
CITY OF GLENDORA,N,0,VBM PORTION,2920,199,108,48,518,1187,67,132,278
CITY OF GLENDORA,N,31341,TOTAL,5784,338,207,98,1078,2460,112,286,513
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,26,24,2,136,36,11,14,5
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,47,19,9,93,49,10,27,12
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,73,43,11,229,85,21,41,17
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,179,142,40,1107,312,162,121,91
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,222,133,50,678,344,137,129,130
CITY OF HAWTHORNE,N,36483,TOTAL,4464,401,275,90,1785,656,299,250,221
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,87,157,59,452,511,24,50,153
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,103,139,38,389,511,60,48,127
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,190,296,97,841,1022,84,98,280
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,7,7,2,28,53,9,7,16
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,6,6,2,19,51,3,3,12
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,13,13,4,47,104,12,10,28
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,50,69,28,594,60,44,22,34
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,41,42,15,312,55,16,17,23
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,91,111,43,906,115,60,39,57
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0,0,0,0,0,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,2,1,0,1,13,0,7,1
CITY OF INDUSTRY,N,103,TOTAL,32,2,1,0,1,13,0,7,1
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,304,355,60,3011,135,270,80,66
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,415,263,55,1786,144,225,65,80
CITY OF INGLEWOOD,N,55170,TOTAL,8342,719,618,115,4797,279,495,145,146
CITY OF IRWINDALE,N,939,POLLING PLACE,75,5,6,3,33,9,1,4,3
CITY OF IRWINDALE,N,0,VBM PORTION,61,4,8,0,31,10,2,0,1
CITY OF IRWINDALE,N,939,TOTAL,135,9,14,3,64,19,3,4,4
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,60,73,18,364,717,35,64,151
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,131,65,34,470,969,49,73,216
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,191,138,52,834,1686,84,137,367
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,22,19,9,54,230,13,23,22
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,28,22,13,74,284,8,22,47
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,50,41,22,128,514,21,45,69
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,146,167,20,591,915,40,167,121
CITY OF LA MIRADA,N,0,VBM PORTION,2428,228,133,30,513,845,44,136,209
CITY OF LA MIRADA,N,27147,TOTAL,4843,374,300,50,1104,1760,84,303,330
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,67,47,23,536,123,20,36,26
CITY OF LA PUENTE,N,0,VBM PORTION,740,64,23,9,375,112,23,29,40
CITY OF LA PUENTE,N,15802,TOTAL,1699,131,70,32,911,235,43,65,66
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,117,115,44,581,1043,22,152,137
CITY OF LA VERNE,N,0,VBM PORTION,2109,134,68,37,521,741,45,128,160
CITY OF LA VERNE,N,20532,TOTAL,4568,251,183,81,1102,1784,67,280,297
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,312,333,98,1113,1312,100,471,264
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,395,228,81,990,1136,126,418,268
CITY OF LAKEWOOD,N,48358,TOTAL,8638,707,561,179,2103,2448,226,889,532
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,185,213,89,1419,2125,164,355,304
CITY OF LANCASTER,N,0,VBM PORTION,6128,369,252,116,1433,2179,182,366,605
CITY OF LANCASTER,N,73718,TOTAL,11514,554,465,205,2852,4304,346,721,909
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,69,51,31,306,153,60,49,39
CITY OF LAWNDALE,N,0,VBM PORTION,697,62,46,10,223,131,64,53,54
CITY OF LAWNDALE,N,13398,TOTAL,1522,131,97,41,529,284,124,102,93
CITY OF LOMITA,N,11237,POLLING PLACE,1073,57,65,21,287,409,25,54,64
CITY OF LOMITA,N,0,VBM PORTION,1050,110,82,20,266,342,26,42,69
CITY OF LOMITA,N,11237,TOTAL,2122,167,147,41,553,751,51,96,133
CITY OF LONG BEACH,N,254779,POLLING PLACE,26922,2295,2599,820,8202,4818,1450,1670,1466
CITY OF LONG BEACH,N,0,VBM PORTION,25748,2528,1978,629,7067,5427,1247,1584,1871
CITY OF LONG BEACH,N,254779,TOTAL,52664,4823,4577,1449,15269,10245,2697,3254,3337
CITY OF LOS ANGELES,N,1792976,POLLING PLACE,152611,9371,16152,4127,62882,25602,5418,5109,7289
CITY OF LOS ANGELES,N,0,VBM PORTION,138617,12124,12335,3170,48930,24637,5725,4799,8695
CITY OF LOS ANGELES,N,1792976,TOTAL,291153,21495,28487,7297,111812,50239,11143,9908,15984
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,105,77,24,518,65,23,25,13
CITY OF LYNWOOD,N,0,VBM PORTION,754,112,65,15,365,39,23,22,25
CITY OF LYNWOOD,N,24503,TOTAL,1711,217,142,39,883,104,46,47,38
CITY OF MALIBU,N,9097,POLLING PLACE,1202,61,138,54,338,316,28,26,63
CITY OF MALIBU,N,0,VBM PORTION,1236,57,85,25,301,367,21,34,111
CITY OF MALIBU,N,9097,TOTAL,2437,118,223,79,639,683,49,60,174
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,158,279,68,771,1230,67,110,325
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,201,205,57,742,1263,65,112,357
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,359,484,125,1513,2493,132,222,682
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,22,23,7,277,27,8,20,12
CITY OF MAYWOOD,N,0,VBM PORTION,258,14,21,7,162,18,11,2,8
CITY OF MAYWOOD,N,8324,TOTAL,708,36,44,14,439,45,19,22,20
CITY OF MONROVIA,N,20047,POLLING PLACE,1846,130,124,39,508,643,39,81,101
CITY OF MONROVIA,N,0,VBM PORTION,1919,179,98,38,541,529,50,111,136
CITY OF MONROVIA,N,20047,TOTAL,3752,309,222,77,1049,1172,89,192,237
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,148,166,44,1146,294,58,67,58
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,171,101,15,786,289,47,48,99
CITY OF MONTEBELLO,N,28939,TOTAL,3924,319,267,59,1932,583,105,115,157
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,396,132,46,875,399,46,68,88
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,552,104,26,832,432,95,84,157
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,948,236,72,1707,831,141,152,245
CITY OF NORWALK,N,47546,POLLING PLACE,2626,176,186,73,1170,498,70,95,97
CITY OF NORWALK,N,0,VBM PORTION,2657,305,195,49,957,539,96,99,160
CITY OF NORWALK,N,47546,TOTAL,5277,481,381,122,2127,1037,166,194,257
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,211,221,86,1742,1547,138,316,309
CITY OF PALMDALE,N,0,VBM PORTION,5361,330,212,108,1572,1653,156,352,496
CITY OF PALMDALE,N,69762,TOTAL,10378,541,433,194,3314,3200,294,668,805
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,56,49,14,218,616,20,46,142
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,92,71,27,261,798,22,67,194
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,148,120,41,479,1414,42,113,336
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,73,57,24,487,94,24,48,20
CITY OF PARAMOUNT,N,0,VBM PORTION,648,83,43,13,259,79,18,32,29
CITY OF PARAMOUNT,N,19999,TOTAL,1576,156,100,37,746,173,42,80,49
CITY OF PASADENA,N,78446,POLLING PLACE,7034,503,725,163,2552,1769,154,162,356
CITY OF PASADENA,N,0,VBM PORTION,8408,700,536,166,2609,2304,196,187,527
CITY OF PASADENA,N,78446,TOTAL,15431,1203,1261,329,5161,4073,350,349,883
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,71,169,34,1229,232,66,45,35
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,86,138,22,879,181,52,50,61
CITY OF PICO RIVERA,N,32447,TOTAL,3746,157,307,56,2108,413,118,95,96
CITY OF POMONA,N,57598,POLLING PLACE,3541,219,322,67,1570,691,104,132,94
CITY OF POMONA,N,0,VBM PORTION,3368,292,221,53,1284,690,101,147,251
CITY OF POMONA,N,57598,TOTAL,6909,511,543,120,2854,1381,205,279,345
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,214,178,79,807,1508,88,139,351
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4663,334,169,59,857,1797,127,147,544
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8478,548,347,138,1664,3305,215,286,895
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,221,401,140,1234,1473,127,161,337
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,404,291,132,1291,1497,188,207,404
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,625,692,272,2525,2970,315,368,741
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,10,9,4,23,129,7,11,51
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,10,11,3,20,125,6,12,43
CITY OF ROLLING HILLS,N,1510,TOTAL,537,20,20,7,43,254,13,23,94
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,38,27,12,135,389,11,21,91
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,58,32,8,140,386,13,37,113
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,96,59,20,275,775,24,58,204
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,203,66,29,482,185,27,33,52
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,275,49,21,423,212,34,41,80
CITY OF ROSEMEAD,N,20579,TOTAL,2488,478,115,50,905,397,61,74,132
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,125,95,30,477,846,38,129,89
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,129,78,30,451,727,46,97,153
CITY OF SAN DIMAS,N,21257,TOTAL,3989,254,173,60,928,1573,84,226,242
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,18,31,18,378,72,21,31,21
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,35,21,8,273,66,6,15,12
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,53,52,26,651,138,27,46,33
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,148,93,24,431,337,28,50,51
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,207,61,12,370,294,45,39,78
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,355,154,36,801,631,73,89,129
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,67,36,8,126,396,8,14,63
CITY OF SAN MARINO,N,0,VBM PORTION,1161,112,28,12,185,492,18,19,106
CITY OF SAN MARINO,N,8559,TOTAL,1956,179,64,20,311,888,26,33,169
CITY OF SANTA CLARITA,N,111849,POLLING PLACE,9825,438,425,144,2000,3402,301,1126,991
CITY OF SANTA CLARITA,N,0,VBM PORTION,12712,772,516,214,2500,4280,468,1176,1370
CITY OF SANTA CLARITA,N,111849,TOTAL,22530,1210,941,358,4500,7682,769,2302,2361
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,50,59,12,283,143,8,27,19
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,67,36,12,243,96,10,28,35
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,117,95,24,526,239,18,55,54
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,546,1609,373,3101,1509,210,119,501
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,525,923,215,2252,1336,208,126,491
CITY OF SANTA MONICA,N,62632,TOTAL,16552,1071,2532,588,5353,2845,418,245,992
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,60,83,37,343,434,22,44,52
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,70,56,27,265,375,37,43,89
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,130,139,64,608,809,59,87,141
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,71,85,18,265,135,50,56,37
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,72,70,17,209,155,33,30,40
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,143,155,35,474,290,83,86,77
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,21,21,9,251,43,3,11,7
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,51,14,5,170,40,5,11,15
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,72,35,14,421,83,8,22,22
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,122,115,48,1038,188,33,61,51
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,78,59,23,636,120,36,56,52
CITY OF SOUTH GATE,N,35773,TOTAL,3018,200,174,71,1674,308,69,117,103
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,153,224,51,664,534,28,57,86
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,180,101,48,579,490,39,30,121
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,333,325,99,1243,1024,67,87,207
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,159,66,29,407,460,31,86,86
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,248,63,24,358,403,48,72,99
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,407,129,53,765,863,79,158,185
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,815,784,250,2653,4613,271,516,634
CITY OF TORRANCE,N,0,VBM PORTION,11369,1238,534,195,2426,3776,318,511,761
CITY OF TORRANCE,N,83037,TOTAL,23394,2053,1318,445,5079,8389,589,1027,1395
CITY OF VERNON,N,60,POLLING PLACE,0,0,0,0,0,0,0,0,0
CITY OF VERNON,N,0,VBM PORTION,18,2,1,0,7,0,1,1,0
CITY OF VERNON,N,60,TOTAL,16,2,1,0,7,0,1,1,0
CITY OF WALNUT,N,18002,POLLING PLACE,1247,107,69,16,363,358,25,88,66
CITY OF WALNUT,N,0,VBM PORTION,1658,229,46,12,410,436,61,89,130
CITY OF WALNUT,N,18002,TOTAL,2905,336,115,28,773,794,86,177,196
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,271,205,70,1314,1026,89,196,166
CITY OF WEST COVINA,N,0,VBM PORTION,3945,417,193,56,1291,952,109,159,266
CITY OF WEST COVINA,N,53486,TOTAL,7643,688,398,126,2605,1978,198,355,432
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,133,333,83,1170,198,70,38,81
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,170,246,72,927,276,87,29,112
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,303,579,155,2097,474,157,67,193
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,26,31,5,187,297,15,30,71
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,35,20,13,150,309,30,25,80
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,61,51,18,337,606,45,55,151
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,264,298,101,1314,1470,63,183,196
CITY OF WHITTIER,N,0,VBM PORTION,3748,260,210,67,981,1275,71,160,260
CITY OF WHITTIER,N,46005,TOTAL,8056,524,508,168,2295,2745,134,343,456
UNINCORPORATED,N,520339,POLLING PLACE,43458,2727,2924,924,17177,10116,1188,2044,1847
UNINCORPORATED,N,0,VBM PORTION,39390,3647,2150,721,12225,10064,1300,1938,2750
UNINCORPORATED,N,520339,TOTAL,82731,6374,5074,1645,29402,20180,2488,3982,4597
