LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,PAMALA F MATSUMOTO,AMY CARTER
CITY OF CULVER CITY,N,26286,TOTAL,6708,2824,2130
CITY OF DIAMOND BAR,N,31476,POLLING PLACE,2646,606,1489
CITY OF DIAMOND BAR,N,0,VBM PORTION,3067,697,1623
CITY OF DIAMOND BAR,N,31476,TOTAL,5711,1303,3112
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,1315,3355
CITY OF DOWNEY,N,0,VBM PORTION,3452,729,2008
CITY OF DOWNEY,N,54713,TOTAL,9292,2044,5363
CITY OF DUARTE,N,11742,POLLING PLACE,960,267,492
CITY OF DUARTE,N,0,VBM PORTION,1099,360,525
CITY OF DUARTE,N,11742,TOTAL,2059,627,1017
CITY OF EL MONTE,N,36036,POLLING PLACE,2322,724,1199
CITY OF EL MONTE,N,0,VBM PORTION,1885,656,900
CITY OF EL MONTE,N,36036,TOTAL,4201,1380,2099
CITY OF EL SEGUNDO,N,11286,POLLING PLACE,1471,358,770
CITY OF EL SEGUNDO,N,0,VBM PORTION,1380,313,688
CITY OF EL SEGUNDO,N,11286,TOTAL,2848,671,1458
CITY OF GARDENA,N,30000,POLLING PLACE,2779,907,1426
CITY OF GARDENA,N,0,VBM PORTION,2597,1098,951
CITY OF GARDENA,N,30000,TOTAL,5358,2005,2377
CITY OF GLENDALE,N,97282,POLLING PLACE,9406,2566,3823
CITY OF GLENDALE,N,0,VBM PORTION,12284,3005,3914
CITY OF GLENDALE,N,97282,TOTAL,21689,5571,7737
CITY OF GLENDORA,N,31341,POLLING PLACE,2864,621,1644
CITY OF GLENDORA,N,0,VBM PORTION,2920,690,1537
CITY OF GLENDORA,N,31341,TOTAL,5784,1311,3181
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,93,136
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,110,140
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,203,276
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,559,1509
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,546,1154
CITY OF HAWTHORNE,N,36483,TOTAL,4464,1105,2663
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,529,742
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,481,705
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,1010,1447
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,37,75
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,39,60
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,76,135
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,334,520
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,169,324
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,503,844
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,6,15
CITY OF INDUSTRY,N,103,TOTAL,32,6,15
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,871,3274
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,766,2026
CITY OF INGLEWOOD,N,55170,TOTAL,8342,1637,5300
CITY OF IRWINDALE,N,939,POLLING PLACE,75,18,34
CITY OF IRWINDALE,N,0,VBM PORTION,61,13,34
CITY OF IRWINDALE,N,939,TOTAL,135,31,68
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,555,696
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,819,849
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,1374,1545
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,98,239
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,153,278
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,251,517
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,577,1392
CITY OF LA MIRADA,N,0,VBM PORTION,2428,575,1311
CITY OF LA MIRADA,N,27147,TOTAL,4843,1152,2703
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,322,488
CITY OF LA PUENTE,N,0,VBM PORTION,740,239,374
CITY OF LA PUENTE,N,15802,TOTAL,1699,561,862
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,451,1569
CITY OF LA VERNE,N,0,VBM PORTION,2109,507,1060
CITY OF LA VERNE,N,20532,TOTAL,4568,958,2629
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,1121,2558
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,1057,2221
CITY OF LAKEWOOD,N,48358,TOTAL,8638,2178,4779
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,1116,3398
CITY OF LANCASTER,N,0,VBM PORTION,6128,1377,3639
CITY OF LANCASTER,N,73718,TOTAL,11514,2493,7037
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,223,512
CITY OF LAWNDALE,N,0,VBM PORTION,697,175,407
CITY OF LAWNDALE,N,13398,TOTAL,1522,398,919
CITY OF LOMITA,N,11237,POLLING PLACE,1073,312,615
CITY OF LOMITA,N,0,VBM PORTION,1050,312,558
CITY OF LOMITA,N,11237,TOTAL,2122,624,1173
CITY OF LONG BEACH,N,254779,POLLING PLACE,26922,6420,14289
CITY OF LONG BEACH,N,0,VBM PORTION,25748,6219,13584
CITY OF LONG BEACH,N,254779,TOTAL,52664,12639,27873
CITY OF LOS ANGELES,N,1792976,POLLING PLACE,152611,50728,71063
CITY OF LOS ANGELES,N,0,VBM PORTION,138617,45067,60962
CITY OF LOS ANGELES,N,1792976,TOTAL,291153,95795,132025
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,322,484
CITY OF LYNWOOD,N,0,VBM PORTION,754,232,400
CITY OF LYNWOOD,N,24503,TOTAL,1711,554,884
CITY OF MALIBU,N,9097,POLLING PLACE,1202,365,494
CITY OF MALIBU,N,0,VBM PORTION,1236,408,436
CITY OF MALIBU,N,9097,TOTAL,2437,773,930
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,1112,1426
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,977,1396
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,2089,2822
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,160,225
CITY OF MAYWOOD,N,0,VBM PORTION,258,91,125
CITY OF MAYWOOD,N,8324,TOTAL,708,251,350
CITY OF MONROVIA,N,20047,POLLING PLACE,1846,472,995
CITY OF MONROVIA,N,0,VBM PORTION,1919,530,855
CITY OF MONROVIA,N,20047,TOTAL,3752,1002,1850
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,760,1069
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,654,751
CITY OF MONTEBELLO,N,28939,TOTAL,3924,1414,1820
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,906,873
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,1137,862
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,2043,1735
CITY OF NORWALK,N,47546,POLLING PLACE,2626,675,1547
CITY OF NORWALK,N,0,VBM PORTION,2657,757,1420
CITY OF NORWALK,N,47546,TOTAL,5277,1432,2967
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,1216,3028
CITY OF PALMDALE,N,0,VBM PORTION,5361,1293,3113
CITY OF PALMDALE,N,69762,TOTAL,10378,2509,6141
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,394,659
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,521,760
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,915,1419
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,298,515
CITY OF PARAMOUNT,N,0,VBM PORTION,648,223,279
CITY OF PARAMOUNT,N,19999,TOTAL,1576,521,794
CITY OF PASADENA,N,78446,POLLING PLACE,7034,2616,3038
CITY OF PASADENA,N,0,VBM PORTION,8408,2870,3276
CITY OF PASADENA,N,78446,TOTAL,15431,5486,6314
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,667,1090
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,520,891
CITY OF PICO RIVERA,N,32447,TOTAL,3746,1187,1981
CITY OF POMONA,N,57598,POLLING PLACE,3541,1061,1921
CITY OF POMONA,N,0,VBM PORTION,3368,973,1763
CITY OF POMONA,N,57598,TOTAL,6909,2034,3684
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,1109,1891
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4663,1368,2138
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8478,2477,4029
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,1346,2196
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,1403,2354
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,2749,4550
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,67,131
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,63,124
CITY OF ROLLING HILLS,N,1510,TOTAL,537,130,255
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,214,453
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,276,400
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,490,853
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,325,603
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,397,585
CITY OF ROSEMEAD,N,20579,TOTAL,2488,722,1188
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,433,1254
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,429,1056
CITY OF SAN DIMAS,N,21257,TOTAL,3989,862,2310
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,246,273
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,188,218
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,434,491
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,355,671
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,396,580
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,751,1251
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,275,358
CITY OF SAN MARINO,N,0,VBM PORTION,1161,347,453
CITY OF SAN MARINO,N,8559,TOTAL,1956,622,811
CITY OF SANTA CLARITA,N,111849,POLLING PLACE,9825,1799,5991
CITY OF SANTA CLARITA,N,0,VBM PORTION,12712,2601,7375
CITY OF SANTA CLARITA,N,111849,TOTAL,22530,4400,13366
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,203,352
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,174,293
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,377,645
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,3439,3248
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,2598,2308
CITY OF SANTA MONICA,N,62632,TOTAL,16552,6037,5556
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,373,556
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,338,478
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,711,1034
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,231,405
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,223,319
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,454,724
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,127,210
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,115,181
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,242,391
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,644,938
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,368,626
CITY OF SOUTH GATE,N,35773,TOTAL,3018,1012,1564
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,757,829
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,680,679
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,1437,1508
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,396,800
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,417,729
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,813,1529
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,3548,5821
CITY OF TORRANCE,N,0,VBM PORTION,11369,3775,4861
CITY OF TORRANCE,N,83037,TOTAL,23394,7323,10682
CITY OF VERNON,N,60,POLLING PLACE,0,0,0
CITY OF VERNON,N,0,VBM PORTION,18,3,7
CITY OF VERNON,N,60,TOTAL,16,3,7
CITY OF WALNUT,N,18002,POLLING PLACE,1247,271,694
CITY OF WALNUT,N,0,VBM PORTION,1658,437,808
CITY OF WALNUT,N,18002,TOTAL,2905,708,1502
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,976,2086
CITY OF WEST COVINA,N,0,VBM PORTION,3945,1136,2012
CITY OF WEST COVINA,N,53486,TOTAL,7643,2112,4098
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,808,1000
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,898,781
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,1706,1781
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,199,336
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,158,399
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,357,735
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,1203,2339
CITY OF WHITTIER,N,0,VBM PORTION,3748,1025,1890
CITY OF WHITTIER,N,46005,TOTAL,8056,2228,4229
UNINCORPORATED,N,520339,POLLING PLACE,43458,11806,23832
UNINCORPORATED,N,0,VBM PORTION,39390,11090,19931
UNINCORPORATED,N,520339,TOTAL,82731,22896,43763
