LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JEROME E HORTON
CITY OF COMMERCE,N,6256,TOTAL,686,344
CITY OF COMPTON,N,43063,POLLING PLACE,3022,1886
CITY OF COMPTON,N,0,VBM PORTION,1873,1261
CITY OF COMPTON,N,43063,TOTAL,4894,3147
CITY OF COVINA,N,26090,POLLING PLACE,2040,777
CITY OF COVINA,N,0,VBM PORTION,1877,774
CITY OF COVINA,N,26090,TOTAL,3913,1551
CITY OF CUDAHY,N,6697,POLLING PLACE,376,186
CITY OF CUDAHY,N,0,VBM PORTION,164,106
CITY OF CUDAHY,N,6697,TOTAL,539,292
CITY OF CULVER CITY,N,26286,POLLING PLACE,3601,1738
CITY OF CULVER CITY,N,0,VBM PORTION,3120,1563
CITY OF CULVER CITY,N,26286,TOTAL,6708,3301
CITY OF DIAMOND BAR,N,31476,POLLING PLACE,2646,987
CITY OF DIAMOND BAR,N,0,VBM PORTION,3067,1334
CITY OF DIAMOND BAR,N,31476,TOTAL,5711,2321
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,2323
CITY OF DOWNEY,N,0,VBM PORTION,3452,1511
CITY OF DOWNEY,N,54713,TOTAL,9292,3834
CITY OF DUARTE,N,11742,POLLING PLACE,960,397
CITY OF DUARTE,N,0,VBM PORTION,1099,509
CITY OF DUARTE,N,11742,TOTAL,2059,906
CITY OF EL MONTE,N,36036,POLLING PLACE,2322,1097
CITY OF EL MONTE,N,0,VBM PORTION,1885,994
CITY OF EL MONTE,N,36036,TOTAL,4201,2091
CITY OF EL SEGUNDO,N,11286,POLLING PLACE,1471,644
CITY OF EL SEGUNDO,N,0,VBM PORTION,1380,615
CITY OF EL SEGUNDO,N,11286,TOTAL,2848,1259
CITY OF GARDENA,N,30000,POLLING PLACE,2779,1443
CITY OF GARDENA,N,0,VBM PORTION,2597,1395
CITY OF GARDENA,N,30000,TOTAL,5358,2838
CITY OF GLENDALE,N,97282,POLLING PLACE,9406,3085
CITY OF GLENDALE,N,0,VBM PORTION,12284,4066
CITY OF GLENDALE,N,97282,TOTAL,21689,7151
CITY OF GLENDORA,N,31341,POLLING PLACE,2864,932
CITY OF GLENDORA,N,0,VBM PORTION,2920,1074
CITY OF GLENDORA,N,31341,TOTAL,5784,2006
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,130
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,168
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,298
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,1355
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,1129
CITY OF HAWTHORNE,N,36483,TOTAL,4464,2484
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,834
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,774
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,1608
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,44
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,31
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,75
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,500
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,349
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,849
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,10
CITY OF INDUSTRY,N,103,TOTAL,32,10
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,3238
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,2456
CITY OF INGLEWOOD,N,55170,TOTAL,8342,5694
CITY OF IRWINDALE,N,939,POLLING PLACE,75,32
CITY OF IRWINDALE,N,0,VBM PORTION,61,23
CITY OF IRWINDALE,N,939,TOTAL,135,55
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,506
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,790
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,1296
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,139
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,165
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,304
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,891
CITY OF LA MIRADA,N,0,VBM PORTION,2428,948
CITY OF LA MIRADA,N,27147,TOTAL,4843,1839
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,477
CITY OF LA PUENTE,N,0,VBM PORTION,740,368
CITY OF LA PUENTE,N,15802,TOTAL,1699,845
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,830
CITY OF LA VERNE,N,0,VBM PORTION,2109,791
CITY OF LA VERNE,N,20532,TOTAL,4568,1621
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,1809
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,1855
CITY OF LAKEWOOD,N,48358,TOTAL,8638,3664
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,436
CITY OF LAWNDALE,N,0,VBM PORTION,697,395
CITY OF LAWNDALE,N,13398,TOTAL,1522,831
CITY OF LOMITA,N,11237,POLLING PLACE,1073,427
CITY OF LOMITA,N,0,VBM PORTION,1050,456
CITY OF LOMITA,N,11237,TOTAL,2122,883
CITY OF LONG BEACH,N,254779,POLLING PLACE,26922,12039
CITY OF LONG BEACH,N,0,VBM PORTION,25748,12331
CITY OF LONG BEACH,N,254779,TOTAL,52664,24370
CITY OF LOS ANGELES,N,1544300,POLLING PLACE,134202,64678
CITY OF LOS ANGELES,N,0,VBM PORTION,121371,61331
CITY OF LOS ANGELES,N,1544300,TOTAL,255508,126009
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,477
CITY OF LYNWOOD,N,0,VBM PORTION,754,443
CITY OF LYNWOOD,N,24503,TOTAL,1711,920
CITY OF MALIBU,N,9097,POLLING PLACE,1202,527
CITY OF MALIBU,N,0,VBM PORTION,1236,547
CITY OF MALIBU,N,9097,TOTAL,2437,1074
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,1560
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,1548
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,3108
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,218
CITY OF MAYWOOD,N,0,VBM PORTION,258,154
CITY OF MAYWOOD,N,8324,TOTAL,708,372
CITY OF MONROVIA,N,20047,POLLING PLACE,1846,695
CITY OF MONROVIA,N,0,VBM PORTION,1919,852
CITY OF MONROVIA,N,20047,TOTAL,3752,1547
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,992
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,901
CITY OF MONTEBELLO,N,28939,TOTAL,3924,1893
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,924
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,1213
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,2137
CITY OF NORWALK,N,47546,POLLING PLACE,2626,1152
CITY OF NORWALK,N,0,VBM PORTION,2657,1332
CITY OF NORWALK,N,47546,TOTAL,5277,2484
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,505
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,644
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,1149
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,445
CITY OF PARAMOUNT,N,0,VBM PORTION,648,332
CITY OF PARAMOUNT,N,19999,TOTAL,1576,777
CITY OF PASADENA,N,78446,POLLING PLACE,7034,3246
CITY OF PASADENA,N,0,VBM PORTION,8408,3839
CITY OF PASADENA,N,78446,TOTAL,15431,7085
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,986
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,908
CITY OF PICO RIVERA,N,32447,TOTAL,3746,1894
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,1615
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4663,1994
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8478,3609
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,2231
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,2558
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,4789
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,71
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,80
CITY OF ROLLING HILLS,N,1510,TOTAL,537,151
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,293
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,394
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,687
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,489
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,624
CITY OF ROSEMEAD,N,20579,TOTAL,2488,1113
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,688
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,764
CITY OF SAN DIMAS,N,21257,TOTAL,3989,1452
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,511
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,578
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,1089
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,244
CITY OF SAN MARINO,N,0,VBM PORTION,1161,351
CITY OF SAN MARINO,N,8559,TOTAL,1956,595
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,304
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,311
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,615
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,5269
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,4009
CITY OF SANTA MONICA,N,62632,TOTAL,16552,9278
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,405
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,457
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,862
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,340
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,339
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,679
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,181
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,206
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,387
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,896
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,677
CITY OF SOUTH GATE,N,35773,TOTAL,3018,1573
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,906
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,861
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,1767
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,544
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,657
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,1201
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,5289
CITY OF TORRANCE,N,0,VBM PORTION,11369,5324
CITY OF TORRANCE,N,83037,TOTAL,23394,10613
CITY OF VERNON,N,60,POLLING PLACE,0,0
CITY OF VERNON,N,0,VBM PORTION,18,6
CITY OF VERNON,N,60,TOTAL,16,6
CITY OF WALNUT,N,18002,POLLING PLACE,1247,523
CITY OF WALNUT,N,0,VBM PORTION,1658,738
CITY OF WALNUT,N,18002,TOTAL,2905,1261
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,1510
CITY OF WEST COVINA,N,0,VBM PORTION,3945,1798
CITY OF WEST COVINA,N,53486,TOTAL,7643,3308
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,1248
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,1248
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,2496
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,228
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,255
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,483
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,1728
CITY OF WHITTIER,N,0,VBM PORTION,3748,1539
CITY OF WHITTIER,N,46005,TOTAL,8056,3267
UNINCORPORATED,N,442986,POLLING PLACE,36161,17143
UNINCORPORATED,N,0,VBM PORTION,31236,15224
UNINCORPORATED,N,442986,TOTAL,67290,32367
