LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,BRENT C ROSKE,ZEIN E OBAGI JR,M WILLIAMSON,KEVIN MOTTUS,BARBARA L MULVANEY,MATT MILLER,ELAN CARR,DAVID KANUTH,TOM FOX,VINCE FLAHERTY,KRISTIE HOLMES,MARK MATTHEW HERD,JAMES GRAF,WENDY GREUEL,LILY GILANI,MICHAEL SHAPIRO,MICHAEL IAN SACHS,TED LIEU
BEVERLY HILLS,0900020A,280,82,N,1230,POLLING PLACE,94,0,0,12,3,1,17,20,2,0,0,1,0,0,27,5,0,0,6
BEVERLY HILLS,0900020A,280,82,N,0,VBM PORTION,101,0,0,9,0,2,3,21,1,0,0,3,0,0,25,11,2,1,15
BEVERLY HILLS,0900020A,280,82,N,1230,TOTAL,195,0,0,21,3,3,20,41,3,0,0,4,0,0,52,16,2,1,21
BEVERLY HILLS,0900023A,281,82,N,1321,POLLING PLACE,121,0,2,24,3,3,10,22,2,2,1,0,0,0,22,10,0,0,9
BEVERLY HILLS,0900023A,281,82,N,0,VBM PORTION,115,0,2,16,6,4,8,17,1,0,1,1,0,1,38,6,2,0,8
BEVERLY HILLS,0900023A,281,82,N,1321,TOTAL,236,0,4,40,9,7,18,39,3,2,2,1,0,1,60,16,2,0,17
BEVERLY HILLS,0900023B,282,82,N,1022,POLLING PLACE,93,0,0,10,0,0,19,23,0,0,0,0,2,0,19,1,0,0,13
BEVERLY HILLS,0900023B,282,82,N,0,VBM PORTION,153,0,3,9,1,3,22,33,1,0,0,0,1,0,37,1,1,0,25
BEVERLY HILLS,0900023B,282,82,N,1022,TOTAL,246,0,3,19,1,3,41,56,1,0,0,0,3,0,56,2,1,0,38
BEVERLY HILLS,0900026A,283,82,N,1405,POLLING PLACE,149,3,1,33,1,2,22,17,2,2,1,1,0,0,28,10,2,1,14
BEVERLY HILLS,0900026A,283,82,N,0,VBM PORTION,113,0,1,23,6,3,6,17,0,0,0,2,1,0,18,7,2,0,13
BEVERLY HILLS,0900026A,283,82,N,1405,TOTAL,262,3,2,56,7,5,28,34,2,2,1,3,1,0,46,17,4,1,27
BEVERLY HILLS,0900030A,284,82,N,1083,POLLING PLACE,130,0,4,27,4,1,15,22,4,0,0,0,0,0,27,4,0,2,13
BEVERLY HILLS,0900030A,284,82,N,0,VBM PORTION,105,0,0,10,1,1,13,28,3,1,0,2,1,0,18,4,2,0,12
BEVERLY HILLS,0900030A,284,82,N,1083,TOTAL,235,0,4,37,5,2,28,50,7,1,0,2,1,0,45,8,2,2,25
BEVERLY HILLS,0900033B,6018,83,Y,10,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEVERLY HILLS,0900033B,6018,83,Y,0,VBM PORTION,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
BEVERLY HILLS,0900033B,6018,83,Y,10,TOTAL,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
BEVERLY HILLS,0900033I,285,82,N,1100,POLLING PLACE,111,0,0,10,2,1,24,21,0,0,0,0,0,0,27,4,0,1,14
BEVERLY HILLS,0900033I,285,82,N,0,VBM PORTION,133,1,2,3,1,0,17,25,1,0,0,1,1,1,42,3,1,0,24
BEVERLY HILLS,0900033I,285,82,N,1100,TOTAL,244,1,2,13,3,1,41,46,1,0,0,1,1,1,69,7,1,1,38
BEVERLY HILLS,0900036A,286,82,N,1297,POLLING PLACE,105,0,2,16,2,2,15,17,2,0,2,0,1,0,13,4,2,0,18
BEVERLY HILLS,0900036A,286,82,N,0,VBM PORTION,127,0,2,13,2,0,9,30,1,0,1,0,0,0,32,10,1,0,15
BEVERLY HILLS,0900036A,286,82,N,1297,TOTAL,232,0,4,29,4,2,24,47,3,0,3,0,1,0,45,14,3,0,33
BEVERLY HILLS,0900037G,287,82,N,1228,POLLING PLACE,142,0,1,33,1,1,16,23,2,0,1,0,0,0,38,3,0,0,18
BEVERLY HILLS,0900037G,287,82,N,0,VBM PORTION,152,0,1,16,1,4,15,35,1,2,1,1,1,0,40,4,2,0,19
BEVERLY HILLS,0900037G,287,82,N,1228,TOTAL,294,0,2,49,2,5,31,58,3,2,2,1,1,0,78,7,2,0,37
BEVERLY HILLS,0900041A,288,82,N,1420,POLLING PLACE,143,0,0,17,3,2,24,21,2,0,1,3,1,0,34,1,0,1,23
BEVERLY HILLS,0900041A,288,82,N,0,VBM PORTION,143,0,1,11,3,6,28,26,1,1,0,4,0,0,29,7,2,2,14
BEVERLY HILLS,0900041A,288,82,N,1420,TOTAL,286,0,1,28,6,8,52,47,3,1,1,7,1,0,63,8,2,3,37
BEVERLY HILLS,0900046A,289,82,N,1228,POLLING PLACE,78,0,0,12,0,1,5,24,4,0,0,0,0,1,12,12,0,0,4
BEVERLY HILLS,0900046A,289,82,N,0,VBM PORTION,106,0,1,9,1,3,5,29,2,0,0,4,2,1,18,9,2,1,9
BEVERLY HILLS,0900046A,289,82,N,1228,TOTAL,184,0,1,21,1,4,10,53,6,0,0,4,2,2,30,21,2,1,13
CALABASAS,1000001E,347,58,N,1263,POLLING PLACE,69,0,1,17,4,0,3,16,0,0,1,0,1,0,10,6,1,0,5
CALABASAS,1000001E,347,58,N,0,VBM PORTION,134,0,0,4,3,3,4,36,0,0,2,2,0,0,35,18,3,0,12
CALABASAS,1000001E,347,58,N,1263,TOTAL,203,0,1,21,7,3,7,52,0,0,3,2,1,0,45,24,4,0,17
CALABASAS,1000004A,6019,88,Y,177,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALABASAS,1000004A,6019,88,Y,0,VBM PORTION,38,0,0,3,0,0,0,15,0,1,0,0,0,1,4,4,3,0,0
CALABASAS,1000004A,6019,88,Y,177,TOTAL,38,0,0,3,0,0,0,15,0,1,0,0,0,1,4,4,3,0,0
CALABASAS,1000006A,348,58,N,1503,POLLING PLACE,137,0,1,20,1,1,20,34,2,0,1,0,0,0,27,4,5,0,13
CALABASAS,1000006A,348,58,N,0,VBM PORTION,272,1,2,15,6,10,24,68,1,0,1,2,1,3,73,15,7,5,15
CALABASAS,1000006A,348,58,N,1503,TOTAL,409,1,3,35,7,11,44,102,3,0,2,2,1,3,100,19,12,5,28
CALABASAS,1000007A,349,58,N,1306,POLLING PLACE,114,0,0,21,4,1,2,27,2,0,0,1,1,0,15,10,1,0,21
CALABASAS,1000007A,349,58,N,0,VBM PORTION,107,0,2,6,4,0,1,45,0,1,0,0,0,0,22,7,0,0,6
CALABASAS,1000007A,349,58,N,1306,TOTAL,221,0,2,27,8,1,3,72,2,1,0,1,1,0,37,17,1,0,27
CALABASAS,1000008A,350,58,N,1163,POLLING PLACE,120,0,1,14,2,1,19,31,2,2,1,1,0,1,31,3,1,0,5
CALABASAS,1000008A,350,58,N,0,VBM PORTION,175,0,1,4,4,3,19,44,1,0,1,0,3,0,52,11,1,0,17
CALABASAS,1000008A,350,58,N,1163,TOTAL,295,0,2,18,6,4,38,75,3,2,2,1,3,1,83,14,2,0,22
CALABASAS,1000009A,351,58,N,573,POLLING PLACE,70,0,0,6,3,1,1,22,0,1,1,1,1,2,14,6,2,0,6
CALABASAS,1000009A,351,58,N,0,VBM PORTION,65,0,0,9,4,3,2,19,1,0,0,1,0,1,13,4,0,1,4
CALABASAS,1000009A,351,58,N,573,TOTAL,135,0,0,15,7,4,3,41,1,1,1,2,1,3,27,10,2,1,10
CALABASAS,1000010A,352,58,N,813,POLLING PLACE,90,0,0,18,1,1,10,28,1,0,0,1,1,0,6,8,0,1,9
CALABASAS,1000010A,352,58,N,0,VBM PORTION,118,0,2,15,7,7,3,40,0,0,2,1,0,0,15,8,1,0,12
CALABASAS,1000010A,352,58,N,813,TOTAL,208,0,2,33,8,8,13,68,1,0,2,2,1,0,21,16,1,1,21
CALABASAS,1000011A,353,58,N,592,POLLING PLACE,71,0,0,15,3,1,3,20,1,0,0,2,3,0,9,3,0,0,7
CALABASAS,1000011A,353,58,N,0,VBM PORTION,43,0,0,5,0,4,4,8,0,0,0,2,1,0,8,4,0,0,1
CALABASAS,1000011A,353,58,N,592,TOTAL,114,0,0,20,3,5,7,28,1,0,0,4,4,0,17,7,0,0,8
CALABASAS,1000012A,354,58,N,930,POLLING PLACE,79,0,0,8,3,0,11,13,0,0,0,0,0,0,17,11,0,0,8
CALABASAS,1000012A,354,58,N,0,VBM PORTION,100,0,0,10,1,1,9,25,0,0,0,0,2,0,17,9,1,0,13
CALABASAS,1000012A,354,58,N,930,TOTAL,179,0,0,18,4,1,20,38,0,0,0,0,2,0,34,20,1,0,21
CALABASAS,1000013A,355,58,N,1187,POLLING PLACE,105,1,0,29,1,3,5,27,1,1,0,4,1,1,16,5,1,0,4
CALABASAS,1000013A,355,58,N,0,VBM PORTION,93,1,0,9,6,4,5,27,0,0,0,2,0,0,16,5,0,2,5
CALABASAS,1000013A,355,58,N,1187,TOTAL,198,2,0,38,7,7,10,54,1,1,0,6,1,1,32,10,1,2,9
CALABASAS,1000016A,356,58,N,1218,POLLING PLACE,156,0,0,19,3,5,18,31,2,1,0,1,1,1,36,15,0,0,16
CALABASAS,1000016A,356,58,N,0,VBM PORTION,202,1,0,15,0,2,21,45,5,1,0,2,0,1,66,10,0,0,19
CALABASAS,1000016A,356,58,N,1218,TOTAL,358,1,0,34,3,7,39,76,7,2,0,3,1,2,102,25,0,0,35
CALABASAS,1000033A,357,58,N,1036,POLLING PLACE,92,1,1,8,0,4,7,31,1,1,0,0,1,0,16,9,2,2,5
CALABASAS,1000033A,357,58,N,0,VBM PORTION,115,0,0,3,10,1,6,29,0,0,0,3,0,3,30,7,3,0,13
CALABASAS,1000033A,357,58,N,1036,TOTAL,207,1,1,11,10,5,13,60,1,1,0,3,1,3,46,16,5,2,18
CALABASAS,1000075A,358,58,N,937,POLLING PLACE,104,0,1,22,4,1,7,21,1,0,0,0,0,0,29,4,1,0,8
CALABASAS,1000075A,358,58,N,0,VBM PORTION,115,0,2,11,5,3,9,31,3,0,0,1,0,0,16,11,1,0,9
CALABASAS,1000075A,358,58,N,937,TOTAL,219,0,3,33,9,4,16,52,4,0,0,1,0,0,45,15,2,0,17
CALABASAS,1000076A,359,58,N,1287,POLLING PLACE,141,0,0,17,2,1,11,36,2,1,0,0,0,0,28,17,0,0,11
CALABASAS,1000076A,359,58,N,0,VBM PORTION,194,0,0,11,6,5,21,54,1,0,1,1,1,0,45,12,2,0,17
CALABASAS,1000076A,359,58,N,1287,TOTAL,335,0,0,28,8,6,32,90,3,1,1,1,1,0,73,29,2,0,28
CALABASAS,1000077A,360,58,N,929,POLLING PLACE,107,0,0,7,2,6,8,20,3,1,1,0,0,0,21,16,2,0,13
CALABASAS,1000077A,360,58,N,0,VBM PORTION,100,0,0,7,0,5,3,16,0,2,1,0,1,0,28,13,1,0,9
CALABASAS,1000077A,360,58,N,929,TOTAL,207,0,0,14,2,11,11,36,3,3,2,0,1,0,49,29,3,0,22
EL SEGUNDO,2250001A,832,155,N,866,POLLING PLACE,108,0,0,6,6,2,2,38,4,0,1,2,1,0,14,6,1,1,17
EL SEGUNDO,2250001A,832,155,N,0,VBM PORTION,95,0,0,2,1,1,4,25,2,1,1,2,0,1,13,12,0,1,22
EL SEGUNDO,2250001A,832,155,N,866,TOTAL,203,0,0,8,7,3,6,63,6,1,2,4,1,1,27,18,1,2,39
EL SEGUNDO,2250002A,833,155,N,968,POLLING PLACE,130,0,0,18,4,0,10,34,0,1,0,3,1,2,12,7,0,0,30
EL SEGUNDO,2250002A,833,155,N,0,VBM PORTION,118,0,0,11,4,5,7,29,0,0,2,0,3,0,10,14,0,1,21
EL SEGUNDO,2250002A,833,155,N,968,TOTAL,248,0,0,29,8,5,17,63,0,1,2,3,4,2,22,21,0,1,51
EL SEGUNDO,2250003A,834,155,N,1008,POLLING PLACE,140,0,0,14,6,3,7,36,1,0,1,1,0,0,7,20,1,0,39
EL SEGUNDO,2250003A,834,155,N,0,VBM PORTION,145,0,0,20,2,4,4,35,1,2,2,0,2,0,9,14,0,0,41
EL SEGUNDO,2250003A,834,155,N,1008,TOTAL,285,0,0,34,8,7,11,71,2,2,3,1,2,0,16,34,1,0,80
EL SEGUNDO,2250004A,835,155,N,984,POLLING PLACE,104,0,0,11,5,2,5,25,1,0,0,2,3,0,3,19,0,1,23
EL SEGUNDO,2250004A,835,155,N,0,VBM PORTION,123,0,0,11,4,5,5,24,0,2,0,1,0,0,15,16,0,0,29
EL SEGUNDO,2250004A,835,155,N,984,TOTAL,227,0,0,22,9,7,10,49,1,2,0,3,3,0,18,35,0,1,52
EL SEGUNDO,2250006A,836,155,N,1297,POLLING PLACE,176,0,0,21,6,4,12,47,2,1,1,2,5,0,12,5,1,2,42
EL SEGUNDO,2250006A,836,155,N,0,VBM PORTION,171,0,0,11,4,5,12,42,0,2,0,1,2,0,10,10,0,1,49
EL SEGUNDO,2250006A,836,155,N,1297,TOTAL,347,0,0,32,10,9,24,89,2,3,1,3,7,0,22,15,1,3,91
EL SEGUNDO,2250007A,837,155,N,1020,POLLING PLACE,117,0,0,12,7,1,6,29,0,2,0,1,3,0,15,9,0,2,23
EL SEGUNDO,2250007A,837,155,N,0,VBM PORTION,109,0,1,10,3,2,8,21,0,1,0,2,0,0,8,11,1,1,30
EL SEGUNDO,2250007A,837,155,N,1020,TOTAL,226,0,1,22,10,3,14,50,0,3,0,3,3,0,23,20,1,3,53
EL SEGUNDO,2250009A,838,155,N,1041,POLLING PLACE,149,0,0,21,4,4,13,48,1,0,0,0,0,2,8,18,3,0,24
EL SEGUNDO,2250009A,838,155,N,0,VBM PORTION,148,0,0,5,5,5,9,45,1,5,0,0,2,1,8,9,2,0,42
EL SEGUNDO,2250009A,838,155,N,1041,TOTAL,297,0,0,26,9,9,22,93,2,5,0,0,2,3,16,27,5,0,66
EL SEGUNDO,2250012A,839,155,N,1261,POLLING PLACE,149,0,0,15,3,2,8,41,2,1,1,3,0,0,16,8,0,2,34
EL SEGUNDO,2250012A,839,155,N,0,VBM PORTION,114,0,0,8,3,5,3,28,0,1,0,1,2,0,9,10,1,2,29
EL SEGUNDO,2250012A,839,155,N,1261,TOTAL,263,0,0,23,6,7,11,69,2,2,1,4,2,0,25,18,1,4,63
EL SEGUNDO,2250017A,840,155,N,993,POLLING PLACE,122,0,0,13,9,5,8,33,1,1,1,2,0,1,10,9,1,0,22
EL SEGUNDO,2250017A,840,155,N,0,VBM PORTION,120,1,1,2,6,2,3,54,0,0,0,1,1,0,13,7,1,1,15
EL SEGUNDO,2250017A,840,155,N,993,TOTAL,242,1,1,15,15,7,11,87,1,1,1,3,1,1,23,16,2,1,37
EL SEGUNDO,2250017B,6046,155,Y,7,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
