LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JOSE SOLORIO,JANET NGUYEN,LONG PHAM
LONG BEACH,3850302D,1558,189,N,0,VBM PORTION,118,46,50,8
LONG BEACH,3850302D,1558,189,N,722,TOTAL,290,127,111,15
LONG BEACH,3850304A,1559,189,N,685,POLLING PLACE,100,36,38,12
LONG BEACH,3850304A,1559,189,N,0,VBM PORTION,101,36,40,17
LONG BEACH,3850304A,1559,189,N,685,TOTAL,201,72,78,29
LONG BEACH,3850305A,1560,189,N,765,POLLING PLACE,121,55,44,12
LONG BEACH,3850305A,1560,189,N,0,VBM PORTION,133,49,58,11
LONG BEACH,3850305A,1560,189,N,765,TOTAL,254,104,102,23
LONG BEACH,3850306A,1561,189,N,719,POLLING PLACE,129,50,45,18
LONG BEACH,3850306A,1561,189,N,0,VBM PORTION,108,46,44,10
LONG BEACH,3850306A,1561,189,N,719,TOTAL,237,96,89,28
LONG BEACH,3850321A,1568,189,N,889,POLLING PLACE,127,53,45,20
LONG BEACH,3850321A,1568,189,N,0,VBM PORTION,135,49,55,18
LONG BEACH,3850321A,1568,189,N,889,TOTAL,262,102,100,38
LONG BEACH,3850324A,1570,189,N,1181,POLLING PLACE,204,113,54,14
LONG BEACH,3850324A,1570,189,N,0,VBM PORTION,153,75,50,13
LONG BEACH,3850324A,1570,189,N,1181,TOTAL,357,188,104,27
LONG BEACH,3850328A,1571,189,N,941,POLLING PLACE,173,66,68,17
LONG BEACH,3850328A,1571,189,N,0,VBM PORTION,163,47,87,21
LONG BEACH,3850328A,1571,189,N,941,TOTAL,336,113,155,38
LONG BEACH,3850369A,1590,189,N,565,POLLING PLACE,73,34,20,9
LONG BEACH,3850369A,1590,189,N,0,VBM PORTION,88,27,46,4
LONG BEACH,3850369A,1590,189,N,565,TOTAL,161,61,66,13
LONG BEACH,3850380A,1600,189,N,430,POLLING PLACE,35,21,3,4
LONG BEACH,3850380A,1600,189,N,0,VBM PORTION,36,17,16,1
LONG BEACH,3850380A,1600,189,N,430,TOTAL,71,38,19,5
LONG BEACH,3850445A,1609,189,N,1310,POLLING PLACE,211,69,101,16
LONG BEACH,3850445A,1609,189,N,0,VBM PORTION,300,89,144,33
LONG BEACH,3850445A,1609,189,N,1310,TOTAL,511,158,245,49
LONG BEACH,3850447A,1610,189,N,1591,POLLING PLACE,326,121,154,23
LONG BEACH,3850447A,1610,189,N,0,VBM PORTION,302,91,150,30
LONG BEACH,3850447A,1610,189,N,1591,TOTAL,628,212,304,53
LONG BEACH,3850481A,1611,189,N,801,POLLING PLACE,115,44,47,7
LONG BEACH,3850481A,1611,189,N,0,VBM PORTION,144,48,64,17
LONG BEACH,3850481A,1611,189,N,801,TOTAL,259,92,111,24
LONG BEACH,3850535A,1615,189,N,890,POLLING PLACE,157,53,76,12
LONG BEACH,3850535A,1615,189,N,0,VBM PORTION,129,37,62,18
LONG BEACH,3850535A,1615,189,N,890,TOTAL,286,90,138,30
LONG BEACH,3850539A,1616,189,N,919,POLLING PLACE,164,76,52,21
LONG BEACH,3850539A,1616,189,N,0,VBM PORTION,181,60,80,19
LONG BEACH,3850539A,1616,189,N,919,TOTAL,345,136,132,40
LONG BEACH,3850637A,1650,189,N,847,POLLING PLACE,144,64,49,14
LONG BEACH,3850637A,1650,189,N,0,VBM PORTION,124,53,49,10
LONG BEACH,3850637A,1650,189,N,847,TOTAL,268,117,98,24
LONG BEACH,3850639A,1651,189,N,997,POLLING PLACE,196,80,82,14
LONG BEACH,3850639A,1651,189,N,0,VBM PORTION,128,54,55,10
LONG BEACH,3850639A,1651,189,N,997,TOTAL,324,134,137,24
LONG BEACH,3850645A,1652,189,N,852,POLLING PLACE,13,4,0,0
LONG BEACH,3850645A,1652,189,N,0,VBM PORTION,3,2,0,1
LONG BEACH,3850645A,1652,189,N,852,TOTAL,16,6,0,1
LONG BEACH,3850648A,1653,189,N,1506,POLLING PLACE,312,119,134,33
LONG BEACH,3850648A,1653,189,N,0,VBM PORTION,300,88,158,17
LONG BEACH,3850648A,1653,189,N,1506,TOTAL,612,207,292,50
LONG BEACH,3850649E,6111,189,Y,0,POLLING PLACE,0,0,0,0
LONG BEACH,3850649E,6111,189,Y,0,VBM PORTION,0,0,0,0
LONG BEACH,3850649E,6111,189,Y,0,TOTAL,0,0,0,0
LONG BEACH,3850650A,1654,168,N,881,POLLING PLACE,106,37,34,18
LONG BEACH,3850650A,1654,168,N,0,VBM PORTION,105,32,45,15
LONG BEACH,3850650A,1654,168,N,881,TOTAL,211,69,79,33
LONG BEACH,3850680A,1657,189,N,737,POLLING PLACE,97,42,27,8
LONG BEACH,3850680A,1657,189,N,0,VBM PORTION,125,37,59,12
LONG BEACH,3850680A,1657,189,N,737,TOTAL,222,79,86,20
LONG BEACH,3850688A,1659,189,N,1088,POLLING PLACE,127,62,46,11
LONG BEACH,3850688A,1659,189,N,0,VBM PORTION,231,71,115,18
LONG BEACH,3850688A,1659,189,N,1088,TOTAL,358,133,161,29
BALLOT GROUP 168,9990168A,8168,168,N,0,POLLING PLACE,0,0,0,0
BALLOT GROUP 168,9990168A,8168,168,N,0,VBM PORTION,0,0,0,0
BALLOT GROUP 168,9990168A,8168,168,N,0,TOTAL,0,0,0,0
BALLOT GROUP 189,9990189A,8189,189,N,0,POLLING PLACE,0,0,0,0
BALLOT GROUP 189,9990189A,8189,189,N,0,VBM PORTION,2,0,1,0
BALLOT GROUP 189,9990189A,8189,189,N,0,TOTAL,1,0,1,0
