LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,RICHARD BLOOM,BRADLY S TORGAN
FRANKLIN,2400001A,6055,82,Y,2,TOTAL,1,1,0
GILMORE,2520001A,6056,82,Y,0,POLLING PLACE,0,0,0
GILMORE,2520001A,6056,82,Y,0,VBM PORTION,0,0,0
GILMORE,2520001A,6056,82,Y,0,TOTAL,0,0,0
MALIBU,4050002A,1700,88,N,824,POLLING PLACE,106,57,31
MALIBU,4050002A,1700,88,N,0,VBM PORTION,110,60,33
MALIBU,4050002A,1700,88,N,824,TOTAL,216,117,64
MALIBU,4050003A,1701,88,N,721,POLLING PLACE,129,78,26
MALIBU,4050003A,1701,88,N,0,VBM PORTION,84,47,25
MALIBU,4050003A,1701,88,N,721,TOTAL,213,125,51
MALIBU,4050004A,1702,88,N,634,POLLING PLACE,98,60,22
MALIBU,4050004A,1702,88,N,0,VBM PORTION,111,57,38
MALIBU,4050004A,1702,88,N,634,TOTAL,209,117,60
MALIBU,4050014A,1703,88,N,947,POLLING PLACE,95,45,29
MALIBU,4050014A,1703,88,N,0,VBM PORTION,103,44,35
MALIBU,4050014A,1703,88,N,947,TOTAL,198,89,64
MALIBU,4050051A,1704,88,N,1361,POLLING PLACE,179,92,58
MALIBU,4050051A,1704,88,N,0,VBM PORTION,164,59,79
MALIBU,4050051A,1704,88,N,1361,TOTAL,343,151,137
MALIBU,4050057A,1705,88,N,951,POLLING PLACE,134,50,50
MALIBU,4050057A,1705,88,N,0,VBM PORTION,113,56,33
MALIBU,4050057A,1705,88,N,951,TOTAL,247,106,83
MALIBU,4050059B,1706,88,N,673,POLLING PLACE,56,19,22
MALIBU,4050059B,1706,88,N,0,VBM PORTION,104,43,42
MALIBU,4050059B,1706,88,N,673,TOTAL,160,62,64
MALIBU,4050062A,1707,88,N,988,POLLING PLACE,159,98,36
MALIBU,4050062A,1707,88,N,0,VBM PORTION,135,56,46
MALIBU,4050062A,1707,88,N,988,TOTAL,294,154,82
MALIBU,4050063A,1708,88,N,983,POLLING PLACE,99,45,26
MALIBU,4050063A,1708,88,N,0,VBM PORTION,154,76,52
MALIBU,4050063A,1708,88,N,983,TOTAL,253,121,78
MALIBU,4050064A,1709,88,N,1015,POLLING PLACE,147,67,46
MALIBU,4050064A,1709,88,N,0,VBM PORTION,156,66,55
MALIBU,4050064A,1709,88,N,1015,TOTAL,303,133,101
MALIBU HEIGHTS,4060001A,1710,88,N,455,POLLING PLACE,82,40,32
MALIBU HEIGHTS,4060001A,1710,88,N,0,VBM PORTION,58,27,21
MALIBU HEIGHTS,4060001A,1710,88,N,455,TOTAL,140,67,53
MALIBU HEIGHTS,4060003A,1711,88,N,765,POLLING PLACE,28,12,7
MALIBU HEIGHTS,4060003A,1711,88,N,0,VBM PORTION,38,16,14
MALIBU HEIGHTS,4060003A,1711,88,N,765,TOTAL,66,28,21
MALIBU HEIGHTS,4060004A,1712,88,N,618,POLLING PLACE,66,37,14
MALIBU HEIGHTS,4060004A,1712,88,N,0,VBM PORTION,108,48,40
MALIBU HEIGHTS,4060004A,1712,88,N,618,TOTAL,174,85,54
MALIBU HEIGHTS,4060012A,1713,88,N,380,POLLING PLACE,54,23,19
MALIBU HEIGHTS,4060012A,1713,88,N,0,VBM PORTION,62,29,14
MALIBU HEIGHTS,4060012A,1713,88,N,380,TOTAL,116,52,33
SANTA MONICA,6250001A,2450,82,N,945,POLLING PLACE,176,109,44
SANTA MONICA,6250001A,2450,82,N,0,VBM PORTION,156,93,47
SANTA MONICA,6250001A,2450,82,N,945,TOTAL,332,202,91
SANTA MONICA,6250003C,2451,82,N,1050,POLLING PLACE,228,141,53
SANTA MONICA,6250003C,2451,82,N,0,VBM PORTION,187,101,67
SANTA MONICA,6250003C,2451,82,N,1050,TOTAL,415,242,120
SANTA MONICA,6250005A,2452,82,N,1264,POLLING PLACE,194,122,33
SANTA MONICA,6250005A,2452,82,N,0,VBM PORTION,128,95,19
SANTA MONICA,6250005A,2452,82,N,1264,TOTAL,322,217,52
SANTA MONICA,6250006A,2453,82,N,1150,POLLING PLACE,242,147,65
SANTA MONICA,6250006A,2453,82,N,0,VBM PORTION,147,96,35
SANTA MONICA,6250006A,2453,82,N,1150,TOTAL,389,243,100
SANTA MONICA,6250008A,2454,82,N,1214,POLLING PLACE,162,103,34
SANTA MONICA,6250008A,2454,82,N,0,VBM PORTION,198,121,55
