LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,BETTY T YEE,LAURA WELLS,TAMMY D BLAIR,JOHN A PEREZ,DAVID EVANS,ASHLEY SWEARENGIN
AGUA DULCE,0090012A,6010,21,Y,5,POLLING PLACE,0,0,0,0,0,0,0
AGUA DULCE,0090012A,6010,21,Y,0,VBM PORTION,4,0,0,0,0,0,4
AGUA DULCE,0090012A,6010,21,Y,5,TOTAL,4,0,0,0,0,0,4
AGUA DULCE,0090017A,6011,11,Y,0,POLLING PLACE,0,0,0,0,0,0,0
AGUA DULCE,0090017A,6011,11,Y,0,VBM PORTION,0,0,0,0,0,0,0
AGUA DULCE,0090017A,6011,11,Y,0,TOTAL,0,0,0,0,0,0,0
ALHAMBRA,0150001A,26,76,N,959,POLLING PLACE,89,27,4,4,20,5,21
ALHAMBRA,0150001A,26,76,N,0,VBM PORTION,65,22,2,4,14,6,12
ALHAMBRA,0150001A,26,76,N,959,TOTAL,154,49,6,8,34,11,33
ALHAMBRA,0150003B,27,76,N,767,POLLING PLACE,51,18,1,4,14,4,4
ALHAMBRA,0150003B,27,76,N,0,VBM PORTION,56,18,7,6,9,6,6
ALHAMBRA,0150003B,27,76,N,767,TOTAL,107,36,8,10,23,10,10
ALHAMBRA,0150004A,28,76,N,1209,POLLING PLACE,135,35,3,0,38,17,32
ALHAMBRA,0150004A,28,76,N,0,VBM PORTION,123,31,2,0,26,19,36
ALHAMBRA,0150004A,28,76,N,1209,TOTAL,258,66,5,0,64,36,68
ALHAMBRA,0150007A,29,76,N,1297,POLLING PLACE,63,20,3,1,22,4,9
ALHAMBRA,0150007A,29,76,N,0,VBM PORTION,72,32,4,1,12,10,6
ALHAMBRA,0150007A,29,76,N,1297,TOTAL,135,52,7,2,34,14,15
ALHAMBRA,0150008A,30,76,N,1214,POLLING PLACE,79,13,6,5,26,8,7
ALHAMBRA,0150008A,30,76,N,0,VBM PORTION,55,20,2,8,13,1,5
ALHAMBRA,0150008A,30,76,N,1214,TOTAL,134,33,8,13,39,9,12
ALHAMBRA,0150011A,31,76,N,1288,POLLING PLACE,126,28,7,4,49,16,14
ALHAMBRA,0150011A,31,76,N,0,VBM PORTION,111,33,4,5,25,11,23
ALHAMBRA,0150011A,31,76,N,1288,TOTAL,237,61,11,9,74,27,37
ALHAMBRA,0150012A,32,76,N,1108,POLLING PLACE,76,22,1,1,35,6,4
ALHAMBRA,0150012A,32,76,N,0,VBM PORTION,68,19,3,2,19,14,6
ALHAMBRA,0150012A,32,76,N,1108,TOTAL,144,41,4,3,54,20,10
ALHAMBRA,0150014A,33,76,N,1129,POLLING PLACE,86,23,4,2,17,5,21
ALHAMBRA,0150014A,33,76,N,0,VBM PORTION,64,22,2,3,14,8,9
ALHAMBRA,0150014A,33,76,N,1129,TOTAL,150,45,6,5,31,13,30
ALHAMBRA,0150015A,34,76,N,950,POLLING PLACE,116,17,7,4,39,13,31
ALHAMBRA,0150015A,34,76,N,0,VBM PORTION,78,15,5,2,20,9,16
ALHAMBRA,0150015A,34,76,N,950,TOTAL,194,32,12,6,59,22,47
